biosample	Extraction Date	Extraction Method	Laboratory Host	Passage Date	collected_by	collection_date	culture_collection	description	geo_loc_name	host	host_age	host_description	host_disease	host_disease_outcome	host_disease_stage	host_health_state	host_sex	identification method	isolate	isolate_name_alias	isolation_source	lat_lon	note	passage_history	pathotype	ref_biomaterial	sample_type	serotype	serovar	strain	sub_species	subsrc_note	type-material
SAMN16357436					ARMADA	missing	FDA:FDAARGOS_1294		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1294			
SAMN16357420					ARMADA	missing	FDA:FDAARGOS_1278		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1278			
SAMN16357521					Montana State U	missing	FDA:FDAARGOS_1379		USA:MT	Seth Lab strain	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		Seth Lab Isolate	not applicable								FDAARGOS_1379			
SAMN16357526					Montana State U	missing	FDA:FDAARGOS_1384		USA:MT	Seth Lab strain	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		Seth Lab Isolate	not applicable								FDAARGOS_1384			
SAMN16357518					Montana State U	missing	FDA:FDAARGOS_1376		USA:MT	Seth Lab strain	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		Seth Lab Isolate	not applicable								FDAARGOS_1376			
SAMN16357516					Montana State U	missing	FDA:FDAARGOS 1374		USA:MT	missing	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS 1374			
SAMN16357523					Montana State U	missing	FDA:FDAARGOS_1381		USA:MT	Seth Lab strain	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		Seth Lab Isolate	not applicable								FDAARGOS_1381			
SAMN16357530					Montana State U	missing	FDA:FDAARGOS_1388		USA:MT	Seth Lab strain	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		Seth Lab Isolate	not applicable								FDAARGOS_1388			
SAMN16357520					Montana State U	missing	FDA:FDAARGOS_1378		USA:MT	Seth Lab strain	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		Seth Lab Isolate	not applicable								FDAARGOS_1378			
SAMN16357527					Montana State U	missing	FDA:FDAARGOS_1385		USA:MT	Seth Lab strain	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		Seth Lab Isolate	not applicable								FDAARGOS_1385			
SAMN16357528					Montana State U	missing	FDA:FDAARGOS 1386		USA:MT	missing	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS 1386			
SAMN16357531					Montana State U	missing	FDA:FDAARGOS 1389		USA:MT	missing	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS 1389			
SAMN16357519					Montana State U	missing	FDA:FDAARGOS 1377		USA:MT	missing	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS 1377			
SAMN16357522					Montana State U	missing	FDA:FDAARGOS 1380		USA:MT	missing	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS 1380			
SAMN16357524					Montana State U	missing	FDA:FDAARGOS 1382		USA:MT	missing	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS 1382			
SAMN16357529					Montana State U	missing	FDA:FDAARGOS 1387		USA:MT	missing	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS 1387			
SAMN16357517					Montana State U	missing	FDA:FDAARGOS 1375		USA:MT	missing	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS 1375			
SAMN16357525					Montana State U	missing	FDA:FDAARGOS 1383		USA:MT	missing	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS 1383			
SAMN16357533					Montana State U	missing	FDA:FDAARGOS_1391		USA:MT	not applicable	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		Seth Lab Isolate	not applicable								FDAARGOS_1391			
SAMN16357532					Montana State U	missing	FDA:FDAARGOS_1390		USA:MT	not applicable	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		Seth Lab Isolate	not applicable								FDAARGOS_1390			
SAMN03255436	not applicable	not applicable	not applicable	not applicable	FDA CFSAN	missing	FDA:FDAARGOS_56		USA:CA	Cow	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	phenotypic identification	not applicable	FDAARGOS_56	environmental	not applicable		not applicable		not applicable	not applicable	111		FDAARGOS_56			not applicable
SAMN03996315					Children's National Hospital	2014-06-24	FDA:FDAARGOS_170		USA: DC	Homo sapiens	12M	missing	Urinary tract infection	missing	missing	missing	female	phenotypic identification	not applicable	FDAARGOS_170	urine cathether	not applicable								FDAARGOS_170			
SAMN03996286					Children's National Hospital	2014-03-05	FDA:FDAARGOS_142		USA: DC	Homo sapiens	16Y	missing	Pneumonia	missing	missing	missing	male	phenotypic identification	not applicable	FDAARGOS_142	sputum	not applicable			ESBL					FDAARGOS_142			
SAMN03996336	not applicable	not applicable	not applicable	not applicable	FDA CFSAN	missing	FDA:FDAARGOS_95	not applicable	USA	Environment	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	MLST	not applicable	FDAARGOS_95	environmental	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	not applicable	FDAARGOS_95	not applicable		not applicable
SAMN06173305					George Washington University	2014-02-11	FDA:FDAARGOS_292		USA:DC	Homo sapiens	missing	missing	missing	missing	missing	missing	missing	Phenotypic identification	not applicable	FDAARGOS_292	stool	not applicable								FDAARGOS_292			
SAMN06173306					George Washington University	2014-02-26	FDA:FDAARGOS_293		USA:DC	Homo sapiens	missing	missing	missing	missing	missing	missing	missing	Phenotypic identification	not applicable	FDAARGOS_293	clinical isolate	not applicable								FDAARGOS_293			
SAMN06173361					USAMRIID < CDC-Atlanta	2009	FDA:FDAARGOS_348		USA: Georgia	Homo sapiens	missing	missing	Bloody diarrhea complicated hemolytic uremic syndrome (HUS)	missing	missing	missing	missing	Phenotypic characterization	not applicable	FDAARGOS_348	stool	not applicable						O104:H4		FDAARGOS_348			
SAMN07312447	missing	missing	missing	missing	USAMRIID < Columbia University	missing	FDA:FDAARGOS_403		missing	Homo sapiens	missing	missing	missing	missing	missing	missing	missing	Phenotypic characterization	not applicable	FDAARGOS_403	human	not applicable		missing		missing	missing	O104:H4		FDAARGOS_403			missing
SAMN07312445	missing	missing	missing	missing	USAMRIID < CDC	2009	FDA:FDAARGOS_401		Georgia	Homo sapiens	missing	missing	Bloody diarrhea	missing	missing	missing	missing	Phenotypic characterization	not applicable	FDAARGOS_401	stool	not applicable		missing		missing	missing	O104:H4		FDAARGOS_401			missing
SAMN07312444	missing	missing	missing	missing	USAMRIID	missing	FDA:FDAARGOS_400		missing	Homo sapiens	missing	missing	missing	missing	missing	missing	missing	Phenotypic characterization	not applicable	FDAARGOS_400	human	not applicable		missing		missing	missing	O157:H7		FDAARGOS_400			missing
SAMN07312442	missing	missing	missing	missing	USAMRIID	missing	FDA:FDAARGOS_398		missing	Homo sapiens	missing	missing	missing	missing	missing	missing	missing	Phenotypic characterization	not applicable	FDAARGOS_398	human	not applicable		missing		missing	missing	O157:H7		FDAARGOS_398			missing
SAMN07312446	missing	missing	missing	missing	USAMRIID < Columbia University	missing	FDA:FDAARGOS_402		missing	Homo sapiens	missing	missing	missing	missing	missing	missing	missing	Phenotypic characterization	not applicable	FDAARGOS_402	human	not applicable		missing		missing	missing	O104:H4		FDAARGOS_402			missing
SAMN07312443	missing	missing	missing	missing	USAMRIID	missing	FDA:FDAARGOS_399		missing	Homo sapiens	missing	missing	missing	missing	missing	missing	missing	Phenotypic characterization	not applicable	FDAARGOS_399	human	not applicable		missing		missing	missing	O157:H7		FDAARGOS_399			missing
SAMN07312485					BC Centre for Disease Control	2015-01	FDA:FDAARGOS_441		Canada:BC	Homo sapiens	missing	missing	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable	FDAARGOS_441	urine	not applicable								FDAARGOS_441			
SAMN07312481					BC Centre for Disease Control	2014-09	FDA:FDAARGOS_437		Canada:BC	Homo sapiens	missing	missing	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable	FDAARGOS_437	urine	not applicable								FDAARGOS_437			
SAMN07312471	missing	missing	missing	missing	BC Centre for Disease Control	2015-03	FDA:FDAARGOS_427		Canada:BC	Homo sapiens	missing	missing	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable	FDAARGOS_427	urine	not applicable		missing		missing	missing			FDAARGOS_427			missing
SAMN07312477					BC Centre for Disease Control	2015-12	FDA:FDAARGOS_433		Canada:BC	Homo sapiens	missing	missing	Screening	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable	FDAARGOS_433	rectal	not applicable								FDAARGOS_433			
SAMN07312492					BC Centre for Disease Control	2014-08	FDA:FDAARGOS_448		Canada:BC	Homo sapiens	missing	missing	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable	FDAARGOS_448	urine	not applicable								FDAARGOS_448			
SAMN07312478					BC Centre for Disease Control	2014-08	FDA:FDAARGOS_434		Canada:BC	Homo sapiens	missing	missing	Screening	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable	FDAARGOS_434	rectal	not applicable								FDAARGOS_434			
SAMN03996288					Children's National Hospital	2014-03-21	FDA:FDAARGOS_144		USA:DC	Homo sapiens	21Y	missing	Urinary tract infection	missing	missing	missing	female	phenotypic identification	not applicable	FDAARGOS_144	urine	not applicable								FDAARGOS_144			
SAMN06173362					USAMRIID < Bundeswehr Inst. Microbiology	2001	FDA:FDAARGOS_349		Germany	Homo sapiens	37Y	missing	Hemolytic uremic syndrome	missing	missing	missing	female	Phenotypic characterization	not applicable	FDAARGOS_349	stool	not applicable						O104:H4		FDAARGOS_349			
SAMN10163231					Children's National Hospital	2016-04-02	FDA:FDAARGOS_536		not applicable	Homo sapiens	10Y	not applicable	missing	missing	missing	missing	female	Phenotypic and Molecular Methods	not applicable	FDAARGOS_536	Peripheral blood	not applicable								FDAARGOS_536			
SAMN10163173					USAMRIID	missing	FDA:FDAARGOS_497		missing	Homo sapiens	missing	not applicable	missing	missing	missing	missing	not collected	Phenotypic and Molecular Methods	not applicable	FDAARGOS_497	UCC isolate	not applicable								FDAARGOS_497			
