isolate	species	sra_run	library_layout	url1	url2	bytes1	bytes2
M1_d136_cloneE10	Escherichia_coli_hypermutator	SRR10358479	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/079/SRR10358479/SRR10358479_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/079/SRR10358479/SRR10358479_2.fastq.gz	66683141	75775896
M1_d136_cloneG2	Escherichia_coli_hypermutator	SRR10358469	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/069/SRR10358469/SRR10358469_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/069/SRR10358469/SRR10358469_2.fastq.gz	72316177	81784734
M1_d148_cloneCL1	Escherichia_coli_hypermutator	SRR10358468	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/068/SRR10358468/SRR10358468_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/068/SRR10358468/SRR10358468_2.fastq.gz	86094759	92757519
M1_d148_cloneCS1	Escherichia_coli_hypermutator	SRR10358467	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/067/SRR10358467/SRR10358467_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/067/SRR10358467/SRR10358467_2.fastq.gz	70942646	85842627
M1_d148_cloneCS4	Escherichia_coli_hypermutator	SRR10358466	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/066/SRR10358466/SRR10358466_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/066/SRR10358466/SRR10358466_2.fastq.gz	64689399	73750923
M1_d148_cloneCS6	Escherichia_coli_hypermutator	SRR10358465	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/065/SRR10358465/SRR10358465_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/065/SRR10358465/SRR10358465_2.fastq.gz	83833519	100766850
M1_d148_cloneCS7	Escherichia_coli_hypermutator	SRR10358464	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/064/SRR10358464/SRR10358464_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/064/SRR10358464/SRR10358464_2.fastq.gz	69981547	85028382
M1_d190_clone24	Escherichia_coli_hypermutator	SRR10358463	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/063/SRR10358463/SRR10358463_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/063/SRR10358463/SRR10358463_2.fastq.gz	86875784	79752095
M1_d190_clone35	Escherichia_coli_hypermutator	SRR10358489	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/089/SRR10358489/SRR10358489_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/089/SRR10358489/SRR10358489_2.fastq.gz	59287479	60735779
M1_d190_clone40	Escherichia_coli_hypermutator	SRR10358488	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/088/SRR10358488/SRR10358488_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/088/SRR10358488/SRR10358488_2.fastq.gz	74894738	66206779
