query	reference
M1_d136_cloneE10	M1_d136_cloneG2
M1_d136_cloneE10	M1_d148_cloneCL1
M1_d136_cloneE10	M1_d148_cloneCS1
M1_d136_cloneE10	M1_d148_cloneCS4
M1_d136_cloneE10	M1_d148_cloneCS6
M1_d136_cloneE10	M1_d148_cloneCS7
M1_d136_cloneE10	M1_d190_clone24
M1_d136_cloneE10	M1_d190_clone35
M1_d136_cloneE10	M1_d190_clone40
M1_d136_cloneE10	M1_d190_cloneL1
M1_d136_cloneE10	M1_d190_cloneM1
M1_d136_cloneE10	M1_d190_cloneS2
M1_d136_cloneE10	M1_d190_cloneS8
M1_d136_cloneE10	M1_d190_cloneS9
M1_d136_cloneG2	M1_d148_cloneCL1
M1_d136_cloneG2	M1_d148_cloneCS1
M1_d136_cloneG2	M1_d148_cloneCS4
M1_d136_cloneG2	M1_d148_cloneCS6
M1_d136_cloneG2	M1_d148_cloneCS7
M1_d136_cloneG2	M1_d190_clone24
M1_d136_cloneG2	M1_d190_clone35
M1_d136_cloneG2	M1_d190_clone40
M1_d136_cloneG2	M1_d190_cloneL1
M1_d136_cloneG2	M1_d190_cloneM1
M1_d136_cloneG2	M1_d190_cloneS2
M1_d136_cloneG2	M1_d190_cloneS8
M1_d136_cloneG2	M1_d190_cloneS9
M1_d148_cloneCL1	M1_d148_cloneCS1
M1_d148_cloneCL1	M1_d148_cloneCS4
M1_d148_cloneCL1	M1_d148_cloneCS6
M1_d148_cloneCL1	M1_d148_cloneCS7
M1_d148_cloneCL1	M1_d190_clone24
M1_d148_cloneCL1	M1_d190_clone35
M1_d148_cloneCL1	M1_d190_clone40
M1_d148_cloneCL1	M1_d190_cloneL1
M1_d148_cloneCL1	M1_d190_cloneM1
M1_d148_cloneCL1	M1_d190_cloneS2
M1_d148_cloneCL1	M1_d190_cloneS8
M1_d148_cloneCL1	M1_d190_cloneS9
M1_d148_cloneCS1	M1_d148_cloneCS4
M1_d148_cloneCS1	M1_d148_cloneCS6
M1_d148_cloneCS1	M1_d148_cloneCS7
M1_d148_cloneCS1	M1_d190_clone24
M1_d148_cloneCS1	M1_d190_clone35
M1_d148_cloneCS1	M1_d190_clone40
M1_d148_cloneCS1	M1_d190_cloneL1
M1_d148_cloneCS1	M1_d190_cloneM1
M1_d148_cloneCS1	M1_d190_cloneS2
M1_d148_cloneCS1	M1_d190_cloneS8
M1_d148_cloneCS1	M1_d190_cloneS9
M1_d148_cloneCS4	M1_d148_cloneCS6
M1_d148_cloneCS4	M1_d148_cloneCS7
M1_d148_cloneCS4	M1_d190_clone24
M1_d148_cloneCS4	M1_d190_clone35
M1_d148_cloneCS4	M1_d190_clone40
M1_d148_cloneCS4	M1_d190_cloneL1
M1_d148_cloneCS4	M1_d190_cloneM1
M1_d148_cloneCS4	M1_d190_cloneS2
M1_d148_cloneCS4	M1_d190_cloneS8
M1_d148_cloneCS4	M1_d190_cloneS9
M1_d148_cloneCS6	M1_d148_cloneCS7
M1_d148_cloneCS6	M1_d190_clone24
M1_d148_cloneCS6	M1_d190_clone35
M1_d148_cloneCS6	M1_d190_clone40
M1_d148_cloneCS6	M1_d190_cloneL1
M1_d148_cloneCS6	M1_d190_cloneM1
M1_d148_cloneCS6	M1_d190_cloneS2
M1_d148_cloneCS6	M1_d190_cloneS8
M1_d148_cloneCS6	M1_d190_cloneS9
M1_d148_cloneCS7	M1_d190_clone24
M1_d148_cloneCS7	M1_d190_clone35
M1_d148_cloneCS7	M1_d190_clone40
M1_d148_cloneCS7	M1_d190_cloneL1
M1_d148_cloneCS7	M1_d190_cloneM1
M1_d148_cloneCS7	M1_d190_cloneS2
M1_d148_cloneCS7	M1_d190_cloneS8
M1_d148_cloneCS7	M1_d190_cloneS9
M1_d190_clone24	M1_d190_clone35
M1_d190_clone24	M1_d190_clone40
M1_d190_clone24	M1_d190_cloneL1
M1_d190_clone24	M1_d190_cloneM1
M1_d190_clone24	M1_d190_cloneS2
M1_d190_clone24	M1_d190_cloneS8
M1_d190_clone24	M1_d190_cloneS9
M1_d190_clone35	M1_d190_clone40
M1_d190_clone35	M1_d190_cloneL1
M1_d190_clone35	M1_d190_cloneM1
M1_d190_clone35	M1_d190_cloneS2
M1_d190_clone35	M1_d190_cloneS8
M1_d190_clone35	M1_d190_cloneS9
M1_d190_clone40	M1_d190_cloneL1
M1_d190_clone40	M1_d190_cloneM1
M1_d190_clone40	M1_d190_cloneS2
M1_d190_clone40	M1_d190_cloneS8
M1_d190_clone40	M1_d190_cloneS9
M1_d190_cloneL1	M1_d190_cloneM1
M1_d190_cloneL1	M1_d190_cloneS2
M1_d190_cloneL1	M1_d190_cloneS8
M1_d190_cloneL1	M1_d190_cloneS9
M1_d190_cloneM1	M1_d190_cloneS2
M1_d190_cloneM1	M1_d190_cloneS8
M1_d190_cloneM1	M1_d190_cloneS9
M1_d190_cloneS2	M1_d190_cloneS8
M1_d190_cloneS2	M1_d190_cloneS9
M1_d190_cloneS8	M1_d190_cloneS9
M2_d190_clone26	M2_d190_clone30
M3_d190_clone15	M3_d190_clone17
M4_d190_clone14	M4_d190_clone16
M4_d190_clone14	M4_d190_clone21
M4_d190_clone14	M4_d190_clone22
M4_d190_clone16	M4_d190_clone21
M4_d190_clone16	M4_d190_clone22
M4_d190_clone21	M4_d190_clone22
