experiment	seed	band	n	MAE	RMSE	bias	r
raw_gated	0	0.8-0.85	463.0	3.3686	4.0703	3.1842	0.2465
raw_gated	0	0.85-0.9	829.0	3.4897	4.1266	3.3895	0.2864
raw_gated	0	0.9-0.95	689.0	1.8175	2.2355	1.6533	0.6141
raw_gated	0	0.95-0.99	539.0	0.8174	1.0711	0.6375	0.5667
raw_gated	0	all	2520.0	2.4387	3.2027	2.2884	0.8273
v3a_ref_gated9	0	0.8-0.85	463.0	0.9705	1.3793	0.6006	0.3531
v3a_ref_gated9	0	0.85-0.9	829.0	0.8686	1.3249	0.3821	0.6236
v3a_ref_gated9	0	0.9-0.95	689.0	0.9564	1.2879	-0.6984	0.7488
v3a_ref_gated9	0	0.95-0.99	72.0	1.326	1.797	-1.1186	0.1524
v3a_ref_gated9	0	all	2053.0	0.9371	1.3445	0.0161	0.9112
v3a_ref_gated9	1	0.8-0.85	463.0	0.9705	1.3793	0.6006	0.3531
v3a_ref_gated9	1	0.85-0.9	829.0	0.8667	1.3256	0.3631	0.6215
v3a_ref_gated9	1	0.9-0.95	689.0	0.9564	1.2879	-0.6984	0.7488
v3a_ref_gated9	1	0.95-0.99	72.0	1.326	1.797	-1.1186	0.1524
v3a_ref_gated9	1	all	2053.0	0.9363	1.3448	0.0085	0.9111
v3a_ref_gated9	2	0.8-0.85	463.0	0.9763	1.3875	0.6106	0.3483
v3a_ref_gated9	2	0.85-0.9	829.0	0.8667	1.3256	0.3631	0.6215
v3a_ref_gated9	2	0.9-0.95	689.0	0.9407	1.2683	-0.665	0.7528
v3a_ref_gated9	2	0.95-0.99	72.0	1.326	1.797	-1.1186	0.1524
v3a_ref_gated9	2	all	2053.0	0.9324	1.3405	0.0219	0.9116
v3a_ref_gated9	3	0.8-0.85	463.0	0.9705	1.3793	0.6006	0.3531
v3a_ref_gated9	3	0.85-0.9	829.0	0.8667	1.3256	0.3631	0.6215
v3a_ref_gated9	3	0.9-0.95	689.0	0.9564	1.2879	-0.6984	0.7488
v3a_ref_gated9	3	0.95-0.99	72.0	1.326	1.797	-1.1186	0.1524
v3a_ref_gated9	3	all	2053.0	0.9363	1.3448	0.0085	0.9111
v3a_ref_gated9	4	0.8-0.85	463.0	0.9763	1.3875	0.6106	0.3483
v3a_ref_gated9	4	0.85-0.9	829.0	0.8667	1.3256	0.3631	0.6215
v3a_ref_gated9	4	0.9-0.95	689.0	0.9564	1.2879	-0.6984	0.7488
v3a_ref_gated9	4	0.95-0.99	72.0	1.326	1.797	-1.1186	0.1524
