cluster	species	total_pairs	struct_top_pairs	ani_top_pairs	both_top_pairs	struct_enrichment_ratio	ani_enrichment_ratio	struct_p	ani_p	log2_struct_over_ani	neg_log10_min_p	struct_q	ani_q	mode	category
HROM_Genome_1032	Prevotella pleuritidis	188660	43327	180811	43283	4.593131876912108	19.167926876920976	0.0	0.0	-2.061131538664651	514693.5350668027	0.0	0.0	ani_enriched	both-enriched
HROM_Genome_1711	F0428 sp003043955	186075	21973	155433	21591	2.361736567543537	16.706494329540554	0.0	0.0	-2.822460886273013	387790.5942507419	0.0	0.0	ani_enriched	both-enriched
HROM_Genome_0346	Peptidiphaga sp000466165	123753	29547	123086	29547	4.775158398087461	19.89221059962071	0.0	0.0	-2.058564562265345	367053.9644741387	0.0	0.0	ani_enriched	both-enriched
HROM_Genome_1109	Tannerella forsythia	54285	7003	52951	6993	2.580087353922706	19.50852570006586	0.0	0.0	-2.9185235587727387	152884.00659254703	0.0	0.0	ani_enriched	both-enriched
HROM_Genome_1106	Porphyromonas gingivalis	56953	9019	53265	8420	3.167173881985625	18.704902630442874	0.0	0.0	-2.5620820392661914	146549.99112261488	0.0	0.0	ani_enriched	both-enriched
HROM_Genome_1209	HROM_Genome_1209	128546	40627	71526	25365	6.321007605854804	11.128470967986088	0.0	0.0	-0.8160212564516791	129672.54957471216	0.0	0.0	both_enriched	both-enriched
HROM_Genome_1157	Prevotella shahii	275067	50680	84137	23619	3.684921506416318	6.117565919205797	0.0	0.0	-0.7313181937756408	93355.04433691116	0.0	0.0	both_enriched	both-enriched
HROM_Genome_2553	Streptococcus mutans	27261	6270	27138	6240	4.599979370190852	19.90976716877821	0.0	0.0	-2.1136885912716803	80637.6643853276	0.0	0.0	ani_enriched	both-enriched
HROM_Genome_0315	Actinomyces sp000220835	25651	5959	25647	5959	4.6462140168114505	19.996887210801017	0.0	0.0	-2.1055550061678225	76898.75559020705	0.0	0.0	ani_enriched	both-enriched
HROM_Genome_1943	Eubacterium_M brachy	19390	4460	18397	4415	4.600310817608896	18.97576639272441	0.0	0.0	-2.0442323913115503	51303.042397795056	0.0	0.0	ani_enriched	both-enriched
HROM_Genome_0363	Bifidobacterium longum	11781	5258	11476	5094	8.926239838745618	19.482222972507554	0.0	0.0	-1.1259594978795953	33003.784818595035	0.0	0.0	ani_enriched	both-enriched
HROM_Genome_0965	Prevotella sp905372445	8128	534	8025	533	1.3139767720489843	19.74656104062378	2.952831315141452e-10	0.0	-3.908329423917907	23507.172203412767	9.555435498066435e-10	0.0	ani_enriched	both-enriched
HROM_Genome_2727	Centipeda noxia	102378	24522	21569	3517	4.790483766980333	4.213601842019362	0.0	0.0	0.1851133312889661	21164.53677463795	0.0	0.0	both_enriched	both-enriched
HROM_Genome_2711	HROM_Genome_2711	10878	4252	8162	3474	7.817615876608072	15.006439507261309	0.0	0.0	-0.9406998507704082	18492.14732189527	0.0	0.0	both_enriched	both-enriched
HROM_Genome_0351	HROM_Genome_0351	6445	941	6311	941	2.920093971235871	19.584179651933667	9.998750735885382e-186	0.0	-2.744949918946056	18270.98393765914	5.853201273478971e-185	0.0	ani_enriched	both-enriched
HROM_Genome_0389	Arachnia rubra	11935	4668	8360	3871	7.822373523345656	14.009220791595904	0.0	0.0	-0.8406301422275658	17957.087808854612	0.0	0.0	both_enriched	both-enriched
HROM_Genome_2040	Bulleidia extructa	6425	471	6047	470	1.466148299658655	18.823351949120777	5.133464125718167e-16	0.0	-3.6810091881921903	16706.63833723684	1.7830232063327767e-15	0.0	ani_enriched	both-enriched
HROM_Genome_1965	Parvimonas sp015257355	16337	4801	8838	3281	5.877457844092225	10.81961516894128	0.0	0.0	-0.8803163700456539	15608.245355381718	0.0	0.0	both_enriched	both-enriched
