experiment	seed	band	n	MAE	RMSE	bias	r
raw_gated	0	0.8-0.85	463.0	2.952	3.5883	2.7821	0.2339
raw_gated	0	0.85-0.9	829.0	2.8083	3.3591	2.6901	0.3398
raw_gated	0	0.9-0.95	689.0	1.4677	1.8192	1.2739	0.6891
raw_gated	0	0.95-0.99	2153.0	0.3857	0.5723	0.2996	0.9531
raw_gated	0	all	4134.0	1.3392	2.104	1.2194	0.9499
v5b_ref	0	0.8-0.85	463.0	0.8196	1.3369	0.3074	0.4024
v5b_ref	0	0.85-0.9	829.0	0.7669	1.0885	0.3211	0.6986
v5b_ref	0	0.9-0.95	689.0	0.644	0.9071	-0.1178	0.833
v5b_ref	0	0.95-0.99	539.0	0.7123	1.0446	-0.4028	0.4803
v5b_ref	0	all	2520.0	0.7313	1.0847	0.0437	0.9625
v5b_ref	1	0.8-0.85	463.0	0.8196	1.3369	0.3074	0.4024
v5b_ref	1	0.85-0.9	829.0	0.7669	1.0885	0.3211	0.6986
v5b_ref	1	0.9-0.95	689.0	0.644	0.9071	-0.1178	0.833
v5b_ref	1	0.95-0.99	539.0	0.7123	1.0446	-0.4028	0.4803
v5b_ref	1	all	2520.0	0.7313	1.0847	0.0437	0.9625
v5b_ref	2	0.8-0.85	463.0	0.8281	1.3495	0.3217	0.3959
v5b_ref	2	0.85-0.9	829.0	0.7669	1.0885	0.3211	0.6986
v5b_ref	2	0.9-0.95	689.0	0.644	0.9071	-0.1178	0.833
v5b_ref	2	0.95-0.99	539.0	0.7123	1.0446	-0.4028	0.4803
v5b_ref	2	all	2520.0	0.7328	1.0875	0.0464	0.9623
v5b_ref	3	0.8-0.85	463.0	0.8196	1.3369	0.3074	0.4024
v5b_ref	3	0.85-0.9	829.0	0.7669	1.0885	0.3211	0.6986
v5b_ref	3	0.9-0.95	689.0	0.644	0.9071	-0.1178	0.833
v5b_ref	3	0.95-0.99	539.0	0.7123	1.0446	-0.4028	0.4803
v5b_ref	3	all	2520.0	0.7313	1.0847	0.0437	0.9625
v5b_ref	4	0.8-0.85	463.0	0.8281	1.3495	0.3217	0.3959
v5b_ref	4	0.85-0.9	829.0	0.7669	1.0885	0.3211	0.6986
v5b_ref	4	0.9-0.95	689.0	0.644	0.9071	-0.1178	0.833
v5b_ref	4	0.95-0.99	539.0	0.7123	1.0446	-0.4028	0.4803
v5b_ref	4	all	2520.0	0.7328	1.0875	0.0464	0.9623
v6a_gated9	0	0.8-0.85	463.0	0.7484	1.1011	0.0034	0.5173
v6a_gated9	0	0.85-0.9	829.0	0.8403	1.18	0.2981	0.6606
v6a_gated9	0	0.9-0.95	689.0	0.6117	0.8827	-0.0386	0.8503
v6a_gated9	0	0.95-0.99	2153.0	0.7439	1.0232	-0.5309	0.8587
v6a_gated9	0	all	4134.0	0.7417	1.0441	-0.2228	0.9803
v6a_gated9	1	0.8-0.85	463.0	0.7498	1.1013	-0.0052	0.5198
v6a_gated9	1	0.85-0.9	829.0	0.8403	1.1801	0.2983	0.6606
v6a_gated9	1	0.9-0.95	689.0	0.6134	0.8854	-0.0523	0.8512
v6a_gated9	1	0.95-0.99	2153.0	0.7305	0.9966	-0.4373	0.8533
v6a_gated9	1	all	4134.0	0.7352	1.031	-0.1772	0.9802
v6a_gated9	2	0.8-0.85	463.0	0.7485	1.1011	0.0026	0.5175
v6a_gated9	2	0.85-0.9	829.0	0.8407	1.1805	0.301	0.6608
v6a_gated9	2	0.9-0.95	689.0	0.6117	0.8827	-0.0386	0.8503
v6a_gated9	2	0.95-0.99	2153.0	0.7439	1.0232	-0.5309	0.8587
v6a_gated9	2	all	4134.0	0.7418	1.0442	-0.2223	0.9803
v6a_gated9	3	0.8-0.85	463.0	0.7498	1.1013	-0.0052	0.5198
v6a_gated9	3	0.85-0.9	829.0	0.8407	1.1805	0.301	0.6608
v6a_gated9	3	0.9-0.95	689.0	0.6117	0.8827	-0.0386	0.8503
v6a_gated9	3	0.95-0.99	2153.0	0.7439	1.0232	-0.5309	0.8587
v6a_gated9	3	all	4134.0	0.7419	1.0442	-0.2231	0.9803
v6a_gated9	4	0.8-0.85	463.0	0.7498	1.1013	-0.0052	0.5198
v6a_gated9	4	0.85-0.9	829.0	0.8407	1.1805	0.301	0.6608
v6a_gated9	4	0.9-0.95	689.0	0.6117	0.8827	-0.0386	0.8503
v6a_gated9	4	0.95-0.99	2153.0	0.7439	1.0232	-0.5309	0.8587
v6a_gated9	4	all	4134.0	0.7419	1.0442	-0.2231	0.9803
v6b_gated9+gate	0	0.8-0.85	463.0	0.7625	1.1136	-0.0255	0.5147
v6b_gated9+gate	0	0.85-0.9	829.0	0.8448	1.1852	0.2999	0.6583
v6b_gated9+gate	0	0.9-0.95	689.0	0.6115	0.8825	-0.038	0.8504
v6b_gated9+gate	0	0.95-0.99	2153.0	0.7482	1.0294	-0.5465	0.8588
v6b_gated9+gate	0	all	4134.0	0.7464	1.0499	-0.2337	0.9802
v6b_gated9+gate	1	0.8-0.85	463.0	0.7647	1.1142	-0.0343	0.5173
v6b_gated9+gate	1	0.85-0.9	829.0	0.8448	1.1853	0.3001	0.6583
v6b_gated9+gate	1	0.9-0.95	689.0	0.6128	0.8846	-0.0507	0.8514
v6b_gated9+gate	1	0.95-0.99	2153.0	0.7314	0.9993	-0.4518	0.8537
v6b_gated9+gate	1	all	4134.0	0.7381	1.035	-0.1874	0.9801
v6b_gated9+gate	2	0.8-0.85	463.0	0.7627	1.1137	-0.0263	0.515
v6b_gated9+gate	2	0.85-0.9	829.0	0.8453	1.1859	0.3027	0.6584
v6b_gated9+gate	2	0.9-0.95	689.0	0.6115	0.8825	-0.038	0.8504
v6b_gated9+gate	2	0.95-0.99	2153.0	0.7482	1.0294	-0.5465	0.8588
v6b_gated9+gate	2	all	4134.0	0.7465	1.05	-0.2332	0.9802
v6b_gated9+gate	3	0.8-0.85	463.0	0.7647	1.1142	-0.0343	0.5173
v6b_gated9+gate	3	0.85-0.9	829.0	0.8448	1.1853	0.3001	0.6583
v6b_gated9+gate	3	0.9-0.95	689.0	0.6115	0.8825	-0.038	0.8504
v6b_gated9+gate	3	0.95-0.99	2153.0	0.7482	1.0294	-0.5465	0.8588
v6b_gated9+gate	3	all	4134.0	0.7466	1.05	-0.2346	0.9802
v6b_gated9+gate	4	0.8-0.85	463.0	0.7627	1.1137	-0.0263	0.515
v6b_gated9+gate	4	0.85-0.9	829.0	0.8453	1.1859	0.3027	0.6584
v6b_gated9+gate	4	0.9-0.95	689.0	0.6115	0.8825	-0.038	0.8504
v6b_gated9+gate	4	0.95-0.99	2153.0	0.7482	1.0294	-0.5465	0.8588
v6b_gated9+gate	4	all	4134.0	0.7465	1.05	-0.2332	0.9802
raw_gated	mean	0.8-0.85	463.0	2.952	3.5883	2.7821	0.2339
raw_gated	mean	0.85-0.9	829.0	2.8083	3.3591	2.6901	0.3398
raw_gated	mean	0.9-0.95	689.0	1.4677	1.8192	1.2739	0.6891
raw_gated	mean	0.95-0.99	2153.0	0.3857	0.5723	0.2996	0.9531
raw_gated	mean	all	4134.0	1.3392	2.104	1.2194	0.9499
v5b_ref	mean	0.8-0.85	463.0	0.823	1.3419	0.3131	0.3998
v5b_ref	mean	0.85-0.9	829.0	0.7669	1.0885	0.3211	0.6986
v5b_ref	mean	0.9-0.95	689.0	0.644	0.9071	-0.1178	0.833
v5b_ref	mean	0.95-0.99	539.0	0.7123	1.0446	-0.4028	0.4803
v5b_ref	mean	all	2520.0	0.7319	1.0858	0.0448	0.9624
v6a_gated9	mean	0.8-0.85	463.0	0.7492	1.1012	-0.0019	0.5189
v6a_gated9	mean	0.85-0.9	829.0	0.8405	1.1803	0.2999	0.6607
v6a_gated9	mean	0.9-0.95	689.0	0.612	0.8832	-0.0413	0.8505
v6a_gated9	mean	0.95-0.99	2153.0	0.7412	1.0179	-0.5122	0.8576
v6a_gated9	mean	all	4134.0	0.7405	1.0416	-0.2137	0.9803
v6b_gated9+gate	mean	0.8-0.85	463.0	0.7635	1.1139	-0.0293	0.5159
v6b_gated9+gate	mean	0.85-0.9	829.0	0.845	1.1855	0.3011	0.6583
v6b_gated9+gate	mean	0.9-0.95	689.0	0.6118	0.8829	-0.0406	0.8506
v6b_gated9+gate	mean	0.95-0.99	2153.0	0.7448	1.0234	-0.5276	0.8578
v6b_gated9+gate	mean	all	4134.0	0.7448	1.047	-0.2244	0.9802
