query	reference	sv_type	q_contig	q_start	q_end	r_contig	r_start	r_end	size	support_left	support_right
FSCREG6M5-3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSCREG6M5-3_ctg_contig1	931	196092	FSHHK16M1_ctg_contig4	5898	201964	195161	0	25
FSCREG6M5-3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FSCREG6M5-3_ctg_contig1	98385	98988	FSHHK16M1_ctg_contig4	103030	104740	1107	212	188
FSCREG6M5-3_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FSCREG6M5-3_ctg_contig1	195920	198624	FSHHK16M1_ctg_contig9	40320	40320	2704	400	25
FSCREG6M5-3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSCREG6M5-3_ctg_contig1	198467	209365	FSHHK16M1_ctg_contig9	29577	40479	10898	400	41
FSCREG6M5-3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FSCREG6M5-3_ctg_contig1	209208	215701	FSHHK16M1_ctg_contig9	16738	29736	6505	25	41
FSCREG6M5-3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSCREG6M5-3_ctg_contig1	215559	232241	FSHHK16M1_ctg_contig9	223	16880	16682	25	123
FSCREG6M5-3_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FSCREG6M5-3_ctg_contig1	232099	233134	FSHHK16M1_ctg_contig8	75607	75607	1035	41	123
FSCREG6M5-3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSCREG6M5-3_ctg_contig1	232986	293493	FSHHK16M1_ctg_contig8	11021	75753	60507	41	211
FSCREG6M5-3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FSCREG6M5-3_ctg_contig1	270269	275079	FSHHK16M1_ctg_contig8	29433	37451	3208	82	41
FSCREG6M5-3_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FSCREG6M5-3_ctg_contig1	293345	295999	FSHHK16M1_ctg_contig6	183012	183012	2654	123	211
FSCREG6M5-3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSCREG6M5-3_ctg_contig1	295826	403372	FSHHK16M1_ctg_contig6	74360	183185	107546	123	0
FSCREG6M5-3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FSCREG6M5-3_ctg_contig1	299893	300867	FSHHK16M1_ctg_contig6	176884	179127	1269	15	196
FSCREG6M5-3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSCREG6M5-3_ctg_contig2	771	39871	FSHHK16M1_ctg_contig6	33889	72913	39100	0	71
FSCREG6M5-3_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FSCREG6M5-3_ctg_contig2	39715	47598	FSHHK16M1_ctg_contig6	32665	34045	6503	95	71
FSCREG6M5-3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSCREG6M5-3_ctg_contig2	47457	80496	FSHHK16M1_ctg_contig6	0	32809	33039	95	40
FSCREG6M5-3_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FSCREG6M5-3_ctg_contig2	80355	81902	FSHHK16M1_ctg_contig13	3242	3242	1547	71	40
FSCREG6M5-3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FSCREG6M5-3_ctg_contig2	87321	87806	FSHHK16M1_ctg_contig13	8659	11105	1961	13	27
FSCREG6M5-3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSCREG6M5-3_ctg_contig4	0	37042	FSHHK16M1_ctg_contig1	872638	909799	37042	0	17
FSCREG6M5-3_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FSCREG6M5-3_ctg_contig4	36871	45682	FSHHK16M1_ctg_contig1	866013	872809	2015	78	17
FSCREG6M5-3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSCREG6M5-3_ctg_contig4	45492	55561	FSHHK16M1_ctg_contig1	857875	866205	10069	78	109
FSCREG6M5-3_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FSCREG6M5-3_ctg_contig4	53247	55260	FSHHK16M1_ctg_contig1	858178	858657	1534	15	2
FSCREG6M5-3_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FSCREG6M5-3_ctg_contig4	55371	69473	FSHHK16M1_ctg_contig1	856429	858067	12464	17	109
FSCREG6M5-3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSCREG6M5-3_ctg_contig4	69292	131020	FSHHK16M1_ctg_contig1	794877	856610	61728	17	201
FSCREG6M5-3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSCREG6M5-3_ctg_contig4	134771	244781	FSHHK16M1_ctg_contig1	678313	787036	110010	109	413
FSCREG6M5-3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FSCREG6M5-3_ctg_contig4	244607	247255	FSHHK16M1_ctg_contig1	586722	678487	89117	201	413
FSCREG6M5-3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSCREG6M5-3_ctg_contig4	247100	437223	FSHHK16M1_ctg_contig1	391327	586875	190123	201	0
FSCREG6M5-3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FSCREG6M5-3_ctg_contig4	324824	325909	FSHHK16M1_ctg_contig1	501623	509026	6318	165	248
FSCREG6M5-3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSCREG6M5-3_ctg_contig5	0	4380	FSHHK16M1_ctg_contig1	387116	391628	4380	0	0
FSCREG6M5-3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSCREG6M5-3_ctg_contig6	7150	19219	FSHHK16M1_ctg_contig3	93421	105483	12069	0	172
FSCREG6M5-3_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FSCREG6M5-3_ctg_contig6	19000	27105	FSHHK16M1_ctg_contig3	88104	93637	2572	21	172
FSCREG6M5-3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSCREG6M5-3_ctg_contig6	26957	109824	FSHHK16M1_ctg_contig3	644	88252	82867	21	151
FSCREG6M5-3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FSCREG6M5-3_ctg_contig6	45670	46858	FSHHK16M1_ctg_contig3	65141	69987	3658	34	138
FSCREG6M5-3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FSCREG6M5-3_ctg_contig6	77887	79799	FSHHK16M1_ctg_contig3	30678	34107	1517	110	62
FSCREG6M5-3_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FSCREG6M5-3_ctg_contig6	109676	110586	FSHHK16M1_ctg_contig2	233027	233027	910	172	151
FSCREG6M5-3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSCREG6M5-3_ctg_contig6	110402	184553	FSHHK16M1_ctg_contig2	141781	233175	74151	172	0
FSCREG6M5-3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FSCREG6M5-3_ctg_contig6	140744	143593	FSHHK16M1_ctg_contig2	182455	202852	17548	65	86
FSCREG6M5-3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSCREG6M5-3_ctg_contig7	1416	80633	FSHHK16M1_ctg_contig2	61816	140018	79217	0	0
FSCREG6M5-3_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FSCREG6M5-3_ctg_contig7	54661	56194	FSHHK16M1_ctg_contig2	86408	86610	1331	109	54
FSCREG6M5-3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSCREG6M5-3_ctg_contig8	15	62173	FSHHK16M1_ctg_contig2	181	62165	62158	0	7
FSCREG6M5-3_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FSCREG6M5-3_ctg_contig8	61992	68055	FSHHK16M1_ctg_contig11	87602	87602	6063	119	7
FSCREG6M5-3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSCREG6M5-3_ctg_contig8	67671	72792	FSHHK16M1_ctg_contig11	82748	87864	5121	119	0
FSCREG6M5-3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSCREG6M5-3_ctg_contig9	98	12424	FSHHK16M1_ctg_contig11	69211	82870	12326	0	0
FSCREG6M5-3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FSCREG6M5-3_ctg_contig9	4662	5499	FSHHK16M1_ctg_contig11	76113	78285	1335	16	11
FSCREG6M5-3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSCREG6M5-3_ctg_contig10	84	30178	FSHHK16M1_ctg_contig11	35513	65425	30094	0	76
