nucleotide_acc	strain	assigned_lineage	ref_sakai_ani	ref_9000_ani	ref_tw14359_ani	ref_180_ani	ref_sakai_breakpoints	ref_9000_breakpoints	ref_tw14359_breakpoints	ref_180_breakpoints	ref_sakai_anchor_adjacency	ref_9000_anchor_adjacency	ref_tw14359_anchor_adjacency	ref_180_anchor_adjacency
CP008957	EDL933	Ia	99.9872	99.9567	99.9302	99.9339	612	507	553	408	0.9935	0.9907	0.9913	0.9921
CP010304	SS52	I/II	99.9296	99.943	99.9864	99.9259	398	478	440	394	0.9918	0.9913	0.9935	0.9929
CP015831	644-PT8	II	99.9384	99.9192	99.9346	99.993	683	351	625	729	0.9922	0.9934	0.9938	0.9945
CP015832	180-PT54	II	99.9314	99.9378	99.9352		378	418	382		0.9923	0.9929	0.9932	
CP018237	155	Ia	99.9696	99.9659	99.9456	99.9444	449	589	454	409	0.9928	0.9897	0.9914	0.9922
CP018239	272	I/II	99.953	99.9578	99.9604	99.9328	335	437	315	287	0.9937	0.9912	0.9942	0.9939
CP018241	319	II	99.9573	99.9576	99.9536	99.9817	298	335	309	335	0.9939	0.9931	0.9934	0.994
CP018243	350	II	99.9468	99.9503	99.9518	99.9718	325	376	337	350	0.9929	0.9931	0.9932	0.9949
CP018245	472	II	99.9328	99.9473	99.9297	99.9312	408	449	378	326	0.9927	0.9918	0.9927	0.9941
CP018247	7784	II	99.9396	99.9457	99.943	99.9358	339	376	314	295	0.9934	0.9926	0.9936	0.9941
CP018250	10671	II	99.9587	99.9612	99.9416	99.928	355	427	381	326	0.993	0.9921	0.9931	0.994
CP018252	9000	Ic	99.9572		99.9434	99.9378	470		501	418	0.992		0.9915	0.9929
CP038282	F8492	II	99.9414	99.9579	99.9475	99.9337	369	421	415	368	0.9931	0.9924	0.9927	0.9938
CP038284	YB14-1	II	99.9331	99.9456	99.9325	99.9418	431	521	395	405	0.9917	0.9909	0.9926	0.9928
CP038290	TX 265-1	II	99.9296	99.9462	99.9103	99.9301	284	340	278	255	0.9932	0.9921	0.9938	0.9946
CP038292	TB21-1	II	99.9357	99.9459	99.9299	99.9343	405	453	384	386	0.992	0.9916	0.9924	0.9926
CP038300	SS TX 754-1	I/II	99.9386	99.9479	99.9326	99.9361	448	549	438	454	0.9918	0.991	0.9921	0.9917
CP038302	SS TX 313-1	II	99.9344	99.9441	99.9353	99.9368	456	551	450	469	0.9915	0.9907	0.9918	0.9918
CP038309	Show KS 470-1	II	99.9288	99.9436	99.9363	99.939	381	437	333	355	0.9926	0.9918	0.994	0.994
CP038319	NE122	I/II	99.9435	99.9464	99.9657	99.9294	365	467	390	343	0.9925	0.991	0.9928	0.9928
CP038333	N8B7-2	II	99.9149	99.9446	99.9299	99.9401	448	465	403	377	0.9921	0.9916	0.9924	0.9933
CP038339	H6437	I/II	99.9589	99.9517	99.9661	99.9408	337	397	341	318	0.9937	0.9921	0.9939	0.9938
CP038342	H2495	Ia	99.995	99.9441	99.9316	99.9101	425	434	354	330	0.9943	0.9916	0.9923	0.9927
CP038344	Gim1-1	II	99.9291	99.9225	99.9261	99.9244	292	331	309	293	0.9934	0.9924	0.9927	0.9935
CP038346	G5295	Ia	99.9588	99.9687	99.9459	99.933	446	577	462	431	0.9928	0.9914	0.9924	0.9925
CP038349	F8952	Ia	99.9863	99.9471	99.937	99.9237	335	362	316	280	0.9946	0.9923	0.9928	0.9938
CP038351	F8798	Ia	99.975	99.938	99.9302	99.922	499	554	478	439	0.9927	0.9911	0.9918	0.9921
CP038353	F8797	I/II	99.9343	99.9371	99.9914	99.9073	378	460	407	362	0.9925	0.9915	0.9939	0.9934
CP038355	F8092B	II	99.932	99.9409	99.9274	99.9266	395	443	358	380	0.9923	0.9917	0.9925	0.9926
CP038357	F7508	Ia	99.9827	99.9397	99.9288	99.9125	471	490	406	396	0.9936	0.9909	0.9918	0.9922
CP038360	F7386	I/II	99.937	99.9284	99.9775	99.9166	325	394	319	304	0.9934	0.9918	0.9943	0.9937
CP038366	F6667	II	99.9361	99.9452	99.934	99.9301	352	394	376	345	0.9936	0.9931	0.9931	0.9944
CP038372	F6294	Ia	99.9922	99.9408	99.9228	99.9132	499	604	523	408	0.9936	0.9905	0.9914	0.9926
CP038402	BB24-1	II	99.9373	99.9512	99.9284	99.9388	391	453	390	401	0.9917	0.9913	0.9925	0.9932
CP038414	17B6-2	I/II	99.9558	99.9644	99.9527	99.9339	460	566	435	468	0.9928	0.9917	0.993	0.9927
CP038416	3-5-1	I/II	99.9569	99.9524	99.9649	99.9416	355	415	359	318	0.9936	0.992	0.9938	0.9937
CP039834	MB41-1	Ia	99.9567	99.9677	99.9417	99.9304	379	451	375	390	0.9934	0.9926	0.9931	0.9934
CP062700	Z1835	II	99.93	99.9426	99.9264	99.9154	370	408	366	335	0.9926	0.9921	0.9922	0.9936
CP062702	Z1834	II	99.9525	99.9573	99.9498	99.974	331	380	381	429	0.9928	0.993	0.9929	0.9941
CP062705	Z1833	II	99.9545	99.9908	99.9384	99.9276	473	592	478	426	0.9921	0.9922	0.9922	0.9929
CP062708	Z1832	II	99.9552	99.9908	99.9391	99.9276	473	592	478	426	0.9921	0.9922	0.9922	0.9929
CP062711	Z1831	II	99.9552	99.9908	99.9391	99.9276	473	592	478	426	0.9921	0.9922	0.9922	0.9929
CP062713	Z1830	II	99.9545	99.9903	99.9384	99.9276	473	592	478	426	0.9921	0.9922	0.9922	0.9929
CP062715	Z1826	II	99.9513	99.9968	99.9427	99.937	475	595	493	432	0.9917	0.9921	0.9916	0.9925
CP062717	Z1825	II	99.9522	99.9973	99.9423	99.9373	472	593	489	430	0.9919	0.9922	0.9917	0.9927
CP062719	Z1816	II	99.9504	99.9918	99.9415	99.9271	429	560	451	418	0.9925	0.9922	0.9926	0.9929
CP062721	Z1815	II	99.9485	99.9912	99.9396	99.9259	429	564	455	418	0.9925	0.992	0.9924	0.9929
CP062723	Z1814	Ic	99.9546	99.9955	99.9412	99.9376	471	597	489	443	0.992	0.9922	0.9917	0.9922
CP062725	Z1813	II	99.9498	99.9973	99.9419	99.9377	469	587	489	421	0.992	0.9926	0.9922	0.9931
CP062727	Z1812	II	99.9567	99.9964	99.9455	99.9285	457	599	478	431	0.9925	0.9919	0.9924	0.993
CP062729	Z1811	II	99.9574	99.9964	99.9441	99.9378	469	598	488	430	0.992	0.9922	0.9917	0.9927
CP062731	Z1768	II	99.956	99.9995	99.9428	99.9378	471	592	489	430	0.992	0.9924	0.9917	0.9927
CP062733	Z1767	II	99.9564	99.9995	99.9441	99.9378	469	598	490	431	0.992	0.9922	0.9917	0.9927
CP062736	Z1766	II	99.9561	99.9995	99.9428	99.9378	471	592	489	430	0.992	0.9924	0.9917	0.9927
CP062739	Z1723	II	99.9563	99.9999	99.9441	99.9378	912	1034	888	860	0.9914	0.9918	0.9915	0.9921
CP062742	Z1626	II	99.9559	99.995	99.9433	99.9298	456	596	479	429	0.9925	0.9919	0.9923	0.993
CP062744	Z1615	II	99.9572	99.9999	99.9434	99.9378	461	596	488	430	0.9921	0.9922	0.9917	0.9927
CP062746	Z1504	II	99.9581	99.9982	99.9434	99.9386	460	597	488	430	0.9921	0.9921	0.9917	0.9927
CP062749	Z1486	II	99.9543	99.9941	99.9446	99.9359	426	527	452	414	0.9925	0.993	0.9926	0.9931
CP062752	Z910	II	99.9538	99.9941	99.9405	99.9365	472	594	490	431	0.9918	0.9921	0.9916	0.9925
CP062755	Z903	II	99.9559	99.9932	99.9457	99.9236	476	605	487	426	0.9923	0.9918	0.9922	0.9931
CP062758	Z892	II	99.9551	99.9909	99.9429	99.9223	457	602	483	429	0.9925	0.9918	0.9922	0.993
CP062761	Z887	II	99.9566	99.9927	99.9481	99.9293	463	606	483	448	0.9923	0.9915	0.9921	0.9924
CP062763	Z885	II	99.9547	99.9944	99.9427	99.9242	475	602	480	440	0.992	0.9915	0.9921	0.9925
CP062766	Z866	II	99.9569	99.9941	99.9431	99.9369	460	593	482	427	0.9923	0.9926	0.9923	0.9931
CP062769	Z852	II	99.9456	99.995	99.9419	99.9335	374	471	370	327	0.9926	0.9926	0.9935	0.9939
CP062771	Z570	II	99.952	99.9945	99.9438	99.9332	452	583	455	429	0.9924	0.9921	0.9928	0.993
