pairid	ani_gated	breakpoint_count	synteny_score	dnadiff_blocks	dnadiff_breakpoints	dnadiff_large_indels	dnadiff_synteny_score	dnadiff_blocks_min10000	dnadiff_breakpoints_min10000	dnadiff_large_indels_min10000	dnadiff_blocks_min5000	dnadiff_breakpoints_min5000	dnadiff_large_indels_min5000	mm2_blocks	mm2_breakpoints	mm2_large_indels	mm2_synteny_score	mm2_status
GCF_007896895.1__GCF_001280015.1	90.3971	40	0.9806	2007	1441	1001	0.281655034895314	2007	1330	760	2007	1384	875	815	627	389	0.22973	ok
GCA_900549215.1__GCA_905210085.1	95.0792	23	0.9875	473	347	204	0.2648305084745762	473	273	52	473	295	111	341	277	160	0.185294	ok
GCA_003252055.1__GCF_004319545.1	91.035	0	1.0	942	411	669	0.563230605738576	942	299	121	942	338	307	664	485	317	0.268477	ok
GCF_001308195.1__GCF_001308205.1	89.8695	0	1.0	129	63	104	0.5078125	129	53	71	129	59	84	50	28	41	0.428571	ok
GCF_003667505.1__GCF_900091585.1	88.2412	2	0.9973	1435	247	1034	0.8277545327754533	1435	217	183	1435	228	416	495	359	258	0.273279	ok
GCA_902581585.1__GCA_902536975.1	94.9856	8	0.9403	92	57	55	0.3736263736263736	92	55	46	92	55	48	64	55	38	0.126984	ok
GCF_003612165.1__GCF_003611695.1	94.9507	142	0.9802	1977	1465	903	0.2586032388663968	1977	1260	525	1977	1360	714	1146	946	541	0.173799	ok
GCF_003046405.1__GCF_900142705.1	90.7756	22	0.9853	625	412	276	0.3397435897435897	625	396	194	625	405	216	95	70	52	0.255319	ok
GCA_902618245.1__GCA_902561795.1	95.4483	18	0.9712	117	79	71	0.3189655172413793	117	74	56	117	77	62	67	56	30	0.151515	ok
GCF_002817655.1__GCF_000007205.1	86.384	1	0.9964	137	6	136	0.9558823529411764	137	6	91	137	6	125	11	4	9	0.6	ok
GCA_902606075.1__GCA_902599575.1	91.0356	0	1.0	64	46	38	0.2698412698412699	64	40	22	64	44	30	44	31	25	0.27907	ok
GCA_900541855.1__GCA_905215835.1	95.9039	141	0.9419	418	319	202	0.2350119904076738	418	298	164	418	305	181	308	282	141	0.081433	ok
GCF_004353825.1__GCF_009708215.1	88.2187	21	0.9906	1202	65	830	0.945878434637802	1202	61	179	1202	64	466	79	48	56	0.384615	ok
GCF_002096675.1__GCA_905221105.1	89.0176	26	0.9397	413	250	225	0.3932038834951457	413	249	170	413	249	195	103	71	69	0.303922	ok
GCA_002728335.1__GCA_902609025.1	92.9421	0	1.0	96	60	57	0.368421052631579	96	52	33	96	54	44	59	47	32	0.189655	ok
GCF_900109045.1__GCA_017744695.1	84.8298	13	0.9908	1151	653	745	0.4321739130434783	1151	634	617	1151	643	679	166	115	108	0.30303	ok
GCF_001677335.1__GCF_900143235.1	84.5052	31	0.9555	805	598	377	0.2562189054726368	805	595	357	805	597	367	106	79	62	0.247619	ok
GCF_009849585.1__GCF_001956215.1	91.3191	29	0.9803	812	573	396	0.2934648581997534	812	560	349	812	569	369	293	198	146	0.321918	ok
GCF_003863365.1__GCF_008520305.1	87.3693	48	0.9711	1629	1206	800	0.2592137592137592	1629	1176	726	1629	1199	765	513	390	261	0.238281	ok
GCF_000955725.1__GCF_000166775.1	88.802	16	0.9778	328	47	312	0.8562691131498471	328	43	171	328	44	239	44	18	36	0.581395	ok
GCF_012932745.1__GCA_000017645.1	88.0523	92	0.9198	1557	253	1176	0.8374035989717223	1557	252	183	1557	252	362	426	305	270	0.282353	ok
GCF_900110955.1__GCF_001701025.1	88.6989	59	0.9847	1910	320	1323	0.8323729701414353	1910	313	330	1910	316	698	510	369	279	0.275049	ok
GCF_001692445.1__GCF_015142735.1	90.3143	33	0.9854	1306	921	656	0.2942528735632184	1306	858	515	1306	895	581	257	204	127	0.203125	ok
GCF_004519405.1__GCF_004682045.1	89.1505	83	0.9641	1151	830	573	0.2782608695652173	1151	821	552	1151	827	559	366	268	208	0.265753	ok
GCF_001042475.2__GCF_000011645.1	83.2544	5	0.9889	705	99	563	0.859375	705	92	179	705	94	351	196	140	111	0.282051	ok
GCF_011516885.1__GCF_000964225.1	84.511	6	0.9871	527	400	243	0.2395437262357415	527	372	190	527	381	207	113	91	43	0.1875	ok
GCF_001072375.1__GCA_905221215.1	90.4182	1	0.988	420	291	196	0.3054892601431981	420	267	111	420	278	141	334	246	175	0.261261	ok
GCF_000374025.1__GCF_002056795.1	85.4533	25	0.9706	1469	105	1027	0.9284741144414168	1469	101	269	1469	102	585	195	118	122	0.391753	ok
GCF_013410355.1__GCF_000421565.1	87.4927	55	0.9733	910	610	441	0.3289328932893289	910	609	364	910	609	391	197	82	178	0.581633	ok
GCF_000308295.2__GCA_017308595.1	85.4578	30	0.9761	1078	638	685	0.4076137418755803	1078	637	534	1078	637	592	100	63	75	0.363636	ok
GCF_005844325.1__GCA_905215755.1	95.1833	58	0.9787	299	222	142	0.2550335570469798	299	204	101	299	211	120	194	150	104	0.222798	ok
GCF_002920615.1__GCF_003074055.1	86.0247	16	0.9893	2009	279	1652	0.8610557768924303	2009	268	268	2009	274	705	471	346	260	0.26383	ok
GCF_001590925.1__GCF_000422085.1	87.1685	18	0.9878	805	78	609	0.9029850746268656	805	71	257	805	73	443	156	102	93	0.341935	ok
GCF_002204185.1__GCF_017357245.1	91.5262	32	0.9938	1002	248	559	0.7522477522477522	1002	233	277	1002	241	377	164	119	77	0.269939	ok
GCF_004362445.1__GCF_000745735.1	84.8891	19	0.9863	1135	717	585	0.3677248677248677	1135	716	424	1135	716	480	234	156	176	0.330472	ok
GCF_900624995.1__GCF_014207255.1	89.734	14	0.9944	1065	586	612	0.4492481203007519	1065	532	367	1065	559	468	545	386	316	0.290441	ok
GCA_900549755.1__GCA_905193585.1	96.2408	20	0.9652	498	369	220	0.2575452716297787	498	310	115	498	337	164	504	400	212	0.204771	ok
GCF_013372625.1__GCF_001552195.1	93.3189	23	0.9947	1767	1217	837	0.3108720271800679	1767	1012	361	1767	1103	572	962	746	461	0.223725	ok
GCF_000955745.1__GCF_000955725.1	89.3056	14	0.9108	396	111	350	0.718987341772152	396	101	136	396	105	235	299	185	238	0.379195	ok
GCF_003857035.1__GCF_900090295.1	87.9669	1	0.9987	1654	369	1278	0.7767695099818512	1654	317	206	1654	343	503	632	455	318	0.278922	ok
GCF_000833605.1__GCF_001187595.1	94.7553	8	0.9959	303	84	220	0.7218543046357616	303	74	111	303	78	143	273	182	164	0.330882	ok
GCF_003265345.1__GCF_001701025.1	85.9786	50	0.9869	2047	294	1568	0.8563049853372434	2047	281	411	2047	288	915	561	402	319	0.282143	ok
GCF_014650435.1__GCA_000696115.1	87.8712	69	0.9637	2121	1476	1223	0.3037735849056604	2121	1467	1147	2121	1472	1171	538	383	344	0.286778	ok
GCF_000159035.1__GCF_013184985.2	86.1039	12	0.9853	742	48	529	0.9352226720647774	742	47	83	742	47	235	63	35	41	0.435484	ok
GCF_006442205.1__GCF_019091085.1	87.2454	64	0.9658	1774	1216	896	0.3141567963902989	1774	1208	818	1774	1212	832	468	330	278	0.293362	ok
GCF_009720255.1__GCF_004216665.1	89.6918	0	1.0	1120	715	522	0.3610366398570152	1120	566	84	1120	606	188	794	590	398	0.25599	ok
GCA_003522945.1__GCA_002404605.1	93.423	20	0.98	663	494	272	0.2537764350453172	663	388	71	663	429	140	306	242	147	0.206557	ok
GCF_000341065.1__GCA_002529455.1	91.8892	16	0.9921	2056	1500	904	0.2700729927007299	2056	1316	498	2056	1412	693	668	504	331	0.244378	ok
GCA_003216835.1__GCF_000759955.1	84.3063	1	0.9841	203	125	115	0.3811881188118812	203	121	91	203	124	104	66	50	40	0.230769	ok
GCF_000518185.1__GCF_002022665.1	92.4634	2	0.9968	173	20	77	0.8837209302325582	173	15	19	173	18	40	21	14	12	0.3	ok
GCA_902586885.1__GCA_902567635.1	95.1349	12	0.9685	148	109	78	0.2585034013605441	148	92	53	148	97	61	122	98	66	0.190083	ok
GCF_017599305.1__GCF_014205165.1	87.4932	35	0.977	2061	311	1456	0.8490291262135923	2061	300	293	2061	305	577	552	382	340	0.306715	ok
GCA_900540685.1__GCF_004168205.1	94.5318	19	0.9674	428	327	209	0.234192037470726	428	279	129	428	308	173	448	343	188	0.232662	ok
GCF_006175905.1__GCA_905221365.1	91.8683	25	0.973	304	168	152	0.4455445544554455	304	166	112	304	167	126	51	36	29	0.28	ok
GCF_014207905.1__GCF_017352115.1	87.8046	16	0.9518	1043	67	840	0.935700575815739	1043	67	180	1043	67	474	235	112	113	0.521368	ok
GCA_900555515.1__GCA_900751755.1	95.0245	23	0.9873	493	334	213	0.3211382113821138	493	274	53	493	294	108	408	315	202	0.226044	ok
