query	reference	label	q_domain	r_domain	q_phylum	r_phylum	q_genus	r_genus	q_species	r_species	fastani_ani	skani_ani	skani_align_frac	s2b_raw_ani	s2b_gbrt_ani	s2b_shared_tags
GCF_000020225.1	GCF_002161325.1	high	d__Bacteria	d__Bacteria	p__Verrucomicrobiota	p__Verrucomicrobiota	g__Akkermansia	g__Akkermansia	s__Akkermansia muciniphila	s__Akkermansia muciniphila	0.996572	0.997000	95.260000	0.997978	0.990035	340
GCF_000020225.1	GCA_014871965.1	high	d__Bacteria	d__Bacteria	p__Verrucomicrobiota	p__Verrucomicrobiota	g__Akkermansia	g__Akkermansia	s__Akkermansia muciniphila	s__Akkermansia muciniphila	0.974295	0.975800	85.380000	0.987870	0.976449	389
GCF_002161325.1	GCA_014871965.1	high	d__Bacteria	d__Bacteria	p__Verrucomicrobiota	p__Verrucomicrobiota	g__Akkermansia	g__Akkermansia	s__Akkermansia muciniphila	s__Akkermansia muciniphila	0.973010	0.975400	85.400000	0.987935	0.976953	316
GCF_016890425.1	GCF_002901825.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Mammaliicoccus	g__Mammaliicoccus	s__Mammaliicoccus sciuri	s__Mammaliicoccus sciuri	0.958447	0.958600	81.620000	0.982887	0.968539	126
GCF_016890425.1	GCF_016067395.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Mammaliicoccus	g__Mammaliicoccus	s__Mammaliicoccus sciuri	s__Mammaliicoccus sciuri	0.980122	0.983400	85.670000	0.994318	0.985075	176
GCF_002901825.1	GCF_016067395.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Mammaliicoccus	g__Mammaliicoccus	s__Mammaliicoccus sciuri	s__Mammaliicoccus sciuri	0.956755	0.956200	80.520000	0.975344	0.945291	109
GCF_008084125.1	GCA_002906095.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Lactiplantibacillus	g__Lactiplantibacillus	s__Lactiplantibacillus plantarum	s__Lactiplantibacillus plantarum	0.983488	0.985500	78.470000	0.995148	0.985966	541
GCF_008084125.1	GCF_001633455.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Lactiplantibacillus	g__Lactiplantibacillus	s__Lactiplantibacillus plantarum	s__Lactiplantibacillus plantarum	0.981731	0.982800	85.450000	0.992699	0.985148	672
GCF_008084125.1	GCF_014131735.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Lactiplantibacillus	g__Lactiplantibacillus	s__Lactiplantibacillus plantarum	s__Lactiplantibacillus plantarum	0.990255	0.990700	89.250000	0.997011	0.987136	481
GCF_008084125.1	GCF_003346235.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Lactiplantibacillus	g__Lactiplantibacillus	s__Lactiplantibacillus plantarum	s__Lactiplantibacillus plantarum	0.983717	0.986700	90.500000	0.993211	0.983848	626
GCA_002906095.1	GCF_001633455.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Lactiplantibacillus	g__Lactiplantibacillus	s__Lactiplantibacillus plantarum	s__Lactiplantibacillus plantarum	0.977926	0.979800	74.760000	0.992489	0.983474	545
GCA_002906095.1	GCF_014131735.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Lactiplantibacillus	g__Lactiplantibacillus	s__Lactiplantibacillus plantarum	s__Lactiplantibacillus plantarum	0.984280	0.985500	76.400000	0.995890	0.987253	441
GCA_002906095.1	GCF_003346235.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Lactiplantibacillus	g__Lactiplantibacillus	s__Lactiplantibacillus plantarum	s__Lactiplantibacillus plantarum	0.978402	0.981100	78.330000	0.991499	0.981312	522
GCF_001633455.1	GCF_014131735.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Lactiplantibacillus	g__Lactiplantibacillus	s__Lactiplantibacillus plantarum	s__Lactiplantibacillus plantarum	0.984624	0.984200	81.220000	0.992918	0.984510	706
