query	reference	ani	ani_uniform	af_query	af_reference	std_err	synteny_blocks	synteny_score	breakpoint_count	het_shape	retention	ani_from_loss	ani_from_hist	enzyme_spread	enzyme_chi2	per_enzyme	n_anchors	n_chains	n_tags	max_block_anchors	mean_block_anchors	flag	ani_gated	gate	ani_upper95	flag
wt	wt	99.9999	99.9999	0.9986	0.9986	0.49328	3	0.9986	2	inf	1.0000	99.9999	99.9999	0.0000	0.00	AlfI:100.00,AloI:100.00,BcgI:100.00,FalI:100.00	1538	3	1416	1416	478	ok	99.9999	uniform	100.0000	ok
wt	del	99.9999	99.9999	0.9768	0.9985	0.49943	4	0.9979	3	inf	1.0000	99.9999	99.9999	0.0000	0.00	AlfI:100.00,AloI:100.00,BcgI:100.00,FalI:100.00	1501	4	1381	925	349.75	ok	99.9999	uniform	100.0000	ok
wt	inv	99.9999	99.9999	0.9978	0.9979	0.49328	5	0.9972	4	inf	1.0000	99.9999	99.9999	0.0000	0.00	AlfI:100.00,AloI:100.00,BcgI:100.00,FalI:100.00	1538	5	1416	925	286.8	ok	99.9999	uniform	100.0000	ok
wt	transloc	99.9999	99.9999	0.9978	0.9985	0.49328	5	0.9972	4	inf	1.0000	99.9999	99.9999	0.0000	0.00	AlfI:100.00,AloI:100.00,BcgI:100.00,FalI:100.00	1538	5	1416	925	286.8	ok	99.9999	uniform	100.0000	ok
wt	mut1	99.0178	99.0178	0.9987	0.9987	0.05029	3	0.9985	2	inf	0.9408	99.0618	99.0039	0.5652	1.76	AlfI:99.00,AloI:99.45,BcgI:98.88,FalI:99.06	1437	3	1416	1335	450.3333333333333	ok	99.0178	uniform	99.2219	ok
wt	mut1_del	98.9507	98.9507	0.9769	0.9985	0.05290	4	0.9977	3	inf	0.9367	98.9091	98.9643	0.5106	0.88	AlfI:98.85,AloI:98.50,BcgI:99.01,FalI:98.99	1395	4	1381	861	326.25	ok	98.9507	uniform	99.0823	ok
wt	mut1_inv	98.9344	98.9344	0.9979	0.9980	0.05273	5	0.9970	4	inf	0.9357	98.8669	98.9565	0.1688	0.75	AlfI:99.01,AloI:98.87,BcgI:99.03,FalI:98.86	1426	5	1416	862	266.6	ok	98.9344	uniform	99.0408	ok
wt	mut1_transloc	99.0183	99.0183	0.9965	0.9973	0.05040	5	0.9970	4	inf	0.9408	99.0136	99.0197	0.1890	0.72	AlfI:98.89,AloI:99.06,BcgI:99.00,FalI:99.08	1441	5	1413	869	269	ok	99.0183	uniform	99.1776	ok
del	wt	99.9999	99.9999	0.9986	0.9986	0.49943	3	0.9986	2	inf	1.0000	99.9999	99.9999	0.0000	0.00	AlfI:100.00,AloI:100.00,BcgI:100.00,FalI:100.00	1501	3	1381	1381	466.3333333333333	ok	99.9999	uniform	100.0000	ok
del	del	99.9999	99.9999	0.9986	0.9986	0.49943	3	0.9986	2	inf	1.0000	99.9999	99.9999	0.0000	0.00	AlfI:100.00,AloI:100.00,BcgI:100.00,FalI:100.00	1501	3	1381	1381	466.3333333333333	ok	99.9999	uniform	100.0000	ok
