query	reference	sv_type	q_contig	q_start	q_end	r_contig	r_start	r_end	size	support_left	support_right
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	F_SD_HZ_D3_M_3_ctg_contig1	0	278561	FSHHK16M1_ctg_contig1	616880	895060	278561	0	62
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	F_SD_HZ_D3_M_3_ctg_contig1	278381	282135	FSHHK16M1_ctg_contig1	611605	617060	1701	522	62
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	F_SD_HZ_D3_M_3_ctg_contig1	281967	314921	FSHHK16M1_ctg_contig1	579848	611773	32954	522	382
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	F_SD_HZ_D3_M_3_ctg_contig1	301847	304664	FSHHK16M1_ctg_contig1	590111	591914	1014	36	26
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	F_SD_HZ_D3_M_3_ctg_contig1	314753	325466	FSHHK16M1_ctg_contig1	578025	580016	8722	62	382
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	F_SD_HZ_D3_M_3_ctg_contig1	325306	504474	FSHHK16M1_ctg_contig1	382936	578186	179168	62	0
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	F_SD_HZ_D3_M_3_ctg_contig1	336817	337670	FSHHK16M1_ctg_contig1	564528	566576	1195	22	360
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	F_SD_HZ_D3_M_3_ctg_contig1	337670	338261	FSHHK16M1_ctg_contig1	556914	564528	7023	23	359
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	F_SD_HZ_D3_M_3_ctg_contig1	389984	390338	FSHHK16M1_ctg_contig1	501752	504971	2865	139	243
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	F_SD_HZ_D3_M_3_ctg_contig1	395143	396604	FSHHK16M1_ctg_contig1	489374	496947	6112	157	225
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	F_SD_HZ_D3_M_3_ctg_contig1	492424	495270	FSHHK16M1_ctg_contig1	392596	393507	1935	366	16
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	F_SD_HZ_D3_M_3_ctg_contig2	21738	33789	FSHHK16M1_ctg_contig3	93425	105479	12051	0	70
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	F_SD_HZ_D3_M_3_ctg_contig2	33580	41685	FSHHK16M1_ctg_contig3	88104	93637	2572	22	70
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	F_SD_HZ_D3_M_3_ctg_contig2	41544	74235	FSHHK16M1_ctg_contig3	52343	88245	32691	22	96
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	F_SD_HZ_D3_M_3_ctg_contig2	60249	61437	FSHHK16M1_ctg_contig3	65141	69987	3658	35	35
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	F_SD_HZ_D3_M_3_ctg_contig2	74094	84207	FSHHK16M1_ctg_contig3	51207	52484	8836	70	96
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	F_SD_HZ_D3_M_3_ctg_contig2	84035	133614	FSHHK16M1_ctg_contig3	265	51378	49579	70	112
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	F_SD_HZ_D3_M_3_ctg_contig2	101297	103206	FSHHK16M1_ctg_contig3	30678	34107	1520	35	61
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	F_SD_HZ_D3_M_3_ctg_contig2	133442	133995	FSHHK16M1_ctg_contig2	233027	233027	553	96	112
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	F_SD_HZ_D3_M_3_ctg_contig2	133803	192445	FSHHK16M1_ctg_contig2	157047	233175	58642	96	260
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	F_SD_HZ_D3_M_3_ctg_contig2	164135	166984	FSHHK16M1_ctg_contig2	182455	202852	17548	64	48
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	F_SD_HZ_D3_M_3_ctg_contig2	192253	194871	FSHHK16M1_ctg_contig2	156440	157239	1819	112	260
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	F_SD_HZ_D3_M_3_ctg_contig2	194698	319721	FSHHK16M1_ctg_contig2	33135	156613	125023	112	56
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	F_SD_HZ_D3_M_3_ctg_contig2	206984	209374	FSHHK16M1_ctg_contig2	143264	144369	1285	31	229
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	F_SD_HZ_D3_M_3_ctg_contig2	319548	328095	FSHHK16M1_ctg_contig2	31790	33308	7029	260	56
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	F_SD_HZ_D3_M_3_ctg_contig2	327873	359825	FSHHK16M1_ctg_contig2	140	32012	31952	260	78
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	F_SD_HZ_D3_M_3_ctg_contig2	359603	361615	FSHHK16M1_ctg_contig11	87150	87150	2012	56	78
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	F_SD_HZ_D3_M_3_ctg_contig2	361462	399832	FSHHK16M1_ctg_contig11	35514	87320	38370	56	81
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	F_SD_HZ_D3_M_3_ctg_contig2	371006	371312	FSHHK16M1_ctg_contig11	76113	77754	1335	23	55
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	F_SD_HZ_D3_M_3_ctg_contig2	378069	379114	FSHHK16M1_ctg_contig11	56060	69391	12286	34	44
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	F_SD_HZ_D3_M_3_ctg_contig2	399679	404935	FSHHK16M1_ctg_contig11	35065	35684	4637	78	81
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	F_SD_HZ_D3_M_3_ctg_contig2	404805	438510	FSHHK16M1_ctg_contig11	1410	35195	33705	78	0
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	F_SD_HZ_D3_M_3_ctg_contig4	0	9740	FSHHK16M1_ctg_contig9	241	10074	9740	0	142
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	F_SD_HZ_D3_M_3_ctg_contig4	9616	10687	FSHHK16M1_ctg_contig8	75607	75607	1071	28	142
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	F_SD_HZ_D3_M_3_ctg_contig4	10555	82123	FSHHK16M1_ctg_contig8	961	75739	71568	28	379
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	F_SD_HZ_D3_M_3_ctg_contig4	48840	53689	FSHHK16M1_ctg_contig8	29394	37451	3208	83	59
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	F_SD_HZ_D3_M_3_ctg_contig4	81991	83436	FSHHK16M1_ctg_contig6	185329	185329	1445	142	379
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	F_SD_HZ_D3_M_3_ctg_contig4	83271	266539	FSHHK16M1_ctg_contig6	49	185494	183268	142	0
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	F_SD_HZ_D3_M_3_ctg_contig4	89494	90613	FSHHK16M1_ctg_contig6	176884	179270	1267	19	360
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	F_SD_HZ_D3_M_3_ctg_contig5	6809	7653	FSHHK16M1_ctg_contig9	16738	29736	12154	13	14
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	F_SD_HZ_D3_M_3_ctg_contig5	8740	9017	FSHHK16M1_ctg_contig9	30801	35554	4476	17	10
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	F_SD_HZ_D3_M_3_ctg_contig5	12860	28092	FSHHK16M1_ctg_contig4	6069	6069	15232	27	220
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	F_SD_HZ_D3_M_3_ctg_contig5	65319	67214	FSHHK16M1_ctg_contig4	43324	50886	5667	64	156
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	F_SD_HZ_D3_M_3_ctg_contig5	139692	148606	FSHHK16M1_ctg_contig4	123380	127216	5078	220	150
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	F_SD_HZ_D3_M_3_ctg_contig7	15772	17503	FSHHK16M1_ctg_contig12	15863	19047	1453	36	94
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	F_SD_HZ_D3_M_3_ctg_contig7	32762	33516	FSHHK16M1_ctg_contig12	34292	36572	1526	68	62
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	F_SD_HZ_D3_M_3_ctg_contig7	57954	76503	FSHHK16M1_ctg_contig10	96801	96801	18549	130	111
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	F_SD_HZ_D3_M_3_ctg_contig7	76311	136265	FSHHK16M1_ctg_contig10	37538	96993	59954	130	76
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	F_SD_HZ_D3_M_3_ctg_contig7	136073	138530	FSHHK16M1_ctg_contig10	36913	37730	1640	111	76
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	F_SD_HZ_D3_M_3_ctg_contig7	138361	174343	FSHHK16M1_ctg_contig10	1095	37082	35982	111	0
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	F_SD_HZ_D3_M_3_ctg_contig8	56165	151955	FSHHK16M1_ctg_contig1	100557	195935	95790	0	0
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	F_SD_HZ_D3_M_3_ctg_contig9	2927	17152	FSHHK16M1_ctg_contig7	3018	6487	10756	8	189
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	F_SD_HZ_D3_M_3_ctg_contig9	82028	82516	FSHHK16M1_ctg_contig7	71292	82568	10788	113	76
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	F_SD_HZ_D3_M_3_ctg_contig9	108881	109907	FSHHK16M1_ctg_contig7	109772	117921	7123	152	37
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	F_SD_HZ_D3_M_3_ctg_contig10	512	37270	FSHHK16M1_ctg_contig1	63260	100007	36758	0	17
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	F_SD_HZ_D3_M_3_ctg_contig10	37122	41170	FSHHK16M1_ctg_contig1	58135	63407	1224	76	17
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	F_SD_HZ_D3_M_3_ctg_contig10	40826	52129	FSHHK16M1_ctg_contig1	47172	58476	11303	76	0
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	F_SD_HZ_D3_M_3_ctg_contig11	552	46278	FSHHK16M1_ctg_contig1	177	45884	45726	0	0
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	F_SD_HZ_D3_M_3_ctg_contig12	4589	92594	FSHHK16M1_ctg_contig1	896124	985846	88005	0	0
F_SD_HZ_D3_M_3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	F_SD_HZ_D3_M_3_ctg_contig12	5545	7004	FSHHK16M1_ctg_contig1	981784	984883	1640	2	166
