pairid	anim_ani	band	n_syn2b	n_dnadiff	n_matched	n_syn2b_only	n_dnadiff_only	median_dist	max_dist	shared_tags	spacing_bp	observable_fraction	dists
GCF_000524595.1__GCF_012935295.1		unknown	5	29	5	0	24	14001	342719	10370	434	1.0000	503,8469,14001,229461,342719
GCF_000524595.1__GCF_013343475.1		unknown	2	21	2	0	19	145666	211395	10425	432	1.0000	79938,211395
GCF_000524595.1__GCF_013343575.1		unknown	5	31	5	0	26	9413	159725	10418	432	1.0000	95,8391,9413,14838,159725
GCF_000524595.1__GCF_014854655.1		unknown	1	39	1	0	38	85691	85691	10206	441	1.0000	85691
GCF_000524595.1__GCF_015697665.1		unknown	8	43	8	0	35	7008	78448	10205	441	1.0000	94,200,405,2132,11883,17321,22502,78448
GCF_000524595.1__GCF_900149285.1		unknown	3	24	3	0	21	61066	85589	10485	429	1.0000	141,61066,85589
GCF_000524595.1__GCF_902172305.2		unknown	3	31	3	0	28	23513	204944	10486	429	1.0000	721,23513,204944
GCF_000524595.1__GCF_902703185.1		unknown	3	28	3	0	25	8391	159714	10459	430	1.0000	95,8391,159714
GCF_000981825.1__GCF_001077475.1		unknown	5	52	5	0	47	939	49251	10178	442	1.0000	204,428,939,6771,49251
GCF_000981825.1__GCF_003319235.1		unknown	11	50	11	0	39	5359	423885	10453	430	1.0000	161,802,1335,2513,3047,5359,26260,37813,49628,62744,423885
GCF_000981825.1__GCF_006364735.1		unknown	5	40	5	0	35	2628	170808	10126	444	1.0000	128,758,2628,26261,170808
GCF_000981825.1__GCF_018141625.1		unknown	11	63	11	0	52	19157	139993	10073	447	1.0000	128,1344,3443,6061,8848,19157,23712,26316,67872,111547,139993
GCF_001045685.1__GCF_003319235.1		unknown	4	34	4	0	30	7170	53965	10258	439	1.0000	135,6122,8217,53965
GCF_001077475.1__GCF_001293085.1		unknown	8	31	8	0	23	48429	366418	10229	440	1.0000	503,975,4754,16004,80854,95300,151991,366418
GCF_001077475.1__GCF_001516305.2		unknown	3	27	3	0	24	424638	729500	10301	437	1.0000	503,424638,729500
GCF_001077475.1__GCF_001518975.1		unknown	3	39	3	0	36	18205	333543	10312	436	1.0000	503,18205,333543
GCF_001077475.1__GCF_001594325.2		unknown	4	30	4	0	26	48960	323715	10407	432	1.0000	503,40695,57224,323715
GCF_001077475.1__GCF_002411865.3		unknown	2	37	2	0	35	589	1094	10290	437	1.0000	84,1094
GCF_001077475.1__GCF_002753655.1		unknown	6	45	6	0	39	48004	637993	8566	525	1.0000	643,1204,2233,93775,329278,637993
GCF_001077475.1__GCF_002946935.1		unknown	2	37	2	0	35	1588	3058	9937	453	1.0000	119,3058
GCF_001077475.1__GCF_003369755.1		unknown	6	40	6	0	34	698	138657	10055	448	1.0000	94,119,161,1236,3058,138657
GCF_001077475.1__GCF_003429185.1		unknown	8	32	8	0	24	45230	737751	10324	436	1.0000	71,424,503,2241,88219,194841,490957,737751
GCF_001077475.1__GCF_009676885.1		unknown	3	29	3	0	26	335236	559019	10390	433	1.0000	503,335236,559019
GCF_001077475.1__GCF_009905195.1		unknown	6	22	6	0	16	105182	471917	10246	439	1.0000	503,3894,82501,127863,142112,471917
GCF_001077475.1__GCF_015697665.1		unknown	5	36	5	0	31	3058	202177	10187	442	1.0000	119,1017,3058,82340,202177
GCF_001077475.1__GCF_900618255.1		unknown	6	22	6	0	16	116158	403404	10402	433	1.0000	4620,33683,103216,129101,263772,403404
GCF_001077475.1__GCF_900618265.1		unknown	6	22	6	0	16	116160	403404	10391	433	1.0000	4620,33683,103218,129101,263781,403404
GCF_001077475.1__GCF_900618325.1		unknown	6	22	6	0	16	183518	786095	10427	432	1.0000	4620,33683,103249,263786,457623,786095
GCF_001077475.1__GCF_900618335.1		unknown	6	22	6	0	16	183500	786066	10427	432	1.0000	4620,33683,103220,263781,457594,786066
GCF_001086805.1__GCF_013375795.1		unknown	5	54	5	0	49	92618	314810	9229	488	1.0000	201,2780,92618,209094,314810
