name	true_ani	regime	param	block
x1001_gamma1.0_ani0.9_b5k	0.9000381760631775	gamma	1.0	5000
x1002_gamma0.5_ani0.9_b5k	0.9017237828255974	gamma	0.5	5000
x1003_gamma1.0_ani0.85_b5k	0.8512514509920175	gamma	1.0	5000
x1004_gamma1.5_ani0.92_b5k	0.919965779425084	gamma	1.5	5000
x1005_bimodal0.7_ani0.9_b5k	0.8999513535267185	bimodal	0.7	5000
x1006_bimodal0.6_ani0.85_b5k	0.8498717697923067	bimodal	0.6	5000
x1007_gamma1.0_ani0.9_b1k	0.899997457801662	gamma	1.0	1000
x1008_gamma1.0_ani0.9_b20k	0.9001859682716412	gamma	1.0	20000
x1009_bimodal0.7_ani0.9_b1k	0.9001965248579601	bimodal	0.7	1000
x1010_gamma0.7_ani0.95_b5k	0.9499731991971824	gamma	0.7	5000
