pairid	q_acc	r_acc	anim_ani	anim_af_ref	K_est	q_contig_count	r_contig_count	q_ncbi_assembly_level	r_ncbi_assembly_level	syn2b_shared_tags	syn2b_observable_fraction	dd_major	s2b_major	dnadiff_inverted_fraction	syn2b_raw_inverted_fraction	q_species	r_species	q_genus	q_family	q_phylum	same_species	inverted
GCA_001626545.1__GCA_001626595.1	GCA_001626545.1	GCA_001626595.1	99.47	85.88	2.0503999999998843	14.0	300.0	Scaffold	Scaffold	5252	0.9998	0.498310673370267	0.49524	0.498310673370267	0.49524	Qipengyuania sp001635685	Qipengyuania sp001635685	Qipengyuania	Sphingomonadaceae	Proteobacteria	True	True
GCF_009805845.1__GCF_009805855.1	GCF_009805845.1	GCF_009805855.1	98.4	90.75	1.9734999999998928	8.0	117.0	Contig	Contig	1947	0.9995	0.4980965496091365	0.49615	0.5019034503908635	0.49615	Spiribacter roseus	Spiribacter roseus	Spiribacter	Nitrococcaceae	Proteobacteria	True	True
GCF_000816225.1__GCF_008802005.1	GCF_000816225.1	GCF_008802005.1	99.13	94.16	2.045800000000014	1.0	36.0	Complete Genome	Contig	1162	0.9991	0.4976522655365634	0.48967	0.4976522655365634	0.48967	Campylobacter_D concheus	Campylobacter_D concheus	Campylobacter_D	Campylobacteraceae	Campylobacterota	True	True
GCF_004564155.1__GCF_900101805.1	GCF_004564155.1	GCF_900101805.1	98.7	87.4	2.1580000000000865	1.0	165.0	Complete Genome	Scaffold	1930	0.9994	0.4973670960787472	0.49223	0.4973670960787472	0.49223	Legionella_D israelensis	Legionella_D israelensis	Legionella_D	Legionellaceae	Proteobacteria	True	True
GCA_016708985.1__GCA_016718615.1	GCA_016708985.1	GCA_016718615.1	99.5	98.15	2.2379999999998637	3.0	5.0	Contig	Contig	6190	0.9998	0.4968541892634889	0.48239	0.4968541892634889	0.48239	PHOS-HE28 sp016704485	PHOS-HE28 sp016704485	PHOS-HE28	PHOS-HE28	Bacteroidota	True	True
GCA_002480685.1__GCA_003525265.1	GCA_002480685.1	GCA_003525265.1	99.94	95.43	1.0	29.0	469.0	Scaffold	Scaffold	1768	1.0	0.4963881692121806	0.48473	0.4963881692121806	0.48473	UBA852 sp002295925	UBA852 sp002295925	UBA852	Vicingaceae	Bacteroidota	True	True
GCF_000278175.1__GCF_002022705.1	GCF_000278175.1	GCF_002022705.1	99.81	97.96	1.0	38.0	76.0	Scaffold	Contig	1966	1.0	0.4958412161666698	0.49237	0.4958412161666698	0.49237	Bartonella elizabethae	Bartonella elizabethae	Bartonella	Rhizobiaceae_A	Proteobacteria	True	True
GCF_000015385.1__GCF_003203895.1	GCF_000015385.1	GCF_003203895.1	99.03	90.56	2.164800000000034	1.0	226.0	Complete Genome	Contig	1456	0.9992	0.4947116581039072	0.49382	0.5052883418960927	0.50618	Lactobacillus helveticus	Lactobacillus helveticus	Lactobacillus	Lactobacillaceae	Firmicutes	True	True
GCA_013520955.1__GCA_016106175.1	GCA_013520955.1	GCA_016106175.1	99.78	98.92	2.086000000000001	38.0	60.0	Contig	Contig	1086	0.999	0.4933153592144155	0.49079	0.4933153592144155	0.50921	BJGV01 sp014190895	BJGV01 sp014190895	BJGV01	Nitrosomonadaceae	Proteobacteria	True	True
GCF_002370195.2__GCF_014202525.1	GCF_002370195.2	GCF_014202525.1	98.65	89.35	1.0	1.0	97.0	Complete Genome	Scaffold	1797	1.0	0.4924276805360436	0.48637	0.4924276805360436	0.51363	Ureibacillus thermosphaericus	Ureibacillus thermosphaericus	Ureibacillus	Planococcaceae	Firmicutes	True	True
GCA_002772855.1__GCA_002788655.1	GCA_002772855.1	GCA_002788655.1	99.92	95.22	2.144800000000015	27.0	127.0	Scaffold	Scaffold	636	0.9982	0.4916844106949735	0.49686	0.4916844106949735	0.50314	CG2-30-36-39 sp001873435	CG2-30-36-39 sp001873435	CG2-30-36-39	PJMF01	Patescibacteria	True	True
GCF_003999335.1__GCF_008868375.1	GCF_003999335.1	GCF_008868375.1	98.0	84.92	2.1371999999998748	2.0	103.0	Complete Genome	Contig	5686	0.9998	0.4904801618204744	0.48241	0.4904801618204744	0.51759	Brevibacterium linens	Brevibacterium linens	Brevibacterium	Brevibacteriaceae	Actinobacteriota	True	True
GCA_002414585.1__GCA_002415665.1	GCA_002414585.1	GCA_002415665.1	99.98	99.03	2.8749999999997935	29.0	36.0	Scaffold	Scaffold	3750	0.9995	0.4903656082950407	0.48747	0.5096343917049593	0.51253	Gracilimonas sp002694685	Gracilimonas sp002694685	Gracilimonas	Balneolaceae	Bacteroidota	True	True
GCA_001466235.1__GCF_000728775.1	GCA_001466235.1	GCF_000728775.1	99.61	76.42	2.0304999999998863	34.0	17.0	Scaffold	Contig	2061	0.9995	0.4902873572902689	0.4818	0.4902873572902689	0.4818	Listeria monocytogenes_B	Listeria monocytogenes_B	Listeria	Listeriaceae	Firmicutes	True	True
GCF_013296705.1__GCF_900461245.1	GCF_013296705.1	GCF_900461245.1	99.74	97.43	2.035199999999886	1.0	11.0	Contig	Contig	2588	0.9996	0.4897320908263964	0.47913	0.5102679091736035	0.52087	Clostridium_AO tetanomorphum	Clostridium_AO tetanomorphum	Clostridium_AO	Clostridiaceae	Firmicutes_A	True	True
GCF_001423805.1__GCF_001423825.1	GCF_001423805.1	GCF_001423825.1	98.67	99.19	1.0	34.0	707.0	Contig	Scaffold	6599	1.0	0.4894987862206486	0.49992	0.4894987862206486	0.49992	Microbacterium ginsengisoli	Microbacterium ginsengisoli	Microbacterium	Microbacteriaceae	Actinobacteriota	True	True
GCF_000394055.1__GCF_001885825.1	GCF_000394055.1	GCF_001885825.1	99.99	99.95	2.108799999999878	24.0	59.0	Scaffold	Scaffold	2772	0.9996	0.4894887077536697	0.47727	0.4894887077536697	0.47727	Enterococcus caccae	Enterococcus caccae	Enterococcus	Enterococcaceae	Firmicutes	True	True
GCF_000394055.1__GCF_902387535.1	GCF_000394055.1	GCF_902387535.1	99.99	99.95	2.108799999999878	24.0	59.0	Scaffold	Scaffold	2772	0.9996	0.4894887077536697	0.47727	0.4894887077536697	0.47727	Enterococcus caccae	Enterococcus caccae	Enterococcus	Enterococcaceae	Firmicutes	True	True
