query	reference	sv_type	q_contig	q_start	q_end	r_contig	r_start	r_end	size	support_left	support_right
FGZ16_I1_M5_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGZ16_I1_M5_ctg_contig1	11198	50585	FSHHK16M1_ctg_contig9	238	39600	39387	0	148
FGZ16_I1_M5_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FGZ16_I1_M5_ctg_contig1	50458	51475	FSHHK16M1_ctg_contig8	75607	75607	1017	101	148
FGZ16_I1_M5_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGZ16_I1_M5_ctg_contig1	51338	122064	FSHHK16M1_ctg_contig8	956	75744	70726	101	106
FGZ16_I1_M5_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FGZ16_I1_M5_ctg_contig1	88776	93586	FSHHK16M1_ctg_contig8	29433	37451	3208	86	62
FGZ16_I1_M5_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FGZ16_I1_M5_ctg_contig1	121927	123372	FSHHK16M1_ctg_contig6	185329	185329	1445	148	106
FGZ16_I1_M5_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGZ16_I1_M5_ctg_contig1	123191	179633	FSHHK16M1_ctg_contig6	129022	185510	56442	148	0
FGZ16_I1_M5_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FGZ16_I1_M5_ctg_contig1	129583	130558	FSHHK16M1_ctg_contig6	176884	179127	1268	22	84
FGZ16_I1_M5_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FGZ16_I1_M5_ctg_contig1	165238	167614	FSHHK16M1_ctg_contig6	141153	142198	1331	86	20
FGZ16_I1_M5_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGZ16_I1_M5_ctg_contig2	141	54537	FSHHK16M1_ctg_contig6	74369	128777	54396	0	0
FGZ16_I1_M5_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FGZ16_I1_M5_ctg_contig5	36760	39167	FSHHK16M1_ctg_contig10	36968	37730	1645	75	113
FGZ16_I1_M5_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FGZ16_I1_M5_ctg_contig5	98065	120661	FSHHK16M1_ctg_contig12	60892	60892	22596	113	27
FGZ16_I1_M5_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGZ16_I1_M5_ctg_contig5	120509	131894	FSHHK16M1_ctg_contig12	49680	61047	11385	113	0
FGZ16_I1_M5_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGZ16_I1_M5_ctg_contig6	0	47565	FSHHK16M1_ctg_contig12	324	49319	47565	0	0
FGZ16_I1_M5_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FGZ16_I1_M5_ctg_contig6	30290	32021	FSHHK16M1_ctg_contig12	15863	19047	1453	73	35
FGZ16_I1_M5_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGZ16_I1_M5_ctg_contig7	111	56722	FSHHK16M1_ctg_contig3	16815	78600	56611	0	37
FGZ16_I1_M5_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FGZ16_I1_M5_ctg_contig7	8743	9931	FSHHK16M1_ctg_contig3	65141	69987	3658	17	97
FGZ16_I1_M5_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FGZ16_I1_M5_ctg_contig7	40939	42852	FSHHK16M1_ctg_contig3	30678	34107	1516	91	23
FGZ16_I1_M5_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FGZ16_I1_M5_ctg_contig7	56567	71998	FSHHK16M1_ctg_contig3	16173	16970	14634	114	37
FGZ16_I1_M5_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGZ16_I1_M5_ctg_contig7	71839	86982	FSHHK16M1_ctg_contig3	1167	16332	15143	114	65
FGZ16_I1_M5_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FGZ16_I1_M5_ctg_contig7	86823	90577	FSHHK16M1_ctg_contig2	233027	233027	3754	37	65
FGZ16_I1_M5_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGZ16_I1_M5_ctg_contig7	90403	121580	FSHHK16M1_ctg_contig2	202676	233175	31177	37	29
FGZ16_I1_M5_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FGZ16_I1_M5_ctg_contig7	121406	161676	FSHHK16M1_ctg_contig2	182455	202852	19873	65	29
FGZ16_I1_M5_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGZ16_I1_M5_ctg_contig7	161518	173087	FSHHK16M1_ctg_contig2	171048	182613	11569	65	0
FGZ16_I1_M5_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FGZ16_I1_M5_ctg_contig9	16441	18336	FSHHK16M1_ctg_contig4	43324	50886	5667	33	26
FGZ16_I1_M5_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FGZ16_I1_M5_ctg_contig9	20937	22099	FSHHK16M1_ctg_contig4	53488	60047	5397	42	17
FGZ16_I1_M5_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGZ16_I1_M5_ctg_contig11	5925	62285	FSHHK16M1_ctg_contig1	216981	273323	56360	0	44
FGZ16_I1_M5_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FGZ16_I1_M5_ctg_contig11	62131	113519	FSHHK16M1_ctg_contig1	215105	217135	49358	120	44
FGZ16_I1_M5_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGZ16_I1_M5_ctg_contig11	113338	131657	FSHHK16M1_ctg_contig1	196964	215288	18319	120	0
FGZ16_I1_M5_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGZ16_I1_M5_ctg_contig12	1336	111938	FSHHK16M1_ctg_contig1	872622	983158	110602	0	28
FGZ16_I1_M5_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FGZ16_I1_M5_ctg_contig12	111753	118419	FSHHK16M1_ctg_contig1	867815	872809	1672	225	28
FGZ16_I1_M5_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGZ16_I1_M5_ctg_contig12	118284	127713	FSHHK16M1_ctg_contig1	858522	867950	9429	225	0
FGZ16_I1_M5_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGZ16_I1_M5_ctg_contig17	108	76798	FSHHK16M1_ctg_contig2	55602	132377	76690	0	0
FGZ16_I1_M5_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGZ16_I1_M5_ctg_contig18	489	6373	FSHHK16M1_ctg_contig7	73871	79776	5884	0	113
FGZ16_I1_M5_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGZ16_I1_M5_ctg_contig18	9389	70586	FSHHK16M1_ctg_contig7	11084	71470	61197	8	0
FGZ16_I1_M5_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGZ16_I1_M5_ctg_contig19	99	27787	FSHHK16M1_ctg_contig1	168310	195913	27688	0	0
FGZ16_I1_M5_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGZ16_I1_M5_ctg_contig20	1083	36646	FSHHK16M1_ctg_contig1	131160	166639	35563	0	0
FGZ16_I1_M5_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FGZ16_I1_M5_ctg_contig21	40525	45781	FSHHK16M1_ctg_contig11	35065	35684	4637	78	4
FGZ16_I1_M5_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGZ16_I1_M5_ctg_contig28	515	31960	FSHHK16M1_ctg_contig1	68569	100019	31445	0	0
FGZ16_I1_M5_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGZ16_I1_M5_ctg_contig29	643	33259	FSHHK16M1_ctg_contig6	40304	72918	32616	0	0
FGZ16_I1_M5_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FGZ16_I1_M5_ctg_contig32	12221	13247	FSHHK16M1_ctg_contig7	109772	117921	7123	22	39
FGZ16_I1_M5_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGZ16_I1_M5_ctg_contig33	157	5005	FSHHK16M1_ctg_contig1	126208	131054	4848	0	0
FGZ16_I1_M5_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGZ16_I1_M5_ctg_contig34	1422	24426	FSHHK16M1_ctg_contig1	100519	124748	23004	0	0
FGZ16_I1_M5_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FGZ16_I1_M5_ctg_contig34	22753	23624	FSHHK16M1_ctg_contig1	101325	103406	1210	32	3
FGZ16_I1_M5_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGZ16_I1_M5_ctg_contig36	9095	14730	FSHHK16M1_ctg_contig1	572550	578265	5635	0	0
FGZ16_I1_M5_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGZ16_I1_M5_ctg_contig37	1484	12067	FSHHK16M1_ctg_contig1	560217	570796	10583	0	0
