pairid	q_acc	r_acc	band	split	anim_ani	af_tier	stratum	query	reference	ani	ani_uniform	af_query	af_reference	std_err	ani_cal	synteny_blocks	anchor_adjacency	breakpoint_count	het_shape	retention	ani_from_loss	ani_from_hist	enzyme_spread	enzyme_chi2	per_enzyme	n_anchors	n_chains	n_tags	max_block_anchors	mean_block_anchors	flag	ani_gated	gate	ani_upper95	skani_ani	skani_align_frac	fastani_ani	fastani_mapped	fastani_total
GCA_000319535.1__GCA_000319555.1	GCA_000319535.1	GCA_000319555.1	95-97	test	96.55	strict		CALC01000171.1	CALD01000249.1	98.0491	98.7029	0.9	0.9423	0.02839	98.3144	63	0.9881	62	0.365	0.9199	97.8707	99.022	0.119	0.31	AlfI:98.71,AloI:98.74,BcgI:98.71,FalI:98.62	5475	63	6101	552	82.7619	ok	98.0491	gamma	97.9725	97.6	87.76	97.9729	1368	1503
GCA_000340945.1__GCF_008638355.1	GCA_000340945.1	GCF_008638355.1	95-97	train	95.19	strict		ANAW01000001.1	NZ_VWVS01000001.1	96.2074	97.283	0.751	0.7813	0.04003	96.0416	239	0.9949	26	0.807	0.8192	96.1845	98.0889	1.0968	13.1	AlfI:97.41,AloI:96.72,BcgI:97.31,FalI:97.81	5846	239	7497	123	22.3766	ok	96.2074	gamma	96.2895	95.02	72.34	95.2078	1894	2304
GCA_000484895.1__GCA_000484935.1	GCA_000484895.1	GCA_000484935.1	95-97	train	96.13	strict		AXWH01000001.1	AXWJ01000001.1	96.7303	97.9301	0.4826	0.3223	0.18883	95.0728	15	0.9925	1	0.446	0.8695	96.8062	98.5529	1.6071	2.52	AlfI:97.72,AloI:96.85,BcgI:97.52,FalI:98.46	227	15	257	19	9.86667	ok	96.7303	gamma	97.3743	94.87	42.22	95.6969	122	187
GCA_001312785.1__GCF_001286765.1	GCA_001312785.1	GCF_001286765.1	95-97	test	96.67	strict		BBEN01000001.1	NZ_CYHO01000001.1	96.9854	97.2512	0.8586	0.8311	0.05068	96.6969	133	0.97	106	2.444	0.8212	96.8639	97.5202	0.4491	2.13	AlfI:97.34,AloI:96.91,BcgI:97.17,FalI:97.36	3694	133	4509	132	26.8045	ok	96.9854	gamma	96.9972	96.5	87.44	96.4503	1137	1307
GCA_001914055.1__GCF_001810345.1	GCA_001914055.1	GCF_001810345.1	95-97	train	95.11	strict		MKXX01000001.1	NZ_KV800989.1	94.491	95.6667	0.9754	0.972	0.10219	95.4007	14	0.9976	3	1.392	0.701	94.7771	96.8597	0.9804	5.71	AlfI:95.77,AloI:95.46,BcgI:95.15,FalI:96.13	1284	14	2013	320	90.3571	ok	94.491	gamma	95.0029	94.94	88.18	95.0787	590	620
GCA_001914055.1__GCF_014931375.1	GCA_001914055.1	GCF_014931375.1	95-97	train	95.07	strict		MKXX01000001.1	NZ_CP063117.1	94.2717	95.6875	0.9754	0.9234	0.1028	95.2667	16	0.996	5	1.189	0.7027	94.6973	97.006	0.8089	3.93	AlfI:95.62,AloI:95.70,BcgI:95.30,FalI:96.11	1284	16	2001	219	78.3125	ok	94.2717	gamma	94.9248	94.97	83.72	95.0724	584	620
GCA_001916175.1__GCA_003150745.1	GCA_001916175.1	GCA_003150745.1	95-97	train	96.55	strict		MNRY01000002.1	QANC01000102.1	96.2399	97.4731	0.5786	0.3848	0.12401	95.1171	47	0.9566	24	0.588	0.8392	96.3498	98.2146	0.9409	2.53	AlfI:97.26,AloI:97.63,BcgI:96.80,FalI:97.74	671	47	761	33	12.2553	ok	96.2399	gamma	96.6946	96.45	40.85	95.8566	398	569
GCA_002169705.1__GCA_902510115.1	GCA_002169705.1	GCA_902510115.1	95-97	test	95.77	low-AF		NHJP01000043.1	CABWZU010000001.1	97.5355	97.7489	0.3948	0.402	0.14622	95.145	34	0.9836	5	2.086	0.8579	97.4383	97.9164	1.2924	1.95	AlfI:98.36,AloI:97.07,BcgI:97.67,FalI:97.64	398	34	434	30	9.82353	ok	97.5355	gamma	97.8526	94.29	54.62	95.2263	157	289
GCA_002170515.2__GCA_002722675.1	GCA_002170515.2	GCA_002722675.1	95-97	test	95.7	strict		NHDY02000142.1	PBMN01000010.1	96.4291	96.9537	0.5709	0.591	0.08046	95.1801	119	0.9964	5	1.729	0.7977	96.2187	97.5438	0.15	0.22	AlfI:96.93,AloI:96.89,BcgI:97.01,FalI:96.86	1594	119	2076	39	12.6555	ok	96.4291	gamma	96.422	95.33	63.42	95.2726	524	811
GCA_002279115.1__GCF_004361875.1	GCA_002279115.1	GCF_004361875.1	95-97	train	96.42	strict		NCKJ01000119.1	NZ_SNVZ01000001.1	96.993	97.4187	0.8231	0.6659	0.05577	96.408	143	0.9967	8	1.52	0.8307	96.8472	97.8012	0.6294	1.83	AlfI:97.51,AloI:97.73,BcgI:97.39,FalI:97.10	2743	143	3393	95	17.7762	ok	96.993	gamma	96.9962	96.57	66.83	96.5186	523	555
GCA_002279345.1__GCF_000701585.1	GCA_002279345.1	GCF_000701585.1	95-97	train	96.87	strict		NCBU01000170.1	NZ_JNJH01000001.1	97.7589	98.084	0.7589	0.7492	0.03018	96.9431	187	0.9886	76	1.189	0.8782	97.582	98.3287	1.014	9.58	AlfI:98.08,AloI:97.97,BcgI:98.15,FalI:97.13	7260	187	8051	248	36.1497	ok	97.7589	gamma	97.6728	97.08	74.53	96.7208	1024	1234
GCA_002320115.1__GCA_014871775.1	GCA_002320115.1	GCA_014871775.1	95-97	train	95.4	strict		DCJT01000011.1	WGSH01000001.1	96.5101	96.8097	0.4014	0.4965	0.07754	94.5281	186	0.8957	174	2.781	0.7851	96.4177	97.1555	0.6287	3.65	AlfI:96.67,AloI:97.24,BcgI:96.69,FalI:97.30	2206	186	2232	32	9.03763	ok	96.5101	gamma	96.6079	95.35	73.54	94.5254	354	780
GCA_002333025.1__GCA_002477715.1	GCA_002333025.1	GCA_002477715.1	95-97	train	95.03	strict		DDAV01000004.1	DLJY01000213.1	96.5255	96.7131	0.7243	0.7827	0.04675	95.6578	277	0.9487	237	4.604	0.7764	96.3617	97.0307	0.5309	1.5	AlfI:96.74,AloI:97.10,BcgI:96.68,FalI:96.57	4896	277	6232	66	16.8303	ok	96.5255	gamma	96.4744	95.52	83.22	95.2511	1023	1381
GCA_002335285.1__GCA_002786815.1	GCA_002335285.1	GCA_002786815.1	95-97	test	96.89	strict		DDCJ01000043.1	PCUQ01000087.1	97.9927	98.4051	0.4741	0.6692	0.04147	96.8473	280	0.9461	153	0.739	0.9005	97.7551	98.6833	0.4197	1.93	AlfI:98.39,AloI:98.30,BcgI:98.38,FalI:98.72	3298	280	3524	41	10.5929	ok	97.9927	gamma	97.8903	97.26	82.16	96.9592	724	1377
GCA_002352305.1__GCA_002393005.1	GCA_002352305.1	GCA_002393005.1	95-97	test	96.15	strict		DEIF01000097.1	DGID01000155.1	97.379	97.6646	0.5726	0.668	0.0582	96.2469	192	0.965	73	1.781	0.8488	97.2423	97.9113	0.405	1.53	AlfI:97.77,AloI:97.92,BcgI:97.61,FalI:97.52	2430	192	2774	44	11.474	ok	97.379	gamma	97.4044	96.01	75.43	96.0695	404	645
GCA_002376145.1__GCA_002477085.1	GCA_002376145.1	GCA_002477085.1	95-97	train	96.77	strict		DFNU01000013.1	DLOA01000006.1	97.1875	97.7893	0.8656	0.8337	0.06022	97.265	56	0.9835	33	0.855	0.8581	97.0924	98.1844	0.2398	0.96	AlfI:97.71,AloI:97.79,BcgI:97.91,FalI:97.67	2072	56	2513	124	36.0357	ok	97.1875	gamma	97.2655	96.76	83.31	96.9351	673	758
GCA_002392085.1__GCA_012840325.1	GCA_002392085.1	GCA_012840325.1	95-97	train	95.83	strict		DGGG01000023.1	DULP01000027.1	96.7875	97.1734	0.7366	0.6275	0.05321	95.9212	259	0.9871	36	1.968	0.8115	96.6007	97.605	0.373	2.81	AlfI:97.34,AloI:97.41,BcgI:97.04,FalI:97.17	3344	259	4155	79	11.668	ok	96.7875	gamma	96.7374	95.89	66.46	95.7724	616	743
GCA_002396445.1__GCA_002477705.1	GCA_002396445.1	GCA_002477705.1	95-97	train	95.32	strict		DGXV01000087.1	DLJW01000102.1	96.2389	96.7229	0.8061	0.7815	0.04063	95.5183	217	0.9819	110	1.968	0.7769	96.1523	97.247	0.4298	2.86	AlfI:96.78,AloI:96.81,BcgI:96.61,FalI:97.04	6315	217	8451	152	28.4977	ok	96.2389	gamma	96.2504	95.17	76.29	95.339	1082	1296
GCA_002419425.1__GCA_004138125.1	GCA_002419425.1	GCA_004138125.1	95-97	train	96.52	strict		DIGB01000007.1	RXHS01000012.1	97.1594	97.8569	0.8532	0.746	0.05191	97.0346	66	0.991	23	0.739	0.8632	97.0387	98.3138	0.1925	0.67	AlfI:97.84,AloI:97.87,BcgI:97.82,FalI:98.01	2715	66	3280	161	39.5455	ok	97.1594	gamma	97.1899	97.07	68.92	96.4763	694	774
GCA_002422665.1__GCA_019104985.1	GCA_002422665.1	GCA_019104985.1	95-97	test	95.28	low-AF		DITA01000112.1	JAHRWV010000044.1	97.0814	97.0814	0.2686	0.338	0.12129	94.1434	76	0.9558	20	inf	0.8115	97.2058	97.0109	0.2081	0.17	AlfI:96.93,AloI:97.14,BcgI:96.98,FalI:97.14	1032	76	835	20	6.68421	ok	97.0814	uniform	97.5146	95.17	67.69	94.1899	372	757
GCA_002483985.1__GCA_018372705.1	GCA_002483985.1	GCA_018372705.1	95-97	test	95.83	strict		DLIY01000035.1	JAHAIM010000037.1	97.1434	97.1434	0.3067	0.3538	0.08532	94.4575	171	0.8899	140	inf	0.8143	97.291	97.045	0.4186	1.55	AlfI:97.21,AloI:97.10,BcgI:96.91,FalI:97.33	1983	171	1594	33	7.61988	ok	97.1434	uniform	97.5091	95.4	71.41	94.8575	627	1223
GCA_002490885.1__GCA_900540065.1	GCA_002490885.1	GCA_900540065.1	95-97	train	96.96	strict		DKUW01000059.1	UQEX01000001.1	97.4348	97.8216	0.8269	0.8046	0.04793	97.1593	112	0.9815	56	1.189	0.8606	97.3329	98.093	0.3699	1.34	AlfI:97.67,AloI:98.04,BcgI:97.83,FalI:97.94	3137	112	3756	105	27.5804	ok	97.4348	gamma	97.4702	96.74	79.7	96.81	668	790
GCA_002496085.1__GCA_002507035.1	GCA_002496085.1	GCA_002507035.1	95-97	train	96.56	strict		DAIK01000147.1	DAYU01000171.1	96.6083	97.5182	0.5629	0.6261	0.07303	95.8391	135	0.9759	31	0.761	0.8389	96.5619	98.1385	0.5766	1.76	AlfI:97.47,AloI:97.86,BcgI:97.57,FalI:97.29	1754	135	2026	31	10.3111	ok	96.6083	gamma	96.763	96.06	68.16	95.9815	497	717
GCA_002684675.1__GCA_002690525.1	GCA_002684675.1	GCA_002690525.1	95-97	test	96.58	strict		NYVT01000008.1	NZEX01000132.1	97.5888	98.2411	0.6313	0.4827	0.06453	96.4295	116	0.9719	39	0.588	0.8897	97.4079	98.6372	0.2634	0.88	AlfI:98.43,AloI:98.23,BcgI:98.20,FalI:98.16	1560	116	1737	39	12.6121	ok	97.5888	gamma	97.613	97	55.44	96.5611	528	725
GCA_002689755.1__GCA_011522785.1	GCA_002689755.1	GCA_011522785.1	95-97	train	96.77	strict		NZHX01000152.1	WTII01000159.1	98.0557	98.2021	0.6712	0.3792	0.06185	96.367	168	0.9776	31	1.781	0.8863	98.0929	98.2488	0.2882	1.1	AlfI:98.20,AloI:98.21,BcgI:98.31,FalI:98.02	1774	168	1800	34	9.03571	ok	98.0557	gamma	98.2774	97.18	49.67	96.4514	489	599
GCA_002704555.1__GCA_003212435.1	GCA_002704555.1	GCA_003212435.1	95-97	test	96.97	low-AF		PAGW01000113.1	QCPS01000001.1	98.3298	98.3298	0.3138	0.4501	0.10322	95.7566	52	0.9801	9	inf	0.8958	98.1534	98.4097	0.7316	1.18	AlfI:98.56,AloI:97.83,BcgI:98.43,FalI:98.33	582	52	613	38	9.53846	ok	98.3298	uniform	98.4675	96.18	56.7	96.8678	228	602
GCA_002706995.1__GCF_014334315.1	GCA_002706995.1	GCF_014334315.1	95-97	test	96.18	strict		PALF01000001.1	NZ_JACSGS010000001.1	98.0272	98.2876	0.9143	0.7238	0.03317	97.5144	111	0.9968	16	1.14	0.8923	97.8856	98.466	0.3445	2.61	AlfI:98.18,AloI:98.42,BcgI:98.28,FalI:98.52	5190	111	5855	184	45.7117	ok	98.0272	gamma	97.9892	97.72	73.33	96.2562	1116	1192
GCA_002710335.1__GCA_003509725.1	GCA_002710335.1	GCA_003509725.1	95-97	train	96.16	strict		PAJZ01000034.1	DONE01000333.1	97.8648	98.0461	0.4412	0.2579	0.09239	95.3019	84	0.9711	19	1.781	0.8769	97.849	98.1393	0.4916	0.66	AlfI:98.03,AloI:98.39,BcgI:98.09,FalI:97.90	931	84	885	25	8.60714	ok	97.8648	gamma	98.1205	95.09	39.23	95.5751	326	505
GCA_002710405.1__GCA_902635265.1	GCA_002710405.1	GCA_902635265.1	95-97	test	96.71	low-AF		PAKA01000029.1	CACPMY010000001.1	97.4445	98.1934	0.4284	0.3588	0.19789	95.3695	13	1	0	0.538	0.8884	97.3051	98.6231	0.8071	0.95	AlfI:98.33,AloI:98.77,BcgI:98.71,FalI:97.97	168	13	198	27	11.8462	ok	97.4445	gamma	97.93	96.08	43.21	96.1707	107	200
GCA_002998695.1__GCA_900176625.1	GCA_002998695.1	GCA_900176625.1	95-97	train	96.84	strict		CP027242.1	LT838823.1	96.5403	97.5366	0.8935	0.8282	0.0819	97.0428	19	0.9864	18	0.669	0.8449	96.5147	98.1849	0.7803	5.46	AlfI:97.01,AloI:97.12,BcgI:97.10,FalI:97.79	1429	19	1682	638	69.6842	ok	96.5403	gamma	96.7451	96.95	73.69	96.5159	484	548
GCA_003216875.1__GCF_000015685.1	GCA_003216875.1	GCF_000015685.1	95-97	train	96.74	strict		QCIC01000001.1	NC_008819.1	97.5731	97.7619	0.8284	0.5498	0.09794	96.5683	30	0.9961	3	2.444	0.8593	97.3838	97.969	0.7881	3.25	AlfI:98.42,AloI:97.89,BcgI:97.63,FalI:97.63	830	30	984	86	26.6	ok	97.5731	gamma	97.664	96.54	56.44	96.4321	347	374
GCA_003218855.1__GCA_003219305.1	GCA_003218855.1	GCA_003219305.1	95-97	train	96.65	strict		QHOT01000067.1	QHQJ01000111.1	97.9539	98.1704	0.5653	0.5124	0.05301	96.4393	209	0.9622	71	1.565	0.8845	97.7711	98.3547	0.3075	0.81	AlfI:98.11,AloI:98.24,BcgI:98.21,FalI:97.93	2398	209	2467	39	9.6555	ok	97.9539	gamma	97.9328	96.79	64.1	96.4832	385	566
GCA_003219305.1__GCA_003219835.1	GCA_003219305.1	GCA_003219835.1	95-97	train	96.41	strict		QHQJ01000111.1	QHQG01000045.1	97.2208	97.7004	0.6837	0.566	0.05416	96.2399	214	0.9951	10	1.174	0.8514	97.0163	98.1052	0.2096	0.34	AlfI:97.77,AloI:97.85,BcgI:97.68,FalI:97.64	2674	214	3181	51	10.5047	ok	97.2208	gamma	97.1685	96.58	59.85	96.2845	453	526
