query	reference	sv_type	q_contig	q_start	q_end	r_contig	r_start	r_end	size	support_left	support_right
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBO41M2_ctg_contig1	9787	70808	FSHHK16M1_ctg_contig1	794874	856613	61021	0	388
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FHNBO41M2_ctg_contig1	70624	74730	FSHHK16M1_ctg_contig1	786862	795058	4090	107	388
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBO41M2_ctg_contig1	74551	281948	FSHHK16M1_ctg_contig1	563140	787041	207397	107	0
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FHNBO41M2_ctg_contig1	77820	81063	FSHHK16M1_ctg_contig1	779377	783688	1068	4	384
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FHNBO41M2_ctg_contig1	233821	234321	FSHHK16M1_ctg_contig1	611449	626052	14103	301	87
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBO41M2_ctg_contig2	0	3152	FSHHK16M1_ctg_contig1	560170	563474	3152	0	0
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBO41M2_ctg_contig3	11093	51309	FSHHK16M1_ctg_contig9	241	40444	40216	0	143
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FHNBO41M2_ctg_contig3	51185	52886	FSHHK16M1_ctg_contig8	75607	75607	1701	104	143
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBO41M2_ctg_contig3	52749	123545	FSHHK16M1_ctg_contig8	956	75744	70796	104	240
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FHNBO41M2_ctg_contig3	90258	95068	FSHHK16M1_ctg_contig8	29433	37451	3208	84	59
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FHNBO41M2_ctg_contig3	123408	124853	FSHHK16M1_ctg_contig6	185329	185329	1445	143	240
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBO41M2_ctg_contig3	124670	250902	FSHHK16M1_ctg_contig6	57891	185512	126232	143	0
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FHNBO41M2_ctg_contig3	130911	132034	FSHHK16M1_ctg_contig6	176884	179270	1263	18	222
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBO41M2_ctg_contig4	406	5509	FSHHK16M1_ctg_contig6	52048	57152	5103	0	0
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBO41M2_ctg_contig5	1074	171480	FSHHK16M1_ctg_contig1	382945	558434	170406	0	72
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FHNBO41M2_ctg_contig5	165906	166248	FSHHK16M1_ctg_contig1	389250	393507	3915	368	6
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FHNBO41M2_ctg_contig5	168177	170894	FSHHK16M1_ctg_contig1	383528	387264	1019	372	2
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FHNBO41M2_ctg_contig5	171328	186574	FSHHK16M1_ctg_contig1	378321	383097	10470	374	72
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBO41M2_ctg_contig5	186484	213832	FSHHK16M1_ctg_contig1	346063	378413	27348	374	0
