assembly_acc	assembly_name	organism	strain	biosample	seq_rel_date	submission	assembly_level
GCF_001188045.3	ASM118804v3	Listeria monocytogenes (firmicutes)	FDAARGOS_57	SAMN03255437	2018/07/09 00:00	2018/07/09 00:00	Complete Genome
GCF_022213445.1	ASM2221344v1	Burkholderia vietnamiensis (b-proteobacteria)	FDAARGOS_721	SAMN11056436	2022/02/13 00:00	2022/02/13 00:00	Complete Genome
GCF_021228335.1	ASM2122833v1	Psychrobacter sanguinis (g-proteobacteria)	FDAARGOS_1624	SAMN23242893	2021/12/18 00:00	2021/12/18 00:00	Contig
GCF_021183885.1	ASM2118388v1	Mycolicibacterium smegmatis (high G+C Gram-positive bacteria)	FDAARGOS_1617	SAMN23242886	2021/12/14 00:00	2021/12/14 00:00	Chromosome
GCF_021183865.1	ASM2118386v1	Mycobacterium kansasii (high G+C Gram-positive bacteria)	FDAARGOS_1616	SAMN23242885	2021/12/14 00:00	2021/12/14 00:00	Chromosome
GCF_021183845.1	ASM2118384v1	Mycobacterium avium subsp. avium (high G+C Gram-positive bacteria)	FDAARGOS_1608	SAMN23242877	2021/12/14 00:00	2021/12/14 00:00	Chromosome
GCF_021183805.1	ASM2118380v1	Mycobacterium avium subsp. avium (high G+C Gram-positive bacteria)	FDAARGOS_1609	SAMN23242878	2021/12/14 00:00	2021/12/14 00:00	Complete Genome
GCF_021183785.1	ASM2118378v1	Mycobacterium intracellulare subsp. intracellulare (high G+C Gram-positive bacteria)	FDAARGOS_1610	SAMN23242879	2021/12/14 00:00	2021/12/14 00:00	Complete Genome
GCF_021183765.1	ASM2118376v1	Mycobacterium intracellulare (high G+C Gram-positive bacteria)	FDAARGOS_1611	SAMN23242880	2021/12/14 00:00	2021/12/14 00:00	Complete Genome
GCF_021183745.1	ASM2118374v1	Mycobacterium intracellulare (high G+C Gram-positive bacteria)	FDAARGOS_1612	SAMN23242881	2021/12/14 00:00	2021/12/14 00:00	Complete Genome
GCF_021183725.1	ASM2118372v1	Mycobacterium ostraviense (high G+C Gram-positive bacteria)	FDAARGOS_1613	SAMN23242882	2021/12/14 00:00	2021/12/14 00:00	Complete Genome
GCF_021183705.1	ASM2118370v1	Mycobacterium kansasii (high G+C Gram-positive bacteria)	FDAARGOS_1614	SAMN23242883	2021/12/14 00:00	2021/12/14 00:00	Complete Genome
GCF_021183685.1	ASM2118368v1	Mycobacterium kansasii (high G+C Gram-positive bacteria)	FDAARGOS_1615	SAMN23242884	2021/12/14 00:00	2021/12/14 00:00	Complete Genome
GCF_021183665.1	ASM2118366v1	Mycolicibacterium smegmatis (high G+C Gram-positive bacteria)	FDAARGOS_1618	SAMN23242887	2021/12/14 00:00	2021/12/14 00:00	Complete Genome
GCF_021183645.1	ASM2118364v1	Nocardia gipuzkoensis (high G+C Gram-positive bacteria)	FDAARGOS_1619	SAMN23242888	2021/12/14 00:00	2021/12/14 00:00	Complete Genome
GCF_021183625.1	ASM2118362v1	Nocardia asteroides (high G+C Gram-positive bacteria)	FDAARGOS_1620	SAMN23242889	2021/12/14 00:00	2021/12/14 00:00	Complete Genome
GCF_021183605.1	ASM2118360v1	Nocardia asteroides (high G+C Gram-positive bacteria)	FDAARGOS_1621	SAMN23242890	2021/12/14 00:00	2021/12/14 00:00	Complete Genome
GCF_021183585.1	ASM2118358v1	Nocardia asteroides (high G+C Gram-positive bacteria)	FDAARGOS_1622	SAMN23242891	2021/12/14 00:00	2021/12/14 00:00	Complete Genome
GCF_021183565.1	ASM2118356v1	Nocardia yamanashiensis (high G+C Gram-positive bacteria)	FDAARGOS_1623	SAMN23242892	2021/12/14 00:00	2021/12/14 00:00	Complete Genome
GCF_020809565.1	ASM2080956v1	Burkholderia dolosa (b-proteobacteria)	FDAARGOS_1589	SAMN22365118	2021/11/09 00:00	2021/11/09 00:00	Chromosome
GCF_020736705.1	ASM2073670v1	Psychrobacter sanguinis (g-proteobacteria)	FDAARGOS_1598	SAMN22365127	2021/11/03 00:00	2021/11/03 00:00	Chromosome
GCF_020736685.1	ASM2073668v1	Streptococcus thermophilus LMD-9 (firmicutes)	FDAARGOS_1574	SAMN22091671	2021/11/03 00:00	2021/11/03 00:00	Chromosome
GCF_020736665.1	ASM2073666v1	Clostridium septicum (firmicutes)	FDAARGOS_1551	SAMN22091648	2021/11/03 00:00	2021/11/03 00:00	Chromosome
GCF_020736645.1	ASM2073664v1	Burkholderia dolosa (b-proteobacteria)	FDAARGOS_1545	SAMN22091642	2021/11/03 00:00	2021/11/03 00:00	Chromosome
GCF_020736445.1	ASM2073644v1	Dermabacter jinjuensis (high G+C Gram-positive bacteria)	FDAARGOS_1555	SAMN22091652	2021/11/03 00:00	2021/11/03 00:00	Chromosome
GCF_020736425.1	ASM2073642v1	Burkholderia vietnamiensis (b-proteobacteria)	FDAARGOS_1590	SAMN22365119	2021/11/03 00:00	2021/11/03 00:00	Chromosome
GCF_020736405.1	ASM2073640v1	Odoribacter splanchnicus DSM 20712 (CFB group bacteria)	FDAARGOS_1579	SAMN22091676	2021/11/03 00:00	2021/11/03 00:00	Chromosome
GCF_020736385.1	ASM2073638v1	Corynebacterium diphtheriae (high G+C Gram-positive bacteria)	FDAARGOS_1592	SAMN22365121	2021/11/03 00:00	2021/11/03 00:00	Chromosome
GCF_020736365.1	ASM2073636v1	Clostridium sp. M62/1 (firmicutes)	FDAARGOS_1583	SAMN22091680	2021/11/03 00:00	2021/11/03 00:00	Chromosome
GCF_020736265.1	ASM2073626v1	Bordetella pertussis (b-proteobacteria)	FDAARGOS_1543	SAMN22091640	2021/11/03 00:00	2021/11/03 00:00	Complete Genome
GCF_020736245.1	ASM2073624v1	Burkholderia dolosa (b-proteobacteria)	FDAARGOS_1544	SAMN22091641	2021/11/03 00:00	2021/11/03 00:00	Complete Genome
GCF_020736225.1	ASM2073622v1	Campylobacter curvus (e-proteobacteria)	FDAARGOS_1547	SAMN22091644	2021/11/03 00:00	2021/11/03 00:00	Complete Genome
GCF_020736205.1	ASM2073620v1	Campylobacter rectus (e-proteobacteria)	FDAARGOS_1549	SAMN22091646	2021/11/03 00:00	2021/11/03 00:00	Complete Genome
GCF_020736185.1	ASM2073618v1	Campylobacter gracilis (e-proteobacteria)	FDAARGOS_1548	SAMN22091645	2021/11/03 00:00	2021/11/03 00:00	Complete Genome
GCF_020736165.1	ASM2073616v1	Capnocytophaga ochracea (CFB group bacteria)	FDAARGOS_1550	SAMN22091647	2021/11/03 00:00	2021/11/03 00:00	Complete Genome
GCF_020736145.1	ASM2073614v1	Campylobacter jejuni (e-proteobacteria)	FDAARGOS_1546	SAMN22091643	2021/11/03 00:00	2021/11/03 00:00	Complete Genome
GCF_020736125.1	ASM2073612v1	Corynebacterium diphtheriae (high G+C Gram-positive bacteria)	FDAARGOS_1552	SAMN22091649	2021/11/03 00:00	2021/11/03 00:00	Complete Genome
GCF_020736105.1	ASM2073610v1	Corynebacterium diphtheriae (high G+C Gram-positive bacteria)	FDAARGOS_1553	SAMN22091650	2021/11/03 00:00	2021/11/03 00:00	Complete Genome
GCF_020736085.1	ASM2073608v1	Corynebacterium diphtheriae subsp. diphtheriae (high G+C Gram-positive bacteria)	FDAARGOS_1554	SAMN22091651	2021/11/03 00:00	2021/11/03 00:00	Complete Genome
GCF_020736065.1	ASM2073606v1	Finegoldia magna (firmicutes)	FDAARGOS_1556	SAMN22091653	2021/11/03 00:00	2021/11/03 00:00	Complete Genome
GCF_020736045.1	ASM2073604v1	Haemophilus influenzae (g-proteobacteria)	FDAARGOS_1560	SAMN22091657	2021/11/03 00:00	2021/11/03 00:00	Complete Genome
GCF_020736025.1	ASM2073602v1	Haemophilus influenzae (g-proteobacteria)	FDAARGOS_1561	SAMN22091658	2021/11/03 00:00	2021/11/03 00:00	Complete Genome
