query	reference	sv_type	q_contig	q_start	q_end	r_contig	r_start	r_end	size	support_left	support_right
HUB29-14_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	HUB29-14_ctg_contig1	1207	210812	FSHHK16M1_ctg_contig2	7556	233175	209605	0	51
HUB29-14_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	HUB29-14_ctg_contig1	32511	35360	FSHHK16M1_ctg_contig2	182455	202852	17548	49	359
HUB29-14_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	HUB29-14_ctg_contig1	210635	224947	FSHHK16M1_ctg_contig11	80126	80126	14312	408	51
HUB29-14_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	HUB29-14_ctg_contig1	224718	254833	FSHHK16M1_ctg_contig11	47634	80355	30115	408	16
HUB29-14_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	HUB29-14_ctg_contig1	235653	236439	FSHHK16M1_ctg_contig11	66041	69391	2564	20	31
HUB29-14_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	HUB29-14_ctg_contig1	259419	266667	FSHHK16M1_ctg_contig11	35560	42699	7248	51	73
HUB29-14_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	HUB29-14_ctg_contig1	266543	271807	FSHHK16M1_ctg_contig11	35065	35684	4645	16	73
HUB29-14_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	HUB29-14_ctg_contig1	271658	304458	FSHHK16M1_ctg_contig11	2469	35214	32800	16	0
HUB29-14_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	HUB29-14_ctg_contig3	19328	30064	FSHHK16M1_ctg_contig1	578025	580016	8745	35	47
HUB29-14_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	HUB29-14_ctg_contig4	1347	4319	FSHHK16M1_ctg_contig1	601274	605736	1490	2	7
HUB29-14_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	HUB29-14_ctg_contig6	442	670	FSHHK16M1_ctg_contig1	42259	44662	2175	3	21
HUB29-14_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	HUB29-14_ctg_contig6	14142	18195	FSHHK16M1_ctg_contig1	58135	63407	1219	24	248
HUB29-14_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	HUB29-14_ctg_contig7	251	50299	FSHHK16M1_ctg_contig1	508277	558423	50048	0	243
HUB29-14_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	HUB29-14_ctg_contig7	50158	53855	FSHHK16M1_ctg_contig1	507674	508418	2953	108	243
HUB29-14_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	HUB29-14_ctg_contig7	53689	164283	FSHHK16M1_ctg_contig1	383168	507841	110594	108	0
HUB29-14_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	HUB29-14_ctg_contig7	56558	56912	FSHHK16M1_ctg_contig1	501752	504971	2865	7	236
HUB29-14_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	HUB29-14_ctg_contig7	61719	63010	FSHHK16M1_ctg_contig1	489374	496947	6282	25	218
HUB29-14_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	HUB29-14_ctg_contig7	158886	159228	FSHHK16M1_ctg_contig1	389250	393507	3915	236	7
HUB29-14_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	HUB29-14_ctg_contig9	187	157250	FSHHK16M1_ctg_contig4	44737	202932	157063	0	0
