query	reference	sv_type	q_contig	q_start	q_end	r_contig	r_start	r_end	size	support_left	support_right
BlongumL6_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	BlongumL6_ctg_contig1	921	190711	FSHHK16M1_ctg_contig4	5898	201964	189790	0	24
BlongumL6_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	BlongumL6_ctg_contig1	98634	99237	FSHHK16M1_ctg_contig4	103030	104740	1107	215	180
BlongumL6_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	BlongumL6_ctg_contig1	151382	153277	FSHHK16M1_ctg_contig4	43324	50886	5667	329	66
BlongumL6_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	BlongumL6_ctg_contig1	190540	204765	FSHHK16M1_ctg_contig9	39473	39473	14225	395	24
BlongumL6_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	BlongumL6_ctg_contig1	204620	214669	FSHHK16M1_ctg_contig9	29591	39618	10049	395	43
BlongumL6_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	BlongumL6_ctg_contig1	214524	221017	FSHHK16M1_ctg_contig9	16738	29736	6505	24	43
BlongumL6_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	BlongumL6_ctg_contig1	220894	237538	FSHHK16M1_ctg_contig9	242	16861	16644	24	141
BlongumL6_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	BlongumL6_ctg_contig1	237415	239062	FSHHK16M1_ctg_contig8	75607	75607	1647	43	141
BlongumL6_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	BlongumL6_ctg_contig1	238917	309732	FSHHK16M1_ctg_contig8	948	75752	70815	43	387
BlongumL6_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	BlongumL6_ctg_contig1	276436	281285	FSHHK16M1_ctg_contig8	29394	37451	3208	82	59
BlongumL6_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	BlongumL6_ctg_contig1	309587	311032	FSHHK16M1_ctg_contig6	185329	185329	1445	141	387
BlongumL6_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	BlongumL6_ctg_contig1	310867	495235	FSHHK16M1_ctg_contig6	732	185495	184368	141	0
BlongumL6_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	BlongumL6_ctg_contig2	2154	4529	FSHHK16M1_ctg_contig1	602271	605736	1090	7	461
BlongumL6_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	BlongumL6_ctg_contig2	255366	269469	FSHHK16M1_ctg_contig1	856429	858067	12465	468	210
BlongumL6_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	BlongumL6_ctg_contig2	269580	271593	FSHHK16M1_ctg_contig1	858178	858657	1534	2	208
BlongumL6_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	BlongumL6_ctg_contig3	15226	16685	FSHHK16M1_ctg_contig1	981784	984883	1640	33	2
BlongumL6_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	BlongumL6_ctg_contig4	115343	116673	FSHHK16M1_ctg_contig2	124385	143177	17462	233	34
BlongumL6_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	BlongumL6_ctg_contig4	116760	119151	FSHHK16M1_ctg_contig2	143264	144369	1286	235	32
BlongumL6_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	BlongumL6_ctg_contig4	131221	133839	FSHHK16M1_ctg_contig2	156440	157239	1819	267	114
BlongumL6_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	BlongumL6_ctg_contig4	159168	162017	FSHHK16M1_ctg_contig2	182455	202852	17548	48	66
BlongumL6_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	BlongumL6_ctg_contig4	192189	192742	FSHHK16M1_ctg_contig3	436	436	553	114	167
BlongumL6_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	BlongumL6_ctg_contig4	257240	258435	FSHHK16M1_ctg_contig3	65141	69987	3651	134	33
BlongumL6_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	BlongumL6_ctg_contig6	192	19902	FSHHK16M1_ctg_contig1	579862	599951	19710	0	76
BlongumL6_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	BlongumL6_ctg_contig6	19748	30507	FSHHK16M1_ctg_contig1	578025	580016	8768	43	76
