query	reference	sv_type	q_contig	q_start	q_end	r_contig	r_start	r_end	size	support_left	support_right
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGXBM14M6_ctg_contig1	6117	239710	FSHHK16M1_ctg_contig1	622017	856609	233593	0	67
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGXBM14M6_ctg_contig1	243513	282372	FSHHK16M1_ctg_contig1	579826	618213	38859	428	8
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FGXBM14M6_ctg_contig1	269275	272093	FSHHK16M1_ctg_contig1	590111	591914	1015	41	26
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FGXBM14M6_ctg_contig1	282183	330936	FSHHK16M1_ctg_contig1	578025	580016	46762	67	8
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGXBM14M6_ctg_contig1	330696	336331	FSHHK16M1_ctg_contig1	572550	578265	5635	67	0
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGXBM14M6_ctg_contig2	1724	12306	FSHHK16M1_ctg_contig1	560217	570796	10582	0	0
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FGXBM14M6_ctg_contig3	58048	62101	FSHHK16M1_ctg_contig1	58135	63407	1219	108	413
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FGXBM14M6_ctg_contig3	66128	68524	FSHHK16M1_ctg_contig1	67448	68728	1116	5	408
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FGXBM14M6_ctg_contig3	196087	198972	FSHHK16M1_ctg_contig1	195742	197147	1480	249	164
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FGXBM14M6_ctg_contig5	63812	84632	FSHHK16M1_ctg_contig1	301398	302891	19327	56	65
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FGXBM14M6_ctg_contig5	126847	130399	FSHHK16M1_ctg_contig1	344146	345271	2427	8	72
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FGXBM14M6_ctg_contig5	174028	174370	FSHHK16M1_ctg_contig1	389250	393507	3915	4	30
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FGXBM14M6_ctg_contig5	183424	186430	FSHHK16M1_ctg_contig1	402557	404126	1437	31	3
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGXBM14M6_ctg_contig7	6389	42085	FSHHK16M1_ctg_contig9	242	40443	35696	0	146
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FGXBM14M6_ctg_contig7	11202	11479	FSHHK16M1_ctg_contig9	30801	35554	4476	11	83
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FGXBM14M6_ctg_contig7	41962	43105	FSHHK16M1_ctg_contig8	75607	75607	1143	94	146
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGXBM14M6_ctg_contig7	42973	113757	FSHHK16M1_ctg_contig8	961	75739	70784	94	177
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FGXBM14M6_ctg_contig7	80485	85284	FSHHK16M1_ctg_contig8	29433	37451	3219	84	62
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FGXBM14M6_ctg_contig7	113625	115070	FSHHK16M1_ctg_contig6	185329	185329	1445	146	177
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGXBM14M6_ctg_contig7	114897	206293	FSHHK16M1_ctg_contig6	92862	185502	91396	146	0
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FGXBM14M6_ctg_contig7	121127	122242	FSHHK16M1_ctg_contig6	176884	179270	1271	20	157
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGXBM14M6_ctg_contig9	882	195977	FSHHK16M1_ctg_contig4	0	201965	195095	0	0
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FGXBM14M6_ctg_contig9	98889	99492	FSHHK16M1_ctg_contig4	103030	104740	1107	211	178
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FGXBM14M6_ctg_contig9	151628	153523	FSHHK16M1_ctg_contig4	43324	50886	5667	323	66
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FGXBM14M6_ctg_contig11	16292	31718	FSHHK16M1_ctg_contig3	16173	16970	14629	38	178
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FGXBM14M6_ctg_contig11	45423	47327	FSHHK16M1_ctg_contig3	30678	34107	1525	21	157
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGXBM14M6_ctg_contig12	1807	27134	FSHHK16M1_ctg_contig1	533072	558393	25327	0	0
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGXBM14M6_ctg_contig13	722	24515	FSHHK16M1_ctg_contig1	508267	531982	23793	0	85
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FGXBM14M6_ctg_contig13	24364	28061	FSHHK16M1_ctg_contig1	507674	508418	2953	59	85
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGXBM14M6_ctg_contig13	27881	62289	FSHHK16M1_ctg_contig1	470580	507868	34408	59	108
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FGXBM14M6_ctg_contig13	30764	31118	FSHHK16M1_ctg_contig1	501752	504971	2865	7	78
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FGXBM14M6_ctg_contig13	62109	67362	FSHHK16M1_ctg_contig1	470130	470774	4609	85	108
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGXBM14M6_ctg_contig13	67183	120968	FSHHK16M1_ctg_contig1	416298	470312	53785	85	0
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGXBM14M6_ctg_contig14	4704	117916	FSHHK16M1_ctg_contig1	872616	985846	113212	0	17
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FGXBM14M6_ctg_contig14	117723	124388	FSHHK16M1_ctg_contig1	867815	872809	1671	226	17
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGXBM14M6_ctg_contig14	124157	134863	FSHHK16M1_ctg_contig1	857828	868054	10706	226	0
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FGXBM14M6_ctg_contig14	127758	128146	FSHHK16M1_ctg_contig1	862807	864433	1238	10	7
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FGXBM14M6_ctg_contig14	132510	134521	FSHHK16M1_ctg_contig1	858178	858657	1532	15	2
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGXBM14M6_ctg_contig15	10092	113878	FSHHK16M1_ctg_contig2	78818	182631	103786	0	0
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FGXBM14M6_ctg_contig16	37085	41550	FSHHK16M1_ctg_contig10	36968	39795	1638	81	124
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FGXBM14M6_ctg_contig16	99135	102290	FSHHK16M1_ctg_contig10	96801	98497	1459	111	13
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGXBM14M6_ctg_contig17	366	54750	FSHHK16M1_ctg_contig7	34050	99478	54384	0	37
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FGXBM14M6_ctg_contig17	17272	17774	FSHHK16M1_ctg_contig7	71292	82568	10774	26	75
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGXBM14M6_ctg_contig17	58647	82635	FSHHK16M1_ctg_contig7	6225	30146	23988	101	8
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FGXBM14M6_ctg_contig17	82362	96581	FSHHK16M1_ctg_contig7	3018	6487	10750	37	8
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGXBM14M6_ctg_contig17	96485	98779	FSHHK16M1_ctg_contig7	817	3117	2294	37	0
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FGXBM14M6_ctg_contig18	32177	40061	FSHHK16M1_ctg_contig6	32665	34045	6504	70	138
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FGXBM14M6_ctg_contig20	6002	9801	FSHHK16M1_ctg_contig2	6179	7735	2243	10	137
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FGXBM14M6_ctg_contig22	33108	38371	FSHHK16M1_ctg_contig11	35065	35684	4644	79	63
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGXBM14M6_ctg_contig23	1219	59880	FSHHK16M1_ctg_contig12	315	61046	58661	0	0
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FGXBM14M6_ctg_contig23	34211	35663	FSHHK16M1_ctg_contig12	24515	28108	2141	78	46
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGXBM14M6_ctg_contig25	3849	32163	FSHHK16M1_ctg_contig7	99915	135368	28314	0	0
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FGXBM14M6_ctg_contig25	21093	22298	FSHHK16M1_ctg_contig7	109772	118121	7144	39	22
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGXBM14M6_ctg_contig26	625	19690	FSHHK16M1_ctg_contig2	202668	221765	19065	0	0
FGXBM14M6_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FGXBM14M6_ctg_contig29	7718	8024	FSHHK16M1_ctg_contig11	76113	77754	1335	11	24
