query	reference	s2b_raw_ani	s2b_mash_ani	s2b_af_q	s2b_af_r	s2b_shared_tags	s2b_containment	s2b_ref_gc	s2b_corrected_ani	s2b_error
GCA_017633985.1	GCA_017480245.1	1.000000	0.853071	0.007808	0.012884	13	0.500000	0.358291	0.825071	
GCF_002939305.1	GCF_001904655.1	1.000000	0.853021	0.029218	0.031452	102	0.500000	0.428829	0.825021	
GCF_000226295.1	GCF_018304765.1	1.000000	0.959389	0.366501	0.353774	2873	0.500000	0.621469	0.931389	
GCA_902525995.1	GCA_002726375.1	1.000000	0.917490	0.018270	0.016978	30	0.500000	0.508238	0.889490	
GCF_014925385.1	GCA_009377535.1	1.000000	0.824535	0.006559	0.008701	54	0.500000	0.673512	0.796535	
GCF_001597745.1	GCF_000316645.1	1.000000	0.820114	0.061983	0.047312	330	0.500000	0.415311	0.792114	
GCA_910576855.1	GCA_910576345.1	1.000000	0.905403	0.024096	0.028129	40	0.500000	0.375061	0.877403	
GCA_005799065.1	GCA_016868485.1	1.000000	0.936403	0.119134	0.106865	165	0.500000	0.507179	0.908403	
GCA_016123485.1	GCF_003031585.1	1.000000	0.937692	0.106177	0.105551	483	0.500000	0.551367	0.909692	
GCF_900106845.1	GCF_900015215.1	1.000000	0.883709	0.093951	0.097074	73	0.500000	0.278319	0.855709	
GCA_005881615.1	GCA_005884195.1	1.000000	0.896081	0.032461	0.037132	160	0.500000	0.518983	0.868081	
GCF_900129115.1	GCF_001310975.1	1.000000	0.906460	0.051020	0.049505	80	0.500000	0.341587	0.878460	
GCA_009701105.1	GCA_009698745.1	1.000000	0.924515	0.019444	0.018617	14	0.500000	0.516755	0.896515	
GCF_000018425.1	GCA_002294005.1	1.000000	0.836879	0.021323	0.032379	138	0.500000	0.622287	0.808879	
GCA_009841335.1	GCA_002238805.1	1.000000	0.851273	0.009584	0.008580	58	0.500000	0.509585	0.823273	
GCF_000620845.1	GCF_018617875.1	1.000000	0.822499	0.011371	0.010955	53	0.500000	0.485985	0.794499	
GCA_910584395.1	GCA_910579775.1	1.000000	0.830157	0.018622	0.015154	83	0.500000	0.601881	0.802157	
GCF_016864015.1	GCF_018860825.1	1.000000	0.889491	0.011952	0.021739	12	0.500000	0.313424	0.861491	
GCF_014652395.1	GCF_016595155.1	1.000000	0.886193	0.027613	0.028654	79	0.500000	0.489923	0.858193	
GCF_000521505.1	GCF_004217095.1	1.000000	0.824547	0.017136	0.016135	87	0.500000	0.544957	0.796547	
GCF_000521505.1	GCF_014897675.1	1.000000	0.804829	0.013591	0.012575	69	0.500000	0.546558	0.776829	
GCF_900115785.1	GCF_000337095.1	1.000000	0.836401	0.019640	0.015800	242	0.500000	0.656440	0.808401	
GCF_000092925.1	GCF_007559435.1	1.000000	0.845206	0.020925	0.021571	128	0.500000	0.681938	0.817206	
GCF_001618175.1	GCF_002148795.1	1.000000	0.875139	0.017195	0.015895	70	0.500000	0.651421	0.847139	
GCA_012959275.1	GCA_014240385.1	1.000000	0.911946	0.036237	0.042311	52	0.500000	0.446587	0.883946	
GCF_000024265.1	GCF_009834925.2	1.000000	0.915845	0.126086	0.109234	653	0.500000	0.661600	0.887845	
GCF_001575205.1	GCF_000312385.1	1.000000	0.809538	0.013861	0.014118	171	0.500000	0.708479	0.781538	
GCA_018052455.1	GCA_018052475.1	1.000000	0.840650	0.012380	0.013037	27	0.500000	0.475342	0.812650	
GCF_001936595.1	GCA_000307955.1	1.000000	0.870785	0.009128	0.011179	102	0.500000	0.657068	0.842785	
GCF_014647915.1	GCF_014647895.1	1.000000	0.845090	0.016112	0.014335	202	0.500000	0.748398	0.817090	
GCF_014648175.1	GCF_016863135.1	1.000000	0.908542	0.081542	0.079845	2651	0.500000	0.719900	0.880542	
GCF_012317185.1	GCA_017161075.1	1.000000	0.842654	0.017044	0.021713	73	0.500000	0.425801	0.814654	
GCF_001611975.1	GCF_012102705.1	1.000000	0.915515	0.210243	0.222759	1014	0.500000	0.557743	0.887515	
GCA_016278325.1	GCA_016278285.1	1.000000	0.865758	0.010476	0.009367	46	0.500000	0.644181	0.837758	
GCF_904419545.1	GCA_900760275.1	1.000000	0.888090	0.012892	0.013927	46	0.500000	0.608202	0.860090	
GCF_003589745.1	GCF_003862475.1	1.000000	0.883545	0.088858	0.075134	126	0.500000	0.358739	0.855545	
GCF_005871085.1	GCA_000017645.1	1.000000	0.856238	0.064194	0.056521	566	0.500000	0.673451	0.828238	
GCF_003443995.1	GCF_010915705.1	1.000000	0.849296	0.011371	0.009816	54	0.500000	0.643861	0.821296	
GCA_001044335.1	GCA_000156155.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.353214	0.000000	
GCA_003552185.1	GCA_003552985.1	1.000000	0.904769	0.003063	0.001819	11	0.500000	0.607222	0.876769	
GCF_019242955.1	GCF_019243775.1	1.000000	0.861803	0.028557	0.032792	113	0.500000	0.511637	0.833803	
GCF_013116765.2	GCF_002812705.1	1.000000	0.865594	0.026967	0.039783	257	0.500000	0.642601	0.837594	
