pairid	query	reference	ani	ani_uniform	af_query	af_reference	std_err	ani_cal	synteny_blocks	synteny_score	breakpoint_count	het_shape	retention	ani_from_loss	ani_from_hist	enzyme_spread	enzyme_chi2	per_enzyme	n_anchors	n_chains	n_tags	max_block_anchors	mean_block_anchors	flag	ani_gated	gate	ani_upper95
GCF_007896895.1__GCF_001280015.1	NZ_VOGW01000100.1	NZ_LGDV01000001.1	90.3971	92.0215	0.4233	0.3931	0.08503	88.1470	147	0.9806	40	3.074	0.4096	91.4535	94.4309	2.0659	13.53	AlfI:91.90,AloI:91.57,BcgI:91.93,FalI:93.64	2973	147	6073	79	14.782312925170068	ok	90.3971	gamma	91.6106
GCA_900549215.1__GCA_905210085.1	URNJ01000001.1	CAJLVJ010000001.1	95.0792	95.8886	0.6945	0.6739	0.07506	94.3508	181	0.9875	23	1.781	0.7112	95.1856	96.7923	0.6632	2.45	AlfI:95.70,AloI:96.37,BcgI:95.85,FalI:96.31	2287	181	3309	38	11	ok	95.0792	gamma	95.3519
GCA_003252055.1__GCF_004319545.1	QKDP01000144.1	NZ_CP036313.1	91.0350	91.0350	0.2910	0.2084	0.23009	87.0503	17	1.0000	0	inf	0.3593	90.7733	92.4794	0.9132	0.58	AlfI:90.78,AloI:90.49,BcgI:91.13,FalI:91.40	630	17	990	14	6.294117647058823	ok	91.0350	uniform	91.1920
GCF_001308195.1__GCF_001308205.1	NZ_JXDF01000001.1	NZ_JXDC01000001.1	89.8695	92.9365	0.7769	0.8425	0.18731	91.3571	16	1.0000	0	1.392	0.5007	91.9302	95.7895	1.9918	2.87	AlfI:92.69,AloI:94.51,BcgI:92.52,FalI:92.99	538	16	1148	142	30.4375	ok	89.8695	gamma	92.2946
GCF_003667505.1__GCF_900091585.1	NZ_RCVJ01000054.1	NZ_FMHT01000003.1	88.2412	89.7722	0.3522	0.3477	0.13297	85.8855	68	0.9973	2	5.239	0.2708	89.4177	92.4766	1.3709	3.55	AlfI:90.29,AloI:89.36,BcgI:89.53,FalI:90.73	1329	68	3683	37	11.764705882352942	ok	88.2412	gamma	89.6538
GCA_902581585.1__GCA_902536975.1	CACHPB010000001.1	CACAZG010000001.1	94.9856	95.5376	0.2464	0.3920	0.30350	92.1314	16	0.9403	8	2.548	0.6980	95.1406	96.0705	1.2539	0.54	AlfI:95.91,AloI:95.96,BcgI:94.70,FalI:95.61	204	16	235	16	8.875	ok	94.9856	gamma	95.8176
GCF_003612165.1__GCF_003611695.1	NZ_RAWK01000100.1	NZ_RAWE01000100.1	94.9507	95.7397	0.6974	0.6742	0.04062	93.9368	532	0.9802	142	1.911	0.7002	95.0589	96.6584	1.2294	36.48	AlfI:95.71,AloI:95.87,BcgI:95.39,FalI:96.62	9379	532	12035	71	14.24436090225564	ok	94.9507	gamma	95.1482
GCF_003046405.1__GCF_900142705.1	NZ_PZZR01000001.1	NZ_FRBV01000034.1	90.7756	91.5860	0.8073	0.7721	0.10409	89.7147	46	0.9853	22	5.962	0.3806	91.2379	93.2519	0.6047	2.06	AlfI:91.32,AloI:91.22,BcgI:91.83,FalI:91.33	1775	46	4285	155	32.95652173913044	ok	90.7756	gamma	91.4276
GCA_902618245.1__GCA_902561795.1	CACMZR010000001.1	CACERG010000001.1	95.4483	95.9331	0.7206	0.7741	0.14219	94.8805	36	0.9712	18	2.701	0.7293	95.3431	96.5981	1.6119	3.75	AlfI:96.58,AloI:95.29,BcgI:94.97,FalI:96.12	689	36	979	76	17.88888888888889	ok	95.4483	gamma	95.6713
GCF_002817655.1__GCF_000007205.1	NZ_CM008979.1	NC_005043.1	86.3840	88.1933	0.8991	0.8802	0.25611	87.6578	6	0.9964	1	5.554	0.2271	87.8711	91.2642	1.1952	0.50	AlfI:87.47,AloI:88.66,BcgI:88.41,FalI:88.20	294	6	1339	86	46.5	ok	86.3840	gamma	88.3246
GCA_902606075.1__GCA_902599575.1	CACLEU010000001.1	CACKFS010000001.1	91.0356	91.0356	0.1709	0.2073	0.82040	86.0159	2	1.0000	0	inf	0.3774	90.7112	92.9536	4.6117	1.11	AlfI:88.80,AloI:93.42,BcgI:89.24,FalI:91.27	41	2	81	8	7	ok	91.0356	uniform	92.2378
GCA_900541855.1__GCA_905215835.1	UQLD01000001.1	CAJMRR010000001.1	95.9039	96.6693	0.6648	0.6999	0.06500	95.2720	176	0.9419	141	1.352	0.7739	95.9106	97.3891	0.7829	3.26	AlfI:96.72,AloI:97.33,BcgI:96.55,FalI:96.92	2691	176	3459	56	13.988636363636363	ok	95.9039	gamma	96.0668
GCF_004353825.1__GCF_009708215.1	NZ_SMNA01000010.1	NZ_CP046175.1	88.2187	90.1809	0.8507	0.8712	0.08491	87.9979	41	0.9906	21	3.930	0.2923	89.7466	93.2577	3.0998	22.97	AlfI:90.22,AloI:90.95,BcgI:89.82,FalI:92.92	2409	41	8469	224	55.170731707317074	ok	88.2187	gamma	89.8980
GCF_002096675.1__GCA_905221105.1	NZ_NCUZ01000020.1	CAJNBW010000001.1	89.0176	90.6574	0.5579	0.5361	0.20727	88.0942	33	0.9397	26	3.817	0.3529	90.1652	93.2269	0.7596	0.53	AlfI:90.05,AloI:90.45,BcgI:90.81,FalI:90.80	587	33	1358	44	13.272727272727273	ok	89.0176	gamma	90.5443
GCA_002728335.1__GCA_902609025.1	PBXC01000004.1	CACLQD010000001.1	92.9421	92.9421	0.1335	0.1613	0.64203	87.9981	4	1.0000	0	inf	0.5052	92.2656	94.8879	3.8240	0.94	AlfI:92.49,AloI:89.94,BcgI:92.12,FalI:93.77	73	4	96	6	5.25	ok	92.9421	uniform	93.5268
