pairid	anim_ani	anim_af_ref	anim_af_qry	aligned_bases_qry	af_tier
GCA_005793005.1__GCA_010022085.1	86.6400	2.50	4.19	40681	verylow-AF
GCA_014584425.1__GCF_000621305.1	85.9400	23.84	34.34	999739	low-AF
GCA_003450855.1__GCA_014584425.1	86.3500	30.22	27.57	879750	verylow-AF
GCA_015665165.1__GCA_017993915.1	86.9400	36.57	35.99	1384533	low-AF
GCA_002685875.1__GCA_002699765.1	88.8800	40.54	50.40	835208	low-AF
GCA_002685875.1__GCA_012960405.1	88.7300	34.31	72.63	1203525	strict
GCA_002699765.1__GCA_012960405.1	98.4300	53.79	91.76	1912500	strict
GCA_017744175.1__GCF_001646955.1	84.6400	5.27	5.14	338159	verylow-AF
GCA_017744175.1__GCF_000373945.1	84.8100	24.53	20.93	1376668	verylow-AF
GCF_001646955.1__GCF_010994335.1	84.6300	5.60	5.27	343134	verylow-AF
GCA_009787845.1__GCA_009787965.1	85.5900	24.89	30.49	729545	low-AF
GCF_003858425.1__GCF_011752005.1	85.0800	3.95	3.30	53259	verylow-AF
GCF_003858425.1__GCF_018531125.1	85.5800	1.46	1.32	21363	verylow-AF
GCF_011752005.1__GCF_018531125.1	86.8100	1.30	1.51	22518	verylow-AF
GCA_002324965.1__GCA_002431505.1	94.1700	83.39	86.43	3495526	strict
GCA_002403705.1__GCA_002431505.1	94.2600	87.84	87.62	3684587	strict
GCA_002365815.1__GCA_002431505.1	92.1600	69.27	84.52	2929383	strict
GCF_004362725.1__GCF_004365235.1	85.4600	42.56	46.39	1446632	low-AF
GCA_001723995.1__GCF_004368825.1	85.1900	19.06	43.39	639401	low-AF
GCF_003337665.1__GCF_004365235.1	85.0500	39.01	40.78	1324737	low-AF
GCA_002842325.1__GCA_007713545.1	93.1100	72.76	82.54	3486232	strict
GCA_002869045.1__GCF_012910825.1	84.7500	19.69	20.15	988416	verylow-AF
GCA_002869045.1__GCF_012910815.1	84.4800	18.77	19.27	945205	verylow-AF
GCA_008662065.1__GCA_900756475.1	84.1900	0.29	0.42	5023	verylow-AF
GCA_008667865.1__GCA_900756395.1	83.7800	1.38	1.49	23473	verylow-AF
GCA_014871465.1__GCA_900755555.1	90.7400	69.52	84.32	1189200	strict
GCA_017635755.1__GCA_905236945.1	83.3100	1.78	0.89	22021	verylow-AF
GCA_900753385.1__GCA_905211105.1	99.9900	92.20	98.99	1651443	strict
GCA_900763745.1__GCA_905211105.1	85.0400	0.20	0.21	3661	verylow-AF
GCA_003553765.1__GCA_003559015.1	84.9700	1.77	1.27	42027	verylow-AF
GCA_017306945.1__GCF_001424865.1	85.4900	30.73	48.92	1789238	low-AF
GCA_017306945.1__GCA_903959205.1	83.4500	10.29	8.14	297895	verylow-AF
GCA_001724185.1__GCA_017307635.1	83.6900	12.54	10.05	535725	verylow-AF
GCA_002358165.1__GCF_016791685.1	85.9300	66.04	72.29	3120581	strict
GCA_002348865.1__GCF_008931465.1	86.7100	60.32	74.41	3132162	strict
GCF_008931465.1__GCF_016791685.1	93.0800	81.17	73.84	3875080	strict
GCA_013155505.1__GCA_013155515.1	99.1500	96.55	96.18	1739290	strict
GCA_013155505.1__GCF_900625115.1	84.4600	16.19	16.39	296326	verylow-AF
GCA_013155515.1__GCF_900625115.1	84.5300	16.15	16.42	295660	verylow-AF
GCA_017302665.1__GCA_018970295.1	88.3200	79.76	60.84	1001724	strict
GCA_009927585.1__GCA_016869095.1	88.3600	55.73	80.22	918948	strict
GCA_009927585.1__GCA_018970295.1	98.7400	70.22	76.31	874214	strict
GCA_017531645.1__GCA_900771905.1	83.0600	3.41	5.46	51212	verylow-AF
GCA_003445225.1__GCA_900771905.1	83.3800	3.96	3.05	59431	verylow-AF
GCA_017531645.1__GCA_905207345.1	82.9900	3.20	5.41	50726	verylow-AF
GCA_001315825.1__GCF_001266655.1	81.6800	5.38	4.95	118091	verylow-AF
GCA_002509145.1__GCA_017857615.1	83.1300	0.38	0.35	6477	verylow-AF
GCA_001315825.1__GCA_002509145.1	81.4100	4.76	3.70	88266	verylow-AF
GCA_017647825.1__GCA_902777895.1	89.6300	0.02	0.02	465	verylow-AF
GCA_017577325.1__GCA_017630555.1	82.0400	1.26	1.47	30114	verylow-AF
GCA_017413235.1__GCA_902756095.1	86.7200	43.47	38.62	1101928	low-AF
GCF_012295505.1__GCF_013096845.1	87.4900	63.48	64.92	2327865	strict
GCA_001191625.1__GCF_014207415.1	86.6600	60.58	65.75	2322729	strict
GCF_001025095.1__GCF_002335725.1	94.2900	81.80	73.04	2674228	strict
GCA_015656875.1__GCA_017396345.1	82.9900	4.45	4.86	95012	verylow-AF
GCA_015656875.1__GCA_900546015.1	83.5200	0.65	0.63	12288	verylow-AF
GCA_017396345.1__GCA_017625895.1	83.1900	5.47	4.73	101648	verylow-AF
GCA_013359925.1__GCA_016632365.1	83.7300	14.83	11.49	596653	verylow-AF
GCA_013359925.1__GCA_019148575.1	83.7600	14.76	11.53	598543	verylow-AF
GCA_016632365.1__GCA_019148575.1	99.8800	96.88	97.31	3878941	strict
GCA_002383785.1__GCA_905181775.1	83.6700	3.07	2.56	49629	verylow-AF
GCA_002383785.1__GCA_017858435.1	91.4200	70.50	83.91	1628054	strict
GCA_003516975.1__GCA_017858435.1	98.9700	81.81	86.43	1883934	strict
GCA_002727955.1__GCA_014240155.1	84.7200	40.10	46.80	897979	low-AF
GCA_002331065.1__GCA_014240155.1	98.6500	85.82	88.48	1925143	strict
GCA_002331065.1__GCA_002727955.1	84.9100	44.44	39.21	853226	low-AF
GCA_903838825.1__GCA_903932195.1	86.1400	52.06	50.85	1912921	low-AF
GCA_903869715.1__GCA_903945585.1	83.5100	2.59	2.53	96047	verylow-AF
GCA_903912035.1__GCA_903945125.1	83.8000	2.55	2.72	96819	verylow-AF
GCA_002297435.1__GCA_003510925.1	85.9600	10.28	8.29	402279	verylow-AF
GCA_002380645.1__GCA_003510925.1	99.9300	95.76	81.18	3740063	strict
GCA_002297435.1__GCA_002380645.1	83.1600	10.13	9.61	466278	verylow-AF
GCA_016201095.1__GCA_902826675.1	82.2100	4.41	3.97	124006	verylow-AF
GCA_016201095.1__GCA_902826905.1	82.1800	4.46	3.94	122866	verylow-AF
GCA_902826675.1__GCA_902826905.1	98.9800	86.54	84.66	2382608	strict
GCF_000719205.1__GCF_900110985.1	88.2000	63.86	57.14	6084319	low-AF
GCF_003148865.1__GCF_900176525.1	88.0100	66.62	60.40	5755445	strict
GCF_900110985.1__GCF_900176525.1	94.4400	78.37	71.53	6776229	strict
GCF_001854625.1__GCF_003610515.1	83.5200	4.99	5.06	182479	verylow-AF
GCF_900706845.1__GCF_902385615.1	99.9700	100.00	98.97	4271313	strict
GCF_900706845.1__GCF_902386615.1	85.2700	49.49	46.10	1989804	low-AF
GCF_902385615.1__GCF_902386615.1	85.1100	48.59	45.66	1926784	low-AF
GCA_001801375.1__GCA_002790205.1	81.6000	0.53	0.71	10502	verylow-AF
GCA_001801375.1__GCA_001802445.1	82.4200	1.39	1.54	22739	verylow-AF
GCA_001802445.1__GCA_002790205.1	82.1800	4.23	4.96	82946	verylow-AF
GCF_003116065.1__GCF_017876055.1	90.5900	62.95	70.88	4960190	strict
GCF_003115995.1__GCF_017876055.1	85.6200	27.56	31.29	2184660	low-AF
GCF_003116065.1__GCF_013423495.1	84.2100	15.87	17.73	1240811	verylow-AF
GCA_003446455.1__GCA_012515325.1	83.5300	14.65	12.57	587495	verylow-AF
GCA_003169955.1__GCA_003220835.1	83.0300	26.95	23.01	832846	verylow-AF
GCA_003220835.1__GCA_003220885.1	83.5100	16.29	15.31	476327	verylow-AF
GCA_002404335.1__GCA_003169955.1	94.6800	68.44	83.55	2470394	strict
GCA_003551085.1__GCA_003561265.1	86.9500	37.61	47.31	791467	low-AF
GCA_003551085.1__GCA_003564415.1	86.9000	33.92	52.68	881298	low-AF
GCA_003550485.1__GCA_003561265.1	84.4800	2.61	1.92	55289	verylow-AF
GCA_001896795.2__GCF_014138835.1	86.4800	34.48	46.37	2531809	low-AF
GCA_014865765.1__GCA_900771935.1	83.1500	2.52	2.89	80064	verylow-AF
GCA_003142715.1__GCA_003153795.1	86.0800	10.26	11.18	375044	verylow-AF
GCA_003142715.1__GCA_003171115.1	88.9600	13.98	11.00	369176	verylow-AF
GCA_003153795.1__GCA_003157475.1	99.3200	92.29	68.47	2495756	strict
GCA_019237995.1__GCA_019241745.1	83.6000	5.07	6.05	436023	verylow-AF
GCA_002404935.1__GCA_017533625.1	81.6800	0.38	0.33	5208	verylow-AF
GCA_002404935.1__GCA_905210305.1	87.3900	49.20	56.37	899713	low-AF
GCA_017533625.1__GCA_902766235.1	81.3400	0.27	0.33	4515	verylow-AF
GCF_009744295.1__GCF_010450895.1	83.7400	8.01	6.07	394713	verylow-AF
GCA_900467235.1__GCA_900467335.1	84.9000	21.73	21.80	1056918	verylow-AF
GCA_018900155.1__GCA_900471395.1	84.9700	28.84	28.52	1399473	verylow-AF
GCA_016296895.1__GCA_900551315.1	98.8800	79.66	74.59	939499	strict
GCA_016296895.1__GCA_905194575.1	92.9000	80.66	54.03	680494	low-AF
GCA_900551315.1__GCA_905194575.1	93.0300	84.14	60.07	715339	strict
GCA_905200605.1__GCF_007833235.1	99.1300	92.51	96.28	2264257	strict
GCA_905200605.1__GCF_902387875.1	83.3700	13.45	14.41	338835	verylow-AF
GCF_007833235.1__GCF_902387875.1	83.4300	13.99	14.68	362341	verylow-AF
GCF_000294595.1__GCF_002927255.1	83.9100	7.82	7.90	279806	verylow-AF
GCF_000468215.1__GCF_013116715.1	85.6300	43.85	37.19	1359007	low-AF
GCF_002157565.1__GCF_014856945.1	84.3200	8.12	9.85	318826	verylow-AF
GCA_014697985.1__GCF_004146205.1	85.5300	29.33	29.14	961585	verylow-AF
GCF_011440275.1__GCF_014530045.1	84.3400	13.53	12.33	430681	verylow-AF
GCF_004146205.1__GCF_014530045.1	85.5100	30.19	29.44	963018	verylow-AF
GCA_903941165.1__GCF_000747175.1	83.3800	4.29	6.47	135882	verylow-AF
GCA_001830235.1__GCA_903941165.1	83.2200	7.63	5.88	159623	verylow-AF
GCA_001830235.1__GCA_903932815.1	83.1900	6.80	5.14	139594	verylow-AF
GCA_000494305.1__GCA_002433225.1	81.4100	4.65	3.43	38410	verylow-AF
GCA_011523025.1__GCA_018655745.1	81.8200	4.27	5.56	37638	verylow-AF
GCA_002448845.1__GCA_902583085.1	83.5700	2.49	2.70	18380	verylow-AF
GCA_017554085.1__GCA_018110965.1	88.3700	57.75	78.75	983543	strict
GCA_017389105.1__GCA_018110965.1	85.2300	41.29	40.23	711701	low-AF
GCA_017384905.1__GCA_018110965.1	85.4400	33.56	46.02	579032	low-AF
GCA_002472155.1__GCA_902790945.1	97.6100	85.03	80.15	2249296	strict
GCA_004559305.1__GCA_902776045.1	85.2700	16.03	30.48	441126	low-AF
GCA_902781695.1__GCA_902794995.1	95.7500	84.03	80.91	2268501	strict
GCA_003554705.1__GCA_003561075.1	85.9900	41.11	42.35	1127051	low-AF
GCA_003554705.1__GCA_003561905.1	86.0000	45.33	52.73	1403335	low-AF
GCA_003561075.1__GCA_003561905.1	99.5500	65.82	74.41	2045753	strict
GCF_003634035.1__GCF_018682335.1	84.4000	10.02	8.05	277406	verylow-AF
GCF_001273855.1__GCF_016758215.1	84.5500	10.44	10.32	370396	verylow-AF
GCF_003634035.1__GCF_018682345.1	84.2400	10.03	7.74	266596	verylow-AF
GCA_001628035.1__GCA_001628185.1	99.1500	82.33	85.32	1293926	strict
GCA_001628035.1__GCA_012960705.1	83.4300	27.46	25.85	391995	verylow-AF
GCA_001628185.1__GCA_012960705.1	83.2700	30.93	28.02	440422	verylow-AF
GCA_017386845.1__GCA_017937985.1	83.4300	0.83	1.12	26142	verylow-AF
GCA_017937985.1__GCA_900545385.1	83.2500	2.53	1.64	51632	verylow-AF
GCA_015657215.1__GCA_900545385.1	85.7700	0.07	0.09	1349	verylow-AF
GCA_003058535.1__GCA_003094495.1	85.2600	24.68	25.08	998327	verylow-AF
GCA_003058535.1__GCA_018619795.1	85.7600	24.48	27.82	1107237	verylow-AF
GCA_003094515.1__GCA_016843245.1	83.6200	5.68	6.59	264971	verylow-AF
GCF_001864935.1__GCF_001864985.1	86.9000	51.47	51.42	1859445	low-AF
GCF_000834535.1__GCF_018598295.1	93.9300	84.38	85.06	3134127	strict
GCA_016710795.1__GCA_016791405.1	83.3800	6.29	5.09	191819	verylow-AF
GCA_016710795.1__GCA_016860885.1	83.7900	13.82	14.54	547800	verylow-AF
GCA_016791405.1__GCA_016860885.1	83.9500	10.12	12.93	382599	verylow-AF
GCF_000376125.1__GCF_013459415.1	88.9000	61.03	65.45	3694030	strict
GCF_000496305.1__GCF_016598595.1	94.7400	82.26	82.60	3926362	strict
GCF_000496305.1__GCF_013459415.1	86.1700	29.95	37.59	1787118	low-AF
GCF_004353485.1__GCF_014653255.1	82.9000	8.75	8.24	275444	verylow-AF
