query	reference	ani	ani_uniform	af_query	af_reference	std_err	synteny_blocks	anchor_adjacency	breakpoint_count	het_shape	retention	ani_from_loss	ani_from_hist	enzyme_spread	enzyme_chi2	per_enzyme	n_anchors	n_chains	n_tags	max_block_anchors	mean_block_anchors	flag	ani_gated	gate
GCA_000011445.1	GCF_900489555.1	92.5884	96.0254	0.5804	0.6812	0.27998	8	0.9620	7	0.538	0.7407	94.2961	97.8825	2.9951	2.58	AlfI:94.74,AloI:97.74,BcgI:96.60,FalI:95.90	249	8	283	86	23.125	ok	92.5884	gamma
GCA_000012145.1	GCF_000825685.1	93.5020	95.9439	0.8399	0.8985	0.14379	13	0.9807	12	0.739	0.7281	94.4504	97.6657	1.4208	2.73	AlfI:94.91,AloI:95.75,BcgI:96.33,FalI:96.01	967	13	1029	129	48	ok	93.5020	gamma
GCA_000012145.1	GCF_000828125.2	95.4800	96.7055	0.5305	0.6124	0.14765	40	0.9256	39	0.918	0.7847	95.5643	97.7299	0.9191	1.95	AlfI:96.32,AloI:96.10,BcgI:96.31,FalI:97.02	857	40	734	44	13.125	ok	95.4800	gamma
GCA_000012145.1	GCF_016743795.1	92.5261	95.4124	0.8420	0.9418	0.15583	11	0.9827	10	0.761	0.6877	93.9433	97.4460	1.6759	4.24	AlfI:94.05,AloI:94.22,BcgI:95.60,FalI:95.72	1034	11	1014	222	52.63636363636363	ok	92.5261	gamma
GCA_000020605.1	GCA_900317585.1	95.4667	96.8942	0.4870	0.6505	0.08853	60	0.9542	59	0.783	0.7940	95.6335	97.9651	0.5967	1.13	AlfI:96.91,AloI:97.25,BcgI:97.00,FalI:96.65	1454	60	1858	65	21.483333333333334	ok	95.4667	gamma
GCA_000155875.1	GCF_013300725.1	95.5509	96.4169	0.6767	0.6699	0.07686	55	0.9761	47	1.375	0.7591	95.5734	97.2551	0.4661	1.64	AlfI:96.11,AloI:96.58,BcgI:96.57,FalI:96.40	2163	55	2855	133	35.92727272727273	ok	95.5509	gamma
GCA_000180035.1	GCA_018366675.1	96.2067	96.5692	0.6558	0.6610	0.09298	96	0.9364	84	2.516	0.7735	96.1792	96.9306	0.7076	2.03	AlfI:96.39,AloI:96.98,BcgI:96.28,FalI:96.69	1537	96	1792	77	13.875	ok	96.2067	gamma
GCA_000180035.1	GCF_000963275.1	95.0284	95.7780	0.8978	0.9314	0.09568	15	0.9973	4	1.968	0.7144	95.0458	96.6700	0.5854	1.60	AlfI:95.38,AloI:95.62,BcgI:95.68,FalI:95.97	1540	15	2252	317	98.33333333333333	ok	95.0284	gamma
GCA_000180035.1	GCF_001813295.1	95.4855	96.2252	0.8818	0.8338	0.08988	26	0.9902	15	1.680	0.7481	95.4530	97.0302	0.4886	2.00	AlfI:96.03,AloI:96.15,BcgI:95.95,FalI:96.44	1607	26	2239	168	59.23076923076923	ok	95.4855	gamma
GCA_000220865.1	GCA_001067655.1	96.3886	96.7211	0.6756	0.6658	0.06406	211	0.9200	199	2.781	0.7771	96.2477	97.1465	1.2882	5.51	AlfI:96.80,AloI:97.17,BcgI:96.72,FalI:95.89	2930	211	3391	66	11.843601895734597	ok	96.3886	gamma
