query	reference	ani	ani_uniform	af_query	af_reference	std_err	ani_cal	synteny_blocks	anchor_adjacency	breakpoint_count	het_shape	retention	ani_from_loss	ani_from_hist	enzyme_spread	enzyme_chi2	per_enzyme	n_anchors	n_chains	n_tags	max_block_anchors	mean_block_anchors	flag	ani_gated	gate	ani_upper95	pairid
AHWH21M4_ctg	BlongumB3_ctg	99.202	99.4561	0.872	0.8713	0.02061	98.9894	57	0.9949	21	0.156	0.9669	99.1129	99.5511	0.1478	1.59	AlfI:99.46,AloI:99.45,BcgI:99.44,FalI:99.58	4157	57	4367	339	72.26315789473684	ok	99.202	gamma	99.2017	AHWH21M4_ctg__BlongumB3_ctg
AHWH21M4_ctg	BlongumL6_ctg	99.206	99.4343	0.8246	0.7653	0.0215	98.618	63	0.9933	26	0.178	0.9656	99.1214	99.521	0.1374	1.65	AlfI:99.47,AloI:99.48,BcgI:99.40,FalI:99.53	3982	63	4170	418	62.523809523809526	ok	99.206	gamma	99.2119	AHWH21M4_ctg__BlongumL6_ctg
AHWH21M4_ctg	C-1-A4_ctg	99.0696	99.3627	0.8588	0.8702	0.02266	98.8634	55	0.9957	17	0.188	0.9612	98.9592	99.4784	0.1893	2.1	AlfI:99.33,AloI:99.39,BcgI:99.35,FalI:99.52	4054	55	4286	475	72.78181818181818	ok	99.0696	gamma	99.055	AHWH21M4_ctg__C-1-A4_ctg
AHWH21M4_ctg	C1-A13_ctg	99.0589	99.3616	0.8566	0.8699	0.0227	98.8588	57	0.9952	19	0.183	0.9611	98.9541	99.4785	0.1953	2.13	AlfI:99.32,AloI:99.39,BcgI:99.35,FalI:99.52	4059	57	4280	358	70.14035087719299	ok	99.0589	gamma	99.0502	AHWH21M4_ctg__C1-A13_ctg
AHWH21M4_ctg	C57BLSB22_ctg	98.9178	99.2004	0.8331	0.8746	0.02585	98.6806	66	0.9927	28	0.274	0.9512	98.8208	99.3151	0.2226	1.62	AlfI:99.17,AloI:99.14,BcgI:99.20,FalI:99.36	3910	66	4179	311	58.57575757575758	ok	98.9178	gamma	98.9227	AHWH21M4_ctg__C57BLSB22_ctg
AHWH21M4_ctg	CCFM1029_ctg	98.9574	99.3517	0.865	0.8144	0.02278	98.718	66	0.9925	30	0.156	0.9605	98.8613	99.4937	0.2435	3.16	AlfI:99.25,AloI:99.42,BcgI:99.36,FalI:99.49	4105	66	4347	298	60.90909090909091	ok	98.9574	gamma	98.9599	AHWH21M4_ctg__CCFM1029_ctg
AHWH21M4_ctg	CCFM685_ctg	99.1576	99.374	0.8737	0.8866	0.02212	98.9608	58	0.9951	20	0.227	0.9619	99.0472	99.4663	0.1981	1.7	AlfI:99.37,AloI:99.32,BcgI:99.36,FalI:99.51	4171	58	4386	355	70.94827586206897	ok	99.1576	gamma	99.1385	AHWH21M4_ctg__CCFM685_ctg
AHWH21M4_ctg	CCFM686_ctg	99.2772	99.4407	0.8221	0.7626	0.02104	98.729	143	0.9739	105	0.214	0.966	99.2189	99.5017	0.1286	1.15	AlfI:99.45,AloI:99.47,BcgI:99.42,FalI:99.55	4299	143	4278	230	28.41958041958042	ok	99.2772	gamma	99.3037	AHWH21M4_ctg__CCFM686_ctg
AHWH21M4_ctg	CCFM752_ctg	98.888	99.185	0.8344	0.8782	0.02611	98.6749	67	0.9924	29	0.274	0.9502	98.7861	99.3064	0.199	1.59	AlfI:99.15,AloI:99.16,BcgI:99.18,FalI:99.35	3902	67	4188	310	57.67164179104478	ok	98.888	gamma	98.8889	AHWH21M4_ctg__CCFM752_ctg
AHWH21M4_ctg	CCFM756_ctg	99.0692	99.3376	0.8426	0.844	0.02325	98.7591	69	0.9916	33	0.214	0.9597	98.9578	99.447	0.1098	0.35	AlfI:99.33,AloI:99.29,BcgI:99.34,FalI:99.40	3988	69	4232	288	57.31884057971015	ok	99.0692	gamma	99.0542	AHWH21M4_ctg__CCFM756_ctg
