query	reference	sv_type	q_contig	q_start	q_end	r_contig	r_start	r_end	size	support_left	support_right
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	RG2-3_ctg_contig1	299	27187	FSHHK16M1_ctg_contig13	3110	32628	26888	0	70
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	RG2-3_ctg_contig1	21158	22316	FSHHK16M1_ctg_contig13	7981	11105	1966	50	12
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	RG2-3_ctg_contig1	27055	28602	FSHHK16M1_ctg_contig6	79	79	1547	62	70
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	RG2-3_ctg_contig1	61207	69091	FSHHK16M1_ctg_contig6	32665	34045	6504	70	232
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	RG2-3_ctg_contig1	176249	206982	FSHHK16M1_ctg_contig6	141153	142198	29688	232	91
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	RG2-3_ctg_contig1	250107	251552	FSHHK16M1_ctg_contig8	1093	1093	1445	91	142
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	RG2-3_ctg_contig1	279894	284709	FSHHK16M1_ctg_contig8	29433	37451	3203	60	82
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	RG2-3_ctg_contig1	322165	323205	FSHHK16M1_ctg_contig9	365	365	1040	142	104
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	RG2-3_ctg_contig1	363202	378788	FSHHK16M1_ctg_contig4	6069	6069	15586	104	82
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	RG2-3_ctg_contig1	416019	417914	FSHHK16M1_ctg_contig4	43324	50886	5667	65	17
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	RG2-3_ctg_contig2	909	49798	FSHHK16M1_ctg_contig1	508277	557363	48889	0	259
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	RG2-3_ctg_contig2	49654	53351	FSHHK16M1_ctg_contig1	507674	508418	2953	107	259
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	RG2-3_ctg_contig2	53185	170838	FSHHK16M1_ctg_contig1	382929	507842	117653	107	101
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	RG2-3_ctg_contig2	56054	56408	FSHHK16M1_ctg_contig1	501752	504971	2865	7	252
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	RG2-3_ctg_contig2	164506	164848	FSHHK16M1_ctg_contig1	389250	393507	3915	250	9
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	RG2-3_ctg_contig2	175389	216396	FSHHK16M1_ctg_contig1	340745	378419	41007	259	5
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	RG2-3_ctg_contig2	207822	211368	FSHHK16M1_ctg_contig1	344146	345271	2421	93	8
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	RG2-3_ctg_contig2	211692	213939	FSHHK16M1_ctg_contig1	343204	343822	1629	95	6
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	RG2-3_ctg_contig2	216300	227629	FSHHK16M1_ctg_contig1	317258	340843	12256	101	5
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	RG2-3_ctg_contig2	227541	228879	FSHHK16M1_ctg_contig1	316288	317344	1338	101	75
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	RG2-3_ctg_contig2	228791	234014	FSHHK16M1_ctg_contig1	312489	316374	1338	5	75
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	RG2-3_ctg_contig2	233849	269307	FSHHK16M1_ctg_contig1	277153	312652	35458	5	0
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	RG2-3_ctg_contig3	404	59664	FSHHK16M1_ctg_contig1	216981	276270	59260	0	0
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	RG2-3_ctg_contig4	71978	72466	FSHHK16M1_ctg_contig7	71292	82568	10788	124	78
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	RG2-3_ctg_contig4	99618	102131	FSHHK16M1_ctg_contig7	109772	121575	9290	172	30
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	RG2-3_ctg_contig4	115368	119211	FSHHK16M1_ctg_contig11	2494	2494	3843	202	79
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	RG2-3_ctg_contig4	151782	157044	FSHHK16M1_ctg_contig11	35065	35684	4643	79	17
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	RG2-3_ctg_contig4	178880	179925	FSHHK16M1_ctg_contig11	56060	69391	12286	12	35
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	RG2-3_ctg_contig4	186647	186953	FSHHK16M1_ctg_contig11	76113	77754	1335	23	24
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	RG2-3_ctg_contig4	196780	204197	FSHHK16M1_ctg_contig2	362	362	7417	47	92
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	RG2-3_ctg_contig4	210578	213812	FSHHK16M1_ctg_contig2	6743	7735	2242	12	80
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	RG2-3_ctg_contig5	106811	109660	FSHHK16M1_ctg_contig2	182455	202852	17548	220	66
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	RG2-3_ctg_contig5	139865	140288	FSHHK16M1_ctg_contig3	436	436	423	286	203
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	RG2-3_ctg_contig5	170515	172419	FSHHK16M1_ctg_contig3	30678	34107	1525	57	146
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	RG2-3_ctg_contig5	203426	204618	FSHHK16M1_ctg_contig3	65141	69987	3654	131	72
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	RG2-3_ctg_contig6	67629	68332	FSHHK16M1_ctg_contig1	862807	864737	1227	117	7
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	RG2-3_ctg_contig6	71410	78081	FSHHK16M1_ctg_contig1	867815	872809	1677	124	224
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	RG2-3_ctg_contig7	44214	44817	FSHHK16M1_ctg_contig4	103030	104740	1107	93	211
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	RG2-3_ctg_contig7	107417	110527	FSHHK16M1_ctg_contig4	167268	168974	1404	228	76
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	RG2-3_ctg_contig8	2705	103767	FSHHK16M1_ctg_contig1	678307	779521	101062	0	55
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	RG2-3_ctg_contig8	103587	106235	FSHHK16M1_ctg_contig1	586722	678487	89117	192	55
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	RG2-3_ctg_contig8	106059	132533	FSHHK16M1_ctg_contig1	560458	586900	26474	192	0
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	RG2-3_ctg_contig9	7898	8769	FSHHK16M1_ctg_contig1	101325	103406	1210	6	214
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	RG2-3_ctg_contig10	67541	69937	FSHHK16M1_ctg_contig1	67448	68728	1116	127	63
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	RG2-3_ctg_contig11	11961	97806	FSHHK16M1_ctg_contig10	1095	96970	85845	0	0
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	RG2-3_ctg_contig11	76421	78652	FSHHK16M1_ctg_contig10	20102	32930	10597	122	44
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	RG2-3_ctg_contig12	1736	62509	FSHHK16M1_ctg_contig12	318	61043	60773	0	0
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	RG2-3_ctg_contig13	559	27038	FSHHK16M1_ctg_contig2	48648	75236	26479	0	0
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	RG2-3_ctg_contig14	0	9929	FSHHK16M1_ctg_contig1	782708	792798	9929	0	0
RG2-3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	RG2-3_ctg_contig20	150	2074	FSHHK16M1_ctg_contig1	792659	794587	1924	0	0
