stat	auc	frac_finite
bp_per_anchor	0.7976868064668009	1.0
anchors_per_tag	0.7648088404501018	1.0
std_err	0.7300405916292649	1.0
breakpoint_count	0.6164091034459702	1.0
enzyme_spread	0.6135437300280547	1.0
het_shape	0.6069715682893954	0.6395518753044326
gap_lh_af	0.5967958522431263	1.0
retention	0.5145121343061951	1.0
n_chains	0.4883776163770647	1.0
inv_shape	0.3930284317106047	0.6395518753044326
enzyme_chi2	0.36650334454691014	0.9990258158792011
n_anchors	0.3278707364162913	1.0
gap_lh	0.2861507880125146	1.0
gap_gu	0.22023744849432078	1.0
gap_gu_se	0.17787185080556414	1.0
synteny_score	0.17672542284107973	1.0
gap_lh_se	0.17486857171512868	1.0
af_query	0.14485528262304947	1.0
af_reference	0.14057951028163404	1.0
af_min	0.13911478488108073	1.0
