pairid	anim_ani	anim_af_ref	anim_af_qry	aligned_bases_qry	af_tier
GCA_902544135.1__GCA_902541315.1	91.7900	75.27	68.36	777432	strict
GCA_900548775.1__GCA_902773995.1	90.6700	65.73	67.55	1449037	strict
GCF_000220565.1__GCA_018222585.1	90.5900	65.50	72.13	3353535	strict
GCA_004211905.1__GCA_002685195.1	92.6400	74.68	61.49	1401938	strict
GCF_008011665.1__GCF_008245025.1	84.4500	65.15	61.85	950998	strict
GCF_002741105.1__GCF_900115695.1	91.1700	77.46	87.07	4253335	strict
GCF_003425685.1__GCF_017877055.1	85.6600	51.67	47.21	3290261	low-AF
GCF_003054165.1__GCA_019192965.1	86.3200	46.55	44.13	2166704	low-AF
GCF_002243645.1__GCF_001645685.2	86.0900	57.25	51.05	2882422	low-AF
GCA_004293365.1__GCA_013299165.1	89.7300	68.00	65.29	4765058	strict
GCF_000425985.1__GCF_000455825.1	88.1500	75.40	74.74	3015477	strict
GCF_003031675.1__GCF_001647715.1	88.2400	70.29	75.19	4602417	strict
GCF_002549775.1__GCA_003449675.1	87.3700	57.99	37.09	1046816	low-AF
GCA_003209755.1__GCA_003280445.1	89.8900	80.78	64.37	1108104	strict
GCA_902625035.1__GCA_902624635.1	91.5500	71.72	66.73	687590	strict
GCA_011523395.1__GCA_011523635.1	90.7300	74.98	75.84	2360619	strict
GCF_001672755.1__GCF_001667925.1	89.3600	73.08	74.48	4130255	strict
GCF_900119365.1__GCF_014649535.1	94.2500	78.38	71.66	6099128	strict
GCF_001424165.1__GCA_003520365.1	86.8100	60.55	40.71	2193043	low-AF
GCF_001885215.1__GCA_013203655.1	92.1400	81.13	61.33	1686967	strict
GCA_900547475.1__GCF_004353185.1	92.9600	63.00	75.01	2600766	strict
GCF_000938265.1__GCF_900177685.1	88.0300	74.92	68.46	2684233	strict
GCF_000402035.1__GCA_001189345.1	88.3500	73.79	41.25	2873095	low-AF
GCA_017961175.1__GCA_017962375.1	86.2600	36.20	41.13	789486	low-AF
GCF_000377565.1__GCF_017741815.1	94.2500	69.82	69.53	4554796	strict
