acc1	strain1	acc2	strain2	ani
GCF_016026715.1	FDAARGOS_928	GCF_016028495.1	FDAARGOS_878	100.0
GCF_009729975.1	FDAARGOS_687	GCF_013367835.1	FDAARGOS_711	100.0
GCF_006365335.1	FDAARGOS_768	GCF_016028495.1	FDAARGOS_878	100.0
GCF_006365335.1	FDAARGOS_768	GCF_016026715.1	FDAARGOS_928	100.0
GCF_001558355.2	FDAARGOS_94	GCF_016028495.1	FDAARGOS_878	100.0
GCF_001558355.2	FDAARGOS_94	GCF_016026715.1	FDAARGOS_928	100.0
GCF_001558355.2	FDAARGOS_94	GCF_006365335.1	FDAARGOS_768	100.0
GCF_006370495.1	FDAARGOS_609	GCF_016117835.1	FDAARGOS_879	99.99
GCF_002209225.1	FDAARGOS_321	GCF_016127435.1	FDAARGOS_1067	99.99
GCF_001188125.2	FDAARGOS_54	GCF_002984035.1	FDAARGOS_319	99.99
GCF_000783815.2	FDAARGOS_70	GCF_016127835.1	FDAARGOS_1066	99.99
GCF_002206495.1	FDAARGOS_318	GCF_016028495.1	FDAARGOS_878	99.97
GCF_002206495.1	FDAARGOS_318	GCF_016026715.1	FDAARGOS_928	99.97
GCF_002206495.1	FDAARGOS_318	GCF_006365335.1	FDAARGOS_768	99.97
GCF_001558355.2	FDAARGOS_94	GCF_002983965.1	FDAARGOS_320	99.97
GCF_001558355.2	FDAARGOS_94	GCF_002209225.1	FDAARGOS_321	99.97
GCF_001558355.2	FDAARGOS_94	GCF_002208965.1	FDAARGOS_312	99.97
GCF_002984285.1	FDAARGOS_317	GCF_016026715.1	FDAARGOS_928	99.95
GCF_002984285.1	FDAARGOS_317	GCF_006365335.1	FDAARGOS_768	99.95
GCF_001558355.2	FDAARGOS_94	GCF_002206495.1	FDAARGOS_318	99.95
GCF_002984285.1	FDAARGOS_317	GCF_016028495.1	FDAARGOS_878	99.94
GCF_002983965.1	FDAARGOS_320	GCF_016127435.1	FDAARGOS_1067	99.94
GCF_002983965.1	FDAARGOS_320	GCF_013367835.1	FDAARGOS_711	99.94
GCF_002208965.1	FDAARGOS_312	GCF_016026715.1	FDAARGOS_928	99.94
GCF_002208965.1	FDAARGOS_312	GCF_006365335.1	FDAARGOS_768	99.94
GCF_001558355.2	FDAARGOS_94	GCF_016127435.1	FDAARGOS_1067	99.94
GCF_001558355.2	FDAARGOS_94	GCF_013367835.1	FDAARGOS_711	99.94
GCF_002209225.1	FDAARGOS_321	GCF_002983965.1	FDAARGOS_320	99.93
GCF_002208965.1	FDAARGOS_312	GCF_016028495.1	FDAARGOS_878	99.93
GCF_002206495.1	FDAARGOS_318	GCF_016127435.1	FDAARGOS_1067	99.93
GCF_002206495.1	FDAARGOS_318	GCF_002983965.1	FDAARGOS_320	99.93
GCF_013367835.1	FDAARGOS_711	GCF_016127435.1	FDAARGOS_1067	99.92
GCF_009729975.1	FDAARGOS_687	GCF_016127435.1	FDAARGOS_1067	99.92
GCF_002984285.1	FDAARGOS_317	GCF_016127435.1	FDAARGOS_1067	99.92
GCF_002208965.1	FDAARGOS_312	GCF_002983965.1	FDAARGOS_320	99.92
GCF_002206495.1	FDAARGOS_318	GCF_002984285.1	FDAARGOS_317	99.92
GCF_001558355.2	FDAARGOS_94	GCF_002984285.1	FDAARGOS_317	99.92
GCF_002983965.1	FDAARGOS_320	GCF_009729975.1	FDAARGOS_687	99.91
GCF_002209225.1	FDAARGOS_321	GCF_002984285.1	FDAARGOS_317	99.91
GCF_002983965.1	FDAARGOS_320	GCF_016028495.1	FDAARGOS_878	99.9
GCF_002209225.1	FDAARGOS_321	GCF_016028495.1	FDAARGOS_878	99.9
GCF_002209225.1	FDAARGOS_321	GCF_016026715.1	FDAARGOS_928	99.9
GCF_001558355.2	FDAARGOS_94	GCF_009729975.1	FDAARGOS_687	99.9
