query	reference	ani	ani_uniform	af_query	af_reference	std_err	synteny_blocks	synteny_score	breakpoint_count
ENA|U00096|U00096.3	ENA|U00096|U00096.3	99.9999	99.9999	0.9996	0.9996	0.22785	1	0.8871	774
ENA|U00096|U00096.3	ENA|BA000007|BA000007.3	98.1285	98.5163	0.9106	0.8435	0.03121	32	0.8468	881
ENA|U00096|U00096.3	ENA|AP009048|AP009048.1	99.9948	99.9948	0.9971	0.9971	0.00163	3	0.8867	776
ENA|U00096|U00096.3	ENA|AE014075|AE014075.1	96.8903	97.5377	0.9043	0.8257	0.04264	33	0.8847	560
ENA|U00096|U00096.3	ENA|CP000243|CP000243.1	96.9177	97.5159	0.9043	0.8796	0.04279	32	0.9035	461
ENA|BA000007|BA000007.3	ENA|U00096|U00096.3	98.0535	98.4973	0.7688	0.9117	0.03147	46	0.8440	897
ENA|BA000007|BA000007.3	ENA|BA000007|BA000007.3	99.9999	99.9999	0.9903	0.9903	0.21443	40	0.8518	1239
ENA|BA000007|BA000007.3	ENA|AP009048|AP009048.1	98.0501	98.4945	0.7669	0.9091	0.03152	48	0.8434	900
ENA|BA000007|BA000007.3	ENA|AE014075|AE014075.1	96.7023	97.4340	0.7720	0.8225	0.04348	61	0.8551	731
ENA|BA000007|BA000007.3	ENA|CP000243|CP000243.1	96.5715	97.3728	0.7838	0.8583	0.04397	57	0.8776	602
ENA|AP009048|AP009048.1	ENA|U00096|U00096.3	99.9859	99.9859	0.9971	0.9971	0.00270	3	0.8867	776
ENA|AP009048|AP009048.1	ENA|BA000007|BA000007.3	98.0925	98.5023	0.9081	0.8332	0.03140	35	0.8462	884
ENA|AP009048|AP009048.1	ENA|AP009048|AP009048.1	99.9999	99.9999	0.9996	0.9996	0.22754	1	0.8870	774
ENA|AP009048|AP009048.1	ENA|AE014075|AE014075.1	96.8611	97.5199	0.9020	0.8236	0.04284	35	0.8843	562
ENA|AP009048|AP009048.1	ENA|CP000243|CP000243.1	96.8786	97.5018	0.9041	0.8783	0.04292	34	0.9040	459
ENA|AE014075|AE014075.1	ENA|U00096|U00096.3	96.9436	97.5612	0.7946	0.9524	0.04249	30	0.8843	562
ENA|AE014075|AE014075.1	ENA|BA000007|BA000007.3	96.7494	97.4577	0.8059	0.8433	0.04329	44	0.8586	713
ENA|AE014075|AE014075.1	ENA|AP009048|AP009048.1	96.9426	97.5594	0.7925	0.9501	0.04254	32	0.8839	564
ENA|AE014075|AE014075.1	ENA|AE014075|AE014075.1	99.9999	99.9999	0.9988	0.9988	0.21550	17	0.9387	450
ENA|AE014075|AE014075.1	ENA|CP000243|CP000243.1	98.9744	99.3244	0.8915	0.9424	0.01926	43	0.9388	381
ENA|CP000243|CP000243.1	ENA|U00096|U00096.3	96.9212	97.5185	0.8226	0.9507	0.04279	34	0.9029	464
ENA|CP000243|CP000243.1	ENA|BA000007|BA000007.3	96.8410	97.4769	0.8249	0.8209	0.04317	54	0.8782	599
ENA|CP000243|CP000243.1	ENA|AP009048|AP009048.1	96.9294	97.5228	0.8212	0.9471	0.04276	37	0.9031	463
ENA|CP000243|CP000243.1	ENA|AE014075|AE014075.1	99.0212	99.3367	0.9175	0.9258	0.01910	44	0.9393	378
ENA|CP000243|CP000243.1	ENA|CP000243|CP000243.1	99.9999	99.9999	0.9994	0.9994	0.21925	12	0.9619	265
