query	reference	ani	ani_uniform	af_query	af_reference	std_err	synteny_blocks	synteny_score	breakpoint_count	het_shape	retention	ani_from_loss	ani_from_hist	enzyme_spread	enzyme_chi2	per_enzyme	n_anchors	n_chains	n_tags	max_block_anchors	mean_block_anchors	flag	ani_gated	gate
AE009951.2	NZ_GG770404.1	97.4338	97.4338	0.0076	0.0066	0.76496	3	0.8667	2	inf	0.8397	98.1891	97.0176	2.9367	0.05	AloI:100.00,FalI:97.06	282	3	18	7	5.333333333333333	INCONSISTENT	97.4338	uniform
CP000875.1	NZ_PUBZ01000001.1	87.9930	89.6293	0.3273	0.3651	0.12791	94	0.9076	91	5.089	0.2620	89.3158	92.1383	1.0523	3.04	AlfI:90.14,AloI:90.33,BcgI:89.37,FalI:89.27	1634	94	4035	49	10.51063829787234	ok	87.9930	gamma
CT978603.1	JAAXIH010000097.1	93.0156	93.3036	0.5012	0.6087	0.12229	103	0.9034	102	8.932	0.5021	93.0229	94.1319	1.1045	4.05	AlfI:93.76,AloI:92.66,BcgI:92.99,FalI:92.75	1290	103	2201	53	10.262135922330097	ok	93.0156	gamma
FP565575.1	NSJM01000146.1	89.8049	94.2597	0.1315	0.1250	0.21903	32	0.8967	31	0.807	0.5797	92.8514	97.1939	0.6994	0.43	AlfI:94.72,AloI:94.08,BcgI:94.17,FalI:94.02	645	32	635	47	9.40625	INCONSISTENT	89.8049	gamma
GG774898.1	CAJPNS010000001.1	98.0644	98.0644	0.0953	0.1071	0.12859	60	0.8462	58	inf	0.8779	97.7817	98.1972	0.7862	0.29	AlfI:98.22,AloI:97.44,BcgI:98.07,FalI:97.98	715	60	444	15	6.316666666666666	INCONSISTENT	98.0644	uniform
CP002770.1	NZ_RBWE01000001.1	92.0228	94.3832	0.6334	0.7673	0.10624	39	0.9710	38	1.260	0.5957	93.2545	96.5692	1.7657	12.87	AlfI:95.12,AloI:93.77,BcgI:94.43,FalI:93.35	1558	39	2591	241	33.61538461538461	ok	92.0228	gamma
APKF01000001.1	DTFV01000057.1	93.0403	93.4426	0.5051	0.5545	0.14491	71	0.9777	14	6.507	0.5294	93.1398	94.2454	0.6509	1.02	AlfI:93.71,AloI:93.47,BcgI:93.63,FalI:93.06	993	71	1617	48	9.633802816901408	ok	93.0403	gamma
APJZ01000001.1	QEFP01000001.1	93.3517	93.3517	0.1595	0.2059	1.06569	2	1.0000	0	inf	0.5444	93.1640	94.0336	4.3784	5.12	AloI:96.91,FalI:92.53	51	2	32	6	5.5	INCONSISTENT	93.3517	uniform
FR884648.1	QAMT01000006.1	88.1791	89.0361	0.3551	0.3008	0.24757	31	0.9631	9	9.312	0.2415	88.8052	90.9517	2.7215	2.50	AlfI:89.42,AloI:90.54,BcgI:89.08,FalI:87.82	447	31	1201	22	8.580645161290322	ok	88.1791	gamma
FR902207.1	DOEC01000016.1	89.8999	93.0420	0.2361	0.2576	0.44958	10	0.9851	1	1.336	0.5271	91.7751	96.1207	7.5442	2.22	AlfI:95.12,AloI:95.30,BcgI:87.76,FalI:92.89	159	10	208	13	7.6	ok	89.8999	gamma
AXWL01000001.1	JADHUF010000053.1	91.5855	91.5855	0.1307	0.1377	0.63850	6	0.9722	1	inf	0.4174	91.6286	91.7764	5.9211	3.05	AlfI:89.24,AloI:88.52,BcgI:87.08,FalI:93.00	114	6	119	11	6.833333333333333	ok	91.5855	uniform
CP006914.1	MEWJ01000001.1	90.8460	90.8460	0.0273	0.0253	1.39593	2	0.8889	1	inf	0.3644	90.9449	88.7737	6.0776	4.68	BcgI:94.75,FalI:88.68	68	2	27	5	5	INCONSISTENT	90.8460	uniform
CP006977.1	NC_007181.1	94.0910	95.1132	0.8744	0.8393	0.14564	7	0.9917	6	1.856	0.6673	94.3257	96.2926	1.1626	2.56	AlfI:95.22,AloI:95.00,BcgI:94.21,FalI:95.37	744	7	1193	374	102.85714285714286	ok	94.0910	gamma
AZYC01000001.1	AZYB01000001.1	94.9708	94.9708	0.1054	0.1011	0.61240	5	0.9524	1	inf	0.6575	94.9545	94.9872	7.4239	1.06	AlfI:93.74,AloI:88.27,BcgI:94.42,FalI:95.70	87	5	64	6	5	ok	94.9708	uniform
BAUW01000240.1	NZ_JAAVUM010000001.1	88.1956	89.3777	0.4163	0.4068	0.16724	52	0.9961	2	6.507	0.2737	89.0687	91.7596	0.4815	0.27	AlfI:89.50,AloI:89.68,BcgI:89.19,FalI:89.41	1639	52	2538	39	10.884615384615385	INCONSISTENT	88.1956	gamma
KK211149.1	NZ_VFQB01000001.1	86.7729	89.1293	0.6781	0.6618	0.10183	32	0.9885	17	4.219	0.2332	88.7445	92.7293	4.7268	36.41	AlfI:89.33,AloI:87.60,BcgI:88.82,FalI:92.33	1679	32	7038	259	46.71875	ok	86.7729	gamma
JJNX02000001.1	DCUX01000054.1	90.1404	90.8358	0.2889	0.3465	0.28215	18	0.9845	2	7.192	0.3673	90.5171	92.5760	0.7920	0.51	AlfI:90.32,AloI:90.42,BcgI:90.46,FalI:91.12	428	18	703	15	8.055555555555555	ok	90.1404	gamma
JNIN01000001.1	JAFOVD010000001.1	83.4221	90.7272	0.1725	0.2178	0.33320	19	0.8824	18	1.174	0.3452	89.7250	95.5982	2.3008	3.07	AlfI:91.48,AloI:90.21,BcgI:89.33,FalI:91.63	264	19	533	22	8.105263157894736	INCONSISTENT	90.7272	uniform_fallback
JWKQ01000001.1	JAGVVU010000012.1	99.3810	99.6835	0.1297	0.1128	0.06904	17	0.9309	15	0.070	0.9809	99.2787	99.7919	1.3320	2.47	AlfI:99.92,AloI:98.59,BcgI:99.73,FalI:99.66	298	17	229	19	12.882352941176471	ok	99.3810	gamma
LADT01000024.1	JUEF01000001.1	91.8324	92.3687	0.2365	0.2686	0.21866	42	0.9666	10	6.507	0.4637	92.0085	93.6214	0.5590	0.16	AlfI:92.28,AloI:92.84,BcgI:92.37,FalI:92.33	707	42	890	15	7.880952380952381	ok	91.8324	gamma
LBQR01000001.1	DOKP01000072.1	95.1896	97.6016	0.3647	0.3486	0.16091	31	0.9766	5	0.325	0.8472	96.1765	98.5004	2.2259	6.10	AlfI:98.66,AloI:96.43,BcgI:97.65,FalI:97.29	436	31	432	16	7.741935483870968	ok	95.1896	gamma
LBSF01000001.1	CAIVJR010000001.1	78.8927	90.5369	0.2613	0.2262	0.66188	1	1.0000	0	0.831	0.3580	89.1910	96.1490	4.4447	1.17	AlfI:88.32,AloI:92.76,BcgI:91.97,FalI:89.92	59	1	147	6	6	INCONSISTENT	90.5369	uniform_fallback
LCBB01000001.1	MEVX01000001.1	76.3142	89.2079	0.0948	0.1083	0.88639	2	1.0000	0	1.014	0.2725	88.0581	95.8492	4.2930	0.61	AlfI:87.76,AloI:85.86,BcgI:90.16,FalI:89.58	73	2	100	8	7	INCONSISTENT	89.2079	uniform_fallback
LCFC01000001.1	LCCS01000001.1	88.9010	90.0970	0.3275	0.2908	0.40928	10	0.9855	1	5.554	0.3108	89.7902	92.3973	2.9670	1.43	AlfI:88.41,AloI:91.38,BcgI:89.98,FalI:90.71	216	10	374	11	7.8	INCONSISTENT	88.9010	gamma
LCLH01000001.1	JACRFU010000026.1	91.9357	91.9357	0.0934	0.0757	0.67412	1	1.0000	0	inf	0.4119	91.6965	92.7716	8.6056	1.80	AlfI:93.57,AloI:84.96,BcgI:91.49,FalI:91.40	78	1	96	4	4	INCONSISTENT	91.9357	uniform
CP011001.1	DS995299.1	94.7840	95.6039	0.8914	0.9157	0.15006	5	0.9935	4	1.911	0.7008	94.9253	96.4755	1.1942	3.53	AlfI:96.55,AloI:95.94,BcgI:95.36,FalI:95.35	626	5	951	259	122.8	ok	94.7840	gamma
LJHR01000001.1	NZ_CP025611.1	93.0740	93.8138	0.8539	0.8245	0.05903	77	0.9927	32	3.707	0.5437	93.3344	95.0809	0.7874	7.94	AlfI:93.94,AloI:94.31,BcgI:93.52,FalI:94.08	4589	77	8791	620	57.76623376623377	ok	93.0740	gamma
LJTR01000173.1	JADHXR010000069.1	90.3574	90.8802	0.2797	0.1870	0.14934	61	0.9945	2	9.587	0.3367	90.6466	92.2307	1.3916	2.38	AlfI:90.84,AloI:91.20,BcgI:91.08,FalI:89.81	1095	61	2353	17	6.950819672131147	ok	90.3574	gamma
BBCS01000001.1	BBDO01000001.1	86.9962	86.9962	0.2032	0.2386	0.54678	8	0.9804	1	inf	0.1752	87.0592	87.2317	2.4931	0.98	AlfI:85.91,AloI:88.23,BcgI:85.73,FalI:87.60	138	8	355	10	7.25	BELOW_DETECTION	86.9962	uniform
BBDO01000001.1	BBBJ01000001.1	87.9667	87.9667	0.3759	0.4115	0.37760	13	0.9583	5	inf	0.2060	88.0142	88.1992	3.4850	4.08	AlfI:88.19,AloI:87.79,BcgI:85.81,FalI:89.30	232	13	625	18	9.846153846153847	ok	87.9667	uniform
LJKL01000016.1	JAAYKC010000058.1	87.1130	89.2133	0.1387	0.1345	0.48965	10	0.9524	3	4.344	0.2522	88.8750	92.1511	3.2098	1.15	AlfI:89.33,AloI:90.55,BcgI:89.03,FalI:87.34	199	10	305	9	7	INCONSISTENT	87.1130	gamma
LDXP01000001.1	JACPCF010000087.1	90.9636	91.5328	0.2653	0.2657	0.22998	26	0.9946	1	7.624	0.3870	91.2387	93.2359	4.2203	8.14	AlfI:88.84,AloI:92.21,BcgI:91.17,FalI:93.06	581	26	910	14	8.115384615384615	ok	90.9636	gamma
LNEO01000001.1	JAEUKI010000070.1	86.6138	88.5215	0.3766	0.3761	0.10247	131	0.9851	19	5.554	0.2084	88.2229	91.7989	2.5689	13.28	AlfI:87.72,AloI:88.24,BcgI:88.46,FalI:90.29	2383	131	7759	65	10.580152671755725	ok	86.6138	gamma
LDIX01000001.1	JAHIKO010000024.1	96.5225	96.5225	0.5030	0.5123	0.18573	31	0.9363	20	inf	0.7723	96.3387	96.7019	0.8040	0.76	AlfI:96.72,AloI:96.57,BcgI:95.91,FalI:96.66	437	31	452	17	10.483870967741936	ok	96.5225	uniform
LN913007.1	UQRQ01000001.1	86.7257	89.6781	0.5832	0.5816	0.19642	33	0.9404	27	2.948	0.2864	89.1408	93.2472	1.0680	1.45	AlfI:88.97,AloI:89.01,BcgI:89.83,FalI:90.04	642	33	1782	35	13.909090909090908	ok	86.7257	gamma
LGFX01000001.1	DJVI01000003.1	89.8938	89.8938	0.6418	0.6836	0.25399	24	0.9702	9	inf	0.3247	89.7257	91.0883	1.8228	1.61	AlfI:88.90,AloI:89.85,BcgI:88.35,FalI:90.18	366	24	1023	29	13.208333333333334	ok	89.8938	uniform
LGFQ01000086.1	NZ_JADEVE010000003.1	92.1186	92.4243	0.7368	0.5320	0.14038	72	0.9971	2	10.163	0.4495	92.1909	93.1457	2.0228	10.91	AlfI:93.20,AloI:91.33,BcgI:92.90,FalI:91.18	1001	72	2029	37	10.61111111111111	ok	92.1186	gamma
LGGV01000121.1	JAAYDT010000033.1	93.1473	93.5590	0.6390	0.5008	0.16275	50	0.9915	4	6.138	0.5363	93.2483	94.4149	1.8106	7.57	AlfI:93.92,AloI:94.81,BcgI:93.05,FalI:93.00	714	50	1249	28	10.34	ok	93.1473	gamma
LFTK01000143.1	JAAYLD010000078.1	89.2074	90.7548	0.4780	0.5101	0.19792	38	0.9963	1	4.046	0.3402	90.3840	92.9376	1.9460	2.21	AlfI:91.35,AloI:92.34,BcgI:90.40,FalI:90.65	575	38	1407	21	8.157894736842104	ok	89.2074	gamma
LQHI01000001.1	SOKQ01000013.1	93.9896	94.4078	0.3336	0.4288	0.24621	19	0.9949	1	5.089	0.5940	94.0254	95.2013	1.3237	0.83	AlfI:94.92,AloI:93.60,BcgI:94.54,FalI:93.82	266	19	440	27	11.368421052631579	ok	93.9896	gamma
CP010514.1	APJZ01000001.1	92.2084	92.2084	0.2362	0.2460	1.01501	3	0.8947	2	inf	0.4667	92.1844	92.4046	0.7257	0.02	AlfI:91.69,AloI:92.31,FalI:92.41	46	3	43	9	6.666666666666667	INCONSISTENT	92.2084	uniform
CP010514.1	QEFP01000001.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	35	0	0	0	0	BELOW_DETECTION	NaN	none
