group	label	method	n	mae	med	bias	sd	r
overall	overall	syn2bani_raw	43955	1.6474	1.2880	1.4152	1.6772	0.8672
overall	overall	syn2bani_v6	40629	0.6180	0.4953	-0.1274	0.8158	0.9672
overall	overall	syn2bani_hybrid	40629	0.6189	0.4927	-0.1089	0.8453	0.9656
overall	overall	skani	44059	1.0181	0.7800	-0.8686	0.9845	0.9778
overall	overall	fastani	44060	1.0321	0.8759	-0.9699	0.8784	0.9834
band	80-85	syn2bani_raw	12094	1.9642	1.5114	1.6328	2.0732	0.1201
band	80-85	syn2bani_v6	8823	0.7155	0.5782	-0.2092	0.9619	0.4136
band	80-85	syn2bani_hybrid	8823	0.7218	0.5782	-0.2022	1.0264	0.3826
band	80-85	skani	12172	1.9690	2.0100	-1.9674	0.6151	0.6825
band	80-85	fastani	12172	1.8350	1.8168	-1.8344	0.5298	0.8275
band	85-90	syn2bani_raw	15973	1.8918	1.5441	1.6613	1.7642	0.4917
band	85-90	syn2bani_v6	15918	0.6445	0.5179	-0.0954	0.8461	0.7741
band	85-90	syn2bani_hybrid	15918	0.6466	0.5179	-0.0933	0.8636	0.7674
band	85-90	skani	16000	0.8930	0.7900	-0.7421	0.8102	0.8312
band	85-90	fastani	16000	1.0048	0.8858	-0.9802	0.7469	0.8762
band	90-95	syn2bani_raw	14758	1.2141	1.0731	1.0478	1.0717	0.7686
band	90-95	syn2bani_v6	14758	0.5397	0.4428	-0.1047	0.6836	0.8997
band	90-95	syn2bani_hybrid	14758	0.5469	0.4440	-0.0943	0.7078	0.8946
band	90-95	skani	14758	0.4307	0.3300	-0.1663	0.5456	0.9329
band	90-95	fastani	14758	0.4553	0.3245	-0.3042	0.5747	0.9311
band	95-97	syn2bani_raw	496	0.7563	0.6093	0.6655	0.6633	0.6188
band	95-97	syn2bani_v6	496	0.4487	0.3488	0.0615	0.5856	0.6932
band	95-97	syn2bani_hybrid	496	0.5386	0.4184	0.2129	0.6857	0.7183
band	95-97	skani	496	0.3178	0.2600	0.0272	0.4091	0.7919
band	95-97	fastani	496	0.3512	0.2340	-0.1841	0.5310	0.7580
band	97-100	syn2bani_raw	634	0.2292	0.1600	0.2022	0.2521	0.9576
band	97-100	syn2bani_v6	634	0.5474	0.3796	-0.4662	0.6138	0.7729
band	97-100	syn2bani_hybrid	634	0.2284	0.1583	0.2032	0.2499	0.9588
band	97-100	skani	633	0.1386	0.0800	-0.0109	0.2146	0.9697
band	97-100	fastani	634	0.2659	0.1443	-0.2220	0.7326	0.7653
common	overall	syn2bani_raw	40629	1.6738	1.2868	1.4767	1.6823	0.8554
common	overall	syn2bani_v6	40629	0.6180	0.4953	-0.1274	0.8158	0.9672
common	overall	syn2bani_hybrid	40629	0.6189	0.4927	-0.1089	0.8453	0.9656
common	overall	skani	40628	0.9433	0.6900	-0.7822	0.9571	0.9764
common	overall	fastani	40629	0.9641	0.7783	-0.8966	0.8644	0.9819
common_band	80-85	syn2bani_raw	8823	2.2012	1.6703	1.9924	2.1617	-0.0615
common_band	80-85	syn2bani_v6	8823	0.7155	0.5782	-0.2092	0.9619	0.4136
common_band	80-85	syn2bani_hybrid	8823	0.7218	0.5782	-0.2022	1.0264	0.3826
common_band	80-85	skani	8823	1.9843	2.0100	-1.9825	0.6073	0.6571
common_band	80-85	fastani	8823	1.8281	1.7904	-1.8273	0.5479	0.8087
common_band	85-90	syn2bani_raw	15918	1.8937	1.5449	1.6646	1.7647	0.4875
common_band	85-90	syn2bani_v6	15918	0.6445	0.5179	-0.0954	0.8461	0.7741
common_band	85-90	syn2bani_hybrid	15918	0.6466	0.5179	-0.0933	0.8636	0.7674
common_band	85-90	skani	15918	0.8931	0.7900	-0.7438	0.8091	0.8310
common_band	85-90	fastani	15918	1.0038	0.8853	-0.9790	0.7472	0.8754
common_band	90-95	syn2bani_raw	14758	1.2141	1.0731	1.0478	1.0717	0.7686
common_band	90-95	syn2bani_v6	14758	0.5397	0.4428	-0.1047	0.6836	0.8997
common_band	90-95	syn2bani_hybrid	14758	0.5469	0.4440	-0.0943	0.7078	0.8946
common_band	90-95	skani	14758	0.4307	0.3300	-0.1663	0.5456	0.9329
common_band	90-95	fastani	14758	0.4553	0.3245	-0.3042	0.5747	0.9311
common_band	95-97	syn2bani_raw	496	0.7563	0.6093	0.6655	0.6633	0.6188
common_band	95-97	syn2bani_v6	496	0.4487	0.3488	0.0615	0.5856	0.6932
common_band	95-97	syn2bani_hybrid	496	0.5386	0.4184	0.2129	0.6857	0.7183
common_band	95-97	skani	496	0.3178	0.2600	0.0272	0.4091	0.7919
common_band	95-97	fastani	496	0.3512	0.2340	-0.1841	0.5310	0.7580
common_band	97-100	syn2bani_raw	634	0.2292	0.1600	0.2022	0.2521	0.9576
common_band	97-100	syn2bani_v6	634	0.5474	0.3796	-0.4662	0.6138	0.7729
common_band	97-100	syn2bani_hybrid	634	0.2284	0.1583	0.2032	0.2499	0.9588
common_band	97-100	skani	633	0.1386	0.0800	-0.0109	0.2146	0.9697
common_band	97-100	fastani	634	0.2659	0.1443	-0.2220	0.7326	0.7653
