query	reference	sv_type	q_contig	q_start	q_end	r_contig	r_start	r_end	size	support_left	support_right
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FBJ20M1_ctg_contig2	5605	10351	FSHHK16M1_ctg_contig3	99760	104467	4746	0	169
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FBJ20M1_ctg_contig2	10137	24781	FSHHK16M1_ctg_contig3	88104	99974	2774	10	169
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FBJ20M1_ctg_contig2	24622	107797	FSHHK16M1_ctg_contig3	277	88263	83175	10	254
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FBJ20M1_ctg_contig2	43289	44477	FSHHK16M1_ctg_contig3	65141	69987	3658	33	136
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FBJ20M1_ctg_contig2	75495	77405	FSHHK16M1_ctg_contig3	30678	34107	1519	107	62
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FBJ20M1_ctg_contig2	107638	108191	FSHHK16M1_ctg_contig2	233027	233027	553	169	254
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FBJ20M1_ctg_contig2	108008	237026	FSHHK16M1_ctg_contig2	86602	233175	129018	169	157
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FBJ20M1_ctg_contig2	138404	141253	FSHHK16M1_ctg_contig2	182455	202852	17548	64	190
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FBJ20M1_ctg_contig2	236843	243378	FSHHK16M1_ctg_contig2	84368	86786	4117	254	157
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FBJ20M1_ctg_contig2	243219	318453	FSHHK16M1_ctg_contig2	9762	84527	75234	254	17
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FBJ20M1_ctg_contig2	318294	320739	FSHHK16M1_ctg_contig2	9546	9921	2070	157	17
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FBJ20M1_ctg_contig2	320471	332433	FSHHK16M1_ctg_contig2	94	9814	11962	157	69
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FBJ20M1_ctg_contig2	322555	326348	FSHHK16M1_ctg_contig2	6179	7735	2237	4	13
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FBJ20M1_ctg_contig2	332165	333895	FSHHK16M1_ctg_contig11	87602	87602	1730	17	69
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FBJ20M1_ctg_contig2	333692	370720	FSHHK16M1_ctg_contig11	47657	87808	37028	17	17
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FBJ20M1_ctg_contig2	352151	352525	FSHHK16M1_ctg_contig11	65254	69391	3763	38	31
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FBJ20M1_ctg_contig2	376525	383722	FSHHK16M1_ctg_contig11	35560	42699	7197	69	69
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FBJ20M1_ctg_contig2	383598	388854	FSHHK16M1_ctg_contig11	35065	35684	4637	17	69
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FBJ20M1_ctg_contig2	388697	421329	FSHHK16M1_ctg_contig11	2461	35222	32632	17	0
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FBJ20M1_ctg_contig3	7713	116176	FSHHK16M1_ctg_contig1	872623	981205	108463	0	23
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FBJ20M1_ctg_contig3	115992	122657	FSHHK16M1_ctg_contig1	867815	872809	1671	223	23
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FBJ20M1_ctg_contig3	122470	134326	FSHHK16M1_ctg_contig1	857880	868002	11856	223	223
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FBJ20M1_ctg_contig3	132016	134028	FSHHK16M1_ctg_contig1	858178	858657	1533	21	2
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FBJ20M1_ctg_contig3	134139	148241	FSHHK16M1_ctg_contig1	856429	858067	12464	23	223
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FBJ20M1_ctg_contig3	148073	267916	FSHHK16M1_ctg_contig1	736868	856598	119843	23	106
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FBJ20M1_ctg_contig3	272552	327478	FSHHK16M1_ctg_contig1	678302	733226	54926	223	19
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FBJ20M1_ctg_contig3	327293	329941	FSHHK16M1_ctg_contig1	586722	678487	89117	106	19
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FBJ20M1_ctg_contig3	329797	336785	FSHHK16M1_ctg_contig1	579875	586863	6988	106	0
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FBJ20M1_ctg_contig4	3653	21899	FSHHK16M1_ctg_contig1	560147	578203	18246	0	0
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FBJ20M1_ctg_contig5	1595	51757	FSHHK16M1_ctg_contig1	508275	558425	50162	0	226
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FBJ20M1_ctg_contig5	51613	55310	FSHHK16M1_ctg_contig1	507674	508418	2953	108	226
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FBJ20M1_ctg_contig5	55140	158351	FSHHK16M1_ctg_contig1	405402	507844	103211	108	0
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FBJ20M1_ctg_contig6	320	22074	FSHHK16M1_ctg_contig1	382944	405035	21754	0	101
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FBJ20M1_ctg_contig6	26640	63590	FSHHK16M1_ctg_contig1	340745	378419	36950	48	87
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FBJ20M1_ctg_contig6	63494	74822	FSHHK16M1_ctg_contig1	317258	340843	12257	101	87
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FBJ20M1_ctg_contig6	74657	119581	FSHHK16M1_ctg_contig1	273992	317423	44924	101	0
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FBJ20M1_ctg_contig6	75982	79629	FSHHK16M1_ctg_contig1	314065	316374	1338	5	82
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FBJ20M1_ctg_contig7	10007	77534	FSHHK16M1_ctg_contig8	962	72493	67527	0	312
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FBJ20M1_ctg_contig7	44259	49068	FSHHK16M1_ctg_contig8	29433	37451	3209	80	62
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FBJ20M1_ctg_contig7	77403	78848	FSHHK16M1_ctg_contig6	185329	185329	1445	142	312
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FBJ20M1_ctg_contig7	78680	230270	FSHHK16M1_ctg_contig6	33877	185497	151590	142	70
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FBJ20M1_ctg_contig7	230102	237986	FSHHK16M1_ctg_contig6	32665	34045	6504	312	70
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FBJ20M1_ctg_contig7	237829	270734	FSHHK16M1_ctg_contig6	0	32819	32905	312	67
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FBJ20M1_ctg_contig7	270577	272124	FSHHK16M1_ctg_contig13	3242	3242	1547	70	67
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FBJ20M1_ctg_contig9	38670	93879	FSHHK16M1_ctg_contig1	215105	217135	53179	45	122
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FBJ20M1_ctg_contig11	8788	12840	FSHHK16M1_ctg_contig1	58135	63407	1220	19	257
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FBJ20M1_ctg_contig11	16912	19277	FSHHK16M1_ctg_contig1	67479	68728	1116	11	246
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FBJ20M1_ctg_contig12	42408	44303	FSHHK16M1_ctg_contig4	43324	50886	5667	65	165
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FBJ20M1_ctg_contig13	134	75706	FSHHK16M1_ctg_contig10	38900	112647	75572	0	40
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FBJ20M1_ctg_contig13	14295	17441	FSHHK16M1_ctg_contig10	96801	98497	1450	36	107
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FBJ20M1_ctg_contig13	75523	81659	FSHHK16M1_ctg_contig10	16307	39083	16640	143	40
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FBJ20M1_ctg_contig13	81528	96825	FSHHK16M1_ctg_contig10	1135	16436	15297	143	0
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FBJ20M1_ctg_contig14	71457	71945	FSHHK16M1_ctg_contig7	71292	82568	10788	117	26
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FBJ20M1_ctg_contig15	413	81173	FSHHK16M1_ctg_contig12	302	82566	80760	0	0
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FBJ20M1_ctg_contig15	46404	47158	FSHHK16M1_ctg_contig12	34292	36572	1526	102	67
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FBJ20M1_ctg_contig16	942	75337	FSHHK16M1_ctg_contig4	127059	201950	74395	0	0
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FBJ20M1_ctg_contig17	1499	24932	FSHHK16M1_ctg_contig9	11721	39600	23433	0	0
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FBJ20M1_ctg_contig17	5142	5843	FSHHK16M1_ctg_contig9	30801	35975	4473	8	51
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FBJ20M1_ctg_contig21	1049	10012	FSHHK16M1_ctg_contig7	99944	109910	8963	0	0
FBJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FBJ20M1_ctg_contig21	3148	5406	FSHHK16M1_ctg_contig7	104546	107810	1006	5	16
