query	reference	sv_type	q_contig	q_start	q_end	r_contig	r_start	r_end	size	support_left	support_right
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig3	0	49864	FSHHK16M1_ctg_contig3	277	51789	49864	0	95
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FHNBA3M1_ctg_contig3	17567	19476	FSHHK16M1_ctg_contig3	30678	34107	1520	40	61
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FHNBA3M1_ctg_contig3	49705	50258	FSHHK16M1_ctg_contig2	233027	233027	553	101	95
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig3	50087	94694	FSHHK16M1_ctg_contig2	171035	233175	44607	101	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FHNBA3M1_ctg_contig3	80421	83270	FSHHK16M1_ctg_contig2	182455	202852	17548	66	29
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig6	409	9564	FSHHK16M1_ctg_contig2	161108	170259	9155	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig32	39102	57422	FSHHK16M1_ctg_contig1	196964	215288	18320	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig34	265	7310	FSHHK16M1_ctg_contig6	82058	89109	7045	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig35	590	8590	FSHHK16M1_ctg_contig6	72521	80521	8000	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig36	0	21145	FSHHK16M1_ctg_contig6	50851	72126	21145	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig37	653	2280	FSHHK16M1_ctg_contig6	48656	50274	1627	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig38	55	7623	FSHHK16M1_ctg_contig6	41005	48597	7568	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig39	51	7154	FSHHK16M1_ctg_contig6	33956	41057	7103	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig40	6644	12459	FSHHK16M1_ctg_contig6	27034	32876	5815	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig44	75	16289	FSHHK16M1_ctg_contig6	9142	25122	16214	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig45	55	7596	FSHHK16M1_ctg_contig6	752	8351	7541	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig70	1623	4213	FSHHK16M1_ctg_contig4	138775	141364	2590	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig71	905	10785	FSHHK16M1_ctg_contig4	127857	137732	9880	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig73	0	18412	FSHHK16M1_ctg_contig4	109384	127392	18412	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig74	203	3386	FSHHK16M1_ctg_contig4	105678	108867	3183	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig76	317	13710	FSHHK16M1_ctg_contig4	89785	103192	13393	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig77	98	12076	FSHHK16M1_ctg_contig4	77255	89234	11978	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig78	112	361	FSHHK16M1_ctg_contig4	76737	76986	249	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig79	0	3407	FSHHK16M1_ctg_contig4	73343	76952	3407	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig80	134	6406	FSHHK16M1_ctg_contig4	67092	73358	6272	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig161	0	21166	FSHHK16M1_ctg_contig1	313906	335172	21166	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig164	696	6978	FSHHK16M1_ctg_contig1	306321	312603	6282	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig165	172	1484	FSHHK16M1_ctg_contig1	304729	306046	1312	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig168	780	4829	FSHHK16M1_ctg_contig1	297495	301545	4049	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig172	1350	14807	FSHHK16M1_ctg_contig1	279821	293283	13457	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig173	0	3883	FSHHK16M1_ctg_contig1	275823	279955	3883	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig174	835	1973	FSHHK16M1_ctg_contig2	69289	70427	1138	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig176	581	5770	FSHHK16M1_ctg_contig2	63122	68339	5189	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig177	131	5563	FSHHK16M1_ctg_contig2	57603	63035	5432	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig180	1171	13191	FSHHK16M1_ctg_contig2	41861	53761	12020	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig182	1024	15439	FSHHK16M1_ctg_contig2	26142	40556	14415	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig183	41	14476	FSHHK16M1_ctg_contig2	10580	24592	14435	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig189	192	6759	FSHHK16M1_ctg_contig6	147715	154282	6567	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig190	1801	14331	FSHHK16M1_ctg_contig6	133135	145660	12530	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig192	489	31198	FSHHK16M1_ctg_contig6	100446	131224	30709	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig195	0	2483	FSHHK16M1_ctg_contig6	97643	100133	2483	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig203	527	3988	FSHHK16M1_ctg_contig1	852240	855701	3461	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig208	310	1293	FSHHK16M1_ctg_contig1	845220	846203	983	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig210	474	11932	FSHHK16M1_ctg_contig1	832540	844002	11458	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig211	188	20297	FSHHK16M1_ctg_contig1	811823	831927	20109	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig214	587	2317	FSHHK16M1_ctg_contig1	808311	810154	1730	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig215	0	1006	FSHHK16M1_ctg_contig1	807497	808628	1006	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig226	258	37916	FSHHK16M1_ctg_contig1	11791	49454	37658	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig227	806	11475	FSHHK16M1_ctg_contig1	154	10830	10669	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig228	743	9740	FSHHK16M1_ctg_contig7	107327	116320	8997	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig229	1787	12733	FSHHK16M1_ctg_contig7	93683	104684	10946	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig230	461	11267	FSHHK16M1_ctg_contig7	82246	93052	10806	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig231	639	11135	FSHHK16M1_ctg_contig7	58170	68661	10496	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig259	30435	36417	FSHHK16M1_ctg_contig1	372430	378413	5982	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig261	0	10412	FSHHK16M1_ctg_contig3	84604	95083	10412	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig263	400	1196	FSHHK16M1_ctg_contig3	81370	82166	796	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig264	0	10622	FSHHK16M1_ctg_contig3	69775	80533	10622	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig265	328	4561	FSHHK16M1_ctg_contig3	61073	65316	4233	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig267	433	6947	FSHHK16M1_ctg_contig3	54186	60705	6514	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig269	0	4480	FSHHK16M1_ctg_contig2	113959	118570	4480	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig270	614	8614	FSHHK16M1_ctg_contig2	104992	112929	8000	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig271	507	21634	FSHHK16M1_ctg_contig2	82726	103853	21127	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig273	553	4184	FSHHK16M1_ctg_contig2	77961	81592	3631	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig299	1581	9357	FSHHK16M1_ctg_contig7	20331	28158	7776	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig300	115	12079	FSHHK16M1_ctg_contig7	9038	20377	11964	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig301	0	3118	FSHHK16M1_ctg_contig7	6243	9555	3118	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig311	2703	16659	FSHHK16M1_ctg_contig1	629159	643115	13956	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig316	123	455	FSHHK16M1_ctg_contig1	626029	626367	332	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FHNBA3M1_ctg_contig326	13089	14984	FSHHK16M1_ctg_contig4	43324	50886	5667	24	5
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig337	1273	28136	FSHHK16M1_ctg_contig1	342539	370118	26863	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig352	0	2837	FSHHK16M1_ctg_contig1	508722	511613	2837	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FHNBA3M1_ctg_contig353	4600	13546	FSHHK16M1_ctg_contig11	87602	87602	8946	5	19
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig353	13376	20780	FSHHK16M1_ctg_contig11	80368	87772	7404	5	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig359	564	22860	FSHHK16M1_ctg_contig12	60716	82575	22296	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig368	270	2644	FSHHK16M1_ctg_contig1	411731	414109	2374	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig371	790	2949	FSHHK16M1_ctg_contig1	407998	410185	2159	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig372	430	4360	FSHHK16M1_ctg_contig1	403827	407696	3930	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig373	1277	8513	FSHHK16M1_ctg_contig1	395444	402679	7236	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig382	5283	9816	FSHHK16M1_ctg_contig10	92562	97288	4533	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig384	624	4166	FSHHK16M1_ctg_contig10	87106	90644	3542	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig385	778	4112	FSHHK16M1_ctg_contig10	82731	85954	3334	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig390	0	1877	FSHHK16M1_ctg_contig11	75860	77989	1877	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig396	0	8539	FSHHK16M1_ctg_contig11	56752	65522	8539	0	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig397	1378	6710	FSHHK16M1_ctg_contig1	62755	68100	5332	0	14
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FHNBA3M1_ctg_contig397	6058	10106	FSHHK16M1_ctg_contig1	58135	63407	1224	5	14
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig397	9907	17275	FSHHK16M1_ctg_contig1	50965	58334	7368	5	0
FHNBA3M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBA3M1_ctg_contig398	781	11733	FSHHK16M1_ctg_contig2	131470	142432	10952	0	0
