query	reference	sv_type	q_contig	q_start	q_end	r_contig	r_start	r_end	size	support_left	support_right
FXZDX24M5-1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FXZDX24M5-1_ctg_contig1	15881	227388	FSHHK16M1_ctg_contig1	579831	790845	211507	0	146
FXZDX24M5-1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FXZDX24M5-1_ctg_contig1	97962	99886	FSHHK16M1_ctg_contig1	709301	709773	1452	150	233
FXZDX24M5-1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FXZDX24M5-1_ctg_contig1	227203	238059	FSHHK16M1_ctg_contig1	578025	580016	8865	383	146
FXZDX24M5-1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FXZDX24M5-1_ctg_contig1	237915	307848	FSHHK16M1_ctg_contig1	508275	578168	69933	383	190
FXZDX24M5-1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FXZDX24M5-1_ctg_contig1	307704	311401	FSHHK16M1_ctg_contig1	507674	508418	2953	146	190
FXZDX24M5-1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FXZDX24M5-1_ctg_contig1	311231	396602	FSHHK16M1_ctg_contig1	416310	507844	85371	146	28
FXZDX24M5-1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FXZDX24M5-1_ctg_contig1	322128	323185	FSHHK16M1_ctg_contig1	489778	496947	6112	30	160
FXZDX24M5-1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FXZDX24M5-1_ctg_contig1	396432	459551	FSHHK16M1_ctg_contig1	415836	416480	62475	190	28
FXZDX24M5-1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FXZDX24M5-1_ctg_contig1	459445	471433	FSHHK16M1_ctg_contig1	404020	415942	11988	190	0
FXZDX24M5-1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FXZDX24M5-1_ctg_contig2	1261	16761	FSHHK16M1_ctg_contig1	382956	402698	15500	0	0
FXZDX24M5-1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FXZDX24M5-1_ctg_contig2	10453	10795	FSHHK16M1_ctg_contig1	389250	393507	3915	25	8
FXZDX24M5-1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FXZDX24M5-1_ctg_contig3	2953	4515	FSHHK16M1_ctg_contig1	376877	378439	1562	0	0
