CAILOH010000040.1	589321	238048	416714	-	CAISXK010000096.1	178452	0	178452	7772	178666	15
CAILOH010000038.1	579755	214425	376726	-	CAISXK010000105.1	165269	1036	163335	6177	162301	13
CAILOH010000016.1	231583	63031	184153	-	CAISXK010000040.1	121131	116	121131	5742	121122	16
CAILOH010000040.1	589321	897	128057	+	CAISXK010000079.1	128836	1655	128814	4959	127160	13
CAILOH010000004.1	347692	154172	255577	+	CAISXK010000134.1	101723	0	101207	4466	101405	15
CAILOH010000012.1	188009	107064	187688	+	CAISXK010000034.1	81826	833	81457	3973	80624	16
CAILOH010000040.1	589321	508124	589080	+	CAISXK010000001.1	81281	120	81076	3857	80956	16
CAILOH010000022.1	152064	482	86335	+	CAISXK010000108.1	87792	1537	87390	3741	85853	15
CAILOH010000040.1	589321	146136	237134	+	CAISXK010000073.1	91815	0	90802	3248	90998	12
CAILOH010000040.1	589321	416855	490708	-	CAISXK010000004.1	73927	0	73679	3132	73853	14
CAILOH010000022.1	152064	86651	150595	-	CAISXK010000032.1	64250	435	64250	3132	63944	16
CAILOH010000027.1	70592	926	66564	-	CAISXK010000042.1	67223	648	66285	3074	65638	16
CAILOH010000004.1	347692	80158	154424	+	CAISXK010000048.1	74118	0	74118	2987	74266	13
CAILOH010000004.1	347692	16149	80333	+	CAISXK010000086.1	64638	555	64638	2784	64184	14
CAILOH010000003.1	66876	532	66434	-	CAISXK010000015.1	67196	756	66664	2610	65908	13
CAILOH010000021.1	244363	47924	106482	+	CAISXK010000080.1	59747	540	59098	2581	58558	15
CAILOH010000004.1	347692	277832	333584	-	CAISXK010000122.1	56799	272	56024	2494	55752	15
CAILOH010000016.1	231583	3431	63440	+	CAISXK010000107.1	61413	1622	61413	2494	60009	14
CAILOH010000011.1	48867	55	47987	-	CAISXK010000103.1	48818	853	48780	2465	47932	17
CAILOH010000038.1	579755	83718	140882	-	CAISXK010000104.1	59250	759	57929	2436	57170	14
CAILOH010000020.1	128022	1152	49108	-	CAISXK010000007.1	49470	337	48284	2262	47956	16
CAILOH010000002.1	65338	21149	62972	+	CAISXK010000058.1	44110	157	41980	2175	41823	17
CAILOH010000021.1	244363	110178	170222	+	CAISXK010000062.1	59873	0	59821	2117	60044	12
CAILOH010000038.1	579755	32226	80104	-	CAISXK010000121.1	47954	66	47951	2059	47885	14
CAILOH010000031.1	88133	70	55591	-	CAISXK010000003.1	55576	0	55474	2030	55521	12
CAILOH010000006.1	173257	100326	141572	+	CAISXK010000050.1	41311	146	41311	2001	41246	16
CAILOH010000006.1	173257	50856	100067	-	CAISXK010000116.1	49230	85	49230	1798	49211	12
CAILOH010000012.1	188009	37834	89818	-	CAISXK010000113.1	52156	138	52118	1682	51984	11
CAILOH010000023.1	88438	22846	67273	-	CAISXK010000138.1	45427	85	44517	1653	44432	12
CAILOH010000009.1	28270	140	28270	+	CAISXK010000120.1	28236	126	28236	1624	28130	19
CAILOH010000038.1	579755	172	32249	-	CAISXK010000077.1	32222	0	32060	1595	32077	17
CAILOH010000020.1	128022	58378	89709	+	CAISXK010000110.1	33184	271	31602	1566	31331	17
CAILOH010000038.1	579755	182261	211772	+	CAISXK010000044.1	29287	0	29287	1508	29511	17
CAILOH010000006.1	173257	141313	173125	+	CAISXK010000085.1	32784	0	31697	1450	31812	15
CAILOH010000010.1	82542	26250	56839	-	CAISXK010000039.1	32712	0	30398	1450	30589	16
CAILOH010000035.1	106947	8910	55353	+	CAISXK010000024.1	46829	58	46501	1421	46443	10
CAILOH010000016.1	231583	197966	231236	+	CAISXK010000129.1	35122	547	33838	1392	33291	14
CAILOH010000035.1	106947	80686	106798	+	CAISXK010000047.1	27381	1126	27238	1334	26112	17
CAILOH010000036.1	66909	31785	58472	+	CAISXK010000094.1	28742	31	26718	1305	26687	16
CAILOH010000021.1	244363	2977	32740	+	CAISXK010000017.1	30757	1094	30757	1276	29763	14
CAILOH010000015.1	126815	21325	45047	+	CAISXK010000029.1	24001	0	23617	1247	23722	18
CAILOH010000038.1	579755	410667	437796	+	CAISXK010000098.1	27902	575	27704	1247	27129	15
CAILOH010000015.1	126815	92464	126613	-	CAISXK010000135.1	34898	205	34354	1247	34149	12
CAILOH010000001.1	31272	1827	31113	-	CAISXK010000036.1	32796	1665	30949	1218	29286	14
CAILOH010000038.1	579755	492787	521638	-	CAISXK010000123.1	28476	0	28476	1189	28851	14
CAILOH010000020.1	128022	91298	119445	-	CAISXK010000061.1	28038	0	27981	1131	28147	13
CAILOH010000035.1	106947	56175	79254	+	CAISXK010000026.1	23837	475	23554	1044	23079	15
CAILOH010000036.1	66909	972	22146	+	CAISXK010000060.1	24262	950	22124	1044	21174	17
CAILOH010000033.1	52091	11110	39530	+	CAISXK010000133.1	29011	222	28642	1044	28420	12
CAILOH010000025.1	23917	913	23331	-	CAISXK010000117.1	23839	559	22977	1015	22418	15
CAILOH010000038.1	579755	553553	579755	-	CAISXK010000005.1	29371	2471	28751	957	26280	12
CAILOH010000010.1	82542	57769	82542	-	CAISXK010000011.1	25911	1011	25911	957	24900	13
CAILOH010000015.1	126815	1159	19446	+	CAISXK010000124.1	20847	2516	20803	957	18287	18
CAILOH010000037.1	22472	1132	22187	+	CAISXK010000013.1	22451	1111	22166	957	21055	15
CAILOH010000010.1	82542	466	24183	+	CAISXK010000115.1	24020	555	24020	957	23717	13
CAILOH010000015.1	126815	45607	70186	-	CAISXK010000131.1	25517	717	25301	957	24584	13
CAILOH010000002.1	65338	604	21072	-	CAISXK010000030.1	20993	0	20354	899	20468	15
CAILOH010000021.1	244363	197416	214496	-	CAISXK010000064.1	18899	1384	18464	870	17080	17
CAILOH010000012.1	188009	25463	37223	+	CAISXK010000125.1	12886	615	12375	841	11760	24
CAILOH010000039.1	29974	1553	23394	+	CAISXK010000126.1	23402	1511	23352	841	21841	13
CAILOH010000012.1	188009	217	20638	+	CAISXK010000145.1	24822	217	20638	812	20421	13
CAILOH010000038.1	579755	476055	492123	-	CAISXK010000008.1	17419	866	16930	812	16068	17
CAILOH010000004.1	347692	174	12200	-	CAISXK010000081.1	30152	0	11927	783	12026	22
CAILOH010000006.1	173257	761	22611	+	CAISXK010000095.1	22403	647	22403	783	21850	12
CAILOH010000038.1	579755	151955	171292	-	CAISXK010000137.1	18988	0	18988	754	19337	13
CAILOH010000017.1	17103	124	16823	+	CAISXK010000081.1	30152	13173	29872	754	16699	15
CAILOH010000038.1	579755	450634	475552	-	CAISXK010000128.1	24447	0	24447	725	24918	10
CAILOH010000031.1	88133	74295	84647	+	CAISXK010000031.1	15350	1512	11864	667	10352	22
CAILOH010000016.1	231583	186217	196737	-	CAISXK010000097.1	13250	653	11173	667	10520	21
CAILOH010000040.1	589321	128141	146284	-	CAISXK010000092.1	18211	0	18100	638	18143	12
CAILOH010000021.1	244363	170132	182537	-	CAISXK010000082.1	13644	1341	13644	609	12405	16
CAILOH010000038.1	579755	391931	403616	-	CAISXK010000037.1	12469	0	11590	609	11685	17
CAILOH010000038.1	579755	521936	538346	+	CAISXK010000002.1	17675	439	16849	580	16410	12
CAILOH010000038.1	579755	540065	549991	-	CAISXK010000045.1	12141	1304	11225	580	9926	20
CAILOH010000023.1	88438	13216	21225	-	CAISXK010000057.1	9031	709	8713	580	8009	24
CAILOH010000015.1	126815	71072	84276	-	CAISXK010000141.1	13861	529	13733	580	13204	15
CAILOH010000021.1	244363	33899	46130	-	CAISXK010000091.1	14764	1238	13469	551	12231	15
CAILOH010000033.1	52091	244	10782	-	CAISXK010000112.1	10839	140	10678	551	10538	18
CAILOH010000038.1	579755	438378	450151	+	CAISXK010000093.1	12838	384	12157	551	11773	16
CAILOH010000031.1	88133	55320	71748	-	CAISXK010000071.1	17336	1115	17336	551	16428	11
CAILOH010000004.1	347692	261216	276847	+	CAISXK010000088.1	15788	0	15566	522	15631	11
