pairid	query	reference	ani	ani_uniform	af_query	af_reference	std_err	ani_cal	synteny_blocks	anchor_adjacency	breakpoint_count	het_shape	retention	ani_from_loss	ani_from_hist	enzyme_spread	enzyme_chi2	per_enzyme	n_anchors	n_chains	n_tags	max_block_anchors	mean_block_anchors	flag	ani_gated	gate	ani_upper95	band	phylum	skani_ani	anim_ani	discordance
GCA_900549755.1__GCA_905193585.1	URPQ01000001.1	CAJJPG010000001.1	96.2408	96.9993	0.3348	0.3439	0.11707	94.0578	81	0.9652	20	1.14	0.8024	96.2174	97.6288	0.6164	0.64	AlfI:96.98,AloI:97.47,BcgI:96.86,FalI:97.12	1042	81	972	32	7.839506172839506	ok	96.2408	gamma	96.5152	95-100	Firmicutes_A	95.09	95.06	-1.4599999999999937
GCF_001675165.1__GCF_001636845.1	NZ_LROS01000001.1	NZ_LITT01000011.1	95.0562	95.8107	0.5959	0.6037	0.1002	94.0702	68	0.9772	30	1.968	0.7229	94.9738	96.7857	1.2926	3.91	AlfI:95.37,AloI:95.96,BcgI:94.69,FalI:95.98	1951	68	2112	95	19.941176470588236	ok	95.0562	gamma	95.2032	90-95	Firmicutes_A	93.92	95.11	-2.6099999999999994
GCA_902555435.1__GCA_902537905.1	CACDRL010000001.1	CACBDD010000001.1	95.9295	96.5579	0.338	0.554	0.23457	93.9699	19	0.9686	6	1.631	0.7753	95.8701	97.1989	1.5304	1.06	AlfI:96.15,AloI:97.42,BcgI:95.89,FalI:96.64	264	19	298	23	10.736842105263158	ok	95.9295	gamma	96.4469	90-95	Proteobacteria	94.35	95.17	-1.6899999999999977
GCF_002913745.1__GCF_003048615.2	NZ_PPCG01000001.1	NZ_CP049263.1	95.7575	96.1904	0.7386	0.7345	0.08908	95.1178	91	0.9728	41	2.548	0.7449	95.7611	96.66	0.6827	1.66	AlfI:96.10,AloI:95.70,BcgI:95.94,FalI:96.39	1665	91	2184	69	17.0989010989011	ok	95.7575	gamma	95.9683	95-100	Campylobacterota	95.08	95.28	-2.0
GCF_900167405.1__GCF_001552295.1	NZ_FUWO01000038.1	NZ_BCQX01000001.1	96.4599	96.7899	0.3999	0.379	0.13701	94.1063	63	0.9219	41	2.516	0.7873	96.4238	97.0969	0.5596	0.53	AlfI:97.15,AloI:96.59,BcgI:96.74,FalI:96.73	842	63	745	21	8.682539682539682	ok	96.4599	gamma	96.764	90-95	Firmicutes	94.82	95.06	2.8699999999999903
GCF_003935375.1__GCF_000935215.1	NZ_RHQM01000010.1	NZ_JXXD01000099.1	97.3101	97.8661	0.813	0.7858	0.02984	96.7696	231	0.974	201	0.892	0.8631	97.1604	98.2573	0.254	2.53	AlfI:97.94,AloI:98.05,BcgI:97.80,FalI:97.90	7931	231	9600	189	33.65367965367965	ok	97.3101	gamma	97.2468	95-100	Proteobacteria	96.76	96.67	-0.7299999999999898
GCF_003287405.1__GCA_900772565.1	NZ_PRLD01000040.1	CAAHET010000001.1	95.9193	96.324	0.5832	0.6945	0.06175	94.6601	157	0.9539	136	2.701	0.7467	95.8509	96.8303	0.6982	4.52	AlfI:96.38,AloI:96.50,BcgI:96.02,FalI:96.72	3293	157	4203	80	18.936305732484076	ok	95.9193	gamma	95.994	90-95	Firmicutes_A	94.66	95.09	-0.29999999999999716
GCF_001571065.1__GCF_000186325.1	NZ_BCSW01000001.1	NZ_AEKG01000428.1	96.6673	97.3346	0.6287	0.6432	0.05308	95.8145	207	0.9549	133	1.044	0.8233	96.6363	97.8325	0.9055	7.77	AlfI:97.13,AloI:97.68,BcgI:97.26,FalI:98.04	3435	207	3976	65	14.58937198067633	ok	96.6673	gamma	96.7762	95-100	Actinobacteriota	95.08	95.1	-0.39000000000000057
GCF_001815675.1__GCF_001809325.1	NZ_KV821453.1	NZ_KV796920.1	96.0393	96.5313	0.8291	0.8299	0.06194	95.749	123	0.9772	62	2.148	0.7622	95.9298	97.1258	0.7427	4.63	AlfI:96.47,AloI:97.20,BcgI:96.46,FalI:96.49	2978	123	3934	84	22.617886178861788	ok	96.0393	gamma	96.0764	95-100	Proteobacteria	95.18	95.43	-2.289999999999992
GCA_900542875.1__GCA_900772705.1	UQPH01000001.1	CAAGRQ010000001.1	95.9966	96.2807	0.4564	0.5331	0.11574	94.0413	76	0.9465	41	3.707	0.7451	95.922	96.6661	0.3121	0.13	AlfI:96.23,AloI:96.54,BcgI:96.26,FalI:96.30	1125	76	1207	52	10.552631578947368	ok	95.9966	gamma	96.1905	90-95	Firmicutes_A	94.67	95.07	0.4199999999999875
GCF_000407565.1__GCA_019120335.1	NZ_ASWI01000001.1	DWVH01000036.1	94.8053	96.0271	0.6553	0.6818	0.1192	94.4507	50	0.9483	46	1.189	0.7318	95.0677	97.0968	0.4359	0.64	AlfI:96.35,AloI:96.24,BcgI:95.98,FalI:95.92	1010	50	1362	57	17.86	ok	94.8053	gamma	95.3423	90-95	Firmicutes	94.4	95.1	0.269999999999996
GCA_902534735.1__GCA_902517745.1	CACARD010000001.1	CABYDS010000001.1	96.4919	96.8755	0.4891	0.4545	0.18572	94.5084	23	0.9617	11	2.148	0.7976	96.3937	97.2735	0.8535	0.43	AlfI:96.47,AloI:97.33,BcgI:96.90,FalI:96.87	363	23	413	53	13.0	ok	96.4919	gamma	96.8653	90-95	Proteobacteria	94.76	95.1	-1.0700000000000074
GCA_007096045.1__GCF_015206885.1	SFAU01000001.1	NZ_JADEXY010000274.1	94.5535	95.9899	0.4085	0.4119	0.09573	93.2078	135	0.9613	31	1.107	0.723	94.9043	97.264	0.6909	3.28	AlfI:95.62,AloI:95.88,BcgI:96.23,FalI:95.54	2426	135	2104	13	6.711111111111111	INCONSISTENT	94.5535	gamma	95.1212	90-95	Cyanobacteria	94.54	95.55	-0.5800000000000125
GCF_000963275.1__GCF_001073155.1	NZ_JYOW01000001.1	NZ_JVEE01000003.1	95.0678	95.9536	0.8224	0.7922	0.09494	95.0527	45	0.9703	43	1.584	0.7272	95.1583	96.865	0.5558	1.84	AlfI:96.17,AloI:95.80,BcgI:95.61,FalI:96.10	1534	45	2183	151	32.24444444444445	ok	95.0678	gamma	95.3758	90-95	Firmicutes	94.67	95.19	-1.8400000000000034
GCA_902613845.1__GCA_902575725.1	CACMIW010000001.1	CACGSS010000001.1	96.4146	96.9157	0.3103	0.5276	0.22365	94.2415	14	0.975	5	1.68	0.8007	96.3649	97.341	2.3086	2.59	AlfI:98.18,AloI:95.87,BcgI:97.23,FalI:96.71	250	14	280	77	14.928571428571429	ok	96.4146	gamma	96.9373	90-95	Proteobacteria	94.78	95.27	-2.230000000000004
GCA_902619825.1__GCA_902587025.1	CACNFT010000001.1	CACIJJ010000001.1	96.2944	96.9152	0.5818	0.7302	0.17081	95.4333	17	0.9724	10	1.336	0.8006	96.2702	97.4292	1.9999	5.56	AlfI:96.87,AloI:95.42,BcgI:95.81,FalI:97.42	388	17	492	59	21.705882352941178	ok	96.2944	gamma	96.7085	95-100	Actinobacteriota	95.02	95.63	-1.6100000000000136
GCA_003282985.1__GCA_902598825.1	QBYE01000001.1	CACKDD010000001.1	96.5883	96.5883	0.4572	0.5417	0.21909	94.3745	20	0.9773	5	inf	0.7781	96.2739	96.8856	1.925	2.55	AlfI:96.04,AloI:95.83,BcgI:95.07,FalI:96.99	268	20	327	29	11.75	ok	96.5883	uniform	96.8124	90-95	Proteobacteria	94.31	95.19	-2.539999999999992
GCF_018127925.1__GCF_000144405.1	NZ_CP072348.1	NC_014370.1	94.2245	95.6871	0.8715	0.8716	0.07623	94.973	57	0.9769	55	1.174	0.7065	94.6196	97.0444	0.8332	4.03	AlfI:95.13,AloI:95.96,BcgI:95.72,FalI:95.85	3649	57	3740	325	41.89473684210526	ok	94.2245	gamma	94.7898	90-95	Bacteroidota	94.62	95.12	-2.569999999999993
GCA_902609685.1__GCA_902597695.1	CACLSR010000001.1	CACJYH010000001.1	95.5329	96.5741	0.3186	0.5635	0.25446	93.8696	17	0.9245	12	1.044	0.7768	95.6683	97.3906	1.9857	1.24	AlfI:95.42,AloI:97.41,BcgI:97.11,FalI:96.59	218	17	255	26	9.647058823529411	ok	95.5329	gamma	96.2967	90-95	Proteobacteria	94.52	95.22	2.769999999999996
GCF_004802395.1__GCF_900475755.1	NZ_QWMH01000001.1	NZ_LS483411.1	95.3976	96.2537	0.7981	0.8332	0.10786	95.4458	49	0.9601	41	1.434	0.7469	95.4922	97.068	0.8763	1.38	AlfI:96.17,AloI:96.94,BcgI:96.07,FalI:96.39	1102	49	1498	68	21.122448979591837	ok	95.3976	gamma	95.7441	95-100	Proteobacteria	95.33	95.34	-0.6699999999999875
GCA_902524895.1__GCA_902523675.1	CABZFH010000001.1	CABZAL010000001.1	95.3932	95.3932	0.5306	0.6799	0.2053	93.6262	30	0.9422	19	inf	0.6885	95.5041	95.3117	2.1533	2.72	AlfI:95.52,AloI:96.30,BcgI:94.14,FalI:95.61	389	30	508	41	11.333333333333334	ok	95.3932	uniform	95.9533	90-95	Proteobacteria	94.34	95.24	1.019999999999996
GCF_900155865.1__GCF_000614145.1	NZ_LT707006.1	NZ_BAKK01000144.1	94.6966	96.1684	0.6433	0.6891	0.07263	94.4518	87	0.963	86	0.973	0.7406	95.081	97.362	0.5332	1.46	AlfI:95.88,AloI:96.41,BcgI:96.16,FalI:96.24	2590	87	3562	109	26.75862068965517	ok	94.6966	gamma	95.2497	90-95	Bacteroidota	94.18	95.09	-1.2099999999999937
GCA_902599045.1__GCA_902521795.1	CACKEA010000001.1	CABYSX010000001.1	95.4196	96.2184	0.5872	0.6764	0.18159	94.5306	20	0.9682	12	1.52	0.7501	95.4593	97.0138	1.2851	2.7	AlfI:95.90,AloI:95.32,BcgI:95.41,FalI:96.61	424	20	558	49	19.25	ok	95.4196	gamma	95.8896	95-100	Proteobacteria	95.31	95.14	-1.6799999999999926
GCF_000813705.1__GCF_000227275.1	NZ_JUFZ01000001.1	NZ_JH164964.1	96.7895	97.2399	0.4271	0.4009	0.07131	94.8393	218	0.9208	124	1.631	0.8168	96.635	97.6739	1.831	6.97	AlfI:97.24,AloI:97.80,BcgI:97.27,FalI:95.97	2399	218	2258	31	7.610091743119266	ok	96.7895	gamma	96.8206	95-100	Proteobacteria	95.01	95.87	3.7900000000000063
GCA_003278095.1__GCA_003282435.1	QCHB01000001.1	QBZG01000001.1	96.1414	96.4291	0.4045	0.6153	0.15457	94.3311	41	0.9579	20	3.258	0.766	96.097	96.7546	1.209	1.66	AlfI:96.40,AloI:96.85,BcgI:95.64,FalI:96.58	563	41	689	56	12.097560975609756	ok	96.1414	gamma	96.4701	90-95	Proteobacteria	94.5	95.07	-0.7199999999999989
GCF_000154205.1__GCF_000614125.1	NZ_DS362249.1	NZ_BAKJ01000148.1	95.7382	96.7183	0.6341	0.6351	0.05618	94.9032	125	0.969	103	1.107	0.7797	95.772	97.5632	0.3963	2.11	AlfI:96.75,AloI:96.85,BcgI:96.81,FalI:96.45	3500	125	4761	150	26.792	ok	95.7382	gamma	95.9095	90-95	Bacteroidota	94.36	95.25	-1.6499999999999915
GCA_003213155.1__GCA_902589765.1	QCNQ01000001.1	CACIUF010000001.1	96.3407	96.702	0.4871	0.5362	0.20978	94.5078	21	0.9776	5	2.444	0.7862	96.2425	97.0784	0.8293	0.56	AlfI:97.24,AloI:97.31,BcgI:96.48,FalI:96.63	302	21	344	45	11.38095238095238	ok	96.3407	gamma	96.767	90-95	Proteobacteria	94.25	95.18	-2.5799999999999983
GCA_902576045.1__GCA_902546765.1	CACGTU010000001.1	CACCLG010000001.1	95.5336	96.3509	0.4559	0.5358	0.22485	93.9377	19	0.9796	4	1.434	0.7587	95.5337	97.1434	2.0184	2.18	AlfI:96.41,AloI:96.39,BcgI:94.68,FalI:96.70	281	19	351	26	11.105263157894736	ok	95.5336	gamma	96.0757	90-95	Proteobacteria	94.01	95.18	-2.780000000000001
GCA_004213965.1__GCA_902512065.1	SGZI01000001.1	CABXHU010000001.1	96.1136	96.5686	0.5939	0.532	0.20454	94.5883	26	0.9793	4	2.239	0.7759	95.898	97.1797	1.9969	2.12	AlfI:96.05,AloI:96.79,BcgI:94.84,FalI:96.84	310	26	392	18	8.26923076923077	ok	96.1136	gamma	96.4027	90-95	Bacteroidota	94.65	95.17	-2.759999999999991
GCA_902612325.1__GCA_902560185.1	CACMDB010000001.1	CACEKW010000001.1	95.9208	96.7344	0.4662	0.6237	0.20479	94.6407	21	0.949	13	1.107	0.7879	96.0744	97.299	1.7883	1.99	AlfI:97.32,AloI:96.93,BcgI:95.53,FalI:96.92	303	21	365	28	12.523809523809524	ok	95.9208	gamma	96.5882	95-100	Proteobacteria	95.09	95.39	0.4900000000000091
GCA_015904075.1__GCA_015904055.1	JABMDH010000001.1	JABMDE010000001.1	95.6635	97.5538	0.5336	0.5006	0.06461	95.3551	153	0.9713	51	0.428	0.8406	96.1745	98.4795	0.5933	2.8	AlfI:97.56,AloI:97.41,BcgI:97.48,FalI:98.01	2750	153	2638	73	12.287581699346406	ok	95.6635	gamma	96.3521	90-95	Nitrospirota	94.94	95.84	-1.2900000000000063
GCF_000963275.1__GCF_016648925.1	NZ_JYOW01000001.1	NZ_JACLQX010000001.1	95.3192	96.2929	0.8871	0.8877	0.08705	95.7944	42	0.9752	40	1.26	0.7529	95.4438	97.1619	0.6908	2.45	AlfI:95.81,AloI:96.20,BcgI:96.17,FalI:96.50	1680	42	2354	139	38.404761904761905	ok	95.3192	gamma	95.65	95-100	Firmicutes	95.14	95.39	-2.1299999999999955
GCF_000448565.1__GCA_018366675.1	NZ_CM002128.1	JAGZHQ010000167.1	96.1436	96.5703	0.5858	0.637	0.09331	94.9833	96	0.9279	95	2.239	0.7736	96.0787	97.0223	0.7905	2.22	AlfI:96.33,AloI:97.12,BcgI:96.35,FalI:96.65	1559	96	1798	64	13.729166666666666	ok	96.1436	gamma	96.3061	90-95	Firmicutes	94.78	95.19	2.4000000000000057
GCA_009698805.1__GCA_903820955.1	WLPL01000001.1	CAIJJH010000001.1	96.613	97.1904	0.5784	0.5376	0.08401	95.362	134	0.9527	55	1.297	0.8144	96.5392	97.6736	0.3489	0.99	AlfI:97.31,AloI:97.38,BcgI:97.08,FalI:97.43	1500	134	1680	33	9.261194029850746	ok	96.613	gamma	96.7567	90-95	Actinobacteriota	94.89	95.15	-0.11999999999999034
GCF_014698335.1__GCF_000981785.2	NZ_JACJSV010000001.1	NZ_CP011304.1	95.5195	96.4983	0.4912	0.5248	0.08465	94.3541	136	0.962	52	1.224	0.7635	95.5833	97.3752	1.1936	9.89	AlfI:95.66,AloI:96.64,BcgI:96.86,FalI:95.89	2699	136	2255	36	10.683823529411764	ok	95.5195	gamma	95.7857	90-95	Cyanobacteria	94.77	95.75	-0.45000000000000284
GCA_003213595.1__GCA_902540995.1	QCMR01000001.1	CACBOY010000001.1	95.3753	96.0026	0.6721	0.7673	0.15325	94.7832	26	0.9761	13	2.026	0.7342	95.3822	96.711	0.8794	1.73	AlfI:95.36,AloI:96.21,BcgI:95.52,FalI:96.24	578	26	823	79	21.46153846153846	ok	95.3753	gamma	95.737	90-95	Proteobacteria	94.3	95.05	-2.5600000000000023
GCF_015354405.1__GCF_000308535.1	NZ_JADKYP010000001.1	NZ_BAFW01000388.1	96.1676	96.4591	0.7378	0.7663	0.03481	94.8565	338	0.9742	227	3.454	0.7552	96.0572	96.8718	1.0463	11.23	AlfI:96.38,AloI:96.45,BcgI:96.44,FalI:97.43	9443	338	12390	201	26.384615384615383	ok	96.1676	gamma	96.1385	90-95	Actinobacteriota	94.84	95.05	-2.3700000000000045
GCF_001179965.1__GCA_902633965.1	NZ_CVSH01000001.1	CACPID010000001.1	96.8133	97.2962	0.432	0.3892	0.21252	94.5867	20	0.9724	5	1.297	0.8273	96.8143	97.6328	1.1486	0.66	AlfI:97.38,AloI:97.75,BcgI:96.60,FalI:97.37	235	20	266	22	9.8	ok	96.8133	gamma	97.3829	95-100	Proteobacteria	95.06	95.2	-2.0400000000000063
GCF_019129285.1__GCF_000513195.1	NZ_JAHOIJ010000096.1	NZ_CBVI010000001.1	96.4009	97.4703	0.5731	0.5762	0.04664	95.4963	188	0.9654	133	0.689	0.836	96.4175	98.1703	0.2165	1.4	AlfI:97.58,AloI:97.39,BcgI:97.36,FalI:97.54	4180	188	5174	90	20.72872340425532	ok	96.4009	gamma	96.5453	95-100	Bacteroidota	95.27	95.69	-0.8500000000000085
