query	reference	sv_type	q_contig	q_start	q_end	r_contig	r_start	r_end	size	support_left	support_right
NZ_CP027798.1	NZ_RCDO01000001.1	Translocation	NZ_CP027798.1	10537	13014	NZ_RCDO01000172.1	40039	40039	2477	8	83
NZ_CP027798.1	NZ_RCDO01000001.1	Inversion	NZ_CP027798.1	12825	52583	NZ_RCDO01000172.1	470	40228	39758	8	139
NZ_CP027798.1	NZ_RCDO01000001.1	Translocation	NZ_CP027798.1	52394	53763	NZ_RCDO01000042.1	692	692	1369	83	139
NZ_CP027798.1	NZ_RCDO01000001.1	Translocation	NZ_CP027798.1	131772	132352	NZ_RCDO01000005.1	194	194	580	139	150
NZ_CP027798.1	NZ_RCDO01000001.1	Translocation	NZ_CP027798.1	214578	218964	NZ_RCDO01000036.1	1889	1889	4386	150	4
NZ_CP027798.1	NZ_RCDO01000001.1	Inversion	NZ_CP027798.1	218729	220703	NZ_RCDO01000036.1	150	2124	1974	150	266
NZ_CP027798.1	NZ_RCDO01000001.1	Translocation	NZ_CP027798.1	220468	220915	NZ_RCDO01000073.1	49	49	447	4	266
NZ_CP027798.1	NZ_RCDO01000001.1	Translocation	NZ_CP027798.1	379216	379633	NZ_RCDO01000087.1	56	56	417	266	49
NZ_CP027798.1	NZ_RCDO01000001.1	Translocation	NZ_CP027798.1	400521	401823	NZ_RCDO01000119.1	99110	99110	1302	49	17
NZ_CP027798.1	NZ_RCDO01000001.1	Inversion	NZ_CP027798.1	407182	409809	NZ_RCDO01000097.1	233	2713	2627	17	4
NZ_CP027798.1	NZ_RCDO01000001.1	Translocation	NZ_CP027798.1	407194	407407	NZ_RCDO01000097.1	2635	2635	213	17	4
NZ_CP027798.1	NZ_RCDO01000001.1	Translocation	NZ_CP027798.1	409584	410063	NZ_RCDO01000160.1	11	11	479	4	4
NZ_CP027798.1	NZ_RCDO01000001.1	Translocation	NZ_CP027798.1	411554	412998	NZ_RCDO01000117.1	55	55	1444	4	4
NZ_CP027798.1	NZ_RCDO01000001.1	Translocation	NZ_CP027798.1	414213	415119	NZ_RCDO01000035.1	27514	27514	906	4	14
NZ_CP027798.1	NZ_RCDO01000001.1	Inversion	NZ_CP027798.1	414805	425037	NZ_RCDO01000035.1	17593	27831	10232	4	10
NZ_CP027798.1	NZ_RCDO01000001.1	Translocation	NZ_CP027798.1	424723	425854	NZ_RCDO01000077.1	11670	11670	1131	14	10
NZ_CP027798.1	NZ_RCDO01000001.1	Inversion	NZ_CP027798.1	425695	430334	NZ_RCDO01000077.1	7195	11829	4639	14	34
NZ_CP027798.1	NZ_RCDO01000001.1	Translocation	NZ_CP027798.1	430175	431209	NZ_RCDO01000035.1	17194	17194	1034	10	34
NZ_CP027798.1	NZ_RCDO01000001.1	Inversion	NZ_CP027798.1	431045	448159	NZ_RCDO01000035.1	244	17358	17114	10	25
NZ_CP027798.1	NZ_RCDO01000001.1	Inversion	NZ_CP027798.1	447001	455343	NZ_RCDO01000142.1	13547	21889	8342	34	84
NZ_CP027798.1	NZ_RCDO01000001.1	Translocation	NZ_CP027798.1	447995	447191	NZ_RCDO01000142.1	21699	21699	0	34	25
NZ_CP027798.1	NZ_RCDO01000001.1	Translocation	NZ_CP027798.1	455153	456393	NZ_RCDO01000020.1	146029	146029	1240	25	84
NZ_CP027798.1	NZ_RCDO01000001.1	Translocation	NZ_CP027798.1	504533	505136	NZ_RCDO01000106.1	13152	13152	603	84	22
NZ_CP027798.1	NZ_RCDO01000001.1	Inversion	NZ_CP027798.1	505036	512453	NZ_RCDO01000106.1	5833	13254	7417	84	314
NZ_CP027798.1	NZ_RCDO01000001.1	Translocation	NZ_CP027798.1	512353	512824	NZ_RCDO01000058.1	16296	16296	471	22	314
NZ_CP027798.1	NZ_RCDO01000001.1	Translocation	NZ_CP027798.1	676292	683628	NZ_RCDO01000116.1	17278	17278	7336	314	40
NZ_CP027798.1	NZ_RCDO01000001.1	Inversion	NZ_CP027798.1	683490	700861	NZ_RCDO01000116.1	45	17416	17371	314	63
NZ_CP027798.1	NZ_RCDO01000001.1	Translocation	NZ_CP027798.1	700723	701804	NZ_RCDO01000043.1	889	889	1081	40	63
NZ_CP027798.1	NZ_RCDO01000001.1	Translocation	NZ_CP027798.1	734248	734952	NZ_RCDO01000064.1	396	396	704	63	143
NZ_CP027798.1	NZ_RCDO01000001.1	Translocation	NZ_CP027798.1	806644	808082	NZ_RCDO01000133.1	975	975	1438	143	58
NZ_CP027798.1	NZ_RCDO01000001.1	Translocation	NZ_CP027798.1	834501	835046	NZ_RCDO01000075.1	444	444	545	58	33
NZ_CP027798.1	NZ_RCDO01000001.1	Translocation	NZ_CP027798.1	848296	849529	NZ_RCDO01000049.1	16423	16423	1233	33	18
NZ_CP027798.1	NZ_RCDO01000001.1	Inversion	NZ_CP027798.1	849139	865339	NZ_RCDO01000049.1	616	16762	16200	33	5
NZ_CP027798.1	NZ_RCDO01000001.1	Translocation	NZ_CP027798.1	864949	866486	NZ_RCDO01000153.1	1564	1564	1537	18	5
NZ_CP027798.1	NZ_RCDO01000001.1	Inversion	NZ_CP027798.1	866285	867914	NZ_RCDO01000153.1	136	1720	1629	18	41
NZ_CP027798.1	NZ_RCDO01000001.1	Translocation	NZ_CP027798.1	867713	873437	NZ_RCDO01000138.1	399	399	5724	5	41
NZ_CP027798.1	NZ_RCDO01000001.1	Translocation	NZ_CP027798.1	894565	895054	NZ_RCDO01000087.1	26044	26044	489	41	13
NZ_CP027798.1	NZ_RCDO01000001.1	Translocation	NZ_CP027798.1	901658	903166	NZ_RCDO01000030.1	455	455	1508	13	106
NZ_CP027798.1	NZ_RCDO01000001.1	Translocation	NZ_CP027798.1	955580	956075	NZ_RCDO01000069.1	328	328	495	106	12
NZ_CP027798.1	NZ_RCDO01000001.1	Translocation	NZ_CP027798.1	964641	965289	NZ_RCDO01000161.1	4576	4576	648	12	11
NZ_CP027798.1	NZ_RCDO01000001.1	Inversion	NZ_CP027798.1	965130	969997	NZ_RCDO01000161.1	0	4735	4867	12	39
NZ_CP027798.1	NZ_RCDO01000001.1	Translocation	NZ_CP027798.1	969838	969976	NZ_RCDO01000142.1	20335	20335	138	11	39
NZ_CP027798.1	NZ_RCDO01000001.1	Inversion	NZ_CP027798.1	991593	1019634	NZ_RCDO01000068.1	4777	32708	28041	39	7
NZ_CP027798.1	NZ_RCDO01000001.1	Translocation	NZ_CP027798.1	991623	991812	NZ_RCDO01000068.1	32599	32599	189	39	55
NZ_CP027798.1	NZ_RCDO01000001.1	Translocation	NZ_CP027798.1	1019415	1020132	NZ_RCDO01000061.1	9141	9141	717	55	7
