query	reference	sv_type	q_contig	q_start	q_end	r_contig	r_start	r_end	size	support_left	support_right
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSCCD5M1_ctg_contig1	332	33148	FSHHK16M1_ctg_contig1	382950	415983	32816	0	100
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSCCD5M1_ctg_contig1	37720	78740	FSHHK16M1_ctg_contig1	340747	378417	41020	71	91
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FSCCD5M1_ctg_contig1	70164	73712	FSHHK16M1_ctg_contig1	344146	345271	2423	92	8
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FSCCD5M1_ctg_contig1	74036	76284	FSHHK16M1_ctg_contig1	343204	343822	1630	94	6
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FSCCD5M1_ctg_contig1	78645	89973	FSHHK16M1_ctg_contig1	317258	340843	12257	100	91
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSCCD5M1_ctg_contig1	89793	133722	FSHHK16M1_ctg_contig1	273977	317438	43929	100	119
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FSCCD5M1_ctg_contig1	133542	173799	FSHHK16M1_ctg_contig1	273169	274157	39269	91	119
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSCCD5M1_ctg_contig1	173645	230481	FSHHK16M1_ctg_contig1	216981	273323	56836	91	291
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FSCCD5M1_ctg_contig1	230327	281987	FSHHK16M1_ctg_contig1	215105	217135	49630	119	291
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSCCD5M1_ctg_contig1	281816	436890	FSHHK16M1_ctg_contig1	63236	215276	155074	119	109
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FSCCD5M1_ctg_contig1	299969	302859	FSHHK16M1_ctg_contig1	195742	197147	1485	44	247
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FSCCD5M1_ctg_contig1	430290	432691	FSHHK16M1_ctg_contig1	67448	68728	1121	286	5
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FSCCD5M1_ctg_contig1	436719	440767	FSHHK16M1_ctg_contig1	58135	63407	1224	291	109
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSCCD5M1_ctg_contig1	440582	498747	FSHHK16M1_ctg_contig1	158	58320	58165	291	0
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSCCD5M1_ctg_contig2	756	58745	FSHHK16M1_ctg_contig3	33966	95637	57989	0	54
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FSCCD5M1_ctg_contig2	26424	27612	FSHHK16M1_ctg_contig3	65141	69987	3658	56	74
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FSCCD5M1_ctg_contig2	58604	69140	FSHHK16M1_ctg_contig3	30678	34107	7107	130	54
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSCCD5M1_ctg_contig2	68968	98643	FSHHK16M1_ctg_contig3	1155	30849	29675	130	113
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FSCCD5M1_ctg_contig2	98471	102225	FSHHK16M1_ctg_contig2	233027	233027	3754	54	113
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSCCD5M1_ctg_contig2	102033	161294	FSHHK16M1_ctg_contig2	157047	233175	59261	54	301
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FSCCD5M1_ctg_contig2	133038	135887	FSHHK16M1_ctg_contig2	182455	202852	17548	65	48
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FSCCD5M1_ctg_contig2	161102	163720	FSHHK16M1_ctg_contig2	156440	157239	1819	113	301
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSCCD5M1_ctg_contig2	163546	310745	FSHHK16M1_ctg_contig2	9748	156613	147199	113	13
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FSCCD5M1_ctg_contig2	310571	320590	FSHHK16M1_ctg_contig2	6743	9921	6841	301	13
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSCCD5M1_ctg_contig2	320322	327111	FSHHK16M1_ctg_contig2	94	7011	6789	301	25
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FSCCD5M1_ctg_contig2	326843	332046	FSHHK16M1_ctg_contig11	87602	87602	5203	13	25
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSCCD5M1_ctg_contig2	331858	342240	FSHHK16M1_ctg_contig11	77548	87790	10382	13	0
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FSCCD5M1_ctg_contig3	8923	41825	FSHHK16M1_ctg_contig1	981019	981019	32902	17	218
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSCCD5M1_ctg_contig3	41641	150268	FSHHK16M1_ctg_contig1	872623	981205	108627	17	23
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FSCCD5M1_ctg_contig3	150084	156855	FSHHK16M1_ctg_contig1	867815	872809	1777	218	23
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSCCD5M1_ctg_contig3	156668	168384	FSHHK16M1_ctg_contig1	857880	868002	11716	218	140
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FSCCD5M1_ctg_contig3	166073	168086	FSHHK16M1_ctg_contig1	858178	858657	1534	21	2
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FSCCD5M1_ctg_contig3	168197	182301	FSHHK16M1_ctg_contig1	856429	858067	12466	23	140
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSCCD5M1_ctg_contig3	182129	258927	FSHHK16M1_ctg_contig1	779969	856598	76798	23	0
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSCCD5M1_ctg_contig4	617	19326	FSHHK16M1_ctg_contig9	11338	40479	18709	0	136
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FSCCD5M1_ctg_contig4	11380	13903	FSHHK16M1_ctg_contig9	16738	29736	10475	25	11
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FSCCD5M1_ctg_contig4	19169	37494	FSHHK16M1_ctg_contig8	72101	72101	18325	36	136
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSCCD5M1_ctg_contig4	37363	104599	FSHHK16M1_ctg_contig8	962	72232	67236	36	308
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FSCCD5M1_ctg_contig4	71318	76166	FSHHK16M1_ctg_contig8	29394	37451	3209	78	58
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FSCCD5M1_ctg_contig4	104468	105913	FSHHK16M1_ctg_contig6	185329	185329	1445	136	308
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSCCD5M1_ctg_contig4	105744	257642	FSHHK16M1_ctg_contig6	33877	185497	151898	136	0
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FSCCD5M1_ctg_contig5	42371	44266	FSHHK16M1_ctg_contig4	43324	50886	5667	67	306
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FSCCD5M1_ctg_contig5	96370	96973	FSHHK16M1_ctg_contig4	103030	104740	1107	179	194
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FSCCD5M1_ctg_contig5	186010	206651	FSHHK16M1_ctg_contig4	194895	197468	18068	373	11
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FSCCD5M1_ctg_contig6	15829	17560	FSHHK16M1_ctg_contig12	15863	19047	1453	36	91
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FSCCD5M1_ctg_contig6	31834	33583	FSHHK16M1_ctg_contig12	33298	36572	1525	63	64
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FSCCD5M1_ctg_contig6	58060	80658	FSHHK16M1_ctg_contig10	96801	96801	22598	127	19
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSCCD5M1_ctg_contig6	80313	93185	FSHHK16M1_ctg_contig10	84778	97102	12872	127	90
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FSCCD5M1_ctg_contig6	92840	110124	FSHHK16M1_ctg_contig10	84474	85079	16679	19	90
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSCCD5M1_ctg_contig6	109964	156898	FSHHK16M1_ctg_contig10	37570	84634	46934	19	75
FSCCD5M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FSCCD5M1_ctg_contig6	156738	159195	FSHHK16M1_ctg_contig10	36913	37730	1640	90	75
