query	reference	ani	ani_uniform	af_query	af_reference	std_err	synteny_blocks	synteny_score	breakpoint_count	het_shape	retention	ani_from_loss	ani_from_hist	enzyme_spread	enzyme_chi2	per_enzyme	n_anchors	n_chains	n_tags	max_block_anchors	mean_block_anchors	flag
NZ_CP019721.1	NZ_CP019721.1	99.9999	99.9999	0.9996	0.9996	0.41051	1	0.9669	69	inf	1.0000	99.9999	99.9999	0.0000	0.00	AlfI:100.00,AloI:100.00,BcgI:100.00,FalI:100.00	2083	1	2015	2014	2014	ok
NZ_CP019721.1	NZ_CP021390.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_CP019721.1	NZ_CP084012.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_CP019721.1	NZ_CP133463.1	95.7244	97.2264	0.9298	0.9538	0.08274	8	0.9518	70	0.588	0.8206	96.0188	98.1191	0.7989	3.78	AlfI:96.60,AloI:96.96,BcgI:97.40,FalI:97.37	1452	8	1896	677	173.625	INCONSISTENT
NZ_CP019721.1	NZ_CP158364.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_CP019721.1	NZ_CM126634.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_CP019721.1	NZ_CM149854.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_CP019721.1	NZ_CP165971.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_CP019721.1	NZ_LT906445.1	94.3234	96.3280	0.9506	0.9922	0.09778	5	0.9436	74	0.739	0.7540	94.9578	97.7353	0.4994	0.94	AlfI:96.07,AloI:95.95,BcgI:96.39,FalI:96.45	1314	5	1925	639	248.8	INCONSISTENT
NZ_CP019721.1	NZ_LR134375.1	83.7829	89.7761	0.7857	0.8187	0.20853	6	0.8000	97	1.631	0.2959	88.9497	94.6520	1.6661	1.86	AlfI:90.27,AloI:88.60,BcgI:89.26,FalI:90.09	486	6	1585	187	65.66666666666667	INCONSISTENT
