cluster	genomes	expected_pairs	rows	median_junctions	pct_pairs_ge2_junctions	median_raw_inverted_fraction
HROM_Genome_0002	5	10	10	0.0	0.0	0.54782
HROM_Genome_0003	9	36	36	0.0	16.666666666666668	0.50075
HROM_Genome_0004	950	450775	450775	1.0	40.64000887360657	0.49926
HROM_Genome_0005	154	11781	11781	1.0	32.68822680587387	0.49843
HROM_Genome_0006	634	200661	200661	0.0	25.880465062966895	0.49921
HROM_Genome_0008	14	91	91	2.0	51.64835164835165	0.48874
HROM_Genome_0009	12	66	66	1.0	37.878787878787875	0.51007
HROM_Genome_0010	828	342378	342378	1.0	32.446302040434844	0.49902
HROM_Genome_0011	93	4278	4278	0.0	19.097709209911173	0.49896
HROM_Genome_0012	2	1	1	4.0	100.0	0.47788
HROM_Genome_0013	300	44850	44850	1.0	35.76588628762542	0.49832
HROM_Genome_0014	4	6	6	0.0	0.0	0.5077
HROM_Genome_0015	18	153	153	0.0	26.797385620915033	0.496
HROM_Genome_0016	19	171	171	1.0	39.1812865497076	0.48047
HROM_Genome_0017	20	190	190	0.0	21.57894736842105	0.50406
HROM_Genome_0019	63	1953	1953	0.0	24.987199180747567	0.50088
HROM_Genome_0020	4	6	6	0.0	0.0	0.51022
HROM_Genome_0021	7	21	21	0.0	38.095238095238095	0.49734
HROM_Genome_0022	3	3	3	0.0	33.333333333333336	0.49719
HROM_Genome_0023	2	1	1	1.0	0.0	0.53262
HROM_Genome_0026	4	6	6	5.0	50.0	0.48851
HROM_Genome_0027	8	28	28	0.0	17.857142857142858	0.50751
HROM_Genome_0034	2	1	1	1.0	0.0	0.47924
HROM_Genome_0036	21	210	210	0.0	30.0	0.4807
HROM_Genome_0037	3	3	3	0.0	0.0	0.55321
HROM_Genome_0039	2	1	1	1.0	0.0	0.55409
HROM_Genome_0041	3	3	3	0.0	33.333333333333336	0.47712
HROM_Genome_0042	4	6	6	0.0	0.0	0.51273
HROM_Genome_0043	8	28	28	0.0	21.428571428571427	0.45919
HROM_Genome_0044	9	36	36	0.0	11.11111111111111	0.50395
HROM_Genome_0045	2	1	1	1.0	0.0	0.50415
HROM_Genome_0046	3	3	3	1.0	0.0	0.52941
HROM_Genome_0047	5	10	10	4.0	60.0	0.52375
HROM_Genome_0048	2	1	1	10.0	100.0	0.41423
HROM_Genome_0049	13	78	78	0.0	19.23076923076923	0.47205
HROM_Genome_0052	2	1	1	2.0	100.0	0.44963
HROM_Genome_0053	5	10	10	1.0	40.0	0.46005
HROM_Genome_0055	2	1	1	2.0	100.0	0.63226
HROM_Genome_0057	2	1	1	1.0	0.0	0.59719
HROM_Genome_0060	3	3	3	1.0	33.333333333333336	0.55933
HROM_Genome_0062	4	6	6	3.0	83.33333333333333	0.53017
HROM_Genome_0063	4	6	6	8.0	83.33333333333333	0.38804
HROM_Genome_0064	3	3	3	2.0	66.66666666666667	0.51502
HROM_Genome_0065	8	28	28	0.0	35.714285714285715	0.52143
HROM_Genome_0066	2	1	1	2.0	100.0	0.46533
HROM_Genome_0068	2	1	1	1.0	0.0	0.6027
HROM_Genome_0069	3	3	3	1.0	0.0	0.43946
HROM_Genome_0071	2	1	1	4.0	100.0	0.47566
HROM_Genome_0072	2	1	1	0.0	0.0	0.52802
HROM_Genome_0073	2	1	1	0.0	0.0	0.55556
HROM_Genome_0074	3	3	3	0.0	33.333333333333336	0.52703
HROM_Genome_0076	2	1	1	0.0	0.0	0.35529
HROM_Genome_0077	2	1	1	0.0	0.0	0.39279
HROM_Genome_0081	5	10	10	1.0	30.0	0.47942
HROM_Genome_0082	9	36	36	0.0	13.88888888888889	0.50682
HROM_Genome_0083	17	136	136	1.0	27.941176470588236	0.5
HROM_Genome_0084	2	1	1	3.0	100.0	0.5896
HROM_Genome_0086	3	3	3	0.0	33.333333333333336	0.52776
HROM_Genome_0091	2	1	1	2.0	100.0	0.59078
HROM_Genome_0092	5	10	10	0.0	0.0	0.50973
HROM_Genome_0101	2	1	1	0.0	0.0	0.48059
HROM_Genome_0102	3	3	3	4.0	100.0	0.47625
HROM_Genome_0106	2	1	1	0.0	0.0	0.49403
HROM_Genome_0110	2	1	1	4.0	100.0	0.71761
HROM_Genome_0118	3	3	3	1.0	33.333333333333336	0.36434
HROM_Genome_0123	4	6	6	0.0	0.0	0.51114
HROM_Genome_0124	3	3	3	0.0	0.0	0.42749
HROM_Genome_0127	4	6	6	0.0	0.0	0.48628
HROM_Genome_0130	2	1	1	0.0	0.0	0.50881
HROM_Genome_0131	2	1	1	0.0	0.0	0.49239
HROM_Genome_0133	2	1	1	1.0	0.0	0.50692
HROM_Genome_0136	2	1	1	1.0	0.0	0.02582
HROM_Genome_0137	2	1	1	2.0	100.0	0.06712
HROM_Genome_0138	2	1	1	0.0	0.0	0.47341
HROM_Genome_0139	2	1	1	0.0	0.0	0.56513
HROM_Genome_0143	2	1	1	2.0	100.0	0.54829
HROM_Genome_0144	4	6	6	0.0	16.666666666666668	0.51909
HROM_Genome_0145	5	10	10	1.0	30.0	0.50714
HROM_Genome_0146	3	3	3	0.0	33.333333333333336	0.4915
HROM_Genome_0147	2	1	1	2.0	100.0	0.47435
HROM_Genome_0148	3	3	3	0.0	0.0	0.50704
HROM_Genome_0150	4	6	6	1.0	16.666666666666668	0.5524
HROM_Genome_0157	2	1	1	0.0	0.0	0.13899
HROM_Genome_0160	2	1	1	1.0	0.0	0.54092
HROM_Genome_0166	2	1	1	5.0	100.0	0.59663
HROM_Genome_0169	2	1	1	0.0	0.0	0.46375
HROM_Genome_0170	2	1	1	1.0	0.0	0.55053
HROM_Genome_0173	3	3	3	0.0	33.333333333333336	0.53438
HROM_Genome_0197	1884	1773786	1773786	0.0	9.209228170703794	0.49886
HROM_Genome_0198	1589	1261666	1261666	0.0	10.497152178151746	0.49892
HROM_Genome_0199	7	21	21	1.0	23.80952380952381	0.50767
HROM_Genome_0204	2	1	1	1.0	0.0	0.49683
HROM_Genome_0207	2	1	1	0.0	0.0	0.48683
HROM_Genome_0208	2	1	1	0.0	0.0	0.40565
