ref	qry	ani	d_cagpai_state	d_cagA	d_vacA	d_res_clarithromycin	d_res_levofloxacin	d_disease_group	d_lineage	sv_burden_abs_diff	n_biology_discordant	ref_cagpai	qry_cagpai	ref_cagA	qry_cagA	ref_vacA	qry_vacA	ref_group	qry_group	ref_lineage	qry_lineage
GCA_008026375.1	GCA_008027775.1	100.0	1	0.0	0.0	0	0	0	0	1	1.0	complete_rearranged	complete_collinear	other	other	s1/i1/m1	s1/i1/m1	GC	GC	fastbaps_L3	fastbaps_L3
GCA_019673525.1	GCA_019673575.1	100.0	1	0.0	0.0	0	0	0	0	3	1.0	complete_collinear	complete_rearranged	ABD	ABD	s1/i1/m1	s1/i1/m1	AG	AG	fastbaps_L2	fastbaps_L2
GCA_006337325.1	GCA_006337445.1	99.99	0		1.0	1	0	0	0	4	2.0	empty	empty			s1/i1/m2	NA/NA/m2	AG	AG	fastbaps_L5	fastbaps_L5
GCA_014497485.1	GCA_014497505.1	99.99	0	0.0	0.0	1	0	0	0	2	1.0	complete_rearranged	complete_rearranged	ABCC	ABCC	s1/i1/m1	s1/i1/m1	NAG	NAG	fastbaps_L3	fastbaps_L3
GCA_008033055.1	GCA_011141115.1	99.99	1	0.0	0.0	0	0	0	0	1	1.0	complete_collinear	complete_rearranged	ABC	ABC	s1/i1/m1	s1/i1/m1	NAG	NAG	fastbaps_L3	fastbaps_L3
GCA_001940015.1	GCA_001940115.1	99.99	1	0.0	0.0	0	0	0	0	2	1.0	complete_collinear	complete_rearranged	ABD	ABD	NA/NA/m1	NA/NA/m1	GC	GC	fastbaps_L2	fastbaps_L2
GCA_015904765.1	GCA_015904775.1	99.99	0	1.0	0.0	0	0	0	0	1	1.0	complete_rearranged	complete_rearranged	ABC	ABCC	s1/i1/m1	s1/i1/m1	GC	GC	fastbaps_L3	fastbaps_L3
GCA_011140425.1	GCA_011141135.1	99.99	1	0.0	0.0	0	0	1	0	2	1.0	complete_collinear	complete_rearranged	ABC	ABC	s1/i1/m1	s1/i1/m1	GC	NAG	fastbaps_L3	fastbaps_L3
GCA_003058825.1	GCA_040821695.1	99.99	1	0.0	0.0	0	0	0	0	7	1.0	complete_rearranged	complete_collinear	ABCC	ABCC	s1/i1/m1	s1/i1/m1	GC	GC	fastbaps_L5	fastbaps_L5
GCA_006337305.1	GCA_006337445.1	99.99	0		1.0	0	0	0	0	0	1.0	empty	empty			s1/i1/m2	NA/NA/m2	AG	AG	fastbaps_L5	fastbaps_L5
