isolate	species	sra_run	library_layout	url1	url2	bytes1	bytes2
SR_01	Streptomyces_rimosus	SRR21205401	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/001/SRR21205401/SRR21205401_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/001/SRR21205401/SRR21205401_2.fastq.gz	681326611	729077698
SR_02	Streptomyces_rimosus	SRR21205402	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/002/SRR21205402/SRR21205402_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/002/SRR21205402/SRR21205402_2.fastq.gz	677940056	715394727
SR_03	Streptomyces_rimosus	SRR21205403	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/003/SRR21205403/SRR21205403_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/003/SRR21205403/SRR21205403_2.fastq.gz	623639742	661325651
SR_04	Streptomyces_rimosus	SRR21205404	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/004/SRR21205404/SRR21205404_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/004/SRR21205404/SRR21205404_2.fastq.gz	629863503	670231269
SR_05	Streptomyces_rimosus	SRR21205405	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/005/SRR21205405/SRR21205405_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/005/SRR21205405/SRR21205405_2.fastq.gz	346519979	366848488
SR_06	Streptomyces_rimosus	SRR21205406	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/006/SRR21205406/SRR21205406_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/006/SRR21205406/SRR21205406_2.fastq.gz	761760208	811278182
SR_07	Streptomyces_rimosus	SRR21205407	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/007/SRR21205407/SRR21205407_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/007/SRR21205407/SRR21205407_2.fastq.gz	1331252983	1347906206
SR_08	Streptomyces_rimosus	SRR21205408	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/008/SRR21205408/SRR21205408_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/008/SRR21205408/SRR21205408_2.fastq.gz	668690671	709803763
SR_09	Streptomyces_rimosus	SRR21205409	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/009/SRR21205409/SRR21205409_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/009/SRR21205409/SRR21205409_2.fastq.gz	754844376	800309882
SR_10	Streptomyces_rimosus	SRR21205410	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/010/SRR21205410/SRR21205410_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/010/SRR21205410/SRR21205410_2.fastq.gz	650556833	694809769
SR_11	Streptomyces_rimosus	SRR21205412	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/012/SRR21205412/SRR21205412_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/012/SRR21205412/SRR21205412_2.fastq.gz	697093726	737917913
SR_12	Streptomyces_rimosus	SRR21205413	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/013/SRR21205413/SRR21205413_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/013/SRR21205413/SRR21205413_2.fastq.gz	578005284	613992663
SR_13	Streptomyces_rimosus	SRR21205414	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/014/SRR21205414/SRR21205414_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/014/SRR21205414/SRR21205414_2.fastq.gz	673920360	721003241
SR_14	Streptomyces_rimosus	SRR21205415	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/015/SRR21205415/SRR21205415_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/015/SRR21205415/SRR21205415_2.fastq.gz	628039771	673948871
SR_15	Streptomyces_rimosus	SRR21205416	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/016/SRR21205416/SRR21205416_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/016/SRR21205416/SRR21205416_2.fastq.gz	568025257	612611335
SR_16	Streptomyces_rimosus	SRR21205417	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/017/SRR21205417/SRR21205417_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/017/SRR21205417/SRR21205417_2.fastq.gz	1175180921	1170767468
SR_17	Streptomyces_rimosus	SRR21205418	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/018/SRR21205418/SRR21205418_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/018/SRR21205418/SRR21205418_2.fastq.gz	680467133	714788295
SR_18	Streptomyces_rimosus	SRR21205419	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/019/SRR21205419/SRR21205419_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/019/SRR21205419/SRR21205419_2.fastq.gz	665128155	710197442
SR_19	Streptomyces_rimosus	SRR21205420	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/020/SRR21205420/SRR21205420_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/020/SRR21205420/SRR21205420_2.fastq.gz	689172018	733077000
SR_20	Streptomyces_rimosus	SRR21205421	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/021/SRR21205421/SRR21205421_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/021/SRR21205421/SRR21205421_2.fastq.gz	746256694	792885665
