		cluster1	cluster2
B. lon_116	BlongumB3_ctg	1	1
B. lon_13	CCFM1029_ctg	1	1
B. lon_80	F_FJ_ND_D11_M_1_ctg	1	1
B. lon_182	F_FJ_ND_D13_M_1_ctg	1	1
B. lon_124	F_FJ_ND_D15_M_1_ctg	1	1
B. lon_138	F_JS_CZ_D12_M_1_ctg	1	1
B. lon_40	F_SD_HZ_D2_M_4_ctg	1	1
B. lon_61	F_SD_HZ_D3_M_3_ctg	1	1
B. lon_167	FBJ11M1_ctg	1	1
B. lon_69	FBJ14M2_ctg	1	1
B. lon_57	FBJ19M2_ctg	1	1
B. lon_74	FBJ9M5_ctg	1	1
B. lon_16	FGDLZ19M5_ctg	1	1
B. lon_26	FGDLZ4M1_ctg	1	1
B. lon_37	FGDLZ5M1_ctg	1	1
B. lon_86	FGDLZ63M1_ctg	1	1
B. lon_180	FGDLZ72M1_ctg	1	1
B. lon_59	FGDLZ73M1_ctg	1	1
B. lon_50	FGDLZ78M2_ctg	1	1
B. lon_8	FGDLZ8M1_ctg	1	1
B. lon_32	FGSYC16M1_ctg	1	1
B. lon_114	FGSYC28M4_ctg	1	1
B. lon_147	FGSYC28M5_ctg	1	1
B. lon_93	FGXBM12M1_ctg	1	1
B. lon_88	FGXBM14M6_ctg	1	1
B. lon_25	FGZ16_I1_M5_ctg	1	1
B. lon_161	FGZ16_I1_M6_ctg	1	1
B. lon_65	FGZ16I2M1_ctg	1	1
B. lon_31	FGZ17I1M2_ctg	1	1
B. lon_24	FGZ19MM7_ctg	1	1
B. lon_20	FGZ6MM10_ctg	1	1
B. lon_164	FHaNCM25GMM1_ctg	1	1
B. lon_120	FHNBA1M1_ctg	1	1
B. lon_112	FHNBA28M10_ctg	1	1
B. lon_118	FHNBA3M1_ctg	1	1
B. lon_4	FHNBA4M1_ctg	1	1
B. lon_153	FHuBZX30M2_ctg	1	1
B. lon_117	FJSNT19M1_ctg	1	1
B. lon_110	FJSNT19M2_ctg	1	1
B. lon_29	FJSNT19M3_ctg	1	1
B. lon_17	FJSNT19M4_ctg	1	1
B. lon_162	FJSNT19M5_ctg	1	1
B. lon_168	FJSNT19M6_ctg	1	1
B. lon_47	FJSNT19M7_ctg	1	1
B. lon_101	FJSNT19M8_ctg	1	1
B. lon_122	FJSNT19M9_ctg	1	1
B. lon_105	FJSNT39M10_ctg	1	1
B. lon_96	FJSNT40M12_ctg	1	1
B. lon_97	FJSNT45M1_ctg	1	1
B. lon_136	FJSNT46M2_ctg	1	1
B. lon_36	FJSNT53M9_ctg	1	1
B. lon_92	FJSNT54M6_ctg	1	1
B. lon_70	FJSNT70M6_ctg	1	1
B. lon_157	FJSWX30M1_ctg	1	1
B. lon_5	FJSWXJ10M2_ctg	1	1
B. lon_176	FJSWXJ11M1_ctg	1	1
B. lon_130	FJSWXJ12M2_ctg	1	1
B. lon_175	FJSWXJ17M1_ctg	1	1
B. lon_181	FJSWXJ18M1_ctg	1	1
B. lon_154	FJSWXJ20M1_ctg	1	1
B. lon_42	FJSWXJ2M1_ctg	1	1
B. lon_137	FJSWXJ43M4_ctg	1	1
B. lon_83	FSCCD3M1_ctg	1	1
B. lon_49	FSCCD5M1_ctg	1	1
