query_asm	ref_asm	anim_ani	ani	ani_uniform	cal	flag
GCF_002005185.1	GCF_900637515.1	87.8585	83.7829	89.7761	88.1752	INCONSISTENT
GCF_002005185.1	GCF_902652545.1	87.6752	87.3072	90.1338	88.2735	INCONSISTENT
GCF_020181415.1	GCF_002838225.1	89.804	85.0608	90.9616	88.1389	INCONSISTENT
GCF_020181415.1	GCF_052416495.1	90.1259	84.0532	91.1414	88.3758	INCONSISTENT
GCF_020181415.1	GCF_056269625.1	89.6882	84.6864	90.7259	88.0733	INCONSISTENT
GCF_031190775.1	GCF_900637515.1	87.7799	84.5477	89.3795	88.182	INCONSISTENT
GCF_031190775.1	GCF_902652545.1	87.7365	88.2521	90.4638	88.2982	INCONSISTENT
GCF_040267655.1	GCF_002838225.1	89.4569	83.4724	90.2717	87.8235	INCONSISTENT
GCF_040267655.1	GCF_052416495.1	89.4852	81.6435	89.8909	87.4273	INCONSISTENT
GCF_040267655.1	GCF_056269625.1	89.2551	82.4991	89.7241	87.5262	INCONSISTENT
GCF_057457685.1	GCF_002838225.1	89.7262	84.2181	90.9377	88.0579	INCONSISTENT
GCF_057457685.1	GCF_052416495.1	90.1963	83.7032	91.2979	88.4557	INCONSISTENT
GCF_057457685.1	GCF_056269625.1	89.6239	83.3892	90.652	87.9232	INCONSISTENT
GCF_900186885.1	GCF_900637515.1	87.6959	83.4329	89.2896	88.1249	INCONSISTENT
GCF_900186885.1	GCF_902652545.1	87.6266	87.4801	90.4351	88.1972	INCONSISTENT
