query	reference	sv_type	q_contig	q_start	q_end	r_contig	r_start	r_end	size	support_left	support_right
F_JS_CZ_D12_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	F_JS_CZ_D12_M_1_ctg_contig1	101697	104315	FSHHK16M1_ctg_contig2	156440	157239	1819	212	48
F_JS_CZ_D12_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	F_JS_CZ_D12_M_1_ctg_contig1	129584	169291	FSHHK16M1_ctg_contig2	182455	202852	19310	48	66
F_JS_CZ_D12_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	F_JS_CZ_D12_M_1_ctg_contig1	199504	200057	FSHHK16M1_ctg_contig3	436	436	553	66	167
F_JS_CZ_D12_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	F_JS_CZ_D12_M_1_ctg_contig1	230291	232196	FSHHK16M1_ctg_contig3	30678	34107	1524	59	108
F_JS_CZ_D12_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	F_JS_CZ_D12_M_1_ctg_contig1	263213	264406	FSHHK16M1_ctg_contig3	65141	69987	3653	134	33
F_JS_CZ_D12_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	F_JS_CZ_D12_M_1_ctg_contig1	282935	290406	FSHHK16M1_ctg_contig3	88104	92989	2586	167	44
F_JS_CZ_D12_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	F_JS_CZ_D12_M_1_ctg_contig1	320172	322313	FSHHK16M1_ctg_contig1	985653	985653	2141	44	249
F_JS_CZ_D12_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	F_JS_CZ_D12_M_1_ctg_contig1	322126	451823	FSHHK16M1_ctg_contig1	857879	985841	129697	44	227
F_JS_CZ_D12_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	F_JS_CZ_D12_M_1_ctg_contig1	449512	451525	FSHHK16M1_ctg_contig1	858178	858657	1534	247	2
F_JS_CZ_D12_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	F_JS_CZ_D12_M_1_ctg_contig1	451636	465740	FSHHK16M1_ctg_contig1	856429	858067	12466	249	227
F_JS_CZ_D12_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	F_JS_CZ_D12_M_1_ctg_contig1	465568	585292	FSHHK16M1_ctg_contig1	736868	856598	119724	249	118
F_JS_CZ_D12_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	F_JS_CZ_D12_M_1_ctg_contig1	585120	588003	FSHHK16M1_ctg_contig1	733041	737037	1113	227	118
F_JS_CZ_D12_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	F_JS_CZ_D12_M_1_ctg_contig1	587823	648340	FSHHK16M1_ctg_contig1	672691	733221	60517	227	0
F_JS_CZ_D12_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	F_JS_CZ_D12_M_1_ctg_contig2	8387	22982	FSHHK16M1_ctg_contig8	11041	25636	14595	0	389
F_JS_CZ_D12_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	F_JS_CZ_D12_M_1_ctg_contig2	22856	25510	FSHHK16M1_ctg_contig6	183012	183012	2654	33	389
F_JS_CZ_D12_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	F_JS_CZ_D12_M_1_ctg_contig2	25347	209309	FSHHK16M1_ctg_contig6	0	183174	183962	33	0
F_JS_CZ_D12_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	F_JS_CZ_D12_M_1_ctg_contig4	85	37029	FSHHK16M1_ctg_contig11	35497	76300	36944	0	80
F_JS_CZ_D12_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	F_JS_CZ_D12_M_1_ctg_contig4	7016	7390	FSHHK16M1_ctg_contig11	65254	69391	3763	11	59
F_JS_CZ_D12_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	F_JS_CZ_D12_M_1_ctg_contig4	36843	42097	FSHHK16M1_ctg_contig11	35065	35684	4635	70	80
F_JS_CZ_D12_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	F_JS_CZ_D12_M_1_ctg_contig4	41967	75882	FSHHK16M1_ctg_contig11	1410	35195	33915	70	149
F_JS_CZ_D12_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	F_JS_CZ_D12_M_1_ctg_contig4	75752	79852	FSHHK16M1_ctg_contig7	133775	133775	4100	80	149
F_JS_CZ_D12_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	F_JS_CZ_D12_M_1_ctg_contig4	79655	159278	FSHHK16M1_ctg_contig7	33271	133970	79623	80	37
F_JS_CZ_D12_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	F_JS_CZ_D12_M_1_ctg_contig4	92052	93650	FSHHK16M1_ctg_contig7	109772	121575	10205	27	122
F_JS_CZ_D12_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	F_JS_CZ_D12_M_1_ctg_contig4	120801	121289	FSHHK16M1_ctg_contig7	71292	82568	10788	74	75
F_JS_CZ_D12_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	F_JS_CZ_D12_M_1_ctg_contig4	162371	186329	FSHHK16M1_ctg_contig7	6225	30146	23958	149	8
F_JS_CZ_D12_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	F_JS_CZ_D12_M_1_ctg_contig4	186056	200274	FSHHK16M1_ctg_contig7	3018	6487	10749	37	8
