query	reference	sv_type	q_contig	q_start	q_end	r_contig	r_start	r_end	size	support_left	support_right
K2_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	K2_ctg_contig1	70511	81270	FSHHK16M1_ctg_contig1	578025	580016	8768	127	19
K2_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	K2_ctg_contig1	87976	90619	FSHHK16M1_ctg_contig1	586722	678487	89122	19	108
K2_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	K2_ctg_contig1	145247	148130	FSHHK16M1_ctg_contig1	733041	737037	1113	108	133
K2_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	K2_ctg_contig5	2082	120249	FSHHK16M1_ctg_contig3	1157	122934	118167	0	66
K2_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	K2_ctg_contig5	28407	31005	FSHHK16M1_ctg_contig3	95496	96682	1412	42	188
K2_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	K2_ctg_contig5	56610	57797	FSHHK16M1_ctg_contig3	65141	69987	3659	95	135
K2_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	K2_ctg_contig5	88803	90712	FSHHK16M1_ctg_contig3	30678	34107	1520	171	59
K2_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	K2_ctg_contig5	120081	123835	FSHHK16M1_ctg_contig2	233027	233027	3754	230	66
K2_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	K2_ctg_contig5	123662	154957	FSHHK16M1_ctg_contig2	202679	233175	31295	230	0
K2_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	K2_ctg_contig7	43415	92172	FSHHK16M1_ctg_contig2	141781	190178	48757	0	0
K2_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	K2_ctg_contig8	1197	54303	FSHHK16M1_ctg_contig2	86605	140031	53106	0	23
K2_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	K2_ctg_contig8	54122	71159	FSHHK16M1_ctg_contig2	86646	86786	16897	103	23
K2_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	K2_ctg_contig8	71014	78961	FSHHK16M1_ctg_contig2	78849	86791	7947	103	0
K2_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	K2_ctg_contig9	785	141810	FSHHK16M1_ctg_contig4	61799	201963	141025	0	0
K2_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	K2_ctg_contig10	211	56513	FSHHK16M1_ctg_contig4	0	61567	56302	0	6
K2_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	K2_ctg_contig10	10903	12798	FSHHK16M1_ctg_contig4	43324	50886	5667	31	71
K2_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	K2_ctg_contig10	56331	56974	FSHHK16M1_ctg_contig14	749	749	643	102	6
K2_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	K2_ctg_contig11	150364	154011	FSHHK16M1_ctg_contig1	314065	316374	1338	204	5
K2_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	K2_ctg_contig11	155177	166546	FSHHK16M1_ctg_contig1	317258	340843	12216	209	77
K2_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	K2_ctg_contig11	168907	171150	FSHHK16M1_ctg_contig1	343204	343822	1625	6	71
K2_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	K2_ctg_contig11	171474	175025	FSHHK16M1_ctg_contig1	344146	345271	2426	8	69
K2_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	K2_ctg_contig13	21960	34300	FSHHK16M1_ctg_contig6	128992	141364	12340	0	0
K2_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	K2_ctg_contig14	225	128899	FSHHK16M1_ctg_contig6	741	128770	128674	0	0
K2_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	K2_ctg_contig17	639	36345	FSHHK16M1_ctg_contig9	242	40443	35706	0	139
K2_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	K2_ctg_contig17	5454	5739	FSHHK16M1_ctg_contig9	30801	35554	4468	12	83
K2_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	K2_ctg_contig17	36222	37257	FSHHK16M1_ctg_contig8	75607	75607	1035	95	139
K2_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	K2_ctg_contig17	37109	107691	FSHHK16M1_ctg_contig8	947	75753	70582	95	86
K2_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	K2_ctg_contig17	74413	79223	FSHHK16M1_ctg_contig8	29433	37451	3208	80	59
K2_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	K2_ctg_contig17	107543	108988	FSHHK16M1_ctg_contig6	185329	185329	1445	139	86
K2_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	K2_ctg_contig17	108813	151561	FSHHK16M1_ctg_contig6	142023	185504	42748	139	0
K2_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	K2_ctg_contig19	7863	93921	FSHHK16M1_ctg_contig7	33280	135387	86058	0	37
K2_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	K2_ctg_contig19	25322	26348	FSHHK16M1_ctg_contig7	109772	117921	7123	40	121
