query	reference	s2b_raw_ani	s2b_mash_ani	s2b_af_q	s2b_af_r	s2b_shared_tags	s2b_containment	s2b_ref_gc	s2b_corrected_ani	s2b_error
GCF_011765525.1	GCF_008831325.1	1.000000	0.870012	0.038101	0.039153	61	0.500000	0.369387	0.842012	
GCF_011765525.1	GCF_006739205.1	1.000000	0.982924	0.637726	0.662987	1021	0.500000	0.368691	0.954924	
GCF_011765525.1	GCF_044360185.1	1.000000	0.982911	0.637726	0.662557	1021	0.500000	0.368707	0.954911	
GCF_011765525.1	GCF_009738105.1	1.000000	0.990390	0.764522	0.801572	1224	0.500000	0.368497	0.962390	
GCF_011765525.1	GCF_057218265.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.483640	0.000000	
GCF_011765525.1	GCF_030440475.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.480433	0.000000	
GCF_011765525.1	GCF_030144345.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.482734	0.000000	
GCF_011765525.1	GCF_058684255.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.482859	0.000000	
GCF_011765525.1	GCF_002754055.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.482461	0.000000	
GCF_011765525.1	GCF_037889325.1	0.000000	0.000000	0.003123	0.005643	0	0.000000	0.270774	0.000000	
GCF_011765525.1	GCF_037955445.1	0.000000	0.000000	0.003123	0.005869	0	0.000000	0.271367	0.000000	
GCF_011765525.1	GCF_037889145.1	0.000000	0.000000	0.002498	0.005229	0	0.000000	0.270780	0.000000	
GCF_011765525.1	GCF_037889375.1	0.000000	0.000000	0.003123	0.005488	0	0.000000	0.270656	0.000000	
GCF_011765525.1	GCF_037951365.1	0.000000	0.000000	0.002498	0.004728	0	0.000000	0.271674	0.000000	
GCF_011765525.1	GCF_023517915.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.443767	0.000000	
GCF_011765525.1	GCF_025449295.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.444422	0.000000	
GCF_011765525.1	GCF_024730745.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.444500	0.000000	
GCF_011765525.1	GCF_023517835.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.443589	0.000000	
GCF_011765525.1	GCF_023517855.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.443842	0.000000	
GCF_011765525.1	GCF_050225895.1	1.000000	0.830519	0.016240	0.012859	26	0.500000	0.430313	0.802519	
GCF_011765525.1	GCF_050225505.1	1.000000	0.840088	0.021237	0.015866	34	0.500000	0.432868	0.812088	
GCF_011765525.1	GCF_050226025.1	1.000000	0.839184	0.021237	0.015165	34	0.500000	0.433899	0.811184	
GCF_011765525.1	GCF_050225395.1	1.000000	0.840162	0.021237	0.015925	34	0.500000	0.430119	0.812162	
GCF_011765525.1	GCF_050220455.1	1.000000	0.839213	0.020612	0.015647	33	0.500000	0.431276	0.811213	
GCF_011765525.1	GCF_028743275.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.433344	0.000000	
GCF_011765525.1	GCF_000724795.2	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.433468	0.000000	
