cluster	species	total_pairs	struct_top_pairs	ani_top_pairs	both_top_pairs	struct_enrichment_ratio	ani_enrichment_ratio	struct_p	ani_p	log2_struct_over_ani	neg_log10_min_p	struct_q	ani_q	mode	category
HROM_Genome_3819	SDRK01 sp007845205	3418	852	1	0	4.985373057561779	0.0058513768281241	0.0	1.0	9.15059352319038	768.7310519527776	0.0	1.0	structural_enriched	SV-enriched
HROM_Genome_0004	Rothia mucilaginosa [HROM_Genome_0004]	434888	60526	282	98	2.7835221092946405	0.0129688602389235	0.0	1.0	7.743172250552002	25332.66144629794	0.0	1.0	structural_enriched	SV-enriched
HROM_Genome_1920	Eubacterium_B sulci	922358	88204	416	144	1.9125768184308	0.0090203613948031	0.0	1.0	7.726391954978876	16460.005390709928	0.0	1.0	structural_enriched	SV-enriched
HROM_Genome_0302	Actinomyces graevenitzii [HROM_Genome_0302]	2788689	267212	2059	761	1.9163992839928583	0.0147667998658042	0.0	1.0	7.019549561149245	52215.17053056695	0.0	1.0	structural_enriched	SV-enriched
HROM_Genome_4479	Nanosyncoccus sp013332965 [HROM_Genome_4479]	9953	2387	18	10	4.796545194261751	0.036170009843616	0.0	1.0	7.011831652181524	2061.0979401168024	0.0	1.0	structural_enriched	SV-enriched
HROM_Genome_2937	HROM_Genome_2937	16121	2671	22	11	3.3136912115916664	0.0272936003949893	0.0	1.0	6.8915812054931	1458.6137848569438	0.0	1.0	structural_enriched	SV-enriched
HROM_Genome_4892	Lautropia mirabilis [HROM_Genome_4892]	2382702	328945	3790	1186	2.761109854772402	0.0318126323536986	0.0	1.0	6.439316601458277	142555.0463453917	0.0	1.0	structural_enriched	SV-enriched
HROM_Genome_1055	Alloprevotella sp905369775	1365109	321121	3835	1920	4.70469532195116	0.0561860063953547	0.0	1.0	6.387560789317777	282651.42013312044	0.0	1.0	structural_enriched	SV-enriched
HROM_Genome_1710	Oribacterium sp015258095	115311	16591	218	79	2.8776101111046133	0.0378108012911099	0.0	1.0	6.246667233035532	7289.954092351309	0.0	1.0	structural_enriched	SV-enriched
HROM_Genome_1911	Mogibacterium diversum	369179	71034	1392	620	3.848215705929817	0.0754105958084059	0.0	1.0	5.672770649546358	47801.547571726485	0.0	1.0	structural_enriched	SV-enriched
HROM_Genome_1956	CAG-793 sp013333395	32032	6997	142	60	4.368757554061655	0.0886613652532163	0.0	1.0	5.617805757408173	5441.038850112684	0.0	1.0	structural_enriched	SV-enriched
HROM_Genome_1673	Butyrivibrio sp015258065	227913	42391	869	299	3.7199293339283663	0.0762571911769892	0.0	1.0	5.607445178512591	27202.20224872771	0.0	1.0	structural_enriched	SV-enriched
HROM_Genome_4498	HROM_Genome_4498	15129	2577	55	29	3.4067033814665604	0.0727080659606755	0.0	1.0	5.537340845905365	1463.7386325895309	0.0	1.0	structural_enriched	SV-enriched
HROM_Genome_0381	Corynebacterium matruchotii	1599189	146079	4152	896	1.8269140647284496	0.051926335727603	0.0	1.0	5.1366297539827235	24171.47659273306	0.0	1.0	structural_enriched	SV-enriched
HROM_Genome_4510	Nanosyncoccus sp905372495	2662	821	23	12	6.168296365436433	0.172802456035369	0.0	1.0	5.127527913272437	913.321004555072	0.0	1.0	structural_enriched	SV-enriched
HROM_Genome_1037	Alloprevotella tannerae_B	18753	4273	165	90	4.557138891468655	0.1759718972834842	0.0	1.0	4.69051500023779	3485.9738494727094	0.0	1.0	structural_enriched	SV-enriched
HROM_Genome_1056	Alloprevotella sp015257125 [HROM_Genome_1056]	294424	35793	1397	713	2.431392191891033	0.0948971835853874	0.0	1.0	4.6787774336888805	11627.49937213505	0.0	1.0	structural_enriched	SV-enriched
HROM_Genome_1047	Alloprevotella sp900095835 [HROM_Genome_1047]	44347	9083	390	143	4.096332434767473	0.1758856819948601	0.0	1.0	4.539853841801664	6548.194144070587	0.0	1.0	structural_enriched	SV-enriched
HROM_Genome_3424	Saccharimonas sp010202265	3160	1058	47	25	6.69620454001361	0.2974684436489977	0.0	1.0	4.477949945676642	1266.9284692759145	0.0	1.0	structural_enriched	SV-enriched
HROM_Genome_1004	Prevotella nanceiensis	1727861	221228	10400	3291	2.5607160107453275	0.1203800898247572	0.0	1.0	4.410812462138887	82217.83796694828	0.0	1.0	structural_enriched	SV-enriched
HROM_Genome_1101	HROM_Genome_1101	11933	1709	99	37	2.8643266782439434	0.1659264722914864	0.0	1.0	4.102734086889746	746.9415348717833	0.0	1.0	structural_enriched	SV-enriched
HROM_Genome_3572	SDRW01 sp007845485	363087	94531	5519	1793	5.207073145132942	0.30400436563655	0.0	1.0	4.098185660250091	89805.16895613876	0.0	1.0	structural_enriched	SV-enriched
HROM_Genome_2758	F0422 sp001553345	47451	4579	272	75	1.9299915168755424	0.1146446151103183	0.0	1.0	4.070861955263648	864.4752307049423	0.0	1.0	structural_enriched	SV-enriched
HROM_Genome_1046	Alloprevotella sp015259235	183087	48731	3111	1394	5.323263215380041	0.3398385393906816	0.0	1.0	3.969172479344477	47077.785803548555	0.0	1.0	structural_enriched	SV-enriched
HROM_Genome_3430	Nanosynbacter sp900556355 [HROM_Genome_3430]	11793	2301	152	39	3.902316102994468	0.2577801163212338	0.0	1.0	3.9156932947736376	1564.4958993324808	0.0	1.0	structural_enriched	SV-enriched
HROM_Genome_1042	HROM_Genome_1042	11898	2648	202	122	4.451169598596664	0.3395529678687787	0.0	1.0	3.7091816955253982	2104.981366249576	0.0	1.0	structural_enriched	SV-enriched
HROM_Genome_1093	Porphyromonas sp018127745 [HROM_Genome_1093]	51771	6061	522	171	2.3414660013729773	0.2016573589699214	0.0	1.0	3.53617190993637	1816.508133589648	0.0	1.0	structural_enriched	SV-enriched
HROM_Genome_0006	Rothia mucilaginosa_A	199302	20970	2022	165	2.1043447922707235	0.2029082102990654	0.0	1.0	3.3741496522799115	4949.650773407511	0.0	1.0	structural_enriched	SV-enriched
HROM_Genome_1003	HROM_Genome_1003	20075	3852	381	166	3.837610117376401	0.3795767016408122	0.0	1.0	3.336039994567617	2562.3724695370215	0.0	1.0	structural_enriched	SV-enriched
HROM_Genome_4919	Haemophilus_A sputorum	23348	3570	375	179	3.058078696879658	0.3212267538739137	0.0	1.0	3.2492413053827582	1728.5885430308904	0.0	1.0	structural_enriched	SV-enriched
HROM_Genome_1007	Prevotella sp013333285	223930	19249	2178	696	1.719198479282242	0.1945251331433697	0.0	1.0	3.1434139543566904	2548.50132724629	0.0	1.0	structural_enriched	SV-enriched
HROM_Genome_3822	Nanogingivalis sp015257795 [HROM_Genome_3822]	131184	22059	2795	1011	3.3630635772772375	0.4261191667115408	0.0	1.0	2.980221841135276	12308.846518095024	0.0	1.0	structural_enriched	SV-enriched
HROM_Genome_1125	HROM_Genome_1125	6870	2394	314	122	6.96943440472735	0.9141196337027518	0.0	0.953145682988495	2.928592513356712	2965.178279924666	0.0	1.0	structural_enriched	SV-enriched
HROM_Genome_2925	HOT-345 sp013333295	81992	8953	1229	494	2.183872252229784	0.2997854348252434	0.0	1.0	2.864380019574877	2303.2199854244745	0.0	1.0	structural_enriched	SV-enriched
HROM_Genome_1126	Porphyromonas endodontalis [HROM_Genome_1126]	457328	61320	9608	2388	2.6816647304117813	0.4201799531930267	0.0	1.0	2.673986328602317	24057.40750624637	0.0	1.0	structural_enriched	SV-enriched
HROM_Genome_1036	Alloprevotella tannerae_A	14359	3275	520	211	4.561600365288696	0.7242846381527089	0.0	0.9999999999999992	2.65374507998569	2675.3403338358225	0.0	1.0	structural_enriched	SV-enriched
HROM_Genome_2928	GN02-873 sp003260345	42255	9068	1546	431	4.292037732686195	0.7317479416335309	0.0	1.0	2.551857104148434	6909.021413728034	0.0	1.0	structural_enriched	SV-enriched
HROM_Genome_4823	Neisseria subflava_C	2559901	159719	30091	12984	1.2478533185771448	0.2350950995767871	0.0	1.0	2.4081125317645475	4039.931815809998	0.0	1.0	structural_enriched	SV-enriched
HROM_Genome_1022	Prevotella sp000599605	62046	10672	2022	916	3.4400293978063803	0.6517746853789825	0.0	1.0	2.399686554817661	6138.895713572915	0.0	1.0	structural_enriched	SV-enriched
HROM_Genome_4822	Neisseria sp000186165	222454	24998	4887	1903	2.2474765567317827	0.4393718670592936	0.0	1.0	2.3546729230553263	6873.4190051566475	0.0	1.0	structural_enriched	SV-enriched
HROM_Genome_1006	Prevotella sp015256945	135558	21203	4684	1252	3.128256002499276	0.6910697125740041	0.0	1.0	2.178335450722261	10638.398533554371	0.0	1.0	structural_enriched	SV-enriched
HROM_Genome_2754	Veillonella sp900550455	21273	5712	1350	542	5.370189172359046	1.269214877920993	0.0	2.468170543886746e-18	2.0806286203238273	5542.518806270843	0.0	7.306345757755652e-18	structural_enriched	SV-enriched
HROM_Genome_3821	Nanogingivalis sp900555945	13504	3762	970	337	5.571684135549741	1.4366118052852863	0.0	3.446220166298198e-28	1.954891463820763	3786.926072590933	0.0	1.0751381476894375e-27	structural_enriched	SV-enriched
HROM_Genome_1038	Alloprevotella tannerae	211255	23226	7176	3154	2.198859858094813	0.6793687394165323	0.0	1.0	1.6944194567914876	6079.2028699623925	0.0	1.0	structural_enriched	SV-enriched
HROM_Genome_4990	HROM_Genome_4990	16931	5670	1802	713	6.69777532405976	2.1286404116323965	0.0	2.047983981713078e-191	1.6534766918772208	6777.444485905573	0.0	9.27825786497838e-191	structural_enriched	SV-enriched
HROM_Genome_3435	HROM_Genome_3435	4074	1030	331	140	5.056457088484097	1.6249391226099383	0.0	2.1145285766744352e-17	1.6362637294266686	942.4329989152744	0.0	6.189153867681914e-17	structural_enriched	SV-enriched
HROM_Genome_2914	HROM_Genome_2914	13925	3439	1112	449	4.939319255220038	1.5971279476024085	0.0	1.155875076259238e-50	1.6283935195608272	3062.421411769854	0.0	3.885231707942342e-50	structural_enriched	SV-enriched
HROM_Genome_3829	Nanogingivalis sp900556165	13127	2917	1036	367	4.44427649102668	1.5784266179991913	0.0	3.1320911651521525e-45	1.4930125394852958	2314.41766536147	0.0	1.0263015704680952e-44	structural_enriched	SV-enriched
HROM_Genome_1368	HROM_Genome_1368	29342	4371	1852	332	2.979347904695231	1.2623546830234655	0.0	1.7326355511226088e-23	1.2386548564723652	2030.8949734439088	0.0	5.373232869850471e-23	structural_enriched	SV-enriched
HROM_Genome_2934	GN02-872 sp003260325	55756	7244	3804	543	2.598465518569113	1.3645172325561712	0.0	8.063835477500147e-79	0.9291792590484316	2662.533035563905	0.0	2.897419506053501e-78	both_enriched	SV-enriched
HROM_Genome_4893	Lautropia dentalis	25425	4503	2664	908	3.5421839532496837	2.095575849757308	0.0	1.4160241075201206e-271	0.7571818283426908	2696.5170285075915	0.0	7.026176762076025e-271	both_enriched	SV-enriched
HROM_Genome_2727	Centipeda noxia	102378	24522	21569	3517	4.790483766980333	4.213601842019362	0.0	0.0	0.1851133312889661	21164.53677463795	0.0	0.0	both_enriched	SV-enriched
HROM_Genome_3282	SDRW01 sp013333595 [HROM_Genome_3282]	10047	1529	20	7	3.043695548098921	0.0398128914074417	9.42e-321	1.0	6.221292386940119	736.8867053423247	6.8176e-320	1.0	structural_enriched	SV-enriched
HROM_Genome_2722	Centipeda artemidis	12090	1708	821	185	2.825476447103924	1.3581476364592049	1.186906e-317	4.903307208829759e-18	1.0563977674791938	729.7481246840428	8.47093e-317	1.4432898620340705e-17	structural_enriched	SV-enriched
HROM_Genome_2654	HROM_Genome_2654	2594	722	540	235	5.566694036598872	4.163455373633506	2.830686e-317	2.0964379028200004e-174	0.4187029696533909	728.8789553668018	1.9929559e-316	8.880033718448945e-174	both_enriched	SV-enriched
HROM_Genome_1048	Alloprevotella sp905371275 [HROM_Genome_1048]	74437	5886	632	275	1.5814720543189265	0.1698080765085901	2.885853019169622e-249	1.0	3.2182727052492943	572.2838676253713	1.927601824342786e-248	1.0	structural_enriched	SV-enriched
HROM_Genome_1959	HROM_Genome_1959	4904	896	106	45	3.654160965473371	0.4323002927903764	8.000684531510254e-245	1.0	3.0734501526425366	562.0538206790832	5.276400811287143e-244	1.0	structural_enriched	SV-enriched
HROM_Genome_3279	VGLK01 sp013333495	945	378	45	24	8.000002399411345	0.9523812380251602	1.73669582188781e-230	0.6523337717574008	3.0563548497870356	529.042587033639	1.1310231540044362e-229	1.0	structural_enriched	SV-enriched
HROM_Genome_3300	HROM_Genome_3300	1891	516	222	112	5.4574315680807155	2.3479647444068195	5.423792631479973e-223	5.196579455381347e-31	1.2149630130112994	511.78568041942424	3.446092635367153e-222	1.6408593310628374e-30	structural_enriched	SV-enriched
HROM_Genome_3280	VGLK01 sp905372785	666	312	124	61	9.369372179490764	3.723724840566842	4.119617264868547e-216	2.140629543438677e-36	1.3277104474813686	495.9426198245442	2.5859284277066423e-215	6.884370321799696e-36	structural_enriched	SV-enriched
HROM_Genome_0350	Peptidiphaga sp905373325	9909	1271	371	35	2.565345405603951	0.7488144338938361	5.564010878017567e-200	0.9999999990746332	1.77509734615151	458.8006993696784	3.3707554272641317e-199	1.0	structural_enriched	SV-enriched
HROM_Genome_1092	Porphyromonas sp905372565	6113	934	157	89	3.055783674566577	0.5136595684228615	5.361018506494354e-198	1.0	2.5688428353578794	454.2326944359215	3.2104490136592635e-197	1.0	structural_enriched	SV-enriched
HROM_Genome_0211	Scardovia wiggsiae	25764	2332	333	48	1.810278450107442	0.2585003104141416	4.2553117900174775e-160	1.0	2.806118414554536	366.9654468435567	2.4362829039550607e-159	1.0	structural_enriched	SV-enriched
HROM_Genome_1891	Stomatobaculum longum_A [HROM_Genome_1891]	213342	13291	495	62	1.2459810057393317	0.0464043787405739	2.5328564958119495e-140	1.0	4.745475060185944	321.4325653035962	1.4038491854447084e-139	1.0	structural_enriched	SV-enriched
HROM_Genome_4502	HROM_Genome_4502	1928	404	55	14	4.190872626247644	0.5705395902069812	5.141278945951526e-132	0.9999989071207068	2.8655800260798716	302.3039304045285	2.761449825609016e-131	1.0	structural_enriched	SV-enriched
HROM_Genome_1045	Alloprevotella sp000318095	7018	871	195	56	2.4821894022112003	0.5557140452711642	1.8484635266163913e-129	1.0	2.1563320568183326	296.4191222283729	9.827035687419796e-129	1.0	structural_enriched	SV-enriched
HROM_Genome_2913	HOT-345 sp003260355	10551	1094	227	65	2.0737377085006186	0.4302910967364172	5.434347489495916e-110	1.0	2.2663335040948875	251.59162077310975	2.775779452968012e-109	1.0	structural_enriched	SV-enriched
HROM_Genome_3472	HROM_Genome_3472	670	206	11	5	6.149255575666929	0.3283583074385253	5.976441179235551e-101	0.9999987420092188	4.166436015362432	230.77326912211976	3.023034810079342e-100	1.0	structural_enriched	SV-enriched
HROM_Genome_3293	HROM_Genome_3293	780	216	23	15	5.538463199592469	0.5897437666232722	7.068404505585719e-96	0.9981785636986192	3.203634363049088	219.0925341440503	3.507274997533486e-95	1.0	structural_enriched	SV-enriched
HROM_Genome_0005	Rothia mucilaginosa [HROM_Genome_0005]	11741	1064	30	9	1.8124526345655545	0.0511029878166979	1.8357388511859008e-74	1.0	5.125222896889408	169.78384983739403	8.855740198776428e-74	1.0	structural_enriched	SV-enriched
HROM_Genome_3421	HROM_Genome_3421	1819	297	34	23	3.265531490688798	0.37383188782296	6.56039185089641e-71	0.9999999999990602	3.1082214014171368	161.60249126803686	3.1357469305660816e-70	1.0	structural_enriched	SV-enriched
HROM_Genome_4929	Haemophilus_A parahaemolyticus	86955	5448	3050	1143	1.253062304410126	0.7015124868669025	1.6102448910461036e-61	1.0	0.8368133725314499	139.98130439896758	7.490514180669822e-61	1.0	not_enriched	SV-enriched
HROM_Genome_2089	Streptococcus sp000187445	1377	227	114	19	3.297023501572939	1.6557739170894938	2.1558147925673192e-55	1.8128191362761033e-07	0.9905189469891148	125.87401136857756	9.766778321109334e-55	4.893672383418912e-07	both_enriched	SV-enriched
HROM_Genome_3457	HROM_Genome_3457	410	116	11	3	5.658538282510464	0.5365855267897853	2.007885006397581e-53	0.9929055216222809	3.340624188597267	121.33992799622509	9.018173175285688e-53	1.0	structural_enriched	SV-enriched
HROM_Genome_4496	Nanosyncoccus sp013332965 [HROM_Genome_4496]	339	101	3	1	5.958703852068922	0.1769912035267996	5.029350485403309e-49	0.9999950158563972	4.857980995127572	111.21137870908478	2.239565472559935e-48	1.0	structural_enriched	SV-enriched
HROM_Genome_4487	Nanosyncoccus nanoralicus [HROM_Genome_4487]	362	103	2	2	5.690609441570225	0.1104972707101014	6.87208564928871e-48	0.9999998269799332	5.371558862611963	108.59661681559292	3.034200528202897e-47	1.0	structural_enriched	SV-enriched
HROM_Genome_1053	Alloprevotella sp003639005	22155	1597	239	42	1.4416614569916402	0.2157527164815291	5.915238694664903e-46	1.0	2.7377183700981766	104.14138242698232	2.5897809747230372e-45	1.0	structural_enriched	SV-enriched
HROM_Genome_2755	Veillonella sp900549805	227	75	16	15	6.6079314973111325	1.4096920527597083	2.413083418032554e-40	0.106824867459736	2.1940106199666256	91.22249836345848	1.022127203898342e-39	0.2576655367894558	structural_enriched	SV-enriched
HROM_Genome_1962	HROM_Genome_1962	600	116	6	2	3.86666782638215	0.2000000599852835	9.288398690864376e-36	0.9999999869023202	4.163746426513188	80.66429717893833	3.902625578984146e-35	1.0	structural_enriched	SV-enriched
HROM_Genome_3824	HROM_Genome_3824	801	136	114	17	3.395756324344391	2.8464428012886804	2.6261400822981576e-35	3.019937607762308e-23	0.2535533528229085	79.6249631359704	1.094575186301872e-34	9.255220550848014e-23	both_enriched	SV-enriched
HROM_Genome_3294	HROM_Genome_3294	351	76	9	3	4.330485629310984	0.5128206666289323	2.773054356788253e-27	0.9920516474125908	3.009460329249066	61.14984814223823	1.1199700154160307e-26	1.0	structural_enriched	SV-enriched
HROM_Genome_3479	HROM_Genome_3479	373	77	17	17	4.12868756537985	0.9115284235254212	3.2778652886383095e-26	0.6857549839686302	2.146841388329271	58.68002003396339	1.313667550292738e-25	1.0	structural_enriched	SV-enriched
HROM_Genome_4830	Neisseria cinerea	5395	451	83	28	1.6719189444552902	0.3076923999773593	1.985649326731009e-25	1.0	2.4348778850068062	56.87868134746194	7.778370670878614e-25	1.0	structural_enriched	SV-enriched
HROM_Genome_3419	Saccharimonas sp905371715	561	94	51	20	3.3511596503773013	1.8181823635025784	1.6072078560918147e-24	3.81149067253291e-05	0.8757418970378543	54.787543809289346	6.1570242134105565e-24	9.879535524326596e-05	both_enriched	SV-enriched
HROM_Genome_3666	HROM_Genome_3666	322	66	35	17	4.099380111499602	2.173913695492214	1.5729118503853984e-22	1.6926537259345767e-05	0.9055353159965076	50.20394346253324	5.938312130802845e-22	4.409362956059572e-05	both_enriched	SV-enriched
HROM_Genome_3452	Nanosynbacter sp900555675	239	54	35	16	4.518829807198877	2.9288711713326054	9.077115499839851e-21	1.4566249927113445e-08	0.6184372052722442	46.14853048696063	3.4022857377097574e-20	4.0153524931355055e-08	both_enriched	SV-enriched
HROM_Genome_1082	Bacteroides_D sp013333195	36858	2239	72	5	1.2149333504450868	0.0390688705815302	2.4400098470800492e-20	1.0	4.949051860840763	45.1596997848954	9.080322359490756e-20	1.0	structural_enriched	SV-enriched
HROM_Genome_4481	HROM_Genome_4481	228	52	9	5	4.561404876857345	0.7894739209945406	2.976819644812305e-20	0.8084905889091772	2.466318004222537	44.96084636254702	1.099945414856178e-19	1.0	structural_enriched	SV-enriched
HROM_Genome_1948	Eubacterium_N saphenum [HROM_Genome_1948]	25149	1559	137	16	1.2398110999127487	0.1089506867787341	1.9389454361552398e-17	1.0	3.50358002896213	38.48180234523264	7.015212307200554e-17	1.0	structural_enriched	SV-enriched
HROM_Genome_3463	Nanosynbacter sp900557595	1007	117	91	24	2.3237345599084587	1.8073491021510235	7.589721008747492e-17	6.931429976380327e-08	0.3608171082809573	37.1171517479076	2.7083867435324955e-16	1.8907199045519114e-07	both_enriched	SV-enriched
HROM_Genome_1073	Bacteroides_D sp905373475	28028	1712	145	9	1.2216358737505548	0.1034679916435925	9.153628849558123e-17	1.0	3.5570129298269677	36.929796184654464	3.244245326952233e-16	1.0	structural_enriched	SV-enriched
HROM_Genome_3440	HROM_Genome_3440	392	63	5	1	3.214286678334915	0.2551021173281678	4.294365858558801e-16	0.999983108240202	3.5292530681348686	35.38405758980499	1.501586988126937e-15	1.0	structural_enriched	SV-enriched
HROM_Genome_1021	HROM_Genome_1021	2645	230	217	30	1.7391309563937702	1.640832250162818	1.3249491830426252e-15	2.1845555673345532e-12	0.0837513496932473	34.25740228862863	4.571513406392104e-15	6.253590387809353e-12	both_enriched	SV-enriched
HROM_Genome_3446	Nanosynbacter sp900555885 [HROM_Genome_3446]	794	91	18	6	2.2921921232570286	0.4534006397651265	3.885337623984483e-13	0.9999707458416076	2.3062464726550926	28.57639632437845	1.2811777861366552e-12	1.0	structural_enriched	SV-enriched
