query	reference	sv_type	q_contig	q_start	q_end	r_contig	r_start	r_end	size	support_left	support_right
FGZ16I2M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGZ16I2M1_ctg_contig1	11138	50525	FSHHK16M1_ctg_contig9	238	39600	39387	0	148
FGZ16I2M1_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FGZ16I2M1_ctg_contig1	50398	51415	FSHHK16M1_ctg_contig8	75607	75607	1017	101	148
FGZ16I2M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGZ16I2M1_ctg_contig1	51278	122004	FSHHK16M1_ctg_contig8	956	75744	70726	101	366
FGZ16I2M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FGZ16I2M1_ctg_contig1	88716	93526	FSHHK16M1_ctg_contig8	29433	37451	3208	86	62
FGZ16I2M1_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FGZ16I2M1_ctg_contig1	121867	123312	FSHHK16M1_ctg_contig6	185329	185329	1445	148	366
FGZ16I2M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGZ16I2M1_ctg_contig1	123148	297689	FSHHK16M1_ctg_contig6	11581	185493	174541	148	0
FGZ16I2M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FGZ16I2M1_ctg_contig1	129523	130498	FSHHK16M1_ctg_contig6	176884	179127	1268	22	344
FGZ16I2M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FGZ16I2M1_ctg_contig1	165178	167554	FSHHK16M1_ctg_contig6	141153	142198	1331	86	280
FGZ16I2M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGZ16I2M1_ctg_contig2	230	10119	FSHHK16M1_ctg_contig6	1061	10995	9889	0	0
FGZ16I2M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FGZ16I2M1_ctg_contig6	787	2800	FSHHK16M1_ctg_contig1	858178	858657	1534	2	28
FGZ16I2M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FGZ16I2M1_ctg_contig6	11959	18630	FSHHK16M1_ctg_contig1	867815	872809	1677	30	191
FGZ16I2M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FGZ16I2M1_ctg_contig10	15776	17507	FSHHK16M1_ctg_contig12	15863	19047	1453	35	100
FGZ16I2M1_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FGZ16I2M1_ctg_contig10	59420	82016	FSHHK16M1_ctg_contig10	96801	96801	22596	135	113
FGZ16I2M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGZ16I2M1_ctg_contig10	81841	141112	FSHHK16M1_ctg_contig10	37555	96976	59271	135	75
FGZ16I2M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FGZ16I2M1_ctg_contig10	140937	143339	FSHHK16M1_ctg_contig10	36968	37730	1640	113	75
FGZ16I2M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGZ16I2M1_ctg_contig10	143170	179220	FSHHK16M1_ctg_contig10	1095	37137	36050	113	0
FGZ16I2M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGZ16I2M1_ctg_contig11	115	56726	FSHHK16M1_ctg_contig3	16815	78600	56611	0	37
FGZ16I2M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FGZ16I2M1_ctg_contig11	8747	9935	FSHHK16M1_ctg_contig3	65141	69987	3658	17	97
FGZ16I2M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FGZ16I2M1_ctg_contig11	40943	42856	FSHHK16M1_ctg_contig3	30678	34107	1516	91	23
FGZ16I2M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FGZ16I2M1_ctg_contig11	56571	72002	FSHHK16M1_ctg_contig3	16173	16970	14634	114	37
FGZ16I2M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGZ16I2M1_ctg_contig11	71843	86986	FSHHK16M1_ctg_contig3	1167	16332	15143	114	65
FGZ16I2M1_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FGZ16I2M1_ctg_contig11	86827	90581	FSHHK16M1_ctg_contig2	233027	233027	3754	37	65
FGZ16I2M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGZ16I2M1_ctg_contig11	90407	121584	FSHHK16M1_ctg_contig2	202676	233175	31177	37	29
FGZ16I2M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FGZ16I2M1_ctg_contig11	121410	161680	FSHHK16M1_ctg_contig2	182455	202852	19873	65	29
FGZ16I2M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGZ16I2M1_ctg_contig11	161522	173091	FSHHK16M1_ctg_contig2	171048	182613	11569	65	0
FGZ16I2M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FGZ16I2M1_ctg_contig13	12931	14826	FSHHK16M1_ctg_contig4	43324	50886	5667	24	26
FGZ16I2M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FGZ16I2M1_ctg_contig13	17427	18589	FSHHK16M1_ctg_contig4	53488	60047	5397	33	17
FGZ16I2M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FGZ16I2M1_ctg_contig15	19121	70499	FSHHK16M1_ctg_contig1	215105	217135	49348	44	120
FGZ16I2M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGZ16I2M1_ctg_contig16	329	26153	FSHHK16M1_ctg_contig7	73811	99586	25824	0	0
FGZ16I2M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGZ16I2M1_ctg_contig17	266	66252	FSHHK16M1_ctg_contig7	6309	71470	65986	0	8
FGZ16I2M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FGZ16I2M1_ctg_contig17	66074	80294	FSHHK16M1_ctg_contig7	3018	6487	10751	120	8
FGZ16I2M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGZ16I2M1_ctg_contig17	80198	82492	FSHHK16M1_ctg_contig7	817	3117	2294	120	0
FGZ16I2M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FGZ16I2M1_ctg_contig19	8124	10767	FSHHK16M1_ctg_contig1	586722	678487	89122	20	130
FGZ16I2M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGZ16I2M1_ctg_contig22	122	30807	FSHHK16M1_ctg_contig11	35538	66187	30685	0	78
FGZ16I2M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FGZ16I2M1_ctg_contig22	30661	35917	FSHHK16M1_ctg_contig11	35065	35684	4637	62	78
FGZ16I2M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGZ16I2M1_ctg_contig22	35787	68690	FSHHK16M1_ctg_contig11	2364	35195	32903	62	0
FGZ16I2M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGZ16I2M1_ctg_contig24	80	64999	FSHHK16M1_ctg_contig1	131160	195905	64919	0	0
FGZ16I2M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGZ16I2M1_ctg_contig25	1214	8791	FSHHK16M1_ctg_contig2	46189	53761	7577	0	0
FGZ16I2M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FGZ16I2M1_ctg_contig26	104	36109	FSHHK16M1_ctg_contig2	9395	45274	36005	0	0
