query	reference	sv_type	q_contig	q_start	q_end	r_contig	r_start	r_end	size	support_left	support_right
FHeJZ28M10_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHeJZ28M10_ctg_contig1	1524	51676	FSHHK16M1_ctg_contig1	508277	558423	50152	0	265
FHeJZ28M10_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FHeJZ28M10_ctg_contig1	51535	55232	FSHHK16M1_ctg_contig1	507674	508418	2953	110	265
FHeJZ28M10_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHeJZ28M10_ctg_contig1	55072	175742	FSHHK16M1_ctg_contig1	382936	507835	120670	110	0
FHeJZ28M10_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FHeJZ28M10_ctg_contig1	57935	58289	FSHHK16M1_ctg_contig1	501752	504971	2865	7	258
FHeJZ28M10_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHeJZ28M10_ctg_contig3	3724	315712	FSHHK16M1_ctg_contig1	63244	368030	311988	0	93
FHeJZ28M10_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FHeJZ28M10_ctg_contig3	26488	30034	FSHHK16M1_ctg_contig1	344146	345271	2421	70	543
FHeJZ28M10_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FHeJZ28M10_ctg_contig3	30358	32605	FSHHK16M1_ctg_contig1	343204	343822	1629	72	541
FHeJZ28M10_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FHeJZ28M10_ctg_contig3	178776	181666	FSHHK16M1_ctg_contig1	195742	197147	1485	370	243
FHeJZ28M10_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FHeJZ28M10_ctg_contig3	309120	311521	FSHHK16M1_ctg_contig1	67448	68728	1121	608	5
FHeJZ28M10_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FHeJZ28M10_ctg_contig3	315549	319597	FSHHK16M1_ctg_contig1	58135	63407	1224	613	93
FHeJZ28M10_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHeJZ28M10_ctg_contig3	319412	368640	FSHHK16M1_ctg_contig1	9110	58320	49228	613	0
FHeJZ28M10_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHeJZ28M10_ctg_contig4	115	9033	FSHHK16M1_ctg_contig1	117	9032	8918	0	0
FHeJZ28M10_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FHeJZ28M10_ctg_contig5	18018	28777	FSHHK16M1_ctg_contig1	578025	580016	8768	35	58
FHeJZ28M10_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FHeJZ28M10_ctg_contig5	316982	323652	FSHHK16M1_ctg_contig1	867815	872809	1676	486	226
FHeJZ28M10_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FHeJZ28M10_ctg_contig5	432728	434202	FSHHK16M1_ctg_contig1	981784	984883	1625	224	2
FHeJZ28M10_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHeJZ28M10_ctg_contig7	423	19942	FSHHK16M1_ctg_contig9	241	19735	19519	0	125
FHeJZ28M10_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FHeJZ28M10_ctg_contig7	19818	20853	FSHHK16M1_ctg_contig8	75607	75607	1035	47	125
FHeJZ28M10_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHeJZ28M10_ctg_contig7	20716	81455	FSHHK16M1_ctg_contig8	11030	75744	60739	47	383
FHeJZ28M10_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FHeJZ28M10_ctg_contig7	58242	63052	FSHHK16M1_ctg_contig8	29433	37451	3208	85	40
FHeJZ28M10_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FHeJZ28M10_ctg_contig7	81318	83976	FSHHK16M1_ctg_contig6	183012	183012	2658	125	383
FHeJZ28M10_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHeJZ28M10_ctg_contig7	83811	267152	FSHHK16M1_ctg_contig6	0	183178	183341	125	71
FHeJZ28M10_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FHeJZ28M10_ctg_contig7	266987	268420	FSHHK16M1_ctg_contig13	1463	1463	1433	383	71
FHeJZ28M10_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHeJZ28M10_ctg_contig9	1400	31963	FSHHK16M1_ctg_contig2	202676	233175	30563	0	193
FHeJZ28M10_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHeJZ28M10_ctg_contig9	51867	148120	FSHHK16M1_ctg_contig2	86598	182643	96253	65	176
FHeJZ28M10_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FHeJZ28M10_ctg_contig9	147934	156385	FSHHK16M1_ctg_contig2	86646	86786	8311	193	176
FHeJZ28M10_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHeJZ28M10_ctg_contig9	156210	243263	FSHHK16M1_ctg_contig2	190	86818	87053	193	0
FHeJZ28M10_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHeJZ28M10_ctg_contig11	948	6017	FSHHK16M1_ctg_contig4	196910	201979	5069	0	256
FHeJZ28M10_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FHeJZ28M10_ctg_contig11	5831	26062	FSHHK16M1_ctg_contig4	194895	197096	18030	12	256
FHeJZ28M10_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHeJZ28M10_ctg_contig11	25894	145721	FSHHK16M1_ctg_contig4	74236	195063	119827	12	120
FHeJZ28M10_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FHeJZ28M10_ctg_contig11	116272	116875	FSHHK16M1_ctg_contig4	103030	104740	1107	199	57
FHeJZ28M10_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FHeJZ28M10_ctg_contig11	145553	149923	FSHHK16M1_ctg_contig4	73962	74404	3928	256	120
