accession	abfA_status	hypba_status	phenotype
BlongumB3_ctg	complete	complete	unknown
CCFM1029_ctg	complete	complete	unknown
F_FJ_ND_D11_M_1_ctg	complete	complete	unknown
F_FJ_ND_D13_M_1_ctg	complete	complete	unknown
F_FJ_ND_D15_M_1_ctg	complete	complete	unknown
F_JS_CZ_D12_M_1_ctg	complete	complete	unknown
F_SD_HZ_D2_M_4_ctg	complete	complete	unknown
F_SD_HZ_D3_M_3_ctg	complete	complete	unknown
FBJ11M1_ctg	complete	complete	unknown
FBJ14M2_ctg	complete	complete	unknown
FBJ19M2_ctg	complete	complete	unknown
FBJ9M5_ctg	complete	complete	unknown
FGDLZ19M5_ctg	complete	complete	unknown
FGDLZ4M1_ctg	complete	complete	unknown
FGDLZ5M1_ctg	complete	complete	unknown
FGDLZ63M1_ctg	complete	complete	unknown
FGDLZ72M1_ctg	complete	complete	unknown
FGDLZ73M1_ctg	complete	complete	unknown
FGDLZ78M2_ctg	complete	complete	unknown
FGDLZ8M1_ctg	complete	complete	unknown
FGSYC16M1_ctg	complete	complete	unknown
FGSYC28M4_ctg	complete	complete	unknown
FGSYC28M5_ctg	complete	complete	unknown
FGXBM12M1_ctg	complete	complete	unknown
FGXBM14M6_ctg	complete	complete	unknown
FGZ16_I1_M5_ctg	complete	complete	unknown
FGZ16_I1_M6_ctg	complete	complete	unknown
FGZ16I2M1_ctg	complete	complete	unknown
FGZ17I1M2_ctg	complete	complete	unknown
FGZ19MM7_ctg	complete	complete	unknown
FGZ6MM10_ctg	complete	complete	unknown
FHaNCM25GMM1_ctg	complete	complete	unknown
FHNBA1M1_ctg	complete	complete	unknown
FHNBA28M10_ctg	complete	complete	unknown
FHNBA3M1_ctg	complete	complete	unknown
FHNBA4M1_ctg	complete	complete	unknown
FHuBZX30M2_ctg	complete	complete	unknown
FJSNT19M1_ctg	complete	complete	unknown
FJSNT19M2_ctg	complete	complete	unknown
FJSNT19M3_ctg	complete	complete	unknown
FJSNT19M4_ctg	complete	complete	unknown
FJSNT19M5_ctg	complete	complete	unknown
FJSNT19M6_ctg	complete	complete	unknown
FJSNT19M7_ctg	complete	complete	unknown
FJSNT19M8_ctg	complete	complete	unknown
FJSNT19M9_ctg	complete	complete	unknown
FJSNT39M10_ctg	complete	complete	unknown
FJSNT40M12_ctg	complete	complete	unknown
FJSNT45M1_ctg	complete	complete	unknown
FJSNT46M2_ctg	complete	complete	unknown
FJSNT53M9_ctg	complete	complete	unknown
FJSNT54M6_ctg	complete	complete	unknown
FJSNT70M6_ctg	complete	complete	unknown
FJSWX30M1_ctg	complete	complete	unknown
FJSWXJ10M2_ctg	complete	complete	unknown
FJSWXJ11M1_ctg	complete	complete	unknown
FJSWXJ12M2_ctg	complete	complete	unknown
FJSWXJ17M1_ctg	complete	complete	unknown
FJSWXJ18M1_ctg	complete	complete	unknown
FJSWXJ20M1_ctg	complete	complete	unknown
FJSWXJ2M1_ctg	complete	complete	unknown
