query	reference	sv_type	q_contig	q_start	q_end	r_contig	r_start	r_end	size	support_left	support_right
FHuBZX1M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FHuBZX1M1_ctg_contig1	18820	29556	FSHHK16M1_ctg_contig1	578025	580016	8745	34	20
FHuBZX1M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FHuBZX1M1_ctg_contig1	196508	204598	FSHHK16M1_ctg_contig1	835927	837123	6894	314	62
FHuBZX1M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FHuBZX1M1_ctg_contig1	235251	241927	FSHHK16M1_ctg_contig1	867815	872809	1682	62	15
FHuBZX1M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FHuBZX1M1_ctg_contig1	249488	256430	FSHHK16M1_ctg_contig1	880279	885488	1733	15	145
FHuBZX1M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FHuBZX1M1_ctg_contig1	329232	333085	FSHHK16M1_ctg_contig1	958381	959007	3227	145	49
FHuBZX1M1_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FHuBZX1M1_ctg_contig2	8308	10161	FSHHK16M1_ctg_contig2	362	362	1853	13	57
FHuBZX1M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FHuBZX1M1_ctg_contig2	41826	50368	FSHHK16M1_ctg_contig2	31790	33308	7024	57	256
FHuBZX1M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FHuBZX1M1_ctg_contig2	172858	175476	FSHHK16M1_ctg_contig2	156440	157239	1819	256	114
FHuBZX1M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FHuBZX1M1_ctg_contig2	200817	203666	FSHHK16M1_ctg_contig2	182455	202852	17548	48	66
FHuBZX1M1_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FHuBZX1M1_ctg_contig2	233819	234372	FSHHK16M1_ctg_contig3	436	436	553	114	61
FHuBZX1M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FHuBZX1M1_ctg_contig3	21038	23917	FSHHK16M1_ctg_contig3	54785	56022	1642	45	105
FHuBZX1M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FHuBZX1M1_ctg_contig3	33054	34430	FSHHK16M1_ctg_contig3	65141	69987	3470	75	75
FHuBZX1M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FHuBZX1M1_ctg_contig3	69873	75670	FSHHK16M1_ctg_contig3	105267	112705	1641	150	5
FHuBZX1M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHuBZX1M1_ctg_contig4	818	168536	FSHHK16M1_ctg_contig1	387112	558434	167718	0	80
FHuBZX1M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FHuBZX1M1_ctg_contig4	54157	54511	FSHHK16M1_ctg_contig1	501752	504971	2865	118	252
FHuBZX1M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FHuBZX1M1_ctg_contig4	111560	112342	FSHHK16M1_ctg_contig1	443189	445539	1568	250	120
FHuBZX1M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FHuBZX1M1_ctg_contig4	168384	205457	FSHHK16M1_ctg_contig1	374955	387264	24764	370	80
FHuBZX1M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHuBZX1M1_ctg_contig4	205351	237968	FSHHK16M1_ctg_contig1	340737	375061	32617	370	67
FHuBZX1M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHuBZX1M1_ctg_contig4	243482	276809	FSHHK16M1_ctg_contig1	302761	336092	33327	80	0
FHuBZX1M1_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FHuBZX1M1_ctg_contig5	121275	122720	FSHHK16M1_ctg_contig8	1093	1093	1445	241	134
FHuBZX1M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FHuBZX1M1_ctg_contig5	151021	155874	FSHHK16M1_ctg_contig8	29394	37451	3204	57	77
FHuBZX1M1_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FHuBZX1M1_ctg_contig5	189700	208017	FSHHK16M1_ctg_contig9	11497	11497	18317	134	25
FHuBZX1M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FHuBZX1M1_ctg_contig5	213278	215802	FSHHK16M1_ctg_contig9	16738	29736	10474	11	14
