query	reference	ani	ani_uniform	af_query	af_reference	std_err	synteny_blocks	anchor_adjacency	breakpoint_count
ENA|U00096|U00096.3	ENA|U00096|U00096.3	99.9999	99.9999	0.9996	0.9996	0.22785	1	0.8871	774
ENA|U00096|U00096.3	ENA|BA000007|BA000007.3	98.1285	98.5163	0.9106	0.8435	0.03121	32	0.8468	881
ENA|U00096|U00096.3	ENA|AP009048|AP009048.1	99.9948	99.9948	0.9971	0.9971	0.00163	3	0.8867	776
ENA|U00096|U00096.3	ENA|AE014075|AE014075.1	96.8903	97.5377	0.9043	0.8257	0.04264	33	0.8847	560
ENA|U00096|U00096.3	ENA|CP000243|CP000243.1	96.9177	97.5159	0.9043	0.8796	0.04279	32	0.9035	461
ENA|U00096|U00096.3	ENA|AM946981|AM946981.2	99.0713	99.3686	0.9282	0.9669	0.01933	25	0.8750	763
ENA|U00096|U00096.3	ENA|AE005674|AE005674.2	98.1162	98.6187	0.8365	0.8898	0.03120	61	0.8570	755
ENA|U00096|U00096.3	ENA|CP000038|CP000038.1	98.3264	98.8108	0.8573	0.9101	0.02826	48	0.8711	700
ENA|U00096|U00096.3	ENA|CU928158|CU928158.2	90.9995	94.3475	0.6694	0.6908	0.08320	51	0.7915	520
ENA|U00096|U00096.3	ENA|AE006468|AE006468.2	78.4053	87.7147	0.2394	0.2363	0.25777	15	0.2625	503
ENA|U00096|U00096.3	ENA|AL513382|AL513382.1	82.0423	88.0259	0.1794	0.1753	0.29043	15	0.2664	435
ENA|U00096|U00096.3	ENA|CP000647|CP000647.1	77.5930	87.5640	0.1522	0.1352	0.32376	12	0.3394	216
ENA|U00096|U00096.3	ENA|CP001918|CP001918.1	81.9038	87.7396	0.1674	0.1471	0.31034	14	0.3923	206
ENA|U00096|U00096.3	ENA|FN543502|FN543502.1	80.1095	87.2182	0.3555	0.3133	0.22122	24	0.5241	237
ENA|U00096|U00096.3	ENA|JUNK01000001|JUNK01000001.1	98.0392	98.1965	0.6668	0.3495	0.03748	354	0.6946	1672
ENA|U00096|U00096.3	ENA|LFJZ01000001|LFJZ01000001.1	98.4998	98.9119	0.9035	0.8792	0.02623	53	0.9086	509
ENA|U00096|U00096.3	ENA|CYEF01000001|CYEF01000001.1	98.6111	98.9298	0.8952	0.7839	0.02584	82	0.9089	511
ENA|U00096|U00096.3	ENA|CYEJ01000001|CYEJ01000001.1	98.5269	98.8981	0.9028	0.8329	0.02631	63	0.9001	565
ENA|U00096|U00096.3	ENA|CYDQ01000001|CYDQ01000001.1	98.5473	98.9162	0.8881	0.8211	0.02623	63	0.8626	800
ENA|U00096|U00096.3	ENA|CYDW01000001|CYDW01000001.1	96.9016	97.5156	0.8732	0.8541	0.04324	55	0.8814	569
ENA|U00096|U00096.3	ENA|CYEE01000001|CYEE01000001.1	98.5337	98.9099	0.8970	0.8361	0.02626	69	0.8847	656
ENA|U00096|U00096.3	ENA|CYEP01000001|CYEP01000001.1	96.9213	97.5319	0.8857	0.8202	0.04295	55	0.8861	547
ENA|BA000007|BA000007.3	ENA|U00096|U00096.3	98.0535	98.4973	0.7688	0.9117	0.03147	46	0.8440	897
ENA|BA000007|BA000007.3	ENA|BA000007|BA000007.3	99.9999	99.9999	0.9903	0.9903	0.21443	40	0.8518	1239
ENA|BA000007|BA000007.3	ENA|AP009048|AP009048.1	98.0501	98.4945	0.7669	0.9091	0.03152	48	0.8434	900
ENA|BA000007|BA000007.3	ENA|AE014075|AE014075.1	96.7023	97.4340	0.7720	0.8225	0.04348	61	0.8551	731
ENA|BA000007|BA000007.3	ENA|CP000243|CP000243.1	96.5715	97.3728	0.7838	0.8583	0.04397	57	0.8776	602
ENA|BA000007|BA000007.3	ENA|AM946981|AM946981.2	98.0485	98.4994	0.7559	0.9155	0.03166	47	0.8438	886
ENA|BA000007|BA000007.3	ENA|AE005674|AE005674.2	97.8158	98.3098	0.7057	0.8763	0.03504	74	0.8346	871
ENA|BA000007|BA000007.3	ENA|CP000038|CP000038.1	97.8706	98.3601	0.7301	0.8909	0.03375	63	0.8424	862
ENA|BA000007|BA000007.3	ENA|CU928158|CU928158.2	91.5858	94.3300	0.5460	0.6616	0.08414	62	0.7645	595
ENA|BA000007|BA000007.3	ENA|AE006468|AE006468.2	80.5518	87.8783	0.2042	0.2380	0.25144	14	0.2632	529
ENA|BA000007|BA000007.3	ENA|AL513382|AL513382.1	81.3876	87.5140	0.1796	0.2080	0.28071	14	0.2655	451
ENA|BA000007|BA000007.3	ENA|CP000647|CP000647.1	80.5949	88.1153	0.1059	0.1095	0.33846	12	0.3463	202
ENA|BA000007|BA000007.3	ENA|CP001918|CP001918.1	81.6930	87.6843	0.1204	0.1225	0.33290	12	0.3548	220
ENA|BA000007|BA000007.3	ENA|FN543502|FN543502.1	77.9043	87.6513	0.2489	0.2566	0.23364	26	0.4519	296
ENA|BA000007|BA000007.3	ENA|JUNK01000001|JUNK01000001.1	97.9467	98.1401	0.5831	0.3578	0.03770	368	0.6805	1822
ENA|BA000007|BA000007.3	ENA|LFJZ01000001|LFJZ01000001.1	98.0503	98.4383	0.7609	0.8577	0.03204	77	0.8889	608
ENA|BA000007|BA000007.3	ENA|CYEF01000001|CYEF01000001.1	98.0973	98.4675	0.7810	0.7990	0.03121	114	0.8466	907
ENA|BA000007|BA000007.3	ENA|CYEJ01000001|CYEJ01000001.1	98.0993	98.4523	0.7740	0.8316	0.03153	96	0.8522	861
ENA|BA000007|BA000007.3	ENA|CYDQ01000001|CYDQ01000001.1	98.1173	98.4783	0.7699	0.8251	0.03142	100	0.8092	1161
ENA|BA000007|BA000007.3	ENA|CYDW01000001|CYDW01000001.1	96.6810	97.4153	0.7728	0.8551	0.04368	79	0.8428	800
ENA|BA000007|BA000007.3	ENA|CYEE01000001|CYEE01000001.1	98.0966	98.4733	0.7697	0.8294	0.03147	101	0.8341	976
ENA|BA000007|BA000007.3	ENA|CYEP01000001|CYEP01000001.1	96.7295	97.4419	0.7578	0.8119	0.04348	86	0.8465	776
ENA|AP009048|AP009048.1	ENA|U00096|U00096.3	99.9859	99.9859	0.9971	0.9971	0.00270	3	0.8867	776
ENA|AP009048|AP009048.1	ENA|BA000007|BA000007.3	98.0925	98.5023	0.9081	0.8332	0.03140	35	0.8462	884
ENA|AP009048|AP009048.1	ENA|AP009048|AP009048.1	99.9999	99.9999	0.9996	0.9996	0.22754	1	0.8870	774
ENA|AP009048|AP009048.1	ENA|AE014075|AE014075.1	96.8611	97.5199	0.9020	0.8236	0.04284	35	0.8843	562
ENA|AP009048|AP009048.1	ENA|CP000243|CP000243.1	96.8786	97.5018	0.9041	0.8783	0.04292	34	0.9040	459
ENA|AP009048|AP009048.1	ENA|AM946981|AM946981.2	99.0330	99.3577	0.9266	0.9656	0.01951	26	0.8745	766
ENA|AP009048|AP009048.1	ENA|AE005674|AE005674.2	98.1111	98.6159	0.8333	0.8860	0.03126	63	0.8564	758
ENA|AP009048|AP009048.1	ENA|CP000038|CP000038.1	98.3182	98.8066	0.8519	0.9073	0.02834	51	0.8700	706
ENA|AP009048|AP009048.1	ENA|CU928158|CU928158.2	91.0476	94.3685	0.6620	0.6896	0.08335	52	0.7891	526
ENA|AP009048|AP009048.1	ENA|AE006468|AE006468.2	80.1687	87.9365	0.2176	0.2146	0.26434	16	0.2610	504
ENA|AP009048|AP009048.1	ENA|AL513382|AL513382.1	82.5606	87.9770	0.1868	0.1825	0.28552	14	0.2664	435
ENA|AP009048|AP009048.1	ENA|CP000647|CP000647.1	79.2676	87.8849	0.1269	0.1136	0.34165	13	0.3272	220
ENA|AP009048|AP009048.1	ENA|CP001918|CP001918.1	83.4969	88.2139	0.1363	0.1191	0.32791	14	0.3687	214
ENA|AP009048|AP009048.1	ENA|FN543502|FN543502.1	80.0058	87.2804	0.3425	0.2999	0.22354	23	0.5141	242
ENA|AP009048|AP009048.1	ENA|JUNK01000001|JUNK01000001.1	98.0042	98.1801	0.6685	0.3496	0.03766	354	0.6947	1671
ENA|AP009048|AP009048.1	ENA|LFJZ01000001|LFJZ01000001.1	98.4732	98.9053	0.9020	0.8792	0.02631	55	0.9089	507
ENA|AP009048|AP009048.1	ENA|CYEF01000001|CYEF01000001.1	98.5958	98.9225	0.8931	0.7835	0.02594	83	0.9087	512
ENA|AP009048|AP009048.1	ENA|CYEJ01000001|CYEJ01000001.1	98.5014	98.8909	0.9013	0.8329	0.02639	65	0.9004	563
ENA|AP009048|AP009048.1	ENA|CYDQ01000001|CYDQ01000001.1	98.5307	98.9087	0.8860	0.8206	0.02633	64	0.8624	801
ENA|AP009048|AP009048.1	ENA|CYDW01000001|CYDW01000001.1	96.8735	97.4989	0.8735	0.8541	0.04339	55	0.8813	569
ENA|AP009048|AP009048.1	ENA|CYEE01000001|CYEE01000001.1	98.5172	98.9025	0.8949	0.8355	0.02636	70	0.8845	657
ENA|AP009048|AP009048.1	ENA|CYEP01000001|CYEP01000001.1	96.8778	97.5158	0.8873	0.8214	0.04308	56	0.8867	544
ENA|AE014075|AE014075.1	ENA|U00096|U00096.3	96.9436	97.5612	0.7946	0.9524	0.04249	30	0.8843	562
ENA|AE014075|AE014075.1	ENA|BA000007|BA000007.3	96.7494	97.4577	0.8059	0.8433	0.04329	44	0.8586	713
ENA|AE014075|AE014075.1	ENA|AP009048|AP009048.1	96.9426	97.5594	0.7925	0.9501	0.04254	32	0.8839	564
ENA|AE014075|AE014075.1	ENA|AE014075|AE014075.1	99.9999	99.9999	0.9988	0.9988	0.21550	17	0.9387	450
ENA|AE014075|AE014075.1	ENA|CP000243|CP000243.1	98.9744	99.3244	0.8915	0.9424	0.01926	43	0.9388	381
ENA|AE014075|AE014075.1	ENA|AM946981|AM946981.2	96.8226	97.5170	0.8040	0.9542	0.04277	32	0.8854	558
ENA|AE014075|AE014075.1	ENA|AE005674|AE005674.2	96.5488	97.3505	0.7483	0.9011	0.04585	63	0.8733	575
ENA|AE014075|AE014075.1	ENA|CP000038|CP000038.1	96.6900	97.4691	0.7415	0.9007	0.04468	53	0.8762	567
ENA|AE014075|AE014075.1	ENA|CU928158|CU928158.2	91.5264	94.4486	0.5670	0.6614	0.08352	56	0.8192	431
ENA|AE014075|AE014075.1	ENA|AE006468|AE006468.2	81.6486	88.5132	0.1420	0.1594	0.28529	15	0.2598	436
ENA|AE014075|AE014075.1	ENA|AL513382|AL513382.1	78.1008	88.1517	0.1508	0.1712	0.29147	17	0.3002	373
ENA|AE014075|AE014075.1	ENA|CP000647|CP000647.1	76.6783	87.5363	0.1227	0.1189	0.34104	12	0.3355	204
ENA|AE014075|AE014075.1	ENA|CP001918|CP001918.1	83.4786	88.1990	0.1059	0.1053	0.34439	15	0.3485	215
ENA|AE014075|AE014075.1	ENA|FN543502|FN543502.1	82.6804	88.2898	0.2080	0.2052	0.24341	24	0.4137	309
ENA|AE014075|AE014075.1	ENA|JUNK01000001|JUNK01000001.1	97.8322	98.0441	0.5938	0.3523	0.03956	367	0.6975	1599
ENA|AE014075|AE014075.1	ENA|LFJZ01000001|LFJZ01000001.1	96.8057	97.4774	0.7850	0.8646	0.04329	62	0.9096	426
ENA|AE014075|AE014075.1	ENA|CYEF01000001|CYEF01000001.1	96.9466	97.5543	0.7795	0.7810	0.04235	90	0.8871	551
ENA|AE014075|AE014075.1	ENA|CYEJ01000001|CYEJ01000001.1	96.7964	97.4820	0.7874	0.8230	0.04317	75	0.8943	507
ENA|AE014075|AE014075.1	ENA|CYDQ01000001|CYDQ01000001.1	96.7954	97.5015	0.7716	0.8207	0.04331	75	0.8632	672
ENA|AE014075|AE014075.1	ENA|CYDW01000001|CYDW01000001.1	98.7678	99.1558	0.8050	0.8769	0.02271	61	0.9172	470
ENA|AE014075|AE014075.1	ENA|CYEE01000001|CYEE01000001.1	96.9173	97.5458	0.7710	0.8225	0.04278	89	0.8862	547
ENA|AE014075|AE014075.1	ENA|CYEP01000001|CYEP01000001.1	98.9006	99.2302	0.8166	0.8405	0.02132	64	0.9100	531
ENA|CP000243|CP000243.1	ENA|U00096|U00096.3	96.9212	97.5185	0.8226	0.9507	0.04279	34	0.9029	464
