assembly_acc	strain	biosample	organism	assembly_level	genome_file	epi_type	serovar_pd	serotype_biosample	geo	host	isolation_source	collection_date	host_disease	amrfinderplus_applied	n_amr_genes	AMR_genotypes	AMR_genotypes_core	AST_phenotypes	n_virulence_genes	virulence_genotypes	stress_genotypes
GCA_000783655.1		SAMN02934531	Escherichia coli	Contig	MISSING										0				0		
GCA_016985455.1	FDAARGOS_1294	SAMN16357436	Escherichia coli	Scaffold	genomes/ecoli/GCA_016985455.1.fna	clinical			USA:WA	Homo sapiens	missing	missing	missing	1	11	acrF=COMPLETE,aph(3'')-Ib=COMPLETE,blaCTX-M-14=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,dfrA17=COMPLETE,emrD=COMPLETE,gyrA_S83L=POINT,marR_S3N=POINT,sul2=COMPLETE,tet(B)=COMPLETE	aph(3'')-Ib=COMPLETE,blaCTX-M-14=COMPLETE,blaTEM-1=COMPLETE,dfrA17=COMPLETE,gyrA_S83L=POINT,marR_S3N=POINT,sul2=COMPLETE,tet(B)=COMPLETE		30	astA=COMPLETE,cdtB=COMPLETE,clbB=COMPLETE,clbN=COMPLETE,cnf1=COMPLETE,fdeC=COMPLETE,hlyA-alpha=MISTRANSLATION,ibeA=COMPLETE,iroB=COMPLETE,iroC=COMPLETE,iroD=COMPLETE,iroE=COMPLETE,iroN=COMPLETE,iss=COMPLETE,iucA=COMPLETE,iucB=COMPLETE,iucC=COMPLETE,iucD=COMPLETE,iutA=COMPLETE,papA=COMPLETE,papC=COMPLETE,papF=COMPLETE,papG-III=COMPLETE,papH=COMPLETE,sfaF=COMPLETE,sfaS=COMPLETE,sslE=COMPLETE,vactox=PARTIAL,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE,emrE=COMPLETE
GCA_017136555.1	FDAARGOS_1278	SAMN16357420	Escherichia coli	Chromosome	genomes/ecoli/GCA_017136555.1.fna	clinical			USA:WA	Homo sapiens	missing	missing	missing	1	24	aac(3)-IId=COMPLETE,aac(3)-IIe=COMPLETE,aac(6')-Ib-cr5=COMPLETE,aadA5=COMPLETE,acrF=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,blaOXA-1=COMPLETE,blaTEM-1=COMPLETE,catB3=PARTIAL,cyaA_S352T=POINT,dfrA17=COMPLETE,emrD=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mph(A)=COMPLETE,mrx(A)=COMPLETE,ompF_Y253EfsTer3=POINT,parC_S80I=POINT,parE_S458A=POINT,sul1=COMPLETE,tet(A)=COMPLETE,tet(B)=COMPLETE	aac(3)-IId=COMPLETE,aac(3)-IIe=COMPLETE,aac(6')-Ib-cr5=COMPLETE,aadA5=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaOXA-1=COMPLETE,blaTEM-1=COMPLETE,catB3=PARTIAL,cyaA_S352T=POINT,dfrA17=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mph(A)=COMPLETE,mrx(A)=COMPLETE,ompF_Y253EfsTer3=POINT,parC_S80I=POINT,parE_S458A=POINT,sul1=COMPLETE,tet(A)=COMPLETE,tet(B)=COMPLETE		6	air=COMPLETE,eilA=COMPLETE,espX1=COMPLETE,fdeC=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE,emrE=COMPLETE,qacEdelta1=COMPLETE
GCA_019047145.1	FDAARGOS_1379	SAMN16357521	Escherichia coli	Complete Genome	genomes/ecoli/GCA_019047145.1.fna	clinical			USA:MT	Seth Lab strain	Seth Lab Isolate	missing	missing	1	8	acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,mdtM=COMPLETE,soxS_A12S=POINT,sul2=COMPLETE	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,soxS_A12S=POINT,sul2=COMPLETE		3	espX1=COMPLETE,fdeC=COMPLETE,lpfA-O113=COMPLETE	ariR=COMPLETE
GCA_019047165.1	FDAARGOS_1384	SAMN16357526	Escherichia coli	Complete Genome	genomes/ecoli/GCA_019047165.1.fna	clinical			USA:MT	Seth Lab strain	Seth Lab Isolate	missing	missing	1	3	acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE			11	astA=MISTRANSLATION,espX1=COMPLETE,fdeC=COMPLETE,iha=COMPLETE,iucA=COMPLETE,iucB=COMPLETE,iucC=COMPLETE,iucD=COMPLETE,iutA=COMPLETE,mchF=COMPLETE,sigA=COMPLETE	ariR=COMPLETE,emrE=COMPLETE
GCA_019047645.1	FDAARGOS_1376	SAMN16357518	Escherichia coli	Complete Genome	genomes/ecoli/GCA_019047645.1.fna	clinical			USA:MT	Seth Lab strain	Seth Lab Isolate	missing	missing	1	10	acrF=PARTIAL,aph(3'')-Ib=COMPLETE,aph(6)-Id=PARTIAL,blaEC=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,cirA_I229YfsTer1=POINT,gyrA_S83L=POINT,mdtM=COMPLETE,sul2=COMPLETE	aph(3'')-Ib=COMPLETE,aph(6)-Id=PARTIAL,blaTEM-1=COMPLETE,catA1=COMPLETE,cirA_I229YfsTer1=POINT,gyrA_S83L=POINT,sul2=COMPLETE		15	espX1=COMPLETE,fdeC=COMPLETE,iha=COMPLETE,iss=COMPLETE,iucA=COMPLETE,iucB=COMPLETE,iucC=COMPLETE,iucD=COMPLETE,iutA=COMPLETE,papA=COMPLETE,papF=COMPLETE,sat=COMPLETE,senB=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE,emrE=COMPLETE,pcoA=COMPLETE,pcoB=COMPLETE,pcoC=COMPLETE,pcoD=COMPLETE,pcoE=COMPLETE,pcoR=COMPLETE,pcoS=COMPLETE,silA=COMPLETE,silB=COMPLETE,silC=COMPLETE,silE=COMPLETE,silF=COMPLETE,silP=COMPLETE,silR=COMPLETE,silS=COMPLETE
GCA_019047725.1	FDAARGOS 1374	SAMN16357516	Escherichia coli	Complete Genome	genomes/ecoli/GCA_019047725.1.fna	clinical			USA:MT	missing	missing	missing	missing	1	7	acrF=COMPLETE,blaEC=COMPLETE,cirA_I51IRTer=POINT,emrD=COMPLETE,gyrA_S83L=POINT,mdtM=COMPLETE,uhpT_E350Q=POINT	cirA_I51IRTer=POINT,gyrA_S83L=POINT,uhpT_E350Q=POINT		21	fdeC=COMPLETE,hlyA-alpha=COMPLETE,iha=COMPLETE,ireA=COMPLETE,iucA=COMPLETE,iucB=COMPLETE,iucC=COMPLETE,iucD=COMPLETE,iutA=COMPLETE,lpfA=COMPLETE,papC=COMPLETE,papF=COMPLETE,papG-II=COMPLETE,papH=COMPLETE,sat=COMPLETE,senB=COMPLETE,sslE=COMPLETE,traT=COMPLETE,vactox=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE,emrE=COMPLETE
GCA_019047745.1	FDAARGOS_1381	SAMN16357523	Escherichia coli	Complete Genome	genomes/ecoli/GCA_019047745.1.fna	clinical			USA:MT	Seth Lab strain	Seth Lab Isolate	missing	missing	1	9	acrF=COMPLETE,blaEC=COMPLETE,cyaA_S352T=POINT,emrD=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mdtM=COMPLETE,parC_S80I=POINT,parE_S458A=POINT	cyaA_S352T=POINT,gyrA_D87N=POINT,gyrA_S83L=POINT,parC_S80I=POINT,parE_S458A=POINT		14	eilA=COMPLETE,espX1=COMPLETE,fdeC=COMPLETE,iha=COMPLETE,iucA=COMPLETE,iucB=COMPLETE,iucC=COMPLETE,iucD=COMPLETE,iutA=COMPLETE,lpfA-O113=COMPLETE,papA=PARTIAL,sat=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE,emrE=COMPLETE
GCA_019047905.1	FDAARGOS_1388	SAMN16357530	Escherichia coli	Complete Genome	genomes/ecoli/GCA_019047905.1.fna	clinical			USA:MT	Seth Lab strain	Seth Lab Isolate	missing	missing	1	5	acrF=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,gyrA_S83L=POINT,mdtM=COMPLETE	blaCTX-M-15=COMPLETE,gyrA_S83L=POINT		10	fdeC=COMPLETE,iss=COMPLETE,iucA=PARTIAL,iucB=COMPLETE,iucC=COMPLETE,iucD=COMPLETE,iutA=COMPLETE,sat=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE,emrE=COMPLETE,silE=COMPLETE
GCA_019047965.1	FDAARGOS_1378	SAMN16357520	Escherichia coli	Complete Genome	genomes/ecoli/GCA_019047965.1.fna	clinical			USA:MT	Seth Lab strain	Seth Lab Isolate	missing	missing	1	8	acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,mdtM=COMPLETE,soxS_A12S=POINT,sul2=COMPLETE	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,soxS_A12S=POINT,sul2=COMPLETE		3	espX1=COMPLETE,fdeC=COMPLETE,lpfA-O113=COMPLETE	ariR=COMPLETE
