query	reference	label	q_domain	r_domain	q_phylum	r_phylum	q_genus	r_genus	q_species	r_species
GCF_000020225.1	GCF_002161325.1	high	d__Bacteria	d__Bacteria	p__Verrucomicrobiota	p__Verrucomicrobiota	g__Akkermansia	g__Akkermansia	s__Akkermansia muciniphila	s__Akkermansia muciniphila
GCF_000020225.1	GCA_014871965.1	high	d__Bacteria	d__Bacteria	p__Verrucomicrobiota	p__Verrucomicrobiota	g__Akkermansia	g__Akkermansia	s__Akkermansia muciniphila	s__Akkermansia muciniphila
GCF_002161325.1	GCA_014871965.1	high	d__Bacteria	d__Bacteria	p__Verrucomicrobiota	p__Verrucomicrobiota	g__Akkermansia	g__Akkermansia	s__Akkermansia muciniphila	s__Akkermansia muciniphila
GCF_016890425.1	GCF_002901825.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Mammaliicoccus	g__Mammaliicoccus	s__Mammaliicoccus sciuri	s__Mammaliicoccus sciuri
GCF_016890425.1	GCF_016067395.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Mammaliicoccus	g__Mammaliicoccus	s__Mammaliicoccus sciuri	s__Mammaliicoccus sciuri
GCF_002901825.1	GCF_016067395.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Mammaliicoccus	g__Mammaliicoccus	s__Mammaliicoccus sciuri	s__Mammaliicoccus sciuri
GCF_008084125.1	GCA_002906095.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Lactiplantibacillus	g__Lactiplantibacillus	s__Lactiplantibacillus plantarum	s__Lactiplantibacillus plantarum
GCF_008084125.1	GCF_001633455.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Lactiplantibacillus	g__Lactiplantibacillus	s__Lactiplantibacillus plantarum	s__Lactiplantibacillus plantarum
GCF_008084125.1	GCF_014131735.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Lactiplantibacillus	g__Lactiplantibacillus	s__Lactiplantibacillus plantarum	s__Lactiplantibacillus plantarum
GCF_008084125.1	GCF_003346235.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Lactiplantibacillus	g__Lactiplantibacillus	s__Lactiplantibacillus plantarum	s__Lactiplantibacillus plantarum
GCA_002906095.1	GCF_001633455.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Lactiplantibacillus	g__Lactiplantibacillus	s__Lactiplantibacillus plantarum	s__Lactiplantibacillus plantarum
GCA_002906095.1	GCF_014131735.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Lactiplantibacillus	g__Lactiplantibacillus	s__Lactiplantibacillus plantarum	s__Lactiplantibacillus plantarum
GCA_002906095.1	GCF_003346235.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Lactiplantibacillus	g__Lactiplantibacillus	s__Lactiplantibacillus plantarum	s__Lactiplantibacillus plantarum
GCF_001633455.1	GCF_014131735.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Lactiplantibacillus	g__Lactiplantibacillus	s__Lactiplantibacillus plantarum	s__Lactiplantibacillus plantarum
GCF_001633455.1	GCF_003346235.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Lactiplantibacillus	g__Lactiplantibacillus	s__Lactiplantibacillus plantarum	s__Lactiplantibacillus plantarum
GCF_014131735.1	GCF_003346235.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Lactiplantibacillus	g__Lactiplantibacillus	s__Lactiplantibacillus plantarum	s__Lactiplantibacillus plantarum
GCA_902768155.1	GCA_902771995.1	high	d__Bacteria	d__Bacteria	p__Firmicutes_A	p__Firmicutes_A	g__RUG420	g__RUG420	s__RUG420 sp900317985	s__RUG420 sp900317985
GCA_902768155.1	GCA_900317985.1	high	d__Bacteria	d__Bacteria	p__Firmicutes_A	p__Firmicutes_A	g__RUG420	g__RUG420	s__RUG420 sp900317985	s__RUG420 sp900317985
GCA_902771995.1	GCA_900317985.1	high	d__Bacteria	d__Bacteria	p__Firmicutes_A	p__Firmicutes_A	g__RUG420	g__RUG420	s__RUG420 sp900317985	s__RUG420 sp900317985
GCF_015830935.1	GCF_001457455.1	high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Corynebacterium	g__Corynebacterium	s__Corynebacterium diphtheriae	s__Corynebacterium diphtheriae
GCF_015830935.1	GCF_900205605.1	high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Corynebacterium	g__Corynebacterium	s__Corynebacterium diphtheriae	s__Corynebacterium diphtheriae
GCF_001457455.1	GCF_900205605.1	high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Corynebacterium	g__Corynebacterium	s__Corynebacterium diphtheriae	s__Corynebacterium diphtheriae
GCF_000271085.1	GCF_000277775.2	high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Mycobacterium	g__Mycobacterium	s__Mycobacterium abscessus	s__Mycobacterium abscessus
GCF_000271085.1	GCF_001213885.1	high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Mycobacterium	g__Mycobacterium	s__Mycobacterium abscessus	s__Mycobacterium abscessus
GCF_000271085.1	GCA_000069185.1	high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Mycobacterium	g__Mycobacterium	s__Mycobacterium abscessus	s__Mycobacterium abscessus
GCF_000271085.1	GCF_001217125.1	high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Mycobacterium	g__Mycobacterium	s__Mycobacterium abscessus	s__Mycobacterium abscessus
GCF_000277775.2	GCF_001213885.1	high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Mycobacterium	g__Mycobacterium	s__Mycobacterium abscessus	s__Mycobacterium abscessus
GCF_000277775.2	GCA_000069185.1	high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Mycobacterium	g__Mycobacterium	s__Mycobacterium abscessus	s__Mycobacterium abscessus
GCF_000277775.2	GCF_001217125.1	high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Mycobacterium	g__Mycobacterium	s__Mycobacterium abscessus	s__Mycobacterium abscessus
GCF_001213885.1	GCA_000069185.1	high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Mycobacterium	g__Mycobacterium	s__Mycobacterium abscessus	s__Mycobacterium abscessus
GCF_001213885.1	GCF_001217125.1	high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Mycobacterium	g__Mycobacterium	s__Mycobacterium abscessus	s__Mycobacterium abscessus
