query	reference
GCA_000011445.1	GCF_900489555.1
GCA_000012145.1	GCF_000825685.1
GCA_000012145.1	GCF_000828125.2
GCA_000012145.1	GCF_016743795.1
GCA_000020605.1	GCA_900317585.1
GCA_000155875.1	GCF_013300725.1
GCA_000180035.1	GCA_018366675.1
GCA_000180035.1	GCF_000963275.1
GCA_000180035.1	GCF_001813295.1
GCA_000220865.1	GCA_001067655.1
GCA_000220865.1	GCF_000227275.1
GCA_000220865.1	GCF_000260655.1
GCA_000220865.1	GCF_001815675.1
GCA_000220865.1	GCF_014054945.1
GCA_000247545.1	GCF_000016385.1
GCA_000257205.1	GCF_001989995.2
GCA_000283635.1	GCA_900478025.1
GCA_000283635.1	GCF_002000985.1
GCA_000283635.1	GCF_003337175.1
GCA_000336895.1	GCF_014647415.1
GCA_000383735.1	GCA_905181965.1
GCA_000384495.1	GCA_003213625.1
GCA_000384495.1	GCA_902619825.1
GCA_000434835.1	GCA_900547225.1
GCA_000440235.1	GCA_002831545.1
GCA_000445185.1	GCA_003722315.1
GCA_000445185.1	GCF_000019085.1
GCA_000445185.1	GCF_000147695.2
GCA_000484975.1	GCA_013390905.1
GCA_000508865.1	GCF_000686665.1
GCA_000634735.1	GCA_902618795.1
GCA_000635495.1	GCA_003213375.1
GCA_000635495.1	GCA_902525075.1
GCA_000695745.1	GCF_900089835.1
GCA_000717735.1	GCF_000725545.1
GCA_000747625.2	GCA_000753945.1
GCA_000761495.1	GCA_002367455.1
GCA_000761495.1	GCF_000487975.1
GCA_000761495.1	GCF_011058205.1
GCA_000761495.1	GCF_014769185.1
GCA_000761495.1	GCF_015602705.1
GCA_000814665.1	GCF_000238315.3
GCA_000814665.1	GCF_002289345.1
GCA_000814665.1	GCF_002850255.1
GCA_000814665.1	GCF_016695175.1
GCA_000824845.1	GCF_003952425.1
GCA_001067655.1	GCF_000227275.1
GCA_001067655.1	GCF_000260655.1
GCA_001067655.1	GCF_001809325.1
GCA_001067655.1	GCF_001815675.1
GCA_001264245.1	GCA_002282935.1
GCA_001264245.1	GCA_007095785.1
GCA_001264245.1	GCF_000010625.1
GCA_001264245.1	GCF_014696875.1
GCA_001264245.1	GCF_015206885.1
GCA_001411745.2	GCA_018448495.1
GCA_001411745.2	GCA_904846265.1
GCA_001411745.2	GCF_000586475.1
GCA_001411745.2	GCF_001435295.1
GCA_001411745.2	GCF_003148585.1
GCA_001512555.1	GCA_012518025.1
GCA_001543015.1	GCA_002317795.1
GCA_001610955.1	GCF_001908025.1
GCA_001627925.1	GCA_002457055.1
GCA_001704065.1	GCA_902609705.1
GCA_001704065.1	GCA_902618565.1
GCA_001704275.1	GCF_016917755.1
GCA_001770325.1	GCA_016199545.1
GCA_001830835.1	GCA_018819165.1
GCA_001896545.1	GCF_000328765.2
GCA_001919715.1	GCA_003225295.1
GCA_002067325.1	GCA_002495625.1
GCA_002082305.1	GCA_902513935.1
GCA_002083405.1	GCA_002083565.1
GCA_002169115.2	GCA_902510965.1
GCA_002243605.1	GCA_900450595.1
GCA_002243605.1	GCF_001277805.1
GCA_002243605.1	GCF_002809955.1
GCA_002254365.1	GCF_001458735.1
GCA_002256145.1	GCF_003063265.1
GCA_002282935.1	GCA_007095785.1
GCA_002282935.1	GCA_007096045.1
GCA_002282935.1	GCF_000010625.1
GCA_002282935.1	GCF_014696875.1
GCA_002291465.1	GCF_009741445.1
GCA_002316805.1	GCA_002411365.1
GCA_002334985.1	GCA_003524565.1
GCA_002339125.1	GCF_003731635.1
GCA_002342665.1	GCA_002371695.1
GCA_002348425.1	GCA_002712335.1
GCA_002355995.1	GCF_000091545.1
GCA_002364755.1	GCA_003510825.1
GCA_002365025.1	GCA_900105215.1
GCA_002365025.1	GCF_900105615.1
GCA_002367455.1	GCF_000487975.1
GCA_002367455.1	GCF_011058205.1
GCA_002367455.1	GCF_014769185.1
GCA_002367455.1	GCF_015602705.1
GCA_002373205.1	GCA_002448445.1
GCA_002373505.1	GCA_017471285.1
