pairid	frame	syn2b_n	dnadiff_n	dnadiff_n_seq	report_rearrangements	report_breakpoints	report_inversions	dnadiff_inv	dnadiff_jmp	dnadiff_seq	count_diff	syn2b_pos	dnadiff_pos	dnadiff_pos_seq
GCF_000524595.1__GCF_012935295.1	genome_wide	5	29	0	33	308	4	4	25	0	-4	2829168,2850144,3878016,4025549,4113147	59837,60755,62732,64660,64665,523708,572239,834972,1137987,1610130,1640972,1836181,2149179,2745494,2757406,2809576,2815167,2841675,2945457,3490106,3648555,4026052,4455866,4620504,5070580,5391849,5827901,5939022,6211530	
GCF_000524595.1__GCF_013343475.1	genome_wide	2	21	0	14	206	2	2	19	0	7	2805269,2806476	248466,267913,573107,782704,823999,914338,1127702,1216534,1219429,1404619,1540824,1653149,1753366,2593874,2886414,3027751,3356660,3748243,5192107,5574540,6308938	
GCF_000524595.1__GCF_013343575.1	genome_wide	5	31	0	25	330	2	2	29	0	6	2841260,2862343,4510379,5226160,5342914	53623,256235,310504,513543,813493,819793,1113707,1239639,1242534,1523412,1524509,1735206,2819238,2826422,2852930,2956753,2966751,3327872,3684594,3898161,4670104,4997440,5226255,5228432,5241123,5245011,5334523,5465785,5650494,5661594,5742967	
GCF_000524595.1__GCF_014854655.1	genome_wide	1	39	0	41	314	6	6	33	0	-2	5988286	614180,760263,903460,1099919,1100972,1104560,1160021,1161027,1166530,1298157,1308262,1413444,1646124,1748216,1749864,1754918,1867663,1904015,2062467,3021007,3330720,3523559,3860414,3941818,4758257,4829523,4832913,4834529,4877907,5272779,5292937,5342505,5400740,5603343,5609505,5875859,5902595,6209934,6419003	
GCF_000524595.1__GCF_015697665.1	genome_wide	8	43	0	41	412	12	12	31	0	2	71556,82321,93061,3108819,3110649,4965500,5769542,5850284	82521,83439,87551,90929,333456,617638,667190,923426,929588,1297255,1830596,1871411,2836470,3058848,3060082,3127970,3131321,3186622,3192010,3438393,3805338,3806375,3928922,3964022,3966223,4121729,4285257,4377797,4790568,4792848,4965905,5128426,5136960,5470870,5505213,5505559,5647981,5769636,5771836,6033555,6201223,6305310,7031720	
GCF_000524595.1__GCF_900149285.1	genome_wide	3	24	0	17	248	2	2	22	0	7	1208020,2324121,2327327	97575,512413,813152,819330,1122431,1489210,1490786,1601960,1829524,2324262,2388393,2392096,2785099,2802148,3251057,3280414,3448173,3641087,3852253,4720621,4721757,4854005,5186187,5376371	
GCF_000524595.1__GCF_902172305.2	genome_wide	3	31	0	24	228	6	6	25	0	7	3926393,4070292,4185335	53740,508523,556997,779920,780067,821185,912495,1122171,1490621,1618035,1648844,1718226,2318574,2469343,2484774,2848739,2849745,2855362,2987628,2997674,3493737,3689309,3902880,3980391,4071013,4966759,5482385,5493486,5574851,5897476,6310767	
GCF_000524595.1__GCF_902703185.1	genome_wide	3	28	0	27	284	2	2	26	0	1	4629499,5336058,5419266	59713,103347,250221,287545,505376,573888,825713,916743,1162690,1522741,1637445,1668440,2193011,2696688,2924284,3491922,3837463,4048621,4789213,4791957,4794010,5336153,5338330,5351021,5354909,5410875,5724989,6536623	
GCF_000981825.1__GCF_001077475.1	genome_wide	5	52	0	65	536	4	4	48	0	-13	2377965,2378892,3283071,4477296,4515633	121125,121818,486083,674036,1716198,2008483,2377026,2379320,2413816,2452222,2453458,2583237,2610259,2612300,2654356,2809154,2809392,2918891,2929248,3067326,3126199,3128630,3130702,3131189,3177460,3233820,3465488,3540323,3877451,3963482,4258993,4268336,4358828,4382117,4382535,4382759,4477500,4495080,4522404,4813737,5026568,5175529,5250443,5338997,5367829,5437740,5673637,5692609,5877107,5930994,6015789,6288297	
GCF_000981825.1__GCF_003319235.1	genome_wide	11	50	0	83	700	8	8	42	0	-33	2474766,2480008,2482976,3773822,4536350,4974939,5059694,5199532,5267598,5301719,6554659	112128,413965,502713,796659,806019,984153,1345703,1659073,1769165,2018344,2292661,2477495,2482174,2537510,2887411,2972558,2992935,3049902,3052888,3499995,3672299,3811635,3851157,4131586,4149303,4229557,4537685,4540604,4555602,4588542,4596495,4600411,4616849,4640616,4948679,5059855,5272957,5298672,5623417,5625681,5936509,6202174,6212234,6349985,6408845,6505031,6735008,6741969,6865886,6868332	
GCF_000981825.1__GCF_006364735.1	genome_wide	5	40	0	52	497	6	6	34	0	-12	1622218,1715281,1872158,6260852,6262691	269402,546617,651931,1005253,1282345,1282352,1595957,1701074,1701350,1715409,2259778,2336628,2339676,2497421,2499462,2541520,2778174,2788489,2980288,3064208,3683601,3777277,4072844,4082134,4216988,4534943,4584926,4736710,4796674,4880927,4945814,5124193,5222676,5459155,5558661,5668843,5723992,6072873,6261933,6263480	
GCF_000981825.1__GCF_018141625.1	genome_wide	11	63	0	71	734	2	2	61	0	-8	3265116,3283315,3349402,4114514,4124692,4486332,4581948,4726170,5020905,5066273,5269368	2521,88540,297481,299647,390638,391052,401220,463983,494307,514493,514900,515124,796471,1141025,1224883,1289881,1454362,1483227,1551620,1778399,1798847,1989243,1989243,1990994,2045049,2122696,2396345,2483688,2503171,2575601,3161234,3268559,3307027,3330362,3340554,3407019,3408449,3422842,3463682,3685588,4013145,4115858,4460016,4574387,4582076,4745327,5072334,5160898,5164712,5167006,5201496,5398459,5400500,5435807,5699782,5702933,5717036,5731358,5885730,5915102,5915762,6060658,6310759	
GCF_001045685.1__GCF_003319235.1	genome_wide	4	34	0	30	338	6	6	28	0	4	2490167,3034260,6404996,6419348	775414,797073,962234,1345714,1518511,1618960,2018219,2239406,2239603,2292661,2433429,2478304,2481950,2537411,2613936,2972558,3028138,3049902,3102140,3391068,3672263,4536936,4640616,5266352,5723870,6202175,6212196,6311529,6349985,6351026,6351031,6419483,6735008,6740109	
GCF_001077475.1__GCF_001293085.1	genome_wide	8	31	0	35	308	4	4	27	0	-4	44454,46206,2804600,2886431,2908351,3967396,4091228,4179644	50960,60458,108426,269520,271939,273530,621933,839780,1445755,1693311,1787261,1787455,1793702,2508851,2805575,2805577,3003651,3335491,3358588,4091731,4331635,4333814,4518290,4779964,4781720,5070123,5203633,5276684,5587558,6002753,6074540	
GCF_001077475.1__GCF_001516305.2	genome_wide	3	27	0	22	250	0	0	27	0	5	3943562,4086604,4172656	257946,292367,534410,604163,863998,1623099,1654218,2209118,2424551,2636529,2814535,3006322,3350687,3518924,4087107,4902156,5094790,5235274,5512390,5535272,5782104,5831401,5866452,5895584,5916719,5985557,6258124	
