# cagPAI state–metadata associations (n=528)

## overall
empty	85 (16.10%)
partial	11 (2.08%)
complete_collinear	12 (2.27%)
complete_rearranged	420 (79.55%)

## group
group	empty	partial	complete_collinear	complete_rearranged	total
AG	14 (10.53%)	3 (2.26%)	1 (0.75%)	115 (86.47%)	133
GC	9 (7.63%)	6 (5.08%)	5 (4.24%)	98 (83.05%)	118
IM	23 (20.91%)	1 (0.91%)	3 (2.73%)	83 (75.45%)	110
NAG	39 (23.35%)	1 (0.60%)	3 (1.80%)	124 (74.25%)	167
chi2=27.910, df=9, p=0.0009876

## country
group	empty	partial	complete_collinear	complete_rearranged	total
Australia	0 (0.00%)	0 (0.00%)	0 (0.00%)	7 (100.00%)	7
Belarus	0 (0.00%)	0 (0.00%)	0 (0.00%)	1 (100.00%)	1
Belgium	0 (0.00%)	0 (0.00%)	0 (0.00%)	1 (100.00%)	1
Brazil	0 (0.00%)	1 (50.00%)	0 (0.00%)	1 (50.00%)	2
Canada	3 (100.00%)	0 (0.00%)	0 (0.00%)	0 (0.00%)	3
China	12 (6.49%)	6 (3.24%)	1 (0.54%)	166 (89.73%)	185
Colombia	4 (13.79%)	0 (0.00%)	0 (0.00%)	25 (86.21%)	29
El Salvador	0 (0.00%)	0 (0.00%)	0 (0.00%)	1 (100.00%)	1
Germany	3 (37.50%)	0 (0.00%)	0 (0.00%)	5 (62.50%)	8
Greece	0 (0.00%)	0 (0.00%)	0 (0.00%)	1 (100.00%)	1
Honduras	8 (33.33%)	0 (0.00%)	0 (0.00%)	16 (66.67%)	24
Iran	2 (15.38%)	0 (0.00%)	1 (7.69%)	10 (76.92%)	13
Japan	1 (11.11%)	1 (11.11%)	0 (0.00%)	7 (77.78%)	9
Mexico	13 (18.57%)	0 (0.00%)	3 (4.29%)	54 (77.14%)	70
Nicaragua	3 (17.65%)	0 (0.00%)	0 (0.00%)	14 (82.35%)	17
Peru	0 (0.00%)	0 (0.00%)	1 (50.00%)	1 (50.00%)	2
Portugal	2 (50.00%)	1 (25.00%)	0 (0.00%)	1 (25.00%)	4
Russia	0 (0.00%)	0 (0.00%)	0 (0.00%)	2 (100.00%)	2
Singapore	0 (0.00%)	0 (0.00%)	0 (0.00%)	13 (100.00%)	13
South Korea	0 (0.00%)	0 (0.00%)	0 (0.00%)	1 (100.00%)	1
Spain	8 (53.33%)	0 (0.00%)	0 (0.00%)	7 (46.67%)	15
Sweden	21 (26.25%)	1 (1.25%)	4 (5.00%)	54 (67.50%)	80
USA	4 (16.00%)	0 (0.00%)	1 (4.00%)	20 (80.00%)	25
Venezuela	0 (0.00%)	0 (0.00%)	0 (0.00%)	1 (100.00%)	1
missing	0 (0.00%)	0 (0.00%)	0 (0.00%)	1 (100.00%)	1
chi2=NA (insufficient counts or scipy missing)

## fastbaps
group	empty	partial	complete_collinear	complete_rearranged	total
fastbaps_L2	8 (4.06%)	7 (3.55%)	2 (1.02%)	180 (91.37%)	197
fastbaps_L3	41 (27.52%)	1 (0.67%)	2 (1.34%)	105 (70.47%)	149
fastbaps_L4	3 (6.25%)	1 (2.08%)	3 (6.25%)	41 (85.42%)	48
fastbaps_L5	26 (23.01%)	2 (1.77%)	5 (4.42%)	80 (70.80%)	113
fastbaps_L6	7 (33.33%)	0 (0.00%)	0 (0.00%)	14 (66.67%)	21
chi2=58.677, df=12, p=3.93e-08

## phylogenetic_population
group	empty	partial	complete_collinear	complete_rearranged	total
hpAsia2	0 (0.00%)	0 (0.00%)	0 (0.00%)	4 (100.00%)	4
hpNEAfrica	0 (0.00%)	0 (0.00%)	0 (0.00%)	1 (100.00%)	1
hpNorthAsia	3 (75.00%)	0 (0.00%)	0 (0.00%)	1 (25.00%)	4
hspAfrica1LatinAmerica	2 (4.00%)	1 (2.00%)	1 (2.00%)	46 (92.00%)	50
hspAfrica1SAfrica	1 (8.33%)	0 (0.00%)	1 (8.33%)	10 (83.33%)	12
hspAfrica1WAfrica	0 (0.00%)	0 (0.00%)	1 (33.33%)	2 (66.67%)	3
hspEAsia	8 (4.02%)	7 (3.52%)	2 (1.01%)	182 (91.46%)	199
hspIndigenousNAmerica	3 (100.00%)	0 (0.00%)	0 (0.00%)	0 (0.00%)	3
hspIndigenousSAmerica	1 (33.33%)	0 (0.00%)	0 (0.00%)	2 (66.67%)	3
hspNEurope	21 (23.08%)	2 (2.20%)	5 (5.49%)	63 (69.23%)	91
hspSEurope	8 (27.59%)	0 (0.00%)	0 (0.00%)	21 (72.41%)	29
hspSWEurope	21 (60.00%)	1 (2.86%)	1 (2.86%)	12 (34.29%)	35
hspSWEuropeLatinAmerica	17 (19.54%)	0 (0.00%)	1 (1.15%)	69 (79.31%)	87
hspSiberia	0 (0.00%)	0 (0.00%)	0 (0.00%)	7 (100.00%)	7
chi2=NA (insufficient counts or scipy missing)
