assembly_acc	organism	strain	biosample	assembly_level	serotype	serovar	isolation_source	host	geo_loc_name	collection_date	host_disease	antibiogram	antimicrobial_resistance	resistance_phenotype	pathotype	isolate	collected_by	sample_type	genome_file
GCA_000783655.1	Escherichia coli		SAMN02934531	Contig															MISSING
GCA_016985455.1	Escherichia coli	FDAARGOS_1294	SAMN16357436	Scaffold			missing	Homo sapiens	USA:WA	missing	missing					not applicable	ARMADA		genomes/ecoli/GCA_016985455.1.fna
GCA_017136555.1	Escherichia coli	FDAARGOS_1278	SAMN16357420	Chromosome			missing	Homo sapiens	USA:WA	missing	missing					not applicable	ARMADA		genomes/ecoli/GCA_017136555.1.fna
GCA_019047145.1	Escherichia coli	FDAARGOS_1379	SAMN16357521	Complete Genome			Seth Lab Isolate	Seth Lab strain	USA:MT	missing	missing					not applicable	Montana State U		genomes/ecoli/GCA_019047145.1.fna
GCA_019047165.1	Escherichia coli	FDAARGOS_1384	SAMN16357526	Complete Genome			Seth Lab Isolate	Seth Lab strain	USA:MT	missing	missing					not applicable	Montana State U		genomes/ecoli/GCA_019047165.1.fna
GCA_019047645.1	Escherichia coli	FDAARGOS_1376	SAMN16357518	Complete Genome			Seth Lab Isolate	Seth Lab strain	USA:MT	missing	missing					not applicable	Montana State U		genomes/ecoli/GCA_019047645.1.fna
GCA_019047725.1	Escherichia coli	FDAARGOS 1374	SAMN16357516	Complete Genome			missing	missing	USA:MT	missing	missing					not applicable	Montana State U		genomes/ecoli/GCA_019047725.1.fna
GCA_019047745.1	Escherichia coli	FDAARGOS_1381	SAMN16357523	Complete Genome			Seth Lab Isolate	Seth Lab strain	USA:MT	missing	missing					not applicable	Montana State U		genomes/ecoli/GCA_019047745.1.fna
GCA_019047905.1	Escherichia coli	FDAARGOS_1388	SAMN16357530	Complete Genome			Seth Lab Isolate	Seth Lab strain	USA:MT	missing	missing					not applicable	Montana State U		genomes/ecoli/GCA_019047905.1.fna
GCA_019047965.1	Escherichia coli	FDAARGOS_1378	SAMN16357520	Complete Genome			Seth Lab Isolate	Seth Lab strain	USA:MT	missing	missing					not applicable	Montana State U		genomes/ecoli/GCA_019047965.1.fna
GCA_019048005.1	Escherichia coli	FDAARGOS_1385	SAMN16357527	Complete Genome			Seth Lab Isolate	Seth Lab strain	USA:MT	missing	missing					not applicable	Montana State U		genomes/ecoli/GCA_019048005.1.fna
