query	reference	phylum	genus	q_species	r_species	skani_ani	skani_af_ref	skani_af_query	anim_ani
GCA_000011445.1	GCF_900489555.1	p__Firmicutes	g__Mycoplasma	s__Mycoplasma mycoides	s__Mycoplasma capri	95.44	77.07	62.16	95.9400
GCA_000012145.1	GCF_000825685.1	p__Proteobacteria	g__Rickettsia	s__Rickettsia felis	s__Rickettsia hoogstraalii	95.05	74.12	69.34	95.4800
GCA_000012145.1	GCF_000828125.2	p__Proteobacteria	g__Rickettsia	s__Rickettsia felis	s__Rickettsia asembonensis	95.42	73.48	63.66	96.1900
GCA_000012145.1	GCF_016743795.1	p__Proteobacteria	g__Rickettsia	s__Rickettsia felis	s__Rickettsia tillamookensis	94.95	75.99	68.89	95.0600
GCA_000020605.1	GCA_900317585.1	p__Firmicutes_A	g__Agathobacter	s__Agathobacter rectalis	s__Agathobacter sp900317585	95.0	62.9	46.93	95.8900
GCA_000155875.1	GCF_013300725.1	p__Firmicutes_A	g__Bariatricus	s__Bariatricus comes	s__Bariatricus comes_A	94.89	63.11	65.73	95.2300
GCA_000180035.1	GCA_018366675.1	p__Firmicutes	g__Streptococcus	s__Streptococcus parasanguinis_C	s__Streptococcus parasanguinis_E	94.7	76.27	76.19	95.1400
GCA_000180035.1	GCF_000963275.1	p__Firmicutes	g__Streptococcus	s__Streptococcus parasanguinis_C	s__Streptococcus parasanguinis_B	94.62	77.73	79.55	95.0100
GCA_000180035.1	GCF_001813295.1	p__Firmicutes	g__Streptococcus	s__Streptococcus parasanguinis_C	s__Streptococcus sp001813295	94.74	75.52	82.24	95.3500
GCA_000220865.1	GCA_001067655.1	p__Proteobacteria	g__Neisseria	s__Neisseria macacae	s__Neisseria lactamica_B	95.45	75.73	74.91	95.3800
GCA_000220865.1	GCF_000227275.1	p__Proteobacteria	g__Neisseria	s__Neisseria macacae	s__Neisseria sp000227275	96.22	80.72	80.45	96.5500
GCA_000220865.1	GCF_000260655.1	p__Proteobacteria	g__Neisseria	s__Neisseria macacae	s__Neisseria sicca_B	96.83	86.12	82.67	96.7200
GCA_000220865.1	GCF_001815675.1	p__Proteobacteria	g__Neisseria	s__Neisseria macacae	s__Neisseria sp001815675	96.64	81.91	81.42	96.6400
GCA_000220865.1	GCF_014054945.1	p__Proteobacteria	g__Neisseria	s__Neisseria macacae	s__Neisseria sicca	96.69	80.77	84.18	96.7100
GCA_000247545.1	GCF_000016385.1	p__Thermoproteota	g__Pyrobaculum	s__Pyrobaculum oguniense	s__Pyrobaculum arsenaticum	96.14	83.29	72.02	96.0700
GCA_000257205.1	GCF_001989995.2	p__Proteobacteria	g__Vibrio	s__Vibrio ordalii	s__Vibrio anguillarum	96.32	70.49	85.2	96.1900
GCA_000283635.1	GCA_900478025.1	p__Firmicutes	g__Streptococcus	s__Streptococcus macedonicus	s__Streptococcus pasteurianus	95.29	66.2	67.29	95.7800
GCA_000283635.1	GCF_002000985.1	p__Firmicutes	g__Streptococcus	s__Streptococcus macedonicus	s__Streptococcus gallolyticus	96.94	62.91	73.19	97.2000
GCA_000283635.1	GCF_003337175.1	p__Firmicutes	g__Streptococcus	s__Streptococcus macedonicus	s__Streptococcus gallolyticus_B	94.62	58.4	59.54	95.2900
GCA_000336895.1	GCF_014647415.1	p__Halobacteriota	g__Haloarcula	s__Haloarcula argentinensis	s__Haloarcula sebkhae	95.24	79.61	80.07	95.1000
GCA_000383735.1	GCA_905181965.1	p__Verrucomicrobiota	g__SW10	s__SW10 sp000383735	s__SW10 sp905181965	97.65	35.96	33.16	97.4600
GCA_000384495.1	GCA_003213625.1	p__Actinobacteriota	g__Actinomarina	s__Actinomarina sp000384495	s__Actinomarina sp003213625	95.58	42.96	73.34	95.3700
GCA_000384495.1	GCA_902619825.1	p__Actinobacteriota	g__Actinomarina	s__Actinomarina sp000384495	s__Actinomarina sp902619825	95.07	41.84	71.89	95.1700
GCA_000434835.1	GCA_900547225.1	p__Firmicutes	g__Aphodocola	s__Aphodocola sp000434835	s__Aphodocola sp900547225	95.1	68.44	66.57	96.2400
GCA_000440235.1	GCA_002831545.1	p__Firmicutes	g__Streptococcus	s__Streptococcus suis_F	s__Streptococcus suis_P	95.02	60.54	66.47	95.0900
GCA_000445185.1	GCA_003722315.1	p__Firmicutes_A	g__Thermoanaerobacter	s__Thermoanaerobacter sp000445185	s__Thermoanaerobacter ethanolicus	96.01	62.53	69.62	96.3400
GCA_000445185.1	GCF_000019085.1	p__Firmicutes_A	g__Thermoanaerobacter	s__Thermoanaerobacter sp000445185	s__Thermoanaerobacter pseudethanolicus	95.16	65.49	59.19	95.6600
GCA_000445185.1	GCF_000147695.2	p__Firmicutes_A	g__Thermoanaerobacter	s__Thermoanaerobacter sp000445185	s__Thermoanaerobacter wiegelii	94.81	61.76	65.79	95.4400
