pairid	q_acc	r_acc	stratum	genus	species
GCA_002339515.1__GCA_003446835.1	GCA_002339515.1	GCA_003446835.1	97-100	g__Sphingobacterium	s__Sphingobacterium multivorum
GCA_002294605.1__GCA_002377215.1	GCA_002294605.1	GCA_002377215.1	97-100	g__Sphingobacterium	s__Sphingobacterium multivorum
GCA_002295765.1__GCF_900457115.1	GCA_002295765.1	GCF_900457115.1	97-100	g__Sphingobacterium	s__Sphingobacterium multivorum
GCA_002322835.1__GCA_002331685.1	GCA_002322835.1	GCA_002331685.1	97-100	g__Stenotrophomonas	s__Stenotrophomonas acidaminiphila_A
GCA_002362895.1__GCA_002363375.1	GCA_002362895.1	GCA_002363375.1	97-100	g__Stenotrophomonas	s__Stenotrophomonas acidaminiphila_A
GCA_002331405.1__GCF_009996725.1	GCA_002331405.1	GCF_009996725.1	97-100	g__Stenotrophomonas	s__Stenotrophomonas acidaminiphila_A
GCA_001724385.1__GCA_017306495.1	GCA_001724385.1	GCA_017306495.1	97-100	g__Microbacterium	s__Microbacterium chocolatum
GCA_001724385.1__GCF_001278365.1	GCA_001724385.1	GCF_001278365.1	97-100	g__Microbacterium	s__Microbacterium chocolatum
GCA_017306495.1__GCF_001278365.1	GCA_017306495.1	GCF_001278365.1	97-100	g__Microbacterium	s__Microbacterium chocolatum
GCF_016814455.1__GCF_016814565.1	GCF_016814455.1	GCF_016814565.1	97-100	g__Sulfitobacter	s__Sulfitobacter mediterraneus_A
GCF_016814315.1__GCF_016814555.1	GCF_016814315.1	GCF_016814555.1	97-100	g__Sulfitobacter	s__Sulfitobacter mediterraneus_A
GCF_016814495.1__GCF_016814565.1	GCF_016814495.1	GCF_016814565.1	97-100	g__Sulfitobacter	s__Sulfitobacter mediterraneus_A
GCA_018368295.1__GCF_003477825.1	GCA_018368295.1	GCF_003477825.1	97-100	g__Faecalibacillus	s__Faecalibacillus faecis
GCA_905209245.1__GCF_003471485.1	GCA_905209245.1	GCF_003471485.1	97-100	g__Faecalibacillus	s__Faecalibacillus faecis
GCF_003471485.1__GCF_015670895.1	GCF_003471485.1	GCF_015670895.1	97-100	g__Faecalibacillus	s__Faecalibacillus faecis
GCA_008667915.1__GCA_905197155.1	GCA_008667915.1	GCA_905197155.1	97-100	g__Collinsella	s__Collinsella aerofaciens_K
GCA_008668315.1__GCA_900756565.1	GCA_008668315.1	GCA_900756565.1	97-100	g__Collinsella	s__Collinsella aerofaciens_K
GCA_008667915.1__GCA_008668315.1	GCA_008667915.1	GCA_008668315.1	97-100	g__Collinsella	s__Collinsella aerofaciens_K
GCF_003208415.1__GCF_005281435.1	GCF_003208415.1	GCF_005281435.1	97-100	g__Pantoea	s__Pantoea endophytica
GCF_013385945.1__GCF_014852515.1	GCF_013385945.1	GCF_014852515.1	97-100	g__Pantoea	s__Pantoea endophytica
GCF_003208415.1__GCF_017848355.1	GCF_003208415.1	GCF_017848355.1	97-100	g__Pantoea	s__Pantoea endophytica
GCA_900764255.1__GCA_905212875.1	GCA_900764255.1	GCA_905212875.1	97-100	g__UBA7173	s__UBA7173 sp900546835
GCA_001724095.1__GCA_017307975.1	GCA_001724095.1	GCA_017307975.1	97-100	g__Pigmentiphaga	s__Pigmentiphaga sp001898625
GCA_903831755.1__GCA_903919265.1	GCA_903831755.1	GCA_903919265.1	97-100	g__CAIQCK01	s__CAIQCK01 sp903870275
GCA_903821195.1__GCA_903919265.1	GCA_903821195.1	GCA_903919265.1	97-100	g__CAIQCK01	s__CAIQCK01 sp903870275
GCA_903899075.1__GCA_903919265.1	GCA_903899075.1	GCA_903919265.1	97-100	g__CAIQCK01	s__CAIQCK01 sp903870275
GCA_002693265.1__GCA_002710305.1	GCA_002693265.1	GCA_002710305.1	97-100	g__Alterinioella	s__Alterinioella nitratireducens
GCA_900103895.1__GCA_900105365.1	GCA_900103895.1	GCA_900105365.1	97-100	g__GAS188	s__GAS188 sp900104855
GCA_903838455.1__GCA_903868265.1	GCA_903838455.1	GCA_903868265.1	97-100	g__Sediminibacterium	s__Sediminibacterium sp903854725
GCA_903838455.1__GCA_903852975.1	GCA_903838455.1	GCA_903852975.1	97-100	g__Sediminibacterium	s__Sediminibacterium sp903854725
GCA_903852975.1__GCA_903868265.1	GCA_903852975.1	GCA_903868265.1	97-100	g__Sediminibacterium	s__Sediminibacterium sp903854725
GCA_018656145.1__GCA_018698755.1	GCA_018656145.1	GCA_018698755.1	97-100	g__ASP10-02a	s__ASP10-02a sp018647765
GCA_000436595.1__GCA_900551685.1	GCA_000436595.1	GCA_900551685.1	97-100	g__Prevotella	s__Prevotella sp000436595
GCA_900551685.1__GCA_905212685.1	GCA_900551685.1	GCA_905212685.1	97-100	g__Prevotella	s__Prevotella sp000436595
GCA_900553745.1__GCA_905212685.1	GCA_900553745.1	GCA_905212685.1	97-100	g__Prevotella	s__Prevotella sp000436595
GCA_001772855.1__GCA_003485585.1	GCA_001772855.1	GCA_003485585.1	97-100	g__UBA10185	s__UBA10185 sp000994815
GCA_002328705.1__GCA_002403185.1	GCA_002328705.1	GCA_002403185.1	97-100	g__Bipolaricaulis	s__Bipolaricaulis anaerobius
GCA_002328705.1__GCA_017999775.1	GCA_002328705.1	GCA_017999775.1	97-100	g__Bipolaricaulis	s__Bipolaricaulis anaerobius
GCA_002403185.1__GCA_017999775.1	GCA_002403185.1	GCA_017999775.1	97-100	g__Bipolaricaulis	s__Bipolaricaulis anaerobius
GCF_001524825.1__GCF_001532915.1	GCF_001524825.1	GCF_001532915.1	97-100	g__Burkholderia	s__Burkholderia anthina_A
GCF_001527555.1__GCF_002223285.1	GCF_001527555.1	GCF_002223285.1	97-100	g__Burkholderia	s__Burkholderia anthina_A
GCF_001524825.1__GCF_002925705.1	GCF_001524825.1	GCF_002925705.1	97-100	g__Burkholderia	s__Burkholderia anthina_A
GCF_001466915.1__GCF_013392005.1	GCF_001466915.1	GCF_013392005.1	97-100	g__Pseudomonas_E	s__Pseudomonas_E azotoformans
